作品名称：【排骨】洛阳怀【忘川风华录】
网址：https://www.bilibili.com/video/av26312453
更新时间：07-10
弹幕总量：978
preciseTime    ofTime          comment
0.0            1531204806.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.134          1531051143.0    1.25有惊喜，
0.353          1531012493.0    前排表白排骨
0.465          1531063626.0    我下载了，不要问我为什么😚
0.723          1530973247.0    没有骨妹
0.743          1530973176.0    没有骨妹
0.901          1531039239.0    表白排骨
0.962          1530973229.0    没有骨妹
0.985          1531010929.0    表白排骨！
1.02           1531128213.0    表白排骨
1.024          1530977716.0    前奏这两个音像深井冰之歌哈哈哈
1.093          1531058562.0    洛阳怀、长安忆
1.2            1530975476.0    洛阳人路过
1.293          1530971029.0    迷醉啊，我只是迟了一会儿，就3.4万以后了
1.452          1531104202.0    前排提示1.25很好听，激昂一点意气风发
2.136          1530970360.0    哈呀一
2.215          1531060232.0    开头见
2.226          1531047314.0    日刷
2.337          1531038401.0    哇，神速
2.409          1531051647.0      . 
2.466          1531024371.0    这个翻唱够快
2.655          1531024397.0    好听
2.731          1531189520.0    没骨妹，但是也好听
2.853          1530971784.0    支持
2.889          1530970801.0    美滋滋
3.022          1531151012.0    1.25食用最佳
3.08           1531058141.0    我又来了
3.212          1531066561.0    啊啊啊啊
3.214          1531039168.0    表白排骨
3.358          1531059554.0    真快
3.473          1531207033.0    欢迎回来
3.568          1530978464.0    没有骨妹，嗯。
3.579          1531206684.0    支付宝首页搜索三零五四五零六，你会谢我的
3.967          1530972333.0    高产
4.067          1531020485.0    刚刚听完仙儿唱的
4.28           1530980297.0    表白
4.378          1530986976.0    好快
4.407          1531046568.0    呀呀呀！
4.643          1531013976.0    后排表白
4.668          1531065039.0    是个男人就不该快。排骨你说呢
4.901          1531025443.0    真快
5.408          1530972158.0    我来了
5.66           1531030874.0    快死了!!
5.689          1530971069.0    仙儿也投了
5.906          1531028879.0    我来晚了。。
6.211          1531014794.0    打call！！！
6.331          1531154532.0    (๑❛ᴗ❛๑)
6.337          1531041624.0    啦啦啦
6.581          1530971880.0    绣口一吐，便是整个盛唐
6.673          1530971703.0    问一下，主角是李白和杜甫嘛
6.719          1530971491.0    2233
6.721          1531024752.0    还是喜欢排骨唱的
6.728          1530983934.0    高产啊
7.103          1531027573.0    我又回来啦
7.203          1530972458.0    我又来了
7.289          1531019785.0    快
7.36           1531020976.0    表白排骨
7.507          1531029014.0    我又来了
7.534          1530983893.0    表白排骨
7.567          1530973274.0    真的快
7.57           1530972765.0    史上翻唱最快的歌手
7.789          1530972526.0    (｡>∀<｡)
7.816          1531138002.0    表白排骨
8.102          1531045619.0    再来一遍
8.16           1530974447.0    666666666
8.409          1531123301.0    表白这个
8.466          1530980899.0    男人不能说自己快
8.472          1531019102.0    李杜诗篇万古传！
8.474          1531018828.0    洛阳人路过
8.544          1530971011.0    我！洛阳人！！！
8.587          1530971371.0    关上前四万的大门
8.599          1531035645.0    排排棒棒
8.975          1531024870.0    表白排骨女神
9.142          1531010738.0    排音绕梁，入骨相思
9.341          1531080848.0    表白排骨
9.37           1531016209.0    人少，承包排排
9.447          1531125266.0    哥哥？叫姐姐！
9.542          1531006667.0    最近高产
9.585          1531024766.0    排音缭绕入骨相思
9.831          1530975185.0    6666666666666
10.013         1530976848.0    啦啦啦来啦
10.085         1530977926.0    讲真 我洛阳人
10.347         1531024384.0    前排表白排骨
10.492         1530972309.0    你们很快
10.571         1531120286.0    吹爆我大李杜
10.654         1531216992.0    表白排骨！！！！
11.026         1530974806.0    怎么这么好听！！！
