作品名称：【兔总裁】如月attention(｡•̀ᴗ-)✧满水复活兔
网址：https://www.bilibili.com/video/av26315741
更新时间：07-10
弹幕总量：637
preciseTime    ofTime          comment
0.0            1531012330.0    美美美
0.12           1530941024.0    前一晚
0.801          1530939735.0    兔兔最棒
0.814          1530937051.0    前
1.14           1530936615.0    2
1.864          1530937977.0    来了
1.946          1530942541.0    一小时！
2.521          1530937423.0    14分钟前
2.54           1530936620.0    刚刚
2.658          1530975580.0    Ipsa的流金水
2.675          1531004675.0    欢迎收看允星河拯救过世界系列
2.876          1530974000.0    允星河和向你介绍他老婆。
3.1            1530941219.0    诶嘿
3.156          1531145763.0    超棒
3.195          1530937190.0    刚刚
3.433          1530938547.0    来了来了
3.498          1531047098.0    你被猩猩的朋友盯上啦！
3.751          1530939489.0    来了
3.965          1530979484.0    宝宝金水！
4.219          1530974627.0    1
4.561          1531031670.0    不错不错
4.615          1530954344.0    表白
4.818          1530936958.0    hhhh
4.836          1530943037.0    往人前来应援！！！
4.891          1531147056.0    允星河Yoseya
4.908          1531127903.0    我有恐女诊 但是还想看  怎么办啊
5.027          1530940627.0    来了
5.05           1531191854.0    允星河正在向你介绍他老婆
5.105          1531012051.0    兔兔好可爱
5.147          1530975736.0    允星河牛逼
5.359          1530943510.0    这个是真的好用，兔兔接的广告都那么棒
5.524          1530937164.0    副总裁，刘冰
5.661          1530936919.0       4分钟前
5.698          1530937027.0    40
6.034          1530974999.0    允儿是拯救了世界吧
6.32           1530936597.0    哈哈，第一，抱走
6.358          1530938854.0    回来啦
6.495          1530937203.0    前排啊
6.539          1530977909.0    把你家网线了，你给我看这个
6.57           1530957178.0    允星河牛逼
6.792          1530941064.0    可愛
6.9            1531031689.0    一秒换装
7.041          1530975487.0    允星河牛逼！
7.48           1530937687.0    前
7.601          1530943418.0    口耐
7.682          1530974576.0    哦哟两人份的茶具
7.797          1530956873.0    漂亮又高产
7.902          1531048200.0    你被猩猩的饲养员盯紧了！！（滑稽）
7.948          1530977690.0    233
8.359          1530980012.0    猝不及防
8.941          1531017229.0    允星河流批
9.08           1531031695.0    真刺激
9.288          1530959191.0    来了
9.296          1530936816.0    4分钟前
9.439          1530973923.0    允星河粉丝，前来应援
9.441          1530941716.0    来晚了
9.48           1530937119.0    1430
9.579          1531034956.0    嫂子好
9.932          1531190664.0    被小允子看上了。
9.938          1531024597.0    @允星河
10.184         1530938993.0    措不及防
10.2           1530975966.0    允星河拯救了世界
10.981         1530936636.0    233
10.984         1530980356.0    秃总裁
11.156         1530936651.0    来得早~么么哒兔兔
11.339         1530984202.0    允星河🐮🍺
11.379         1530973973.0    允星河NB
11.584         1531012996.0    表白
