作品名称：【初音ミク】Mei Mei【ピノキオピー】
网址：https://www.bilibili.com/video/av26317324
更新时间：07-12
弹幕总量：960
preciseTime    ofTime          comment
0.0            1531308711.0    88888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888
0.04           1531321639.0    哈哈哈
0.301          1531228761.0    【顺便补充是中文字幕√是评论里的热评大佬的√】
0.398          1531198039.0    我来看弹幕了
0.503          1531316572.0    当你看见我时，你已经中了轮回眼的幻术了
0.883          1531307851.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！
0.901          1531310034.0    字幕被顶掉了，看字幕请查看历史弹幕7月9日(｀・ω・´)
1.06           1531219513.0    ！！！！
1.065          1531318148.0    <P主乱入合集>
1.189          1531318708.0    啊啊啊啊啊啊啊啊啊啊啊
1.321          1531209157.0    卧槽
1.704          1531229324.0    见匹滚
1.992          1531286998.0    呱
3.011          1531307592.0    新歌啊！！
3.549          1531200242.0    yidesuo
3.644          1531315061.0    好看吗
3.715          1531391730.0    好久不见啊
3.853          1531307718.0    前排提示！！！39c5bb！！！！！
4.077          1531212427.0    吹爆匹老板！！！！！
4.397          1531281973.0    马冬（）？
4.882          1531244498.0    香港233333
5.381          1531281184.0    欢迎回来
5.676          1531383454.0    三回啊三回
6.027          1531316476.0    Mei Mei
6.983          1531367458.0    me! me! me!me! me! me!me! me! me!me! me! me!me! me! me!me! me! me!me! me! me!me! me! me!
7.022          1531318714.0    阿阿阿阿阿阿
7.986          1531282222.0    管
8.025          1531387102.0    meimei
8.027          1531226507.0    梅梅？
8.363          1531217473.0    人活着就是为了miku！
8.513          1531273410.0    吹爆！
8.532          1531304871.0    沙雕弹幕哈哈哈哈哈哈哈哈哈哈哈哈
8.627          1531199855.0    欢迎回来！
8.672          1531376403.0    妹妹
8.872          1531313268.0    YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY
9.038          1531223197.0    匹老板！
9.07           1531286310.0    VVBF
9.331          1531392498.0    hanmeimei
10.444         1531206706.0    先投在看已成习惯
10.546         1531388435.0    哇miku
10.622         1531224091.0    妹妹
11.221         1531233780.0    啊啊啊啊新歌
11.45          1531305068.0    皮老板！
11.51          1531318323.0    emmm终于回来了
11.511         1531305127.0    背景天丛云P
11.939         1531263568.0    miku miku miku miku miku miku
12.018         1531217861.0    南非世界杯的感觉
12.026         1531305150.0    妹妹~~~
12.602         1531214617.0    meimei！
12.693         1531280255.0    ！！！！！！！！！！！！！！！！！！
13.27          1531383745.0    aaaa
13.674         1531318494.0    妹妹
13.693         1531204861.0    39C5BB
14.547         1531200299.0    啊啊啊 老匹
14.604         1531304441.0    来了来了
14.718         1531308128.0    匹老板！
14.76          1531281206.0    吹爆老匹
14.782         1531308146.0    点进来发现看过了
14.841         1531218940.0    美美美美
15.19          1531391889.0    ❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀
15.247         1531317481.0    背景是天丛云p
15.275         1531284994.0    吹爆匹诺曹和miku！！！！！！！
15.299         1531293734.0    老匹真的是越画越好看了
15.396         1531232880.0    妹妹，妹妹
15.555         1531363103.0    弹幕真是6666哈哈哈哈哈
15.849         1531362987.0    牛批
16.343         1531264149.0    来晚了
16.37          1531364741.0    助攻999999999999999
16.443         1531297889.0    YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY
16.781         1531214628.0    mikumikumiku
17.577         1531209040.0    超好听
18.074         1531208587.0    woc！匹老板！
18.442         1531368562.0    吹爆老匹
18.449         1531387518.0    匹老板!
18.533         1531318094.0    miku！
18.572         1531239353.0    韩梅梅
18.945         1531298161.0    39393939339393939393939393939393939393933939393939393939393939
19.117         1531280641.0    【滑稽】
19.565         1531388971.0    公主殿下
19.626         1531368782.0    每天刷一遍
19.627         1531288290.0    致敬全世界最可爱的公主
19.686         1531263892.0    好不一样的风格的歌😅
20.032         1531296477.0    1111111111111111
20.265         1531291019.0    妹妹！
20.718         1531322827.0    表白画师！
20.735         1531391763.0    喜欢啊啊
21.171         1531200013.0    吹起来
21.454         1531278060.0    哇塞.好喜欢
22.056         1531392821.0    吹爆痞老板
22.211         1531307737.0    呦！！！！！！！！！！！米库！
22.459         1531355770.0    美眉
22.613         1531270836.0    好棒啊
23.081         1531314905.0    不愧是匹老板 佩服佩服
23.448         1531278395.0    妹妹？
23.894         1531294753.0    第十遍~
23.998         1531316604.0    啊~真的厉害了 超棒
24.041         1531316369.0    芽衣芽衣芽衣芽衣
24.167         1531206020.0    奶奶
24.434         1531228920.0    【啊~真的厉害了 超棒】
24.446         1531197667.0    匹老板
24.619         1531391898.0    ❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀
24.919         1531228485.0    这是MMP
24.98          1531220100.0    这是爬山P
24.994         1531231344.0    爬山p
25.051         1531380760.0    这是MMp
25.221         1531304900.0    这是MMP↓
25.352         1531316630.0    空气好清新 饭好好吃
25.392         1531302386.0    ！！！！！！！！
25.531         1531323466.0    这是MMp↓
25.575         1531223511.0    一堆p主即将到达战场
25.659         1531322187.0    皮老板！！！！
26.451         1531321982.0    妈卖pi.....
26.879         1531225385.0    哈哈哈哈老匹会玩
27.02          1531264533.0    这是mmp
27.169         1531206406.0    哈哈哈哈哈哈哈哈哈哈
27.182         1531203560.0    回归了
27.296         1531380582.0    wwwwwwwwwwwwwwwwwwwww
27.82          1531239153.0    这是mmp
27.913         1531316769.0    啊~真的厉害了 超棒 超喜欢大家 给我零花钱
28.007         1531304455.0    啊啊啊啊啊啊啊
28.038         1531222383.0    这是MMp
28.227         1531228933.0    【空气好清新 饭好好吃】
28.725         1531282242.0    ，。。。
29.482         1531231327.0    试图寻找爬山p
29.598         1531367264.0    以为是mememe
29.699         1531228980.0    【字幕娘放拿不拿现场】
29.84          1531278749.0    爬山p的笑死
29.936         1531301310.0    好可爱啊
29.947         1531325633.0    轮回眼
30.56          1531214809.0    怪力熊！！！
30.734         1531314228.0    怪力熊说：mmp
30.819         1531234234.0    爬山p的是要笑死我
30.87          1531304922.0    这是怪力熊↓
30.886         1531323489.0    这是怪力熊p↓
30.892         1531239175.0    这是怪力熊
30.913         1531228507.0    这是怪力熊
31.09          1531306754.0    老匹大爱
31.325         1531316787.0    吵死了 吵死了
31.357         1531230811.0    ↓怪力熊↓
31.408         1531287436.0    老婆！！！！
31.505         1531357316.0    怪力熊hhhhhhhhhhh
31.583         1531305111.0    哈哈哈哈哈怪力熊一秒出戏
31.596         1531232920.0    公主殿下赛高！！！！！！！！！！！！！！！
31.613         1531383764.0    mmp
31.62          1531321937.0    怪力熊233
31.651         1531392831.0    超喜欢
31.905         1531264549.0    这是怪力熊
32.087         1531227289.0    怪力熊笑爆
32.185         1531367713.0    匹老板哇
32.388         1531279871.0    公主殿下
32.748         1531303068.0    怪力熊2333
32.854         1531301766.0    哇
32.863         1531264170.0    2333333333
32.936         1531316805.0    越过那条界限
33.287         1531206416.0    哈啊哈哈哈哈怪力熊
33.541         1531321817.0    liuming
34.089         1531304429.0    ！！！！！！吹爆
34.644         1531316831.0    说真的 真是超尊敬地球
35.433         1531282249.0    。
35.521         1531232410.0    怪力熊的哈哈哈哈
36.608         1531297909.0    393939393939393939393939393393939
36.687         1531316346.0    哈哈哈哈哈哈哈哈哈
36.759         1531198220.0    这是正在VR的世界里跳舞的水母
36.773         1531317007.0    这是dance in the vr world 的水母P↑
37.046         1531317229.0    这是dance in the vr world 的水母P↓
37.072         1531228534.0    这是在vr世界里蹦迪的水母P
37.156         1531304948.0    ↓这是快乐VR的水母P
37.312         1531323516.0    这是快乐VR的水母P↓
37.398         1531381001.0    水母pwwwww
37.515         1531268013.0    真好听
37.735         1531316985.0    这是dance in the vr world 的水母P↑
37.82          1531316860.0    啊~真的厉害了 超棒 模特好可爱 演员好帅
38.141         1531316288.0    突然想笑23333
38.458         1531264575.0    这是蹦迪的水母P
38.64          1531284590.0    这是马热土
38.837         1531228548.0    这是马热土
38.954         1531281179.0    老匹赛高！C!C!!
39.249         1531222420.0    这是马热图
39.432         1531219430.0    maretu↓
39.677         1531323540.0    这是马热土p↓
39.751         1531304960.0    ↓这是马热图
40.827         1531303092.0    马热土www
40.887         1531376119.0    表白匹老板
41.073         1531369085.0    MARETU
41.129         1531286801.0    玛吉呀巴库呐
41.273         1531369596.0    MARETU!
41.519         1531370781.0    老板阿阿阿
41.725         1531316877.0    啊~真的厉害了 超棒 那货的自吹自擂 真是超无聊
41.934         1531372471.0    ！！！
42.721         1531278781.0    一本正经说p名的干嘛啦2333333
43.366         1531374804.0    ↓这是镜音双子
43.691         1531367448.0    me! me! me!
44.026         1531297916.0    393939393393939393939393939393939393939339393939393939393939393939393933939393939393939393939
44.177         1531381022.0    镜音的你们真的是......
44.843         1531317076.0    烦死了 烦死了
44.926         1531316893.0    烦死了 烦死了
45.029         1531308044.0    。。
45.467         1531307922.0    匹老板家的miku酱超可爱~
45.479         1531304972.0    这是neru
45.646         1531264590.0    这是neru的女朋友
45.793         1531323570.0    这是neru空心菜p↓
45.958         1531220161.0    这是空心菜P
45.985         1531317437.0    投币投币
46.014         1531214900.0    这是空心菜p
46.02          1531307761.0    kumikumikumikumikumikumikumikumikumikumikumikumiku！！！！！！！
46.081         1531202716.0    neru2333
46.49          1531317101.0    越过那条界限
46.753         1531369104.0    被deco绿的Neru
46.852         1531240261.0    草
47.025         1531228576.0    这是被爹扣绿了的Neru
47.238         1531307453.0    草
47.253         1531208748.0    这是neru
47.27          1531222451.0    这是neru
47.273         1531232441.0    neru绝了
47.363         1531268589.0    草
47.393         1531287349.0    neru哈哈哈哈哈哈
47.489         1531232486.0    这是neru。。23333空心菜P
47.575         1531239222.0    这是neru
47.58          1531208546.0    草
48.042         1531391922.0    ❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀❀
48.047         1531381300.0    2333333333
48.361         1531225135.0    空心菜p↓
48.382         1531317126.0    说真的 宇宙真是超大
48.471         1531381079.0    草【字面意思】
48.678         1531196158.0    neru哈哈哈哈哈哈卧槽
48.725         1531321674.0    neru哈哈哈哈哈
48.735         1531264481.0    匹老板！！！！！！！！！！
48.768         1531377390.0    你们上发刷这是XXX的，笑死我了啊哈哈哈哈
48.873         1531219449.0    neru↓
49.545         1531302646.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
49.665         1531323504.0    这个是neru
49.876         1531276549.0    大草原
49.94          1531198421.0    哈哈哈哈哈哈neru
50.497         1531308112.0    好可爱
50.969         1531269033.0    w为什么是neru
51.235         1531378330.0    老匹
51.469         1531242604.0    神だ！！！
51.623         1531317151.0    哇啊~ 哇啊~ 好开心啊
51.642         1531219215.0    草
51.844         1531197524.0    好棒
52.119         1531239246.0    这是deco*27
52.233         1531323587.0    这是deco↓
52.263         1531387548.0    这是deco*27的火锅
52.367         1531300183.0    这是deco哈哈哈哈哈笑死
52.548         1531236713.0    哈哈哈哈哈哈哈哈哈哈哈哈
52.661         1531202729.0    deco
52.7           1531382308.0    移情别恋p
52.718         1531205030.0    deco是你吗？
52.74          1531222784.0    草
52.776         1531304987.0    ↓这是DECO*27
52.807         1531264607.0    这是deco
52.845         1531228587.0    这是爹扣
52.854         1531375998.0    deco！
52.99          1531222475.0    这是deco*27
53.31          1531232452.0    deco哈哈哈
53.737         1531305221.0    披萨是ygrshy
54.059         1531233347.0    披萨pwowaka
54.136         1531266755.0    看我发现了什么宝贝
54.213         1531282118.0    这是wowaka
54.777         1531234274.0    deco可还行hhhhh
55.082         1531324880.0    DECO的火锅233333
55.415         1531317171.0    快聚集起来 无害的人类
55.766         1531268031.0    好听
55.786         1531214993.0    哈哈哈喝哈哈
56.359         1531205045.0    maretu
56.747         1531216157.0    deco2333333
56.809         1531287080.0    我跟右下角表情是一样的
57.232         1531228597.0    这还是马热土
57.319         1531361035.0    老匹干脆叫牛肉p好了（x
58.1           1531198852.0    表白黄色字幕
58.379         1531274011.0    那真是牛匹
58.425         1531287379.0    maretu哈哈哈哈哈哈哈
58.478         1531317188.0    快飞 快飞 飞机超厉害
59.28          1531300238.0    是我本命p主天丛云！！！！！
59.631         1531379240.0    骑士团团长参见初音公主殿下
59.657         1531303338.0    6666
59.81          1531287464.0    wwww
60.609         1531228606.0    这是天丛云
61.141         1531305007.0    这是天丛云P
61.404         1531323611.0    这是天丛云p↓
61.579         1531322008.0    天丛云出镜率好高
61.605         1531385162.0    爆笑
61.886         1531310742.0    这是天丛云p
62.019         1531261009.0    他们说这是丛云p
62.029         1531222509.0    这是天丛云p
62.153         1531206452.0    天丛云还行哈哈哈哈
62.197         1531317205.0    虽然不是很懂是什么构造啦
62.932         1531373192.0    这是银河明星号
62.951         1531365429.0    这是上升p
63.028         1531219474.0    天丛云↓
63.038         1531232475.0    天从云哈哈哈哈
63.761         1531225470.0    天丛云恍恍惚惚哈哈哈
63.862         1531264632.0    这是天丛云
64.4           1531237832.0    RS-25那个别跑，我终于有知音了
64.506         1531310735.0    天丛云6666666
64.522         1531264211.0    哈哈哈哈哈
65.205         1531277870.0    mdln
65.277         1531317277.0    呐Mei~Mei~Mei~Mei~Mei~
65.518         1531277890.0    马东什么？
65.674         1531246504.0    mei mei mei mei mei
65.935         1531305037.0    这是善用翻转的奶油糖星人
66.228         1531297945.0    39393939339393939393939393939393939393933939393939393939393939
66.617         1531288203.0    哈哈哈哈哈哈哈
67.788         1531228635.0    这是奶油糖星人征服目标
67.859         1531299793.0    看弹幕已经笑死了www
68.334         1531225567.0    这是羊总（）
68.791         1531208422.0    暂停出现羊总
69.03          1531281400.0    没没没没没
69.045         1531281209.0    依然是朴实的pv呢
69.185         1531317294.0    摇啊摇啊 摇摇晃晃啦
69.281         1531228649.0    刚才是一闪而过的羊总
69.847         1531381127.0    左右反转是和谁学的呢【疯狂暗示】
70.144         1531270922.0    这一段好棒啊
70.38          1531357515.0    每次到了这里都会跟着miku一起摇啊摇
