作品名称：CF又一款奇葩武器M4A1-刀锋，估计是交易所购买
网址：https://www.bilibili.com/video/av26323404
更新时间：07-10
弹幕总量：499
preciseTime    ofTime          comment
0.34           1531055830.0    第三人称空降1：53-----来自防炸指挥部
1.411          1531112163.0    所以说到底是谁的击杀语音
2.53           1531119039.0    难受
2.637          1531122608.0    ji
3.246          1531041949.0    不用估计
3.812          1531046923.0    牛逼
4.634          1530971138.0    cat_刀锋了解一下。一只猫吐子弹，换子弹摸头
4.911          1531024850.0    奇葩
4.933          1531134562.0    没有任何创意，完全是CS的魔改版
5.114          1531116524.0    化腾小儿的坑钱新招
5.293          1531150100.0    py交易所吗
6.032          1531049822.0    qwq
6.152          1530967329.0    夭寿啦
6.253          1531115358.0    想要
7.253          1530967779.0    想要
8.13           1531027095.0    就我发现小刀锋是个左撇子吗？
9.071          1531063838.0    怀疑这些天价玩偶天价皮肤都是腾讯自己挂上去的
9.368          1531119086.0    代打
9.439          1531027019.0    官方皮得很
10.118         1530973775.0    a求BGM
10.397         1530976336.0    有没有AK
10.567         1531145771.0    代打警告
10.591         1531046301.0    又一个天价武器
10.665         1531124798.0    代打
11.669         1530968706.0    求bgm
12.302         1531061719.0    代打，没得洗
12.62          1531008434.0    我擦……真是脑洞大开啊…
12.879         1530970863.0    哈哈好可爱
13.963         1530964293.0    66666
14.553         1531015984.0    嘛玩意儿
14.945         1531152532.0    刀锋：mmp，我惹谁了
15.226         1531145781.0    代打严重
15.508         1530973831.0    我的qq.真的响了，然后up主又响了
15.823         1530964616.0    卧槽Σ(ŎдŎ|||)ﾉﾉ
16.022         1531117230.0    这手感估计巨差
16.193         1531155287.0    这样不好射击
16.348         1531046949.0    这不是m4吗，是不是错了
16.91          1530967766.0    真的假的
17.071         1531041640.0    刀锋代打
17.528         1531055421.0    我曹
17.798         1531003055.0    CS的音效
18.406         1530978923.0    知道怎么让他开枪么，当然是用大拇指骚动他的屁股
18.409         1531045466.0    石锤代打
18.428         1531138853.0    BGM：PDD洪荒之力
18.721         1531022994.0    这个换弹可以玩一年
18.723         1531029272.0    灵感来自，求生之路，MOD
18.798         1531011380.0    我就想问，这样你哪来的手感，就只能娱乐吧
19.749         1530967942.0    摁菊花射击
19.793         1530975388.0    笑死人了这武器
19.817         1531059381.0    没错，你QQ响了
20.11          1531039590.0    传说中的，代打
20.158         1530983428.0    md好可爱是什么鬼？
20.218         1531131133.0    你QQ响了
20.674         1530966244.0    代打实锤
20.717         1531216451.0    我以为我的QQ响了，立马切过去，一脸懵逼，屁事没有
20.808         1530964560.0    代打没得洗
20.909         1530978155.0    BGM:pdd洪荒之力
21.032         1531139110.0    我的QQ
21.456         1530971404.0    又找到新赚钱套路  火麒麟、刀锋
21.745         1531052407.0    这特么丧心病狂啊TX越来越上瘾啊喂
21.836         1531024087.0    原地踏步
21.969         1531057385.0    代打
22.447         1531022581.0    6666666
22.485         1530970148.0    全程右上角
22.671         1530981552.0    bgm h洪荒之力
22.835         1530969547.0    好可爱
23.645         1530971565.0    哈哈哈好可爱
23.878         1530967808.0    我就问有没有灵狐的
23.903         1530973178.0    换成我我都不会玩了...
23.965         1531068049.0    这是，替身使者！
24.049         1531140782.0    好强
24.159         1530973391.0    这尼玛................
24.621         1531060640.0    有没有黄金ak47奥摩
24.742         1530975802.0    真代打
24.923         1531065740.0    好可爱
25.497         1531065781.0    这子弹我能装30000发
25.771         1530974928.0    刀锋是左撇子
26.065         1530966930.0    人机啊
26.161         1531151861.0    售鞋 aj vans 匡威 联名鞋 有意加Q2632208229
26.258         1531129889.0    bgm
26.509         1530964906.0    AK-47灵狐者😂😂😂
26.571         1531064903.0    模仿蛋拐的屠夫和芭比枪?
26.633         1531061902.0    什么鬼
27.036         1530965915.0    上面有个飞机
27.778         1530964892.0    呐，给你弹夹快换上
27.78          1531024748.0    代打
27.874         1531022589.0    手速
27.929         1530982417.0    能掐死吗
28.197         1531155303.0    人机
28.653         1530973124.0    替身攻击
28.829         1530971149.0    这个换弹我想到了战地的彩蛋
29.152         1531133111.0    左手好一点？
29.312         1531116428.0    代打实锤
29.384         1531019843.0    人机模式，鉴定完毕。
29.433         1531149653.0    BGM好评
29.867         1530976859.0    刀锋是本体
30.157         1531058386.0    bgmpDD
30.208         1530982701.0    手一滑。摔死了。 😂
30.308         1530969280.0    掉地上都看不见枪。。。。。
30.566         1530985694.0    后座真小
30.874         1531012481.0    oh♂yes♂sir
31.217         1530971816.0    感觉开枪想桶刀锋菊花
31.231         1531037411.0    好难受啊
31.31          1530976724.0    很好玩啊
31.351         1531045757.0    有毛病吧😂
31.65          1530970563.0    爱的自杀，再问供养
31.856         1531037776.0    you wanna kiss me？
31.983         1531049273.0    还是消音M4
32.0           1531044576.0    啊♂夜色♂
32.068         1530969145.0    秀啊
32.49          1531108725.0    这换单我喜欢
32.7           1531012624.0    Ah♂yes sir
32.796         1531000410.0    看我替身攻击！
32.889         1531057964.0    没手感啊
32.952         1530972980.0    代打严重
33.141         1531041996.0    bgm pdd洪荒之力
33.275         1530973325.0    这游戏越来越扯淡了
33.289         1531055349.0    哇，我tm氪爆
33.366         1531035300.0    好可爱
33.535         1530972650.0    说实话挺有意思的
33.872         1531005204.0    真代打
34.125         1530989310.0    真 代打
34.5           1530977065.0    有意思，这个。
34.872         1530968481.0    感觉很可爱
35.15          1531139606.0    真·代打
35.236         1531065768.0    手一滑摔死了
35.246         1531046149.0    天价
35.44          1530979244.0    玳打
35.493         1531041218.0    代打
35.628         1531145356.0    替身攻击？？
36.088         1530965968.0    穿越火线：原力觉醒
36.114         1531022457.0    好可爱啊
36.37          1531022247.0    猫枪正服有
36.394         1531015110.0    猫枪正服里面有  好像要。冲1000多
36.433         1531025472.0    没子弹直接扔刀锋
36.791         1530973628.0    给刀锋换那么小的弹夹233333
37.072         1531078917.0    啊，夜色
37.253         1531025598.0    我还以为是手雷
37.347         1531065178.0    可以用刀锋再把全部武器出一个系列
37.55          1531067049.0    声音不对啊
37.611         1531040158.0    设定挺有意思的啊
37.94          1531045102.0    一个字，萌
38.164         1531114390.0    可爱
38.266         1531018495.0    这玩意儿影响竞技公平了吧，枪管都没有
38.532         1531118757.0    代打
38.617         1531034415.0    弹夹还得人给他。。。。
39.105         1530968230.0    啊♂yes sir
39.142         1531131592.0    不想玩这个游戏了
39.157         1531023213.0    有意思
39.487         1531140818.0    子弹那么小都能打死人
39.504         1531009794.0    AK――灵狐
39.51          1530996100.0    在来个AK47-灵狐者
39.578         1531145455.0    灵狐呢
39.601         1530973413.0    扔地上看一下
39.694         1531042654.0    嚇~tui！
39.718         1530964511.0    ……
39.806         1531019360.0    不容易看见抖枪，不好压枪
39.851         1530975188.0    我好喜欢这个，有没有人愿意送我的
39.878         1531023075.0    好可爱
40.671         1530973832.0    这枪丢出去什么样
40.841         1531017112.0    讲真，现在已经可以称之为玄幻火线了
40.916         1531147459.0    赶紧没有手感啊
41.031         1531034152.0    这游戏掉帧掉的厉害，有时候对着人扫一梭子对方掉一枪血
41.112         1531127060.0    吐你身上？
41.287         1531060777.0    这换弹好厉害……
41.545         1531006986.0    以为我的qq响了
41.638         1530969345.0    啊yeah♂sir
41.775         1531151995.0    第…第三人称视觉？
41.804         1531160617.0    求bgm
41.952         1531108184.0    很好玩的感觉
42.231         1530980137.0    英雄级M4的弹道
42.265         1530979760.0    哇好想要
42.27          1530971724.0    拇指一直在摸刀锋的菊花
42.913         1530980303.0    代打666
42.942         1531038717.0    更好奇左手在干嘛
43.031         1531030839.0    我要灵狐
43.152         1531037817.0    m4刀锋那是不是还要有ak刀锋等等？
43.502         1530974154.0    可以，我喜欢这把枪，想要
43.792         1531065561.0    弹量太少了吧
44.128         1531035149.0    好卡哇伊
44.306         1531058020.0    算了，我还是退游吧，玩不起了
44.331         1530970903.0    刀锋代打，实锤
44.411         1531019331.0    cf咬出看板娘系统了？
44.547         1531125524.0    真代打
45.051         1530971157.0    接弹夹萌到了
45.058         1531128352.0    估计得上万
45.344         1531059151.0    要脸不了？全是花钱买
45.634         1531046115.0    哈哈哈哈，有意思
46.003         1531153798.0    难道你们没有发现这个刀锋是大拇指顶菊花开火的么
46.783         1530966017.0    严重代打
46.882         1531006071.0    大拇指在捅屁股
47.428         1530975070.0    代打？怎么看着对面像人机
47.49          1531029755.0    脑洞真大
47.834         1531022828.0    想要
47.857         1531034184.0    真代打
48.077         1531012193.0    明显代打
48.1           1530983824.0    换弹好萌啊
48.173         1530976802.0    Bgm:pdd 洪荒之力
48.204         1531016798.0    这是替身攻击！（JOJO蓝）
48.291         1530977384.0    好可爱
48.48          1530981357.0    这手办有点意思
48.719         1530975246.0    好有意思啊   
48.846         1530973258.0    欧油，还不错，人物动作刀锋也反馈
48.946         1531147713.0    啊♂yes sir～
49.151         1530969703.0    卧槽 要买
49.171         1530976597.0    这枪是不是毫无后坐力可言
49.283         1531118918.0    贴身攻击
49.312         1531026935.0    Csol了解一下
49.329         1530967433.0    天哪好卡哇伊啊
49.725         1530972373.0    预计两年后    王者之魂-刀锋
49.905         1531058594.0    wc
49.907         1531141787.0    原理是什么
50.113         1530971489.0    右上角
50.267         1530981223.0    就是刀锋代打了
50.399         1531027712.0    感觉毫无手感可言
50.697         1530976622.0    代打石锤
50.799         1530976638.0    bgm
51.185         1531043781.0    等一下会不会出灵狐者？
51.328         1531025944.0    这个好玩
51.35          1530978730.0    这个换弹才吊
51.481         1531024906.0    本体
51.525         1530969220.0    没手感
51.748         1531062917.0    很好了有创意
51.824         1531145402.0    这后坐力需要手感？
51.871         1531058549.0    什么jb玩意
52.083         1531114302.0    人机简单吧
52.419         1531019402.0    大哥们这是人机
52.61          1531147392.0    我想看第三视角
53.536         1531111581.0    估计也后还会出雷神―刀锋
53.57          1530966171.0    出个堕天使的也不错啊😄
53.764         1530976478.0    药丸的节奏
53.89          1531058175.0    出来了必搞一把
53.891         1531033558.0    肮脏的py交易
53.982         1531045124.0    BGM是什么？
53.985         1531150871.0    CF不就是虚拟游戏吗？讲那么真实干嘛
54.255         1531162723.0    Jojo
54.292         1530964798.0    卧槽好可爱，我要买
54.646         1531117672.0    你们都忘了当初的火线
54.994         1531103859.0    忽然感觉自己也是被人托着打的。。
55.026         1530977054.0    全程右上角加一
55.694         1531057803.0    刀锋是实体
55.75          1531128391.0    不露枪口
55.767         1531023285.0    惊了，被人机干掉
55.831         1531008136.0    代丶打严重
56.134         1531128381.0    弹夹可以后期英雄武器加成
56.253         1531115361.0    官方代打-.-
56.284         1530974256.0    第三人称
56.563         1531135332.0    副武器吧
56.663         1531218218.0    代打
56.76          1530966704.0    创意不错啊只是娱乐属性居多而已
57.567         1531035058.0    我想要的是右上角的妹子
57.8           1531066713.0    然后每个任务轮流初m4 ak awm da
57.961         1530973040.0    贪玩火线。。
57.968         1530974631.0    实锤代打
58.001         1531081058.0    吃鸡玩多了现在不开镜直接开枪看着好难受
58.175         1531116103.0    巨卡哇伊啊
58.304         1530973706.0    求BGM
58.424         1531142787.0    摸菊花，换弹夹
58.545         1530982698.0    我真心喜欢！
58.769         1531015707.0    代打（滑稽）
59.001         1531042583.0    扔了会怎样
59.455         1531014741.0    这是人机
60.238         1530974463.0    第三人称游戏了解一下
60.27          1531022882.0    强行第三人称
60.724         1530987869.0    有没有别的角色的
60.86          1530977895.0    爆头战吗
61.356         1531043809.0    刀锋都出了肯定有灵狐者
61.61          1530974409.0    人机啊，说dada
62.469         1531091052.0    额😓
62.655         1531034746.0    换弹好评
62.952         1530973931.0    出个灵狐就好了
63.411         1531051796.0    呢万一再出一把小雷神...
63.538         1531008248.0    BGM以为电话响了
63.895         1531143885.0    迷你手枪
64.19          1530974424.0    说代丶打的玩过没
64.391         1530968528.0    这个换弹表示喜欢唉
64.714         1531061955.0    灵狐不是早出了么   手雷啊
65.38          1531141547.0    按下G键肯定有趣
65.516         1531154381.0    火麒麟刀锋8888
65.538         1531019930.0    腾讯果然有世界上最好的武器皮肤设计师
65.995         1530984573.0    第三人称射击游戏
66.004         1531098432.0    用刀锋角色
