作品名称：中日韩三国天气预报女主播 三种不同的风格，你pick哪一位？
网址：https://www.bilibili.com/video/av26324552
更新时间：07-11
弹幕总量：988
preciseTime    ofTime          comment
0.598          1531214410.0    小孩子才做选择，像我这种成年人当然是都要
0.785          1531285687.0    小学生才做选择题
0.942          1531229079.0    韩国:全国有雨，啊不，是全宇宙有雨
0.974          1531133744.0    韩国天气预报：今日全国有雨。
1.052          1531300310.0    吱付宝首页搜索“86OO14”同九何秀
2.317          1531132899.0    ？
2.719          1531141737.0    ？
3.384          1531136043.0    ？
3.709          1531216683.0    这里是UP主:视频被举报了，申诉成功后评论就被关了。
4.012          1531203456.0    !!!
4.119          1531130001.0    达成成就 b站看天气预报
4.365          1531141320.0    可耻的播放量，估计是冲封面来的，我也是
4.88           1531232885.0    当然是从小看到大的不老女神啦
4.96           1531147468.0    我全都要
5.068          1531124738.0    UP猪你没看台湾的真是OUT了
5.2            1531228952.0    你让我pick又不让我发评论………
5.552          1531132101.0    播放量？
5.614          1531141100.0    ?
5.841          1531123515.0    中国，下一个
6.624          1531199088.0    这还用说，当然不老女神啦
6.752          1531127780.0    吞吞吐吐
6.861          1531219970.0    我喜欢拉美的
7.052          1531228674.0    好多年不看天气预报，这个开头真的美
7.141          1531132347.0    当然是喜欢我大天朝的啦
7.192          1531126819.0    全国有雨
7.331          1531142698.0    哪个穿丝袜我选哪个。
7.411          1531230039.0    我选择日本
7.45           1531137839.0    ？
7.563          1531209653.0    不看都知道 肯定韩国啊 敢穿是最美的
7.611          1531197321.0    成就达成 [ 在b站看天气预报 ] 
7.684          1531134174.0    我全都要
7.968          1531123184.0    哇，已经4年没看过这个开头了，好怀念
8.141          1531224459.0    我全都有，jpg
8.174          1531124772.0    欢迎观看，乐色系列
8.238          1531141564.0    评论区？
8.501          1531141050.0    今天全国下雨，局部有暴雨
8.518          1531175824.0    评论区关闭？
8.563          1531134172.0    取这个标题又不能评论，为了怎加弹幕？？？
9.181          1531215250.0    我全都要
9.507          1531185954.0    强强这是无敌。
9.52           1531196930.0    菊部有血
9.794          1531220381.0    评论怎么关了？
10.163         1531124656.0    韩国基本都说大部分有雨
10.197         1531211035.0    标准片头
10.336         1531193922.0    投票
10.349         1531212258.0    冻龄女神也是他们能比的？
10.535         1531130118.0    韩国：今天全国有雨，天气预报就到这里了
10.561         1531227010.0    韩国
10.697         1531192092.0    不老女神
10.711         1531215154.0    杨丹
10.864         1531132989.0    评论区关闭？
