作品名称：初中男生通宵玩“吃鸡”突然倒地，全身抽搐口吐白沫
网址：https://www.bilibili.com/video/av26326412
更新时间：07-10
弹幕总量：293
preciseTime    ofTime          comment
0.028          1531199242.0    1016秀的一批
0.113          1531139834.0    快舔包
0.173          1531131416.0    注意，我就是1016楼，不要再浪费时间翻下来了，这都是群戏精
0.178          1531154907.0    1016楼大赞
0.218          1531139806.0    那些人说他是玩吃鸡导致晕倒的
0.219          1531141593.0    我要去其他视频刷1016报复社会
0.258          1531141372.0    @1016楼
0.259          1531131432.0    注意，我就是1016楼，不要再浪费时间翻下来了，这都是群戏精
0.315          1531143594.0    欢迎收看今日啰法
0.339          1531141427.0    和我一起说口号：1016楼大赞（滑稽）
0.383          1531131887.0    简称猝死
0.398          1531141869.0    胡说，1614楼更赞
0.419          1531142255.0    1016的一起打到1614
0.461          1531140089.0    鬼火认真看
0.504          1531141895.0    1614楼大赞
0.54           1531136206.0    我吃鸡一晚上胃疼
0.564          1531154943.0    1016楼的戏精好可怕
0.61           1531141928.0    1614的哥们们挺啊
0.631          1531137576.0    注意，我就是1016楼，不要再浪费时间翻下来了，这都是群戏精
0.662          1531141640.0    我去nm 撞衫了 真特么的
0.7            1531142275.0    支持
0.709          1531131287.0    注意，我就是1016楼，不要在浪费时间翻下来了，好几个哥们别骗的
0.71           1531154959.0    1016楼的戏精好可怕
0.796          1531142004.0    1614楼大赞
0.816          1531154919.0    1016楼大赞
0.876          1531142289.0    1016
0.929          1531145545.0    舔包现场
0.976          1531142280.0    1614
0.996          1531141625.0    去其他视频刷1016楼报复社会
1.062          1531142020.0    支持1614楼
1.121          1531142305.0    1016
1.144          1531142317.0    1016
1.307          1531137554.0    注意，我就是1016楼，不要再浪费时间翻下来了，这都是群戏精
1.439          1531139854.0    快扶我一下，别愣着啊
1.446          1531154990.0     1016
1.456          1531142297.0    1614
1.482          1531127723.0    卧槽他那同学跟我同款衣服
1.485          1531127764.0    吓死了，我身体从小有病，我再也不熬夜玩游戏了
1.561          1531129637.0    1016楼的评论好可怕啊
1.597          1531189162.0    看来吃鸡也要被带节奏了
1.64           1531136079.0    我还以为看到我班的同学
1.652          1531133428.0    你可以通宵好几天，但是不吃东西，你是坚持不了的
1.902          1531133695.0    我们那的小网吧什么年龄段的都有
2.11           1531141882.0    支持1614楼
2.121          1531137947.0    在洛阳
2.123          1531142036.0    1614
2.427          1531141990.0    支持1614楼
2.451          1531130096.0    这些弹幕都是11016楼发的
2.606          1531145323.0    在现场
2.722          1531142682.0    怎么看出吐白沫
2.754          1531142267.0    1016大赞
2.803          1531134732.0    赶紧拉一下啊，二倒
2.88           1531141208.0    1016楼好口怕（滑稽）
2.924          1531127959.0    死亡笔记的BGM啊！好激动
2.943          1531131786.0    bgm死亡笔记的
2.996          1531140195.0    1016楼有惊喜
3.027          1531131945.0    顺便说一句，这些弹幕不是我发的↑
3.078          1531138917.0    好了，现在吃鸡也要2小时限制了，都怪这些小屁孩。没事熬什么夜。自己怎么死都不知道。
3.291          1531154975.0    1016给了你们多少钱
3.346          1531154887.0    给1016楼点赞
3.543          1531142044.0    1614点赞👍
3.848          1531137564.0    注意，我就是1016楼，不要再浪费时间翻下来了，这都是群戏精
3.874          1531131445.0    注意，我就是1016楼，不要再浪费时间翻下来了，这都是群戏精
4.308          1531192702.0    562楼真滴秀啊
4.483          1531147406.0    同学：快点起来，有空投。
4.698          1531156303.0    在现场
4.802          1531127212.0    放暑假啦。你懂的
4.903          1531133814.0    在现场
5.424          1531137741.0    刘鹏，你怎么了？
5.725          1531132485.0    拉不起来了  准备成盒子了
6.057          1531137570.0    注意，我就是1016楼，不要再浪费时间翻下来了，这都是群戏精
6.282          1531131091.0    大吉大利，今晚吃鸡
7.109          1531142330.0    支持1614
7.551          1531138280.0    弱小的人类
7.824          1531130924.0    过几天回有人告腾讯了
8.359          1531143576.0    吃鸡背锅 顺便封杀steam美滋滋
8.408          1531129111.0    我一般就是两点睡，习惯了
9.123          1531142699.0    为什么没120
9.195          1531142039.0    当场去世
