作品名称：【哲♂学原创曲】Boy Next Door
网址：https://www.bilibili.com/video/av26327977
更新时间：07-12
弹幕总量：2292
preciseTime    ofTime          comment
0.0            1531257522.0    百万助攻
0.15           1531212838.0    昨天看时36w今天就54w了
0.18           1531204126.0    以男魂为主的高潮部分可以刷怒涛男魂吧。。。
0.233          1531211037.0    火钳刘明
0.265          1531324006.0    兄弟们，刷出b站的
0.285          1531365851.0    吱福报 搜520301915 和VAN♂一样 ♂壮
0.298          1531288550.0    王，你看见了吗？
0.304          1531203970.0    前排提示：怒涛男魂不等于弱子
0.367          1531200209.0    Dark♂圣我知道你在看
0.423          1531371850.0    我董星河今天就要无敌了！
0.452          1531354659.0    请不要刷姓名和祝福！！！
0.453          1531324844.0    许愿我的科目全及格
0.465          1531389427.0    我是前面那个
0.472          1531210347.0    建议0.75循环！非常好听！
0.589          1531286330.0    百van♂助攻
0.71           1531194482.0    全站第一了666
0.731          1531311190.0    欢迎回来
0.765          1531315123.0    我祁海阳今天要与王共舞
0.805          1531196041.0    ♂♂♂♂♂♂♂♂♂♂
0.939          1531364349.0    1.5倍新世界
1.008          1531219754.0    0.5旧世纪
1.064          1531209533.0    标准开头
1.109          1531226739.0    张善雨，我知道你会来的
1.184          1531372999.0    我董星河祁海阳今天就要与王共舞
1.218          1531223980.0    欢迎回来欢迎回来欢迎回来欢迎回来
1.285          1531292050.0    我又回来了
1.352          1531193835.0    恭喜您发现镇站之宝
1.409          1531326851.0    播放被b站压死了，不然早破百万
1.469          1531386246.0    我Asho今天就要撸死在这里！ 我Asho今天就要撸死在这里！
1.471          1531203743.0    弹幕被清了
1.517          1531198446.0    真♂舌转风暴
1.577          1531302013.0    推荐1.5
1.676          1531211643.0    欢迎回来
1.724          1531275382.0    这尼玛是音乐曲的热门第一2333
1.729          1531295618.0    赞美之心
1.761          1531360923.0    千万预定！！！
1.929          1531296620.0    2倍超强
2.0            1531357607.0    [337,205,"1-1",4.5,"van之吐舌",0,0,337,205,500,0,1,"SimHei",true]
2.065          1531246020.0    愿王保佑我今天或明天出成绩能拿高分
2.104          1531292061.0    结尾见♂
2.252          1531242979.0    凌晨一点半再听十遍！
2.278          1531291991.0    ♂
2.288          1531321205.0    明天考试，王  祝我成功！
2.334          1531192659.0    欢迎回来
2.506          1531365362.0    中考查成绩了王赐予我力量
2.763          1531324857.0    除了语文
2.765          1531295491.0    恭喜你发现了镇站之宝
2.809          1531376241.0    播放多少已经不重要了。希望b站不要把放假君这神作删除了(･∀･)
2.824          1531372596.0    啦咯啦咯啦咯
2.915          1531361995.0    播放被压死了，不然早破百万
2.966          1531316043.0    四刷
2.986          1531371715.0    每日一刷
3.099          1531274462.0    木吉鬼步今又响，党的大树在成长。奈何王已随风去，世上再无幻想乡
3.168          1531284914.0    这个电音是up原创的，这就是原曲哦
3.231          1531361840.0    百万助攻
3.3            1531241399.0    放假君牛逼
3.392          1531363964.0    每日一遍
3.424          1531315170.0    我祁海阳今天要与王共舞
3.483          1531197619.0    最后一遍
3.487          1531300911.0    每日百次
3.498          1531360630.0     战术饶舌
3.573          1531202945.0    💃💃💃💃💃💃💃
3.582          1531319485.0    我董星河今天就要投入王的怀抱
3.586          1531364859.0    镇站之宝！
3.878          1531218776.0    愿哲学与你同在！
3.88           1531204110.0    拔剑吧，音乐区
3.886          1531290790.0    高产
3.921          1531375500.0    王住院我
3.948          1531213628.0    看看别人放假干了什么！
3.955          1531375319.0    放假君牛逼
4.048          1531329593.0    百万助攻
4.183          1531197760.0    又来了
