作品名称：直面自己的黑历史
网址：https://www.bilibili.com/video/av26330588
更新时间：07-10
弹幕总量：1455
preciseTime    ofTime          comment
0.08           1531205199.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.358          1530957741.0    看成心理变态了很多的点赞。。。
2.243          1531133880.0    都是观众，请理性食用，愉悦上网，开心肥宅
3.942          1530951084.0    你看水军把UP主逼成什么样
4.189          1530954222.0    你是谁
4.851          1530960566.0    理（解省略）
5.473          1530974732.0    没救了，这样靠抄袭还
5.516          1530956914.0    看前先投币，赚他一个亿！
5.929          1530955785.0    高产
6.181          1530956769.0    半藏你换了吗
6.276          1530954653.0    前
6.378          1531102143.0    怎么这么容易就被黑粉带节奏
6.966          1531019619.0    网游渣渣
7.105          1530976300.0    知乎？现在网上有几个干净
7.288          1530957800.0    支持！
7.519          1530978589.0    明明是更早之前吧···春节前就有了
8.099          1530953582.0    不会不会每个人都是人
8.24           1530980832.0    解呢？？？？？？？？？？？
8.465          1530955920.0    删前留名
8.481          1531139386.0    弹幕看黑粉如何蹦跶 有趣 有趣
8.763          1531223609.0    11
8.914          1530970504.0    抱歉，我看了
9.454          1530979710.0    李姐万岁
10.617         1530956743.0    优酷时代的人
12.983         1530950442.0    第一u
13.046         1531134183.0    楼主开始疯狂删楼
13.485         1530957827.0    成了
13.675         1531019631.0    我看了
14.721         1531028665.0    up主加油＾０＾~
15.154         1530950491.0    -v-!!
15.333         1531111614.0    可以啊
16.132         1530964265.0    意思是必须得dssq才有名气
16.14          1530950505.0    没人？
16.742         1530960937.0    但是你做到了
16.884         1530978000.0    惨
17.068         1530951228.0    这么快又更新了
19.85          1530959471.0    我从来不理黑子，我只相信自己的判断
21.511         1530958167.0    史xx 就是在当年看砖家的时候知道的hhhh
22.814         1530954198.0    贾斯汀布布
23.306         1531029159.0    先投币
23.367         1530952895.0    居然还有人记得砖家啊
24.092         1530961501.0    砖家 好怀念啊
24.24          1530975417.0    别人不敢做的233
24.57          1530970335.0    卧槽居然是看过砖家的
24.579         1531015689.0    嗯~~~
25.08          1531019649.0    因为已经凉了
25.657         1530960993.0    前八万~~~~~~~~~~~~
26.048         1530959911.0    砖家，好怀念
26.891         1531111626.0    顶up主
27.401         1531055593.0    ？？？
29.846         1530975510.0    纯黑超时空BOSS又卡怪了
30.492         1530958247.0    砖家突然就没了  可惜呀
30.714         1530968379.0    少爷；？？？？？
31.04          1530968841.0    砖家是很久以前的了
31.225         1530989882.0    纯白超时空来cd奶爸奶妈
31.631         1530963932.0    看我刷出来了什么
34.318         1531133691.0    emmmmmm
35.766         1530957516.0    因为他看透了
36.99          1530971223.0    先投币在看
37.337         1530980385.0    纯白超时空快进啊
38.122         1530975480.0    超时空？？？
38.413         1530977616.0    砖家，好怀念啊
38.6           1530951827.0    纯白超时空的等等我(ಡωಡ)
39.52          1530950212.0    恶魔之魂
41.531         1530959387.0    纯黑？
41.641         1530958224.0    前面超时空的等等我
42.087         1530954605.0    我是萌新，嘿嘿嘿
42.744         1530952205.0    没找到你说的这部
