排名：57
网址：https://www.bilibili.com/video/av26340521
更新时间：07-21
弹幕总量：3740
preciseTime    ofTime          comment
0.0            1531984846.0    666666666666666666666666
0.031          1531299830.0    高能预警
0.083          1531832768.0    老刁我爱你
0.09           1531829675.0    国服增幅王/国服征服王
0.092          1531829640.0    上电视啦，套你猴子
0.1            1532014072.0    许愿意大利炮，虽然我知道这愿望不灵。
0.116          1531228618.0    6666666666
0.13           1531920634.0    欢迎回来
0.131          1531500397.0    说真的
0.159          1531833191.0    老吊欢迎你
0.167          1531780650.0    请收下我的膝盖
0.182          1531829890.0    宝哥我套你猴子
0.196          1531832859.0    旭旭宝宝我就知道你会来
0.229          1531911744.0    鸨哥鸨哥 ！
0.247          1531833235.0    老吊欢迎你
0.261          1531378436.0    莫名感动
0.265          1531230735.0    800w勇士何在！！
0.286          1531283271.0    再来一遍
0.292          1531227598.0    许愿万世荣光肩甲氤氲之息
0.3            1531216030.0    宝哥，我套你猴子
0.308          1531829635.0    老吊来了！
0.317          1531379411.0    这段传奇有我的名字
0.341          1531575653.0    1.25倍强烈推荐
0.361          1531973126.0    百万助攻
0.367          1531832756.0    宝哥你好
0.391          1531832844.0    老掉你真棒！
0.412          1531918848.0    欢迎回来
0.423          1531621399.0    1.25你值得拥有
0.425          1531316525.0    欢迎回来
0.453          1531209084.0    董林杰我就知道你回来！！！
0.455          1531829613.0    老吊我知道你要来
0.472          1531363686.0    2.0我能听一年
0.498          1531888929.0    套你猴子的，老吊我就知道你回来
0.508          1531368024.0    1.5倍超爽
0.511          1531832728.0    老吊我知道你会来的
0.516          1531829829.0    游侠旭套你猴子！
0.534          1531476104.0    许愿上元节上衣
0.546          1531887858.0    欢迎回来
0.553          1531832872.0    宝哥  我爱你  许愿韩茜茜
0.559          1531654692.0    每天必看三次，不然不舒服！
0.562          1531832861.0    我套你猴子。
0.567          1531906528.0    支咐宝首頁捜索“86OO14”可带劲了
0.575          1531832850.0    老吊来啦
0.584          1531229955.0    老diao我们就在这等着你
0.591          1532073434.0    欢迎回来
0.598          1532031950.0    支咐宝首頁捜索“86OO14”这么刺激吗
0.599          1531218149.0    老吊，我知道你会来
0.604          1531155053.0    再来一遍！
0.621          1531832740.0    我就知道你会来
0.623          1531996397.0    日常一遍！！
0.629          1531903409.0    猪猪终于更新了，大爱。再看一遍
0.634          1531215620.0    老吊，我知道你会来的!
0.649          1531292243.0    yo猪妈更新了
0.653          1531184211.0    1.5倍真好听
0.658          1531154510.0    发现镇战之宝
0.665          1531516852.0    何家劲我知道你会来的
0.671          1531362672.0    出不去了
0.674          1531581312.0    一天不听浑身难受
0.678          1531184668.0    DNF人才济济
0.717          1531238019.0    我套你猴子哦
0.718          1531213175.0    上wegame热门啦
0.728          1531829609.0    我觉得你们在等宝哥
0.76           1531559166.0    欢迎回来
0.761          1531380534.0    没错，我又回来了。233
0.792          1531632360.0    我又回来了
0.798          1531752979.0    我又回来啦
0.82           1531832740.0    99999你个老吊
0.822          1531746364.0    许愿妖刀
0.834          1531243855.0    许愿时光鞋，万世
0.842          1531832793.0    99999你个老吊
0.86           1531833086.0    UP放心吧，老吊看过了
0.868          1531829620.0    老刁我就知道你会来
0.873          1531221226.0    我又回来了
0.891          1531190641.0    欢迎回来
0.898          1531381942.0    wegame传送门
0.899          1531189655.0    宝哥kou我
0.908          1531225171.0    吱付宝搜索513421732，真不用谢我
0.923          1531832758.0    等宝哥来
0.932          1531539986.0    没看过的快走，走啊！不然你一定会后悔哒！！！！
0.949          1531829725.0    套你猴子！
0.971          1531421835.0    睡前来听安神曲。
0.973          1531580393.0    每日一刷
0.998          1531388631.0    老叼我知道你回来！
1.0            1531276527.0    WE首页警告！
1.02           1531310092.0    每日必看
1.022          1531981335.0    开头见的来了
1.031          1531832784.0    呦 大马猴来了
1.054          1531383099.0    每日一刷
1.059          1531731480.0    欢迎回来
1.069          1531227298.0    再来一遍
1.07           1531833115.0    老刁我知道你会来的
1.094          1531829883.0    宝哥，我知道你会来
1.11           1531277352.0    许愿氤氲之息
1.118          1531832762.0    老吊我知道你会来的 ！！！
1.123          1531188103.0    老吊
1.152          1531829659.0    老吊我知道你会来的
1.159          1531387111.0    何家劲我知道你会来的
1.188          1531812711.0    新人快跑 你还有机会
1.191          1531832863.0    宝哥来看了啊
1.194          1531290157.0    大概第二十遍吧
1.21           1531891659.0    小哥哥网恋么我葛平音
1.221          1531654881.0    百万助攻
1.226          1531263949.0    666666666666666666
1.228          1531766898.0    sonm
1.232          1531829648.0    老吊我套你猴子
1.236          1531279709.0    许愿万事腰带
1.252          1532074520.0    欢迎回来
1.271          1531904418.0    求女装   许愿女装
1.278          1531289456.0    就知道你会回来
1.283          1531223600.0    老吊
1.293          1531832802.0    宝哥我要上电视啦啦啦(ﾉ｀⊿´)ﾉ
1.299          1531329699.0    何家劲我知道你会来的
1.303          1531284555.0    我又来了
1.312          1531280870.0    许愿波利斯的黄金杯
1.313          1531442357.0    新人快走这不是你该来的地方
1.333          1531721541.0    我又回来了
1.373          1531832690.0    我就知道你会来
1.374          1531280282.0    许愿上元节贴边长裙，上元节五彩上衣
1.398          1531243873.0    播放量暴涨啊！我刚看的时候才一万
