作品名称：十个loli九个富，还有一个住别墅
网址：https://www.bilibili.com/video/av26342236
更新时间：07-12
弹幕总量：385
preciseTime    ofTime          comment
0.0            1531217047.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.371          1531122511.0    这是b站签约主播：绝望地狱的魔王烧酒
0.417          1531123753.0    应该是魔王
0.536          1531128751.0    告辞
0.576          1531181291.0    樱桃小丸子
0.988          1531079689.0    这腿我能舔一年
0.997          1531329729.0    这一个就够了，当然了再小十岁更好
1.154          1531127148.0    我金鸿能今天就要鲁死在这里
1.34           1531161145.0    第三遍，我徐化冰今天一定得出来
1.405          1531123802.0    应该是她，但是她怎么这么矮
1.515          1531321550.0    魔王哇哇哇哇哇哇
1.524          1531278825.0    我原野今天就要撸死在这里
1.635          1531126179.0    是活的，没错是活的
1.643          1531160612.0    我一进来就完了
1.696          1531128381.0    多少钱
1.766          1531299076.0    我王真香今天要撸死在这里
1.9            1531126484.0    可耻的播放量
2.103          1531187355.0    说什么滤镜化妆的，真做作，你拍照原相机还不化妆？难怪没对象
2.271          1531116455.0    那啥 我好了，先走一步，你们继续
2.302          1531130040.0    这个我能整整干。。一杯
2.313          1531159582.0    这个绝对有三十，看脸
2.484          1531158775.0    咋感觉这么恶心呢
2.825          1531130562.0    双腿分开这么大空真的没问题吗？
3.308          1531122028.0    这是谁
3.662          1531191648.0    男的女的
3.863          1531210220.0    樱桃小丸子?
4.044          1531124910.0    大腦袋
4.479          1531135766.0    日渐消瘦
4.503          1531159067.0    果然是魔王啊！
4.821          1531182101.0    这可耻的播放量
4.889          1531321570.0    麻仓优？？？
5.04           1531132385.0    好像看到康娜
5.154          1531320032.0    我弄完事了 你们继续看先走了
5.965          1531386609.0    男孩子?
6.03           1531129727.0    呃呃呃呃呃呃呃
6.088          1531186899.0    这是男的吧
6.454          1531125938.0    这是b站up主
6.478          1531121561.0    现在才六秒你已经好了？你怕是身体有问题哦
6.68           1531132731.0    蜜汁↑凸起
7.074          1531377499.0    这个好刺激
7.43           1531321842.0    挖槽过
7.48           1531159497.0    这个有三十了吧
7.616          1531131152.0    活的？？？
7.928          1531131784.0    各位兄台我先走一步，咱们狱中再见
