作品名称：【C菌】爆笑! 最傻缺吃鸡模拟器【智障游戏合集  第45期】
网址：https://www.bilibili.com/video/av26342654
更新时间：07-12
弹幕总量：3806
preciseTime    ofTime          comment
0.0            1531226637.0    cc第几美？
0.067          1531227997.0    三天前！！
0.1            1531353552.0    欢乐水牛
0.41           1531192921.0    终于更新了，失终人口回归
0.499          1531366836.0    失踪人口回归
0.76           1531118831.0    c菌你短了
0.974          1531124487.0    c菌蓝：我爱CC
1.412          1531046655.0    cccccccc
1.482          1531111201.0    来了
1.598          1531057409.0    有生之年。。
1.626          1531114576.0    刷到c菌真不简单
1.68           1531189248.0    欢迎回来
1.834          1531269660.0    失踪人口回归
1.84           1531050954.0    请收下我的膝盖
1.948          1531219620.0    吱付宝搜索513421732，真不用谢我
2.048          1531290227.0    终于！！！
2.125          1531372970.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
2.459          1531359261.0    人生最爱是C菌
2.739          1531060653.0    我以为cc忘记了智障合集
2.76           1531103680.0    有生之年系列
2.919          1531109471.0    超级斗罗
2.978          1531204936.0    刀比枪牛逼系列
3.001          1531098971.0    爷爷，你关注的up主终于发智障游戏合集了。
3.475          1531124296.0    混合马里奥
3.681          1531323890.0    失踪人口回归
3.779          1531321714.0    I love you cc
3.869          1531051445.0    赶上啦！！！！
3.921          1531130751.0    有生之年
3.978          1531326961.0    表白模拟人生
4.087          1531128107.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
4.14           1531257018.0    ccccccc
4.178          1531150588.0    失踪人口回归！！
4.218          1531135662.0    gta！！！！
4.413          1531126266.0    失踪人口回归
4.612          1531141024.0    肾透支c菌
4.64           1531296744.0    更新了！！！
4.693          1531068056.0    终于更新了！
4.739          1531378473.0    啊啊啊啊啊啊啊 终于放假了
4.949          1531110137.0    wow
5.017          1531133674.0    sm
5.036          1531284094.0    有生之年
5.038          1531186098.0    66666
5.12           1531318178.0    终于答完题了！纪念第一发弹幕！
5.14           1531392442.0    失踪人口回归
5.275          1531326938.0    啊啊啊M4
5.319          1531138649.0    终于等到你~
5.386          1531056277.0    我来了！
5.48           1531110230.0    终于更新了
5.514          1531356396.0    还以为绿字是AV号，原来是广告，滚犊子！
5.619          1531229632.0    失踪人口回归
5.743          1531129578.0    我存了半年你敢信???
5.79           1531232432.0    这是模拟人生4的穿模吧
5.798          1531136384.0    我花了二十三买了
5.841          1531377675.0    c菌怎么短了
5.9            1531359447.0    哇⊙∀⊙！
5.92           1531317557.0    c菌
6.22           1531151374.0    失踪人口回归
6.28           1531118969.0    有生之年
6.321          1531228297.0    更新啦！
6.437          1531140246.0    来啦啊
6.458          1531193209.0    竟然更了，给cc加鸡腿(⑉°з°)-♡
6.638          1531047297.0    有生之年
6.661          1531047763.0    前排表白我家cc～
6.758          1531184208.0    好短啊
6.776          1531054764.0    终于更新了
6.9            1531146280.0    cc我来啦
6.929          1531124505.0    啊啊啊！C菌
7.119          1531143248.0    大家收藏了解一下
7.338          1531313151.0    人来！
7.4            1531114816.0    。。。
7.424          1531329965.0    有生之年
7.447          1531065081.0    45???
7.48           1531126369.0    有生之年
7.525          1531106763.0    嘤嘤嘤
7.598          1531323163.0    开头的bgm是什么
7.841          1531227891.0    失踪人口回归
7.859          1531117028.0    cc我来了!!!
7.955          1531111454.0    C菌牛啤
7.957          1531135616.0    终于更新了！！！！！！
8.003          1531327193.0    失踪人口回归。。。。
8.021          1531247526.0    不管啥  先投币
8.318          1531120743.0    哇这bgm
8.339          1531355931.0    承包c菌。
8.399          1531139576.0    鬼看条
8.448          1531080943.0    我今天终于知道了这个op是p4g里的！！
8.499          1531123921.0    CC
8.516          1531140867.0    你复活了？
8.581          1531056252.0    这天cc终于想起了她的b站账号
8.609          1531046978.0    失踪人口回归
8.663          1531152699.0    等了好久！！！
8.695          1531140094.0    开心
8.762          1531148014.0    刚从cc直播间过来
8.959          1531153976.0    这次的合集好短quq
9.08           1531059010.0    这个超好玩、
9.1            1531327133.0    看我刷到了什么
9.378          1531128308.0    啊啊啊啊啊  CC终于更新了
9.399          1531135405.0    越来越短了。。。
9.441          1531064317.0    啊啊啊啊啊
9.52           1531228598.0    233
9.544          1531283735.0    终于更新了！！！！！！！！！
9.662          1531052792.0    失踪人口回归
9.707          1531098118.0    我看过那个是章鱼奶爸。
9.851          1531102094.0    虽然你很厉害，但是我点关注一下给你要耗费我2％的力量，相当于半碗米饭🍚，500粒大米，那500粒大米还需要耗费30％的力气来煮。所以我的评论不是白给的。
9.881          1531281742.0    失踪人口回归
9.898          1531132609.0    失踪人口回归！！！
9.961          1531118660.0    c君今天真短
10.17          1531326275.0    看我发现了什么
10.28          1531284096.0    失踪人口回归！！！！！
10.301         1531128930.0    回归了
10.311         1531103054.0    终于更新了TAT
10.397         1531050436.0    犹抱琵琶半遮面
10.52          1531139957.0    ？？？更新了？！泪目
10.62          1531381358.0    persona 4 bgm
10.86          1531121982.0    c菌！
11.496         1531110190.0    愉 悦
11.899         1531202641.0    失踪人口回归
11.963         1531114876.0    爷爷你关注的up终于更新了    8102年又见面了
12.153         1531191460.0    瞧瞧我找到了什么宝贝
12.306         1531233452.0    嘿嘿
12.419         1531146659.0    看到我关上3000的大门
12.517         1531084584.0    ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
12.623         1531109792.0    失踪人口回归！！！！！！
12.701         1531046679.0    失踪人口回归
12.838         1531129058.0    终于等到你，还好我没放弃
12.912         1531142140.0    哇！
13.225         1531196371.0    失踪人口
13.238         1531173733.0    居然打上马赛克了!!!!好久没看什么时候的事
13.379         1531113414.0    偷税
13.499         1531056732.0    智障合集竟然还在更新啊
13.568         1531201583.0    我也都忘了
13.704         1531230989.0    终于看到更新了我的天
13.908         1531209748.0    有生之年
14.226         1531374510.0    欢乐水牛cccccccccccc
14.513         1531235931.0    有生之年😲
14.558         1531222145.0    打码了
14.78          1531064830.0    我们来学猫叫（鬼畜区的挑衅）
14.791         1531121930.0    1
15.104         1531073151.0    失踪人口回归
15.578         1531159140.0    终于更了！
15.908         1531146899.0    吃鸡
15.964         1531113529.0    有生之年
16.084         1531268024.0    失踪人口回归
16.576         1531093800.0    哇
16.679         1531133336.0    终于更了
16.693         1531196264.0    @逗川墨鱼……
16.904         1531139094.0    别怪cc 号是我盗的有什么事冲我来
17.061         1531064034.0    两千人正在看
17.12          1531310642.0    失踪人口回归
17.285         1531353992.0    cc你终于回来了
18.059         1531110432.0    对，这游戏我玩过，章鱼奶爸，气的我把鼠标从五楼丢下了一楼
18.097         1531084590.0    cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
18.432         1531199953.0    失踪人口回归
18.44          1531105204.0    失踪人口
18.54          1531236405.0    老番茄最好别给我更新了！！！
18.688         1531107836.0    终于更啦！
19.019         1531127397.0    这么前吗？
19.081         1531196570.0    怎么感觉CC的声音有点沙哑
19.259         1531110665.0    现在弹幕好少
19.394         1531122252.0    可以评论啦
19.776         1531144087.0    失踪人口回归，
20.081         1531123281.0    尽然刷到C菌了
20.108         1531321413.0    失踪人口回归！
20.48          1531319797.0    等你好久
20.542         1531098151.0    p4
20.585         1531283243.0    失踪人口回归啊啊啊啊
20.641         1531061220.0    2333
20.649         1531373429.0    _(:з)∠)_感动
20.74          1531113547.0    有生之年
20.821         1531228618.0    终于
20.83          1531112064.0    灵性
21.04          1531220564.0    前几天看cc玩生化危机
21.201         1531103937.0    1964个人你们好啊
21.862         1531296129.0    激动\(≧▽≦)/
21.961         1531047316.0    C菌
22.037         1531064266.0    啦啦啦
22.194         1531147154.0    有生之年
22.281         1531051900.0    左边我玩过！色秦！
22.33          1531054720.0    怎么打码啦
22.867         1531099110.0    woc最左边那个
23.052         1531150031.0    MD，终于更了
23.076         1531192930.0    模拟山羊！！！
23.124         1531117984.0    第一个是格斗游戏，别问我为什么知道
23.233         1531136874.0    之前的视频都没有马赛克的是不是审核过不去了？一定有问题（柯南般的推理
23.54          1531132448.0    与布丁酱一起洗澡！
23.655         1531084595.0    ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
23.799         1531138548.0    简单的大冒险系列
23.821         1531113875.0    第一个。。。。布丁酱
23.882         1531384514.0    最左是什么游戏
24.49          1531164618.0    我都初中毕业了，C菌终于更新
24.699         1531354168.0    真的流弊
24.901         1531068743.0    爱你
25.42          1531129467.0    滚出我电脑
25.828         1531146590.0    卧槽
25.98          1531047363.0    有生之年
26.197         1531152494.0    P4BGM
26.208         1531152450.0    四欠最喜欢玩这种破游戏
26.259         1531058553.0    打码了啊
26.641         1531105884.0    终于等到你了
26.708         1531051969.0    有生之年
26.9           1531115807.0    蜜汁马赛克
27.52          1531115970.0    ha
27.818         1531264597.0    欢迎回来
28.499         1531095238.0    300000
29.298         1531084601.0    cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
29.483         1531111682.0    人类一败涂地
29.515         1531130428.0    即插即用啊!!!
30.14          1531204352.0    cc我老婆哼
30.259         1531111108.0    没弹幕讲究
30.432         1531109810.0    8265人观看
30.523         1531069598.0    怎么开始有马赛克了
30.554         1531139503.0    哈哈哈哈哈嗝
30.841         1531139535.0    卧槽这声音，转粉！关注！
30.9           1531123710.0    66.5W还好
30.942         1531062279.0    好少啊
31.161         1531110421.0    和班尼福特一起攻克难关
31.465         1531110250.0    模拟山羊哈哈哈
31.668         1531203775.0    两万了啊啊啊啊啊啊
32.159         1531230213.0    打码？
32.259         1531366915.0    98万算不晚吧
32.36          1531144711.0    偷偷抱走cc老婆，应该没人看见
32.947         1531186126.0    66666
33.026         1531230303.0    cc终于发智障合集了
33.194         1531142856.0    一切都是命运石之门的选择
33.224         1531055745.0    失踪人口回归
33.578         1531131397.0    啦啦啦
33.667         1531146997.0    来迟一天
33.792         1531050136.0    11
34.122         1531127693.0    世界线变动了
34.129         1531198228.0    石头桌面好评
34.794         1531150960.0    肾透支C君
34.884         1531193019.0    我今天生日！！！！
34.947         1531111507.0    前方打脸高能
35.033         1531084606.0    ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
35.157         1531053024.0    来啦
35.199         1531110736.0    命运石之门
35.219         1531272609.0    什么是op啊
35.242         1531232608.0    石头门？
35.327         1531077397.0    弹丸？！
35.496         1531103365.0    失踪人口
35.532         1531128315.0    表白C菌！！！！！❤
35.636         1531116487.0    我想和c谈对象
35.699         1531370973.0    ccc
35.77          1531145511.0    玩过
36.0           1531126406.0    你还知道回来
