作品名称：ç”¨ä¸€å�¥è¯�æ�¥å½¢å®¹ä½ ç�°åœ¨æœ‰å¤šç©·ï¼Ÿå¦¹å­�ä¸€å¼€å�£ï¼Œå°±ç»™è·ªäº†
网址：https://www.bilibili.com/video/av26346685
更新时间：07-11
弹幕总量：494
preciseTime    ofTime          comment
0.311          1531213069.0    表白bgm！！！！
0.48           1531118607.0    表白BGM
0.634          1531293339.0    表白我果的口哨
0.732          1531022072.0    表白基因宝
0.911          1531013530.0    表白前奏kkkk
1.109          1531075016.0    看美女
1.12           1531243570.0    表白bgm。嘻嘻
1.44           1531120933.0    嘤嘤嘤
1.601          1531210636.0    穷的吃吊
1.621          1531021907.0    我连恋爱都谈不起了
1.671          1531248453.0    我又来看这个妹纸了🌚
1.88           1531222678.0    bgm
1.889          1531224160.0    我现在一袖清风不再走一片云彩。毕竟云彩也要钱。
1.902          1531283198.0    bgm 防弹少年团的DNA
2.192          1531216962.0    表白我弹爹，基因宝
2.294          1531022940.0    嫖娼都嫖不起了
2.389          1531219615.0    现在的女生不欠马爸爸钱已经不错咯  还存款。。。
2.422          1531281113.0    穷的只能买栋别墅了
2.564          1531302299.0    表白DNA
2.571          1531296192.0    哇哇哇！一进来这么惊喜吗！！！我弹爹啊  表白BGM!
2.874          1531022968.0    求bgm
3.171          1531237630.0    哦吼吼！基因宝
3.202          1531018164.0    表白bgm
3.254          1531014352.0    无意点进来前奏吓我一跳
3.351          1531296072.0    我现在究竟有多穷，一句话收拾去世的了，估计连那个钱我都没有。
3.571          1531116923.0    世界杯全买德国了
3.812          1531126218.0    BGM好评
3.862          1531243616.0    背景音乐赞
3.954          1531220932.0    我弹的DNA！！！
3.97           1531120901.0    穷的已经怀疑人生了(ಥ_ಥ)
4.0            1531283660.0    BGM！！
4.2            1531285506.0    腰缠万贯的我。。穷得只剩下钱
4.254          1531124547.0    防弹防弹防弹
4.295          1531024191.0    表白防弹
4.42           1531023037.0    拉屎拉一半 怕饿得快
4.513          1531307171.0    表白BGM
4.532          1531045959.0    表白bgm
4.63           1531124275.0    为什么我要进来看这个
4.674          1531020286.0    表白BGM
4.694          1531012875.0    穷到手机没电怀里揣着一毛钱流浪在广州的街头到处问路人借钱坐公交回宿舍算吗π_π
5.144          1531298030.0    二狗子！
5.19           1531227753.0    我的TT都洗了好几遍了
5.238          1531234910.0    表白bgm防弹
5.284          1531019279.0    表白全团！DNA
5.314          1531113537.0    表白bgm我弹爹
5.407          1531249563.0    这两周见过最大的面额是10元
5.694          1531024464.0    表白bgm
5.732          1531305148.0    祖国人别说自己穷 丢国家的脸  我们要说我们点烟都用美元
5.8            1531236694.0    BGM：防弹少年团-DNA
5.899          1531025193.0    表白BGM
5.967          1531236730.0    第一个妹子是斗鱼主播
6.213          1531019302.0    表白BGM
6.232          1531024608.0    DNA
6.354          1531123275.0    表白基因宝
6.474          1531022004.0    所以这里是成都么
6.57           1531284883.0    穷的姨妈巾还要洗的用
6.599          1531249560.0    身无长物
6.669          1531120937.0    嘤嘤嘤
7.294          1531121937.0    DNA!
7.38           1531231273.0    穷病治不好
7.444          1531072022.0    家里有矿 
7.555          1531119699.0    表白基因宝
7.634          1531121007.0    穷到捡瓦楞纸擦屁股，
7.641          1531226224.0    穷的我连穷人的快乐都想象不到了
7.716          1531121143.0    表白DNA
7.97           1531235060.0    感觉有点像我一同学
8.054          1531025468.0    吃土
8.101          1531230096.0    第一个我老婆
8.11           1531105381.0    空空如也
8.147          1531231829.0    我的兰博基尼无法继续续费了～
8.552          1531219541.0    一块钱以上活动别叫我
8.6            1531116876.0    表白
8.659          1531015395.0    这个妹子是我的，高调承包
8.845          1531012078.0    湖南妹子
8.855          1531262818.0    鲸鱼？？？？？
8.908          1531242657.0    穷到零钱只够买个苹果X……
8.951          1531227555.0    长沙五一广场
8.993          1531140202.0    我已经进化到光合作用了
9.044          1531119273.0    这山根垫的
9.052          1531217727.0    你洗过避孕套吗
9.161          1531227027.0    突然想起那个鼻骨鉴定
9.25           1531239061.0    有整过
9.431          1531018578.0    卧槽bgm 是dna啊啊啊
9.457          1531116886.0    表白bgm
9.575          1531018460.0    防弹呀
9.593          1531012978.0    穷到底裤穿几个窿啊唉
9.773          1531090196.0    我拉屎只敢拉一半，全拉了肚子饿
9.789          1531235023.0    还是喜欢看这个妹子
9.791          1531014110.0    斗鱼见过她
9.825          1531221264.0    买葡萄牙了
9.831          1531303647.0    能带我去吃前天的晚饭吗？
9.927          1531016323.0    这不是斗鱼主播嘛 鲸鱼啥来着
9.932          1531126103.0    不用形容，长得就很像
10.016         1531296185.0    妹纸来找我吧 我养你…
10.104         1531023166.0    雅思?
10.274         1531121154.0    这鼻子做的
10.422         1531281053.0    整容整的没钱了
10.471         1531019129.0    这个很漂亮，笑的也很好看
10.604         1531022185.0    突然防弹
10.689         1531226927.0    表示可以接受↓
10.747         1531302167.0    吱付宝首页搜索“86OO14”只能帮你到这了
10.913         1531123415.0    姨妈已来不起
10.954         1531016136.0    这个妹子在斗鱼直播，叫鲸鱼欧尼
11.034         1531220195.0    我现在是拿别人手机看的
11.074         1531218675.0     女：看我脸！我刚整完容，你说我现在穷不穷！
11.514         1531211745.0    女盆友都没有，我真穷
11.554         1531014275.0    表白防弹少年团
11.61          1531239939.0    原本想叫只鸡，现在连做鸭的心都有了
11.676         1531117650.0    鯨鱼欧尼？
12.004         1531220972.0    每天在吃金针菇
12.746         1531115828.0    老子穷的只剩下钱了
12.886         1531185539.0    布粘布
13.345         1531103633.0    这妹子好好看啊
13.439         1531308381.0    这妹子好美
13.553         1531227677.0    一句话：一次五十，包夜两百
13.719         1531023959.0    别开腔，自己人
13.737         1531017403.0    胖蛋
14.225         1531073190.0    穷得只剩千里。
14.233         1531019806.0    春……春夏?
14.507         1531116420.0    表白开场曲
14.511         1531116965.0    全买德国，欲哭无泪
14.62          1531113424.0    衣不蔽体
14.794         1531017454.0    有点像李艺彤
14.93          1531018790.0    长沙
15.052         1531235845.0    长沙无误
15.11          1531223795.0    谁来解决我的温饱问题！
15.441         1531299161.0    啊啊好可爱的小姐姐！！！
15.473         1531232322.0    先回答下，这个采访你们要收钱吗？
15.714         1531013748.0    有点漂亮
16.113         1531238498.0    跟我吧 我偷电车养你啊
16.161         1531019390.0    你洗过卫生巾吗
16.211         1531277482.0    郑州关虎屯！
16.381         1531281148.0    郑爽
16.492         1531265710.0    斗鱼鲸鱼欧尼
16.973         1531025548.0    鼻子好明显……
17.022         1531104576.0    整鼻子了
17.917         1531227926.0    笑声可爱
17.952         1531112853.0    穷胸
18.1           1531121061.0    这个鼻子假
