作品名称：医生说腐乳加鱼干闻上去是腐尸味？那么吃上去是什么味道呢？
网址：https://www.bilibili.com/video/av26349115
更新时间：07-10
弹幕总量：985
preciseTime    ofTime          comment
0.214          1531029650.0    死神之子
0.297          1530975512.0    前排前排上香
0.415          1530975616.0    火钳刘明
0.521          1530981727.0    稍微靠前了一点……吧
0.535          1531040996.0    此影视不建议在吃饭时观看!
0.778          1531130437.0    1
1.261          1531025858.0    。。
1.894          1531042098.0    2299
2.357          1531012645.0    封面唯美
3.393          1531129781.0    日常表白敬汉卿
3.815          1530976466.0    真好看！
4.045          1531020829.0    社会
4.046          1530982611.0    。
4.058          1531019747.0    哇
4.157          1531050446.0    我想榨汁机了
4.529          1530979228.0    呵呵
4.714          1530978605.0    538！
4.98           1531043749.0    FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
5.587          1531011814.0    3
5.614          1531026496.0    处刑曲？？？！！！！！？？？
5.65           1530980931.0    我刚从吃鸡比赛来
6.316          1531064302.0    游戏王！！！
6.38           1531071227.0    广州+1
6.539          1530979709.0    看到我你就已经是10万以后了
6.818          1531020420.0    同上
7.543          1531070512.0    表白bgm
7.767          1531199476.0    嘤嘤嘤
7.875          1531098711.0    终于可以低端了
8.124          1531063723.0    腐乳挺好吃的
8.137          1530976876.0    来了来了
8.142          1530982289.0    深度？！探讨？？！！
8.231          1531062569.0    游戏王bgm好评！
8.324          1531155604.0    衣服好评
8.379          1531189519.0    我的回合
8.387          1530977655.0    10w
8.476          1530985259.0    222
8.625          1531043683.0    深度♂探讨
8.914          1531044773.0    深♂度
8.961          1531116829.0    游戏王
9.537          1531061552.0    游戏王
10.085         1531055537.0    17.3万
10.4           1531033040.0    深度♂谈讨
10.436         1531020979.0    情侣去死↓
10.465         1531150100.0    ♂♂♂
10.674         1531038010.0    又是你
10.938         1530976630.0    啧啧
11.096         1531101955.0    情侣：蛇拳警告
11.414         1531116839.0    我吃东西看
11.452         1531015045.0    嘤嘤嘤
11.457         1530977324.0    有多深♂啊
11.495         1531057197.0    处刑曲
11.585         1531023982.0    这是一个有味道的视频
12.032         1531024682.0    我回来了！！！！
12.148         1530989928.0    不是所有
12.157         1531016468.0    深度？多深？负几？
12.332         1531013141.0    可怕
12.436         1531036851.0    探♂讨
12.842         1531061564.0    游戏王什么鬼
12.917         1530978573.0    情侣去死
12.969         1531130666.0    表示mi8已经适配b站了
12.987         1531044281.0    衣服好评
13.083         1531130217.0    游戏王的插曲
13.196         1530977154.0    学医救不了敬汉卿
13.385         1531153845.0    来自单身狗的愤怒呀
13.418         1531117120.0    学医救不了中国人
13.449         1531009633.0    wera[ajrklfjsfsgd
13.499         1530980948.0    深度   的探讨
14.612         1531007718.0    12.7W
14.996         1530980541.0    我的回合，抽卡
15.494         1530987797.0    又是这件衣服
15.579         1530981722.0    学医的来了
15.718         1531189539.0    抽牌
15.936         1531217350.0    敬汉卿
15.939         1531139818.0    榨汁机快跑
16.078         1531007143.0    看见封面就进来了
16.174         1531144219.0    咸呀。。。
16.256         1531062122.0    死神之子
16.413         1530986353.0    123
16.606         1531036397.0    买块肉放在塑料袋里放在阳光不是强烈的地方2天就会得到了
16.636         1530994449.0    衣服哪买的，我也想买一件
16.854         1531021637.0    14.3w
16.887         1531032672.0    死神之子
17.049         1531149406.0    我居然可以输入弹幕了
17.336         1531012292.0    妈耶
17.357         1530984378.0    哇！游戏王的BGM,好评！
17.557         1531093983.0    游戏王
17.716         1531055712.0    看衣服，up是单身
17.916         1531049175.0    腐尸刚开始腐烂的时候是有脂肪的甜腥味
18.599         1531025054.0    游戏王开头？
18.875         1530989939.0    ，
19.076         1531029754.0    腐乳没啥特殊的气味吧。。。隔近了闻才有点臭。。
19.17          1531043288.0    我大F团
19.436         1531098736.0    爽啊！
19.636         1530978656.0    坏掉的鱼的味道
21.101         1531222230.0    府丝的味道
21.715         1531053823.0    衣服好评
21.788         1531027163.0    fs
21.937         1531008226.0    致命哥快跑
22.418         1530975662.0    不好意思，我们，不用腐尸
22.497         1530985644.0    看见我就是11万后了
22.715         1530982586.0    直接找化学系的小伙伴合成尸胺不就好了233333
22.836         1531021483.0    看到我你已经是2000+了
23.037         1531115950.0    你之前爱穿那件白色T恤 现在又改成穿这件了？
23.312         1531074220.0    一个有味道的视频
23.314         1531019775.0    woc我在吃早饭
23.457         1531014350.0    我好像闻到了味道了！
23.661         1530997758.0    同无锡老一辈
24.212         1531050083.0    枣子加香蕉。
24.592         1531140015.0    腐si
24.678         1531126499.0    一个是俘虏
24.85          1531055107.0    腐乳很好次的!
25.078         1531091869.0    小伙伴是白鼠?
25.196         1531045321.0    俘虏
25.279         1531065232.0    香蕉加冬枣啊
25.78          1531022315.0    情侣什么？
25.883         1530975670.0    阳江的等等我
26.176         1530980582.0    我使用王二狗直接攻击
26.377         1531015234.0    无法直视腐乳了以后
26.384         1530975879.0    为什么没弹幕,手机坏了吗
26.476         1531144659.0    俘虏
26.752         1531058356.0    医生说的？
