作品名称：（特效向）猫和老鼠：皇室♂战争
网址：https://www.bilibili.com/video/av26361648
更新时间：07-12
弹幕总量：1099
preciseTime    ofTime          comment
0.0            1531203265.0    欧了
0.179          1531306085.0    欢迎回来
0.298          1531245344.0    欢迎回来╮(￣▽￣)╭
0.519          1531194633.0    这就高大上了呀
0.804          1531226658.0    封面在9：20
1.718          1531236779.0    saber插件
2.73           1531233478.0    祝贺鬼畜排行榜第一！
2.993          1531236018.0    233恩33
3.579          1531190126.0    部落冲突
4.321          1531306075.0    欢迎回来
4.398          1531195895.0    火钳刘明
4.418          1531321097.0    每日一看
4.867          1531205396.0    呃呃呃
5.802          1531238305.0    该来的总要来的
6.964          1531218268.0    ♂
7.92           1531193714.0    May the force be with you
8.261          1531200392.0    这个开头好廉价233
9.025          1531202281.0    牛逼
9.448          1531230537.0    哦豁
9.621          1531286241.0    梁非凡
9.996          1531323821.0    1001
10.162         1531200474.0    墨白上第一啦！！
11.768         1531234504.0    没那么你呢
11.799         1531240340.0    开口跪！
11.946         1531189775.0    再看一遍
12.129         1531230596.0    ？
12.158         1531228699.0    23333333
12.252         1531218349.0    吔屎啦♂
12.772         1531191231.0    可以
13.55          1531234916.0    酷
14.959         1531297576.0    哈哈哈
14.999         1531190516.0    开口脆
15.316         1531187699.0    吔屎拉梁非凡
15.451         1531227308.0    这个慢放笑死我了
15.656         1531201620.0    6666666
15.678         1531228710.0    23333333
15.976         1531187724.0    蓝字君施工
16.287         1531235065.0    火钳刘明
16.59          1531310428.0    1000条弹幕
16.837         1531201894.0    开口笑
16.881         1531234836.0    _(눈_눈」∠)_开口跪
17.141         1531201863.0    2333333
17.278         1531195911.0    这个皮
18.257         1531206425.0    我要艸你啊
18.408         1531243589.0    还来！
18.431         1531187733.0    蓝字君施工
18.61          1531233348.0    还行。。。。。
19.388         1531235075.0    hhhhhhhhhhhhhhhhhhhhhhhhhhhhh
19.438         1531228718.0    233333333333
19.626         1531194454.0    标准开头
20.14          1531192956.0    0
20.556         1531235901.0    优秀
21.119         1531231693.0    哇，好多人
21.139         1531215490.0    艸
21.271         1531220857.0    233
22.159         1531241870.0    等等，这不是去幼儿园的车！快放我下车！
22.177         1531392638.0    部落冲突:特效战争
22.638         1531201630.0    痛死
22.811         1531190041.0    火钳刘明
23.256         1531203290.0    毁童年
23.537         1531236536.0    火钳刘明
23.652         1531239297.0    真的是特效唉！！！闪闪发光呢
24.13          1531207172.0    猫是液体
26.624         1531207554.0    666
27.014         1531391928.0    万能的英语
27.333         1531196208.0    万能嘤语
27.369         1531265298.0    这头像让我想起来四欠
28.224         1531282699.0    怎么砸都不傻？你忘了那集汤姆被砸头转性老鼠那集？（滑稽）
29.013         1531381397.0    从创世开始的开头
29.078         1531198313.0    万能英语
31.36          1531392661.0    部落冲突:特效战争
32.513         1531247659.0    万能嘤语系列
32.899         1531216922.0    笑的我肚子疼mmp
33.024         1531281242.0    因为它本身就傻
33.216         1531201502.0    万能的英语
33.299         1531264337.0    因为已经够傻了
33.58          1531337172.0    van能英语
34.485         1531298774.0    B站已经没有正常的猫和老鼠了。。。。。。
35.319         1531221216.0    火钳刘明
35.753         1531221257.0    233
36.042         1531281947.0    66666666666
36.299         1531229231.0    ??????????????
37.397         1531235094.0    hhhhhhhhhhhhhhhhhhhhhhhhhhh
40.141         1531205542.0    等等这是海绵宝宝吧????
40.684         1531201396.0    超萎男猫
41.158         1531190116.0    可以的
41.555         1531202333.0    社会社会
42.286         1531236005.0    超威蓝猫
43.064         1531229238.0    ?????????????
43.095         1531324265.0    ?????????
43.63          1531228769.0    12级钢琴师汤姆
43.686         1531199174.0    6666
43.699         1531233222.0    精神污染
44.673         1531216484.0    saber
44.799         1531265347.0    草萎揽帽
45.479         1531230890.0    火钳刘明
46.099         1531208065.0    6666666
46.517         1531191299.0    万能英国历史
46.984         1531241818.0    被这句洗脑了。。。
47.525         1531205576.0    没有我汤姆不会弹的曲子
48.143         1531224197.0    妙啊，妙啊！
48.245         1531214546.0    66666666
48.259         1531227650.0    火钳刘明
48.283         1531226918.0    优秀优秀
49.112         1531192855.0    233333333
49.788         1531230637.0    弹幕呢
50.392         1531199374.0    优秀
50.558         1531195954.0    陈独秀你坐下
50.946         1531226189.0    emmmmm有个调不对
51.004         1531236359.0    水军多得有点恶心。。
51.249         1531236001.0    跪献硬币
51.692         1531192048.0    同样是九年义务教育为何你如此优秀
51.79          1531387527.0    蒂花之秀！
51.941         1531196245.0    新皆怪
52.041         1531201466.0    好看不火系列
52.245         1531201898.0    优秀
52.438         1531263629.0    优秀
52.499         1531202874.0    优秀
52.608         1531207218.0    优秀
52.906         1531191143.0    符号化
53.281         1531189790.0    同样是九年义务教育，UP为何如此优秀
53.619         1531214866.0    毁童年
53.95          1531235109.0    新怪！！！
54.121         1531206486.0    我家狮子呢
54.132         1531230624.0    6666
54.194         1531228072.0    第一次看的就是B站的猫和老鼠
54.415         1531368683.0    明明什么都没说可是我还是笑了hhhhhhh
54.696         1531205398.0    都是腰间盘为何你如此突出
54.71          1531199477.0    优秀
55.376         1531188286.0    优，秀
56.037         1531217112.0    66666666
56.526         1531206968.0    好怀念的画风啊
56.612         1531192719.0    皇室战争？
57.169         1531196908.0    秀
57.563         1531197047.0    火钳刘明
57.59          1531191847.0    优秀
57.811         1531206888.0    火钳刘明
57.9           1531237620.0    优秀
58.081         1531217880.0    23333333
58.14          1531233876.0    皇帝的睡眠
58.372         1531187890.0    火钳刘明
58.73          1531281970.0    厉害厉害
59.052         1531236006.0    nb
59.284         1531191107.0    天才
59.888         1531229255.0    一脸懵逼
60.979         1531188653.0    火钳刘明
60.98          1531196897.0    火钳刘明
61.015         1531323558.0    这集超搞笑的
61.94          1531190080.0    新人都是怪物还行
62.109         1531228681.0    啊啊啊啊～
62.118         1531188873.0    关注了
62.19          1531227437.0    目  力  皇  帝
62.518         1531231291.0    恶臭皇帝
62.976         1531200450.0    火钳刘明
62.98          1531251417.0    火钳刘明
63.0           1531239345.0    这集我看过。现在还回忆的起来
63.008         1531196356.0    火钳刘明
63.187         1531233064.0    新人都是怪物，老人都是怪兽
63.361         1531282081.0    火钳刘明
63.758         1531192002.0    火钳刘明
63.84          1531197073.0    路易十六
64.14          1531208465.0    火钳刘明
64.225         1531200130.0    这集我看过g胖很惨
64.629         1531199503.0    火钳刘明
64.715         1531193401.0    6666666
64.744         1531217354.0    优秀
64.943         1531196278.0    优秀
65.179         1531222759.0    火钳刘明
65.247         1531198769.0    优秀
65.343         1531192906.0    火钳刘明
65.355         1531191330.0    妙
65.541         1531202455.0    火钳刘明
65.748         1531197339.0    火钳刘明
66.106         1531201684.0    666666
66.123         1531200890.0    优秀
66.366         1531187790.0    van
66.641         1531286561.0    已火刘明
66.738         1531223192.0    【蓝蓝路】使用【偷窃】
67.055         1531194493.0    火钳刘明
67.28          1531198675.0    233333333
67.42          1531223218.0    优秀
67.481         1531223963.0    火钳刘明
67.498         1531192766.0    人才
67.524         1531377350.0    啊~哦~!
67.555         1531224275.0    啊啊啊啊啊啊啊啊啊
67.667         1531187809.0    葛平:钻出来一个光头
67.766         1531206280.0    太好看了吧哈哈哈哈哈
67.823         1531368022.0    耳机福利
68.381         1531197621.0    火钳刘明
68.68          1531236991.0    火钳刘明
69.474         1531204310.0    火钳刘明
69.627         1531187821.0    裸体围裙
70.121         1531187823.0    德国boy:嘿嘿嘿嘿
70.749         1531202907.0    火钳刘明
71.356         1531281982.0    啊♂
71.4           1531292959.0    沟通
71.44          1531197030.0    这集我居然看过
72.833         1531200900.0    2333333333333
72.9           1531197633.0    火钳刘明
72.93          1531207176.0    火钳刘明
74.153         1531233873.0    火钳刘明
74.859         1531289723.0    火钳刘明
75.08          1531203240.0    在首页看到的诶，已经火了
75.201         1531217897.0    恭喜你获得【B站观看猫和老鼠】
75.621         1531199335.0    nbnbnb
75.734         1531192882.0    火钳刘明
76.066         1531239796.0    H                                                               
77.034         1531227917.0    2333333
77.061         1531239095.0    表示老版的都看过
77.161         1531203352.0    你大屁股内置了光头
77.331         1531187844.0    成龙:Duang
77.349         1531220264.0    不是光头啊
77.812         1531224689.0    画质感人
77.946         1531212411.0    火钳刘明
78.154         1531230987.0    火力流氓
79.054         1531201792.0    what the hell you doing
79.657         1531187868.0    吔屎啦梁非凡
79.967         1531207184.0    火钳刘明
79.97          1531208081.0    佐仓绫音观光团
80.362         1531223178.0    火钳刘明
80.47          1531321860.0    卧槽！
80.83          1531187876.0    我要艸
81.247         1531247709.0    up主是以后干大事的人
82.098         1531187191.0    不就是硬币么
82.594         1531222987.0    火钳刘明
82.631         1531198174.0    火钳刘明
82.695         1531286882.0    23333
83.004         1531316832.0    啊！乖乖♂站好
83.667         1531187888.0    比利王:阿
83.882         1531236826.0    火钳刘明
84.456         1531240501.0    火钳刘明
84.51          1531339430.0    233
85.999         1531207198.0    火钳刘明
86.137         1531209015.0    不就是硬币么，我给
86.199         1531234891.0    就我注意，这两老鼠穿的是阿迪达斯吗
86.986         1531370973.0    艸
89.856         1531221520.0    艸
90.764         1531223234.0    【小光头】使用【狡辩】 蒙混过关
91.04          1531243670.0    中配！？
91.111         1531390370.0    花Q
91.573         1531228932.0    来自〈人工智障爱酱〉的花Q
92.241         1531282792.0    只有我听到一声花♂Q吗
92.275         1531228536.0    国配差评
92.335         1531378966.0    三叶草还行
92.36          1531237512.0    摸ass说头?
92.947         1531187906.0    花q
92.977         1531199447.0    秘籍：摔头腚疼之术
93.438         1531222184.0    摸摸屁股，我伤到头了
95.123         1531362845.0    我们九年义务教育，可能人家还上补习班
95.273         1531187917.0    花q
96.4           1531220744.0    giao!!!!!!
96.573         1531231467.0    国配差评
96.638         1531194342.0    花Q
96.8           1531220685.0    爱酱!
98.628         1531195836.0    同样都是腰间盘，为何up你如此突出
100.422        1531222741.0    车车风
100.96         1531223265.0    一个光头
101.096        1531227187.0    dio
101.889        1531363313.0    奶酪上大下小
102.052        1531204123.0    3D音效吓到我了
103.442        1531223209.0    康哪吃掉
103.801        1531208105.0    bias
105.548        1531320883.0    可以去看看【病名为hop】
105.72         1531222061.0    金克拉——
106.175        1531363367.0    这奶酪又变成了上小下大
106.581        1531195749.0    艸
107.262        1531187944.0    某电影:你mb的
108.04         1531236613.0    毫无PS痕迹
110.889        1531187994.0    什么鬼？what
111.931        1531208113.0    金坷垃
111.99         1531229057.0    国王掺了金坷垃，脸变紫，当场死亡
112.995        1531223292.0    【小光头】使用【意大利克拉】对【国王】造成巨额伤害
113.72         1531203391.0    完了
114.771        1531188007.0    吔屎啦
116.739        1531224275.0    吔屎勒
117.674        1531297780.0    当场去世
117.794        1531223327.0    【国王】生命 -1 -1 -1
117.964        1531234706.0    灭霸是你吗
118.574        1531199297.0    核爆神曲的预感
119.501        1531203413.0    要炸了😖
119.848        1531228175.0    scp-173（杰克）
121.898        1531196769.0    SCP-173扭断了你的脖子
122.916        1531306275.0    ↓＋1
123.047        1531225558.0    Rest In Peace
123.776        1531214158.0    @scp-173
123.978        1531187885.0    233333
124.732        1531227555.0    才看一分钟笑了五分钟
125.44         1531203324.0    scp173woc
125.671        1531208039.0    路易十六世就是这样死的
126.601        1531217949.0    恭喜你获得称号【在B战观看猫和老鼠】恭喜你获得成就【在B站观看猫和老鼠童心不老】
126.991        1531196159.0    233
127.212        1531282038.0    炸裂
128.619        1531199233.0    SCP哈哈
129.92         1531198742.0    233333333
130.836        1531188031.0    van
130.965        1531192937.0    233333333333
131.242        1531226668.0    Van了
131.27         1531243739.0    啊♂～～～～
134.681        1531331688.0    233333333333333
136.233        1531188048.0    魔男
136.466        1531228696.0    Requiescat in pace谢谢,R.I.P是拉丁文。
139.229        1531205595.0    国王塔被激活了
