作品名称：深山秘制叫花猪尾巴，这种做法，真是绝了
网址：https://www.bilibili.com/video/av26365126
更新时间：07-11
弹幕总量：1204
preciseTime    ofTime          comment
0.0            1531214631.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.841          1531062986.0    万物即可叫花
0.986          1531046332.0    都表白六月的雨？那我表白胡歌大大！
1.812          1531066080.0    哇六月的雨啊啊啊啊啊
2.033          1531068329.0    啊啊啊六月的雨！仙一啊！！
2.324          1531131745.0    看什么看 没见过猪肉还没见过猪跑么
2.62           1531076435.0    有多少人是深夜点开这个视频
2.622          1531074314.0    逍遥哥哥，你给的种子发芽了，今天就做猪尾巴吧！
3.41           1531052470.0    大人5.16出现
4.002          1531146228.0    半夜找死
4.257          1531065153.0    表白我胡
4.301          1531052687.0    吃泡面看视频
4.316          1531052676.0    我擦啊啊啊啊啊啊啊啊老公的歌！！！！！！！！！！！啊啊啊啊
4.33           1531049144.0    六月的雨，无胡歌，不仙剑
4.399          1531060536.0    仙剑一  童年啊  讲究人(´▽`ʃƪ)
5.021          1531052201.0    我男神的歌
5.12           1531057952.0    我是来看那位大人的，仅此而已
5.17           1531217109.0    我老胡啊
5.431          1531056244.0    表白bgm
5.432          1531179799.0    绝了
5.737          1531236614.0    表白BGM
6.249          1531062941.0    六月的雨好评
6.54           1531055929.0    bgm好评
6.676          1531299148.0    表白bgm
7.159          1531142869.0    大人他不说不想来
7.199          1531054209.0    六月的雨！
7.294          1531306042.0    胡歌
7.476          1531048568.0    66666
7.781          1531059234.0    bgm好评
7.785          1531215072.0    逍遥哥哥！
7.887          1531121624.0    我家老胡！
8.04           1531142688.0    BGM童年的回忆
8.269          1531125736.0    大师我来了！
8.294          1531101204.0    古月哥欠
8.317          1531116095.0    26.5w后
8.5            1531305434.0    bgm好评
8.641          1531138821.0    表白bgm
8.724          1531071599.0    逍遥哥哥
8.751          1531210248.0    想哭的bgm
8.773          1531128239.0    表白我胡
8.869          1531227555.0    吃饱来的2333
8.959          1531058685.0    感觉吃过好几次猪尾巴了
8.992          1531262066.0    山药绿了
8.994          1531143593.0    六月的雨
9.086          1531142412.0    表白BGM
9.088          1531157961.0    表白我胡
9.101          1531067657.0    啊……古月哥欠
9.56           1531059287.0    bgm好评
9.662          1531221348.0    Bgm好评
9.701          1531056955.0    bgm
9.918          1531067410.0    bgm好评！！！
10.039         1531121414.0    六月的雨把我炸出来了
10.178         1531145882.0    胡歌胡歌
10.199         1531266879.0    童年
10.26          1531075711.0    提前好湿
10.341         1531117036.0    bgm无敌了
10.355         1531052737.0    老胡！！！！
10.371         1531146726.0    表白BGM
10.399         1531304196.0    山药不愧是四川的，全四川都在下雨
10.407         1531106129.0    表白老胡！！！！
10.482         1531065033.0    提前好湿
10.517         1531063761.0    bgm满分
10.719         1531051770.0    提前战术雷碧
10.749         1531230313.0    胡歌！！！
10.819         1531136460.0    好湿好湿！
10.848         1531150292.0    BGM好评
11.198         1531062196.0    胡歌胡歌我的爱
11.217         1531269068.0    露脸！！！
11.22          1531060471.0    表白BGM!
11.599         1531065462.0    仙剑～
11.688         1531148695.0    胡歌～
11.698         1531122307.0    我擦，六月的雨
11.7           1531272263.0    如厕中
11.803         1531057452.0    猪尾巴
12.005         1531116223.0    胡歌胡歌胡歌胡歌胡歌胡歌胡歌
12.217         1531071141.0    现在是七月了好吧(*ﾟﾛﾟ)!!  放什么六月的雨  *٩(๑´∀`๑)ง*
12.301         1531136722.0    BGM炸我出来
12.308         1531052468.0    怀念我的灵儿…
12.397         1531139224.0    同在厕所
12.545         1531227712.0    我歌哥的歌
12.583         1531095649.0    六月的雨，老胡阿
12.719         1531159456.0    表白bgm
12.833         1531135691.0    厕所的+1
12.875         1531210942.0    好吧
12.954         1531144687.0    我胡歌
12.972         1531054562.0    六月的雨！！！！
13.068         1531066093.0    桥震
13.307         1531069222.0    哇
13.777         1531055972.0    啊啊！仙剑啊！
13.799         1531048693.0    啊啊啊啊啊啊啊啊bgm回忆杀
14.484         1531151951.0    走位非一般的骚
14.566         1531148527.0    无胡歌不逍遥
14.637         1531307477.0    啊。。。。
14.644         1531157114.0    老胡的歌
14.697         1531195475.0    老泪纵横
15.14          1531103296.0    表白胡歌
15.22          1531269859.0    这bgm画风不对啊
15.26          1531104244.0    山药帽子没了
15.319         1531130033.0    猪鞭?
15.326         1531104931.0    马飞飞，你怎么跑到这里来了？？？？
15.524         1531144753.0    喜欢bgm
15.531         1531288234.0    当年飞飞游戏的登陆界面好像也是这个bgm
15.748         1531052801.0    截到了
15.869         1531066852.0    BGM炸出来
15.919         1531238003.0    不忍直视
16.346         1531098264.0    那个男人会来吗
16.801         1531056976.0    胡歌声音太好听惹
