排名：67
网址：https://www.bilibili.com/video/av26375742
更新时间：07-21
弹幕总量：2177
preciseTime    ofTime          comment
0.0            1532074218.0    该来的总会来的
0.134          1531144268.0    这是甜的【个屁
0.146          1532066705.0    我错了，我不该进来的。哭成狗
0.15           1531652176.0    每次进来都有三位数的人正在看。。。
0.24           1532155153.0    越看越好看
0.272          1531386205.0    BGM:我好像在哪见过你
0.365          1531232167.0    阿阿阿啊啊
0.493          1531326764.0    第六遍
0.555          1532032937.0    支咐宝首頁捜索“86OO14”真的别谢我
0.578          1532141319.0    哭的头昏
0.663          1532101579.0    神剪辑啊太虐了😭😭😭
0.664          1531201781.0    大型虐粉现场
0.786          1531151233.0    微博来的
0.825          1531741965.0    3 2 1 预备哭😭😭😭
0.873          1531041645.0    恭喜各位！你们发现了巍澜剪辑里最甜的视频（没错，我是你们的朋友，魔鬼。）
0.92           1531893251.0    什么神仙剪辑 这明明是魔鬼剪辑！
0.999          1531193719.0    注意左上歌词
1.152          1531208544.0    从微博过来的
1.188          1532146480.0    新来的，注意歌词，这是神剪辑！！！
1.194          1531371250.0    神仙剪辑！神仙配乐！
1.226          1531038463.0    欢迎回来！
1.348          1531048533.0    我哭了
1.547          1531870528.0    真的看哭了呜呜呜呜
1.644          1531119491.0    来了，第n＋1刷
1.657          1531103142.0    又来了
1.664          1531061207.0    同微博来的
1.665          1531869909.0    居老师北老师这个可以看！没有车！
1.706          1531052752.0    这个真心实意的虐
1.708          1531119119.0    开弹幕再看一遍
1.773          1532165898.0    欢迎回来
1.793          1531113465.0    警告!玻璃心慎点，我已经哭成狗了
1.907          1531870225.0    跪求白老师居老师看完！真的剪辑特别好！
1.944          1531926834.0    神仙……真的是神仙剪辑
1.946          1531118827.0    后面真的虐死了！！！！！！！
2.025          1531879690.0    实名承包老薛
2.114          1531271964.0    一个暴哭！！！！！
2.127          1531061497.0    真是剪的太好了太太
2.152          1531156851.0    阿阿阿啊大半夜的心好痛
2.165          1531047699.0    这个视频太好哭了!!!!
2.175          1531061785.0    为什么要虐我
2.189          1532097552.0    三十年后的一个雪夜，来自六千光年外你的叹息，吹动了我的眼睫。
2.237          1531132826.0    处女币奉上
2.31           1531641513.0    up主你的良心不会痛吗
2.316          1531127088.0    up主你是魔鬼吗暴风哭泣
2.389          1531095472.0    三刷！！！
2.414          1531064781.0    好好看(ಥ_ಥ)
2.518          1531289851.0    这位朋友，如果你点进来，那么恭喜你，这将会是你看过巍澜最最甜的视频🙃
2.541          1531839940.0    从此无法好好听这首歌了
2.542          1531209792.0    每日一虐
2.562          1531039853.0    QAQ画质感人
2.648          1531053326.0    顶上去让所有人一起哭！
2.674          1531677958.0    欢迎回来
2.775          1531039428.0    哭了哭了
2.778          1531824992.0    再来一遍
2.795          1531117964.0    我不允许有人没看过这个视频
3.017          1531037886.0    第五遍了
3.029          1531139083.0    看一次哭一次，还停不下来QAQ
3.046          1531314172.0    每日一刷
3.054          1532168513.0    哭成狗
3.131          1531278681.0    又哭一遍，大大你好狠的心呐
3.191          1531962693.0    我来找哭了
3.309          1531931230.0    先表白一波bgm！！
3.379          1531213969.0    我又来了，第十遍
3.41           1531833892.0    暴风哭泣
3.451          1531972279.0    先表白一下bgm吧
3.498          1531227111.0    微博来
3.548          1531140975.0    五刷走你
3.622          1531151121.0    N
3.63           1531886024.0    优秀
3.647          1531206029.0    我回来了
3.68           1531667102.0    我终于在B站找到这个视频了呜呜呜呜呜呜呜
3.731          1531289867.0    注意歌词，甜吐血
3.754          1531112615.0    膜拜Up主，神仙剪辑
3.78           1531980256.0    甜啊哈哈哈哈
3.906          1531075474.0    虐哭了😭😭😭😭😭
3.921          1531355554.0    我又来找虐了
3.94           1531111665.0    我是来找虐的，再来一遍！！！
3.965          1531642948.0    没得弹幕看一遍，有弹幕又看一遍
4.012          1532004965.0    从2回来虐哭了 会1里找点糖磕(不是)
4.108          1532101174.0    大晚上哭的稀里哗啦，我要这硬币何用！
4.183          1531894093.0    最甜的视频
4.195          1531055035.0    真的太带感了
4.412          1531908385.0    是！我就是被最近过年甜到腻来这中和一下的！
4.504          1531322746.0    看哭了啊！太虐了
4.546          1532137375.0    我又来自虐了😭
4.589          1531237746.0    每天一遍
4.63           1531322400.0    第三遍
4.693          1531057051.0    出不去了
4.733          1531152317.0    居老师北老师！强烈推荐看这个！！
4.865          1531319071.0    看完更新又来找虐了
4.88           1531121065.0    我又来了！！
4.93           1531910203.0    今天的更新说明了本视频是真相··
5.046          1531039607.0    第三遍。。。
5.061          1531038903.0    玻璃心慎点！！我就哭死了
5.078          1532147319.0    n刷
5.09           1531121471.0    卧槽出不去了！！！！
5.166          1531825945.0    每日一刷
5.192          1531156671.0    魔鬼
5.195          1531903685.0    BGM-薛之谦 我好像在哪见过你
5.272          1531886806.0    哭了一遍又一遍，我还是来了
5.333          1532022560.0    我为什么要想不开找虐
5.404          1531267460.0    快难受死了
5.429          1531887666.0    虐哭
5.461          1531037919.0    从微博而来，看完虐到睡不着
5.489          1531149100.0    微博已经几刷了，现在来b站刷
5.528          1531043417.0    提前上演万鬼同哭
5.575          1531185822.0    又刷一遍
5.61           1532140978.0    我又来了
5.698          1531199422.0    神仙呀
5.801          1531087560.0    哭着三刷
5.851          1532105294.0    看完2又来看1了
5.903          1531151155.0    N刷，预备哭
5.973          1531922709.0    既然前面的弹幕如此说了，害怕BE的我先走一步
5.976          1531226399.0    每天一遍
6.001          1531048277.0    一把八百米大刀，心痛，吐血，阿婆主好样的/(ㄒoㄒ)/~~
6.02           1531183074.0    虐死了
6.04           1531131689.0    连刷！
6.067          1532101195.0    心疼沈没人抢QAQ
6.084          1531055273.0    N刷了
6.126          1531879296.0    表白bgm
6.179          1531850685.0    第六遍
6.207          1531037299.0    哭死了我
6.277          1531806423.0    我在里面徘徊数天了
6.296          1531818225.0    我是有病吗，明明知道虐还不想出去
6.309          1532059721.0    表白BGN
6.384          1531285005.0    每天学习前来一遍，要命
6.499          1531103426.0    第一次没看懂，第二次看鸡皮疙瘩落了一地，up是神仙啊
6.503          1531979941.0    啊啊又来找虐了
6.513          1531185445.0    好真实
6.549          1531051846.0    ！！！！！！！！！
6.57           1532052413.0    又又又又来了...
6.577          1531377801.0    又来找虐了
6.586          1531914404.0    好甜啊
6.622          1531240226.0    再来一次
6.666          1531659675.0    找虐，关弹幕看一遍
6.747          1531039183.0    BGM是什么呀？
6.754          1531902581.0    劝你善良
6.765          1532088356.0    表白我谦谦啊啊啊啊
6.766          1531143769.0    N刷
6.801          1532148387.0    这首歌好配剧情啊
6.808          1531642540.0    再来看一遍
6.879          1531805168.0    原来有一种爱情  是插在心上的刀
6.889          1531980058.0    第一个虐哭我的
6.895          1531042292.0    bgm一出我就要哭了
6.914          1531661532.0    心脏疼
6.927          1531748217.0    up主又剪了2，虐死我了
6.948          1531062487.0    我哭了。。。
7.386          1531220421.0    最棒的
7.407          1532087104.0    都给我哭😭
7.432          1531139011.0    一直循环出不来了
7.433          1532142341.0    又来找虐
7.446          1531718663.0    哭的头都要掉
