作品名称：【镇魂】【巍澜】独活轮回梗（灵摆大吏吏客串）
网址：https://www.bilibili.com/video/av26376253
更新时间：07-11
弹幕总量：1023
preciseTime    ofTime          comment
0.0            1531213105.0    镇魂实时更新 加微信pupu1314deai
0.02           1531122626.0    欢迎回来
0.083          1531040971.0    太太是神仙下凡！！！！！
0.085          1531075235.0    喜欢的剧配喜欢的歌
0.341          1531060863.0    居老师 bei老师快来围观呀
0.63           1531036655.0    欢迎回来！
0.682          1531060875.0    微博看完再来这里看一遍！！吹爆巍澜！剪的太好了我的妈啊QAQ
0.698          1531039355.0    我的天哪我要吹爆这个视频！！！
1.024          1531033624.0    泪目了泪目了
1.299          1531059944.0    微博过来再次表白太太
1.413          1531065086.0    微博来的
1.881          1531198705.0    啊啊啊，我爱的2部网剧（镇魂和灵摆）；加上我贯穿了我初中 高中 我纶的独活。。。只会啊啊啊啊了
1.962          1531042997.0    三刷
2.141          1531045792.0    居老师白叔快来看呐
2.376          1531133309.0    剧情烂的已经气得UP自己动手丰衣足食还原原著了
2.511          1531122614.0    欢迎回来
2.848          1531152973.0    1
2.901          1531117865.0    这两天这个视频一直循环看 感谢up主
2.986          1531056526.0    太棒了！还有灵摆！
3.242          1531200630.0    我又回来了
3.449          1531148177.0    第二遍！！！！！
3.459          1531223390.0    我觉得不用叫女鬼了，你们已经升级成地仙了，这也太逆天了，都是神啊
3.56           1531130366.0    欢迎回来
3.605          1531150480.0    UP：请去阿婆主微博转发评论支持吧蟹蟹~
3.732          1531124390.0    哭了
3.754          1531039467.0    qq来的
3.763          1531027252.0    神仙
3.764          1531140470.0    打卡
4.096          1531179692.0    我又来了
4.119          1531111464.0    回来了
4.231          1531212694.0    欢迎回来
4.234          1531144988.0    出不去，今天第十遍@。@
4.413          1531051884.0    滚回来第四遍
4.437          1531136994.0    最爱的两部网剧！
4.473          1531122554.0    帅气
4.64           1531114239.0    先投为敬
4.865          1531122245.0    欢迎回来，剪辑太用心了
5.029          1531043002.0    看哭了
5.033          1531024587.0    好感动(ಥ_ಥ)
5.241          1531112008.0    n刷！
5.28           1531059693.0    我先跪下了
5.339          1531041208.0    为了吏哥
5.748          1531040875.0    快哭了，剪的太好了
6.113          1531041449.0    bgm好评(o^^o)
6.131          1531050645.0     第一遍没看懂来刷第二遍。。。
6.219          1531149318.0    四刷
6.438          1531273865.0    神仙剪辑
6.484          1531047073.0    太太神仙剪辑！！！
6.485          1531068533.0    这MV让我找到原著的影子感动
6.621          1531087495.0    镇魂女孩不容错过!
6.677          1531064456.0    神仙剪辑啊从微博过来 啊啊啊啊
6.76           1531031031.0    阿婆主人才
6.78           1531032441.0    哇，热乎乎的视频
6.799          1531026669.0    微博看完了，这里再来。剪的太好了
6.961          1531027981.0    神仙剪辑
7.082          1531092748.0    二刷！！！
7.178          1531094853.0    居老师，白老师，这个可以看，快来
7.276          1531036082.0    厉害了
7.422          1531188281.0    第三次
7.478          1531140791.0    这个大大是神仙
7.499          1531030942.0    哇!开头忍不住发弹幕!
7.509          1531036550.0    灵魂摆渡拍的算很好了，编剧也挺有想法的
7.552          1531217404.0    邓林之阴初见昆仑君，惊鸿一瞥，乱我心曲。邓林之阴初见昆仑君，惊鸿一瞥，乱我心曲。邓林之阴初见昆仑君，惊鸿一瞥，乱我心曲。邓林之阴初见昆仑君，惊鸿一瞥，乱我心曲。
7.626          1531026685.0    我又来了
7.635          1531062096.0    打卡
7.8            1531026432.0    太厉害了
7.813          1531042623.0    1551好虐
7.912          1531024048.0    这个剪得太好了
8.251          1531059304.0    神仙剪辑
8.253          1531032663.0    强👍
8.448          1531034008.0    最爱的两部网剧
8.533          1531025239.0    微博来贡献弹幕
8.896          1531207205.0    暴风哭泣
9.04           1531029259.0    看过最好的了
9.141          1531062958.0    暴风哭泣
9.191          1531026349.0    厉害了😄
9.22           1531048317.0    此处靴子非常眼熟
9.45           1531035732.0    爆灯！
9.591          1531023132.0    来看神仙剑姬
9.851          1531090133.0    神仙剪辑！
10.094         1531025270.0    二刷
10.132         1531155965.0    n次回刷
10.179         1531113566.0    好看
10.239         1531027604.0    大神
10.28          1531038653.0    来啦
10.625         1531027471.0    微博过来，再刷！剪的太好了(ಥ_ಥ)
10.636         1531046467.0    好厉害
10.741         1531216068.0    回来了
10.76          1531029267.0    哭瞎了
10.951         1531034920.0    从微博过来的
11.197         1531034852.0    也安利一下大家《灵魂摆渡》特别好看，编剧很厉害，灵异神话题材
11.35          1531065158.0    加了灵摆和轮回，算是弥补了网剧和原著之间的缺憾吧
11.437         1531217067.0    好棒！！爆哭！！！
11.605         1531026603.0    爆哭
11.924         1531049635.0    神仙下凡辛苦了！
12.117         1531132130.0    又来了！
12.34          1531058523.0    求bgm！！！
12.372         1531027546.0    太牛了，神作神作
12.651         1531024210.0    生生世世又逢君，神剪辑
12.821         1531028114.0    终于等到b站审核过了
12.97          1531056589.0    编剧如果是小吉祥天该多好
13.056         1531206540.0    这个视频太好哭了
13.66          1531032634.0    微博来啦
14.056         1531059748.0    忍不住一遍一遍的看 越看越难受 还好我知道原著是HE(´；ω；`)
14.24          1531104511.0    bgm好评哈哈哈
14.264         1531027608.0    不知道第几遍了
14.35          1531192912.0    这个真的剪的超好！
14.555         1531286436.0    拜师拜师哈哈哈
14.588         1531082088.0    其他29个人你们好
14.634         1531027181.0    硬币都给你还不行么
14.683         1531063463.0    这个人有点少啊
14.762         1531029848.0    主演灵魂摆渡比较要，审核还没有那么严格吧
14.807         1531151243.0    睡前一刷
15.14          1531029659.0    微博过来
15.196         1531049473.0    emmmm赞
15.216         1531033584.0    太赞了！！
15.407         1531186587.0    交出封面！
15.734         1531201862.0    我不允许有人没看过
15.99          1531037597.0    灵摆也已经被删的七七八八了
15.994         1531194735.0    再来一遍！剪的太好了！
16.411         1531115880.0    神仙剪辑
16.549         1531045439.0    棒！
16.688         1531138790.0    赞赞qwq
16.881         1531055071.0    神仙剪辑！
17.137         1531043014.0    第八遍了，出不去了
17.344         1531025842.0    第五遍，贡献32条弹幕哈哈哈
17.629         1531043386.0    啊啊啊啊神仙剪辑，太棒了！！！吹爆
17.87          1531030752.0    微博过来的
18.432         1531028248.0    剪的超棒啊啊啊
18.517         1531025692.0    从微博来的，up剪的太好了！腻害
18.726         1531028966.0    灵魂摆渡绝对是我心里网剧前三，演的又好剧本也好
18.766         1531056509.0    处女币走你！
18.955         1531041386.0    我出不去了，剪得太棒了
18.97          1531046925.0    从微博来，大大你是神仙吗？
19.001         1531028512.0    吹爆 吹爆 
19.108         1531145572.0    大吏吏呀
19.133         1531037717.0    神剪
19.583         1531102684.0    QQ空间看到了
19.588         1531035516.0    给up主献上膝盖
19.599         1531023544.0    优秀优秀
19.839         1531044840.0    微博来的
20.249         1531057811.0    灵摆那时候，网络审查制度没有这么严好吗？现在你敢拍个？
20.5           1531041352.0    啊啊啊啊吹爆这个剪辑啊
20.82          1531049905.0    我来点赞的
21.117         1531131580.0    给跪了_(:з」∠)_大神>o<
21.287         1531025354.0    这调色实在是太赞了
21.491         1531118124.0    灵摆就是拍的早，真的运气好
21.557         1531212383.0    神仙太太
22.36          1531148287.0    值得收藏和循环，up厉害
22.362         1531229533.0    吏吏！
23.259         1531040424.0    微博来的，刷好几遍啊，等着下周快本啊
23.616         1531025422.0    微博过来激情投币的
23.808         1531229570.0    啊大吏吏
24.064         1531107413.0    第七遍打卡
24.085         1531111169.0    灵魂摆渡的黄泉篇好像是去年拍的？
24.203         1531050242.0    微薄观光团
24.326         1531027046.0    微博刷完，B站接力
24.361         1531101515.0    空朋好
24.661         1531030596.0    大吏吏
24.872         1531038486.0    好棒啊
24.914         1531056850.0    灵摆虽然也很穷，但是剧情超棒的！算是很大的弥补了剧组的资金欠缺！
25.09          1531025227.0    火钳刘明
25.381         1531207933.0    微博闻名过来的
26.117         1531052314.0    硬币都给你
26.518         1531137416.0    灵魂摆渡！
26.769         1531049484.0    啊啊啊啊啊啊啊
27.445         1531024404.0    灵摆一起太厉害了
27.647         1531049936.0    太太脑洞清奇太棒了
28.196         1531052421.0    吏哥就这样变成反派了😂😂😂
28.414         1531068910.0    这几年我最喜欢的两个网剧啊
30.179         1531033113.0    啊啊啊啊啊啊，吏哥哥！
31.064         1531198294.0    握草
31.072         1531025354.0    神仙剪辑
31.441         1531036071.0    真的神仙剪辑啊 太棒了
31.8           1531207820.0    女鬼的眼泪就不值钱了吗！
32.001         1531029231.0    神仙剪辑阿
32.426         1531025934.0    超棒
32.483         1531028537.0    厉害了
32.906         1531022800.0    从微博过来打call！
32.947         1531025717.0    我要这硬币有何用
33.597         1531024231.0    阿婆主是中国电影的新希望啊
33.623         1531046967.0    三大男神
33.706         1531094496.0    这里是赵云澜死了赵吏想带赵云澜的灵魂走，被沈巍阻止，干涉了地府的规矩
33.92          1531024404.0    好厉害
34.281         1531054955.0    突然想再看一遍lhbd了
34.699         1531024438.0    大吏吏
34.97          1531061575.0    神仙剪辑啊
35.68          1531041647.0    哇哦 感觉很带感
36.13          1531058959.0    哇哇哇哇哇哇哇
36.212         1531038134.0    好带感！
36.308         1531217091.0    神仙！！！大大是神仙么？？
36.689         1531142035.0    超厉害！！
36.819         1531041118.0    哇！！
37.068         1531210451.0    155551 先哭为敬
37.9           1531025370.0    神仙剪辑
37.931         1531054730.0    特地跑过来再哭一遍，好棒啊
38.205         1531046944.0    故事性太强啦  好厉害
38.399         1531067498.0    woc神剪辑
39.032         1531031063.0    都能当部电影看了！
40.979         1531029347.0    好棒
41.386         1531043051.0    最爱的两部网剧
41.75          1531029247.0    百万剪辑师
42.154         1531027641.0    献上膝盖
42.461         1531025279.0    不火不科学
42.735         1531048436.0    吏吏
43.846         1531028549.0    给太太打call
44.231         1531243359.0    不就是硬币嘛，拿去拿去！！！！这什么神仙剪辑啊，膝盖也一起拿去！
44.499         1531043187.0    👍️👍️👍️👍️
44.788         1531224129.0    哭到魂飞魄散
44.826         1531024271.0    妈呀剪辑的太棒了！！！
44.885         1531100682.0    这两个剧都超爱啊！
45.1           1531029259.0    这个视频我要吹爆
45.381         1531050202.0    神仙啊！！！
45.401         1531033031.0    承包黑屏
45.679         1531124201.0    厉害啊
45.994         1531093511.0    啊啊啊啊啊啊啊啊啊啊啊缓一缓继续啊啊啊啊啊啊啊啊啊啊
46.099         1531041134.0    灵魂剪辑
46.158         1531199713.0    牛皮
47.645         1531027085.0    重新看才敢发弹幕，UP太厉害了，疯狂打call
48.262         1531065273.0    爱死了，up神仙
48.322         1531122607.0    好酷哦。
48.341         1531032174.0    啊啊啊啊啊啊啊啊啊啊啊表白
48.81          1531045519.0    二刷
49.401         1531063948.0    我喜欢巍澜喜欢灵魂摆渡
49.438         1531191117.0    很久之前就喜欢这首歌了，前奏一出来就有点泪目了
49.834         1531044546.0    大吏吏!
49.973         1531025382.0    干大事啊
50.193         1531045353.0    哇！赵吏
50.218         1531113736.0    表白bgm
50.22          1531038491.0    喜欢
50.495         1531220253.0    bgm:独活-炎亚纶
51.295         1531054313.0    666
52.42          1531111260.0    bgm炎亚纶 独活
52.427         1531039198.0    真的太厉害了，这是我最喜欢的两个网剧
53.471         1531027191.0    神TM生了哈哈哈哈哈~
53.829         1531143519.0    厉害了
54.561         1531255111.0    厉害
54.633         1531035407.0    带感
54.703         1531036449.0    卧槽，牛批
54.747         1531039214.0    灵魂摆渡，镇魂街，真的特别好
54.899         1531037462.0    为何你们都是如此优秀啊
55.205         1531059073.0    爆灯！！！
55.232         1531094601.0    然后这里是沈巍用尽办法复活了赵云澜
56.201         1531023736.0    看到一分五十的时候突然哭成狗！
56.49          1531025007.0    阿婆主怎麼可以這麼優秀
56.512         1531049514.0    厉害了
56.7           1531047465.0    厉害👍
57.18          1531112905.0    两个最喜欢的网剧混在一起  爽
57.251         1531024956.0    独活
57.334         1531041518.0    这个bgm一出来就催泪啊
57.371         1531060962.0    太太，你看我跪的标准吗
57.984         1531065262.0    最喜欢的两部剧，最喜欢的一首歌，配上最喜欢的某个人
58.749         1531048586.0    太厉害了
59.0           1531049266.0    前面的，这是镇魂，不是镇魂街……
59.095         1531093180.0    我看的是正剧？？？
59.872         1531212422.0    厉害了
60.281         1531023072.0    剪的太好了
60.311         1531031084.0    情之一字害人不浅啊！
60.582         1531105283.0    想求个BGM……QUQ
60.923         1531239753.0    独活歌词很搭
61.158         1531069547.0    镇魂+灵摆+复活，我满足了
61.92          1531130441.0    欢迎神仙，下凡
62.663         1531177309.0    厉害
63.331         1531025888.0    为什么会有这么优秀的UP，完全不拼凑直接连通剧情啊
63.344         1531040643.0    看镇魂之前就是在重温灵魂摆渡(ಡωಡ)hiahiahia
63.794         1531055042.0    你们为什么这么优秀
64.075         1531200081.0    灵摆的每个小故事就拍得很好，镇魂还是编剧不给力（设定是另外回事）
64.84          1531130462.0    这个视频一定要两位老师看
64.873         1531031617.0    为啥灵摆可以拍，镇魂要被改的这么奇葩
64.928         1531220294.0    我新来的  是先夸还是直接跪
64.998         1531024263.0    已经预料到这剪辑将来的播放量
65.108         1531093568.0    靠着B站的太太们撑到周三系列😭
66.57          1531229507.0    这个歌歌词很好
67.92          1531047023.0    阿阿阿啊打call
69.494         1531035435.0    太优秀了啊
70.428         1531026409.0    66666666666666666
70.934         1531043462.0    真是神仙剪辑了啊啊啊啊啊啊啊
70.997         1531214553.0    早习惯一个人来又去
71.279         1531027681.0    火钳刘明！！up主真棒！！！
71.493         1531055049.0    太厉害了
71.939         1531040403.0    灵摆播的早啊，当年可没这么严
72.106         1531130514.0    灵摆拍的早啊，放现在也是不能播的
72.399         1531034885.0    时间不同，以前很多剧都能拍
72.899         1531024793.0    趁火前占个地
72.983         1531212780.0    优秀的太太
73.642         1531029443.0    是我纶的独活啊！！！
73.963         1531111078.0    bgm是炎亚纶的独活
74.493         1531050115.0    啊啊啊这个重合
74.675         1531025407.0    我的天哪回想起了原著
75.038         1531063303.0    表白up
75.04          1531064018.0    灵魂摆渡上映的早呀，搁现在估计也播不了
75.08          1531029435.0    不就是硬币吗给你都给你
75.195         1531050293.0    这时长真良心
75.241         1531229046.0    微博观光团打卡
75.259         1531064854.0    哇！！！！！！！！
75.551         1531047142.0    太太你看我跪的姿势正确么
76.162         1531027365.0    火钳刘明
76.421         1531048835.0    这首歌听了无数遍，挺好听的。
76.8           1531214620.0    更宁愿一个人醉又醒
77.789         1531024938.0    微博来的，剪的太好了！
77.852         1531030192.0    火钳刘明！！！
77.912         1531034028.0    好
78.234         1531065374.0    这里是仿女娲么？
78.38          1531198391.0    啊啊啊啊啊啊啊啊啊啊啊啊bgm独活炎亚纶啊啊啊啊啊啊啊啊啊啊啊啊
79.159         1531024945.0    阿阿阿啊白宇这个造型阿阿阿啊啊山圣昆仑君阿阿阿
79.521         1531025904.0    其他386个小伙伴你们好呀
79.525         1531034549.0    我主阿茶
79.78          1531039186.0    你是神仙嘛
79.995         1531207869.0    爱的演员，爱的歌手，这个视频服气的
80.103         1531040946.0    表白阿布的独活
81.32          1531031952.0    独活啊！
82.003         1531024906.0    您是神仙吗？
82.517         1531214653.0    人生几千万里 从未盼过能与谁同行
82.773         1531093604.0    以后怕也是看不到精彩的灵摆了哎！
82.793         1531026821.0    毛猴呀！！！！！
83.384         1531029547.0    請收下我的膝蓋!!!
83.968         1531042161.0    啊啊啊啊啊我主阿cha
84.556         1531268989.0    妈耶
85.418         1531043110.0    这个融合太棒了
85.95          1531036444.0    厉害👍
86.206         1531026139.0    超级还原
87.076         1531200141.0    灵摆最新的电影《黄泉篇》就很好啊，之后还有娅和冬青的番外电影，相信编剧可以
87.807         1531101492.0    我的妈 我居然刷镇魂刷到本命唱的独活！
88.32          1531025063.0    喜欢啊
88.683         1531065399.0    这里是昆仑轮回了么
89.002         1531214690.0    孤身闯过天和地 才尽兴
89.348         1531049547.0    啊啊啊啊啊啊啊
89.36          1531064048.0    我看黄泉这个电影的时候哭成狗
89.494         1531039935.0    我看见真水无香一闪而过
89.514         1531029953.0    灵摆里昆仑是月亮
90.087         1531060128.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
90.228         1531024339.0    哈哈感谢赵吏哈哈
90.373         1531047110.0    神仙剪辑呀
91.225         1531040919.0    小鬼王
91.296         1531198354.0    哇哦
92.3           1531029483.0    神仙剪辑啊
92.532         1531024297.0    太太，我跪的标准吗？
92.55          1531192046.0    希望他俩能再拍剧
93.391         1531033244.0    雪雪
94.112         1531217149.0    补全了原版剧情！！真的太棒了！！！一世世轮回寻找你！！哭泣啊啊啊啊
94.181         1531030081.0    都是伤心人啊！
94.321         1531030913.0    膝盖拿去
94.709         1531229646.0    灵摆的编剧为何不去助阵镇魂，这样剧情也不至于烂成这样
94.935         1531125150.0    沈巍的地位比冥王高吧
94.976         1531214707.0    你的心竟然也会结冰
96.321         1531042325.0    看哭了，这个bgm好合适啊😭😭
96.732         1531029349.0    神仙！！
96.938         1531074728.0    独自活过再独自死去
97.025         1531034275.0    灵魂摆渡也是现代有鬼怪呀
97.6           1531201930.0    为什么要这么虐π_π
97.76          1531111575.0    哇!他不在了!剪的太棒了!
98.921         1531101105.0    跪了
98.963         1531212461.0    神仙
99.071         1531027718.0    神还原，生生世世为君生
99.804         1531273164.0    黄泉那个电影是真好看
100.005        1531218814.0    这句话仿佛回到了原著！
100.286        1531041199.0    抽筋给小鬼王
100.778        1531214727.0    你原来也不在乎黎明
101.323        1531037364.0    有谁知道这里是哪部剧吗？
101.434        1531225631.0    最近都在吃刀啊，心好痛_(:3 」∠)_   不過還會要為up打call！！！
101.491        1531047168.0    看哭了这个剪辑
101.557        1531038012.0    前面的这是萧十一郎
101.961        1531041172.0    这是龙哥的新萧十一郎的连城璧
102.139        1531206117.0    完全无违和，不需要一点呢脑补
104.665        1531026157.0    我需要再去看几遍原著
105.201        1531055098.0    连城璧这里真的太美了太美了
105.203        1531058661.0    不得不说，bgm太合适了
106.06         1531040750.0    灵魂摆渡，黄泉
106.26         1531025271.0    哇剧情搭得上哎
106.581        1531214752.0    我不信命 或许也是某种写好的宿命
106.754        1531269026.0    黑化的连城璧啊
107.095        1531198369.0    好虐
107.301        1531047924.0    这句话是赵吏根冥王阿茶说的吧好像
107.624        1531032981.0    璧璧！！！！！！大宝贝！！！！！！！！
107.939        1531040448.0    是原著剧情啊！
108.721        1531065440.0    弥补了网剧过审修改的遗憾啊!
109.381        1531197785.0    独活？
110.527        1531145843.0    神仙剪辑
110.933        1531103017.0    原著小鬼王看到昆仑香消玉损嚎啕大哭😭😭
111.419        1531111693.0    神仙剪辑！
111.921        1531130523.0    我主阿茶
112.213        1531214781.0    来让我们 或相遇 或分离
112.461        1531245622.0    我本能忍受黑暗，如果不曾见过阳光
112.879        1531055794.0    甜不过官方，于是太太们都开始剪起虐来！
113.046        1531217168.0    哭泣的小鬼王
113.152        1531102409.0    这是电影灵魂摆渡挺好看的
113.537        1531025446.0    我的天哪哭成这样
113.838        1531047939.0    黄泉
114.313        1531030229.0    这大概就是神仙剪辑吧
114.375        1531136459.0    我靠毫无违和
114.938        1531060153.0    真的好棒！！！！两部我都喜欢啊啊啊啊啊啊啊啊啊啊
115.003        1531155771.0    这一句台词是阿杰老师？！
116.006        1531063909.0    原著剧情，原著剧情，哭死
116.053        1531042214.0    卧槽牛逼
116.776        1531155727.0    这就“他现在怎么样”是杰大吗！？
116.853        1531053166.0    这个“他现在怎么样”是杰大声音吧！
116.933        1531025707.0    我被昆仑苏到了
117.247        1531044659.0    灵摆的素材真的适合镇魂，设定都是上古神话
117.437        1531111292.0    《灵魂摆渡》三季都很好看，第二季差一点点，番外电影《黄泉篇》也好看
117.531        1531046840.0    我已经哭到难受了
117.539        1531105405.0    鸡皮疙瘩鸡皮疙瘩！！
117.966        1531023460.0    他习惯了黑暗，昆仑就是他的光
118.024        1531273183.0    龙哥的古装是真好看啊
118.077        1531025862.0    白宇的帅永远都在二次元
120.576        1531043150.0    想哭
120.72         1531041747.0    卧槽 原文向
120.802        1531142070.0    前方高能鸡皮疙瘩
121.218        1531050014.0    杰大声音好苏啊
121.858        1531030623.0    前方轮回高能
121.859        1531024467.0    这是原著啊啊啊啊啊啊啊啊啊
121.921        1531034480.0    我的天啊
121.993        1531214811.0    孤芳一世 幸得一知己
122.731        1531197897.0    帅
122.899        1531041232.0    卧槽毫无违和感
123.426        1531186355.0    吹爆！原著剧情！
123.646        1531041271.0    对对对，亲手把昆仑放入轮回啊！
123.953        1531217179.0    好虐π_π
125.041        1531064097.0    心疼小鬼王
125.52         1531044318.0    666
125.681        1531054243.0    串的好好啊  给大大笔芯
125.691        1531273478.0    说句题外话，这个造型好棒
126.218        1531269056.0    傅红雪！！！
126.278        1531039363.0    妈耶
126.672        1531039616.0    神仙剪辑啊啊啊啊啊啊
127.294        1531035501.0    剪的太好了
127.299        1531030640.0    伯力！！！！！
127.352        1531143601.0    啊，哭的难受
127.402        1531214864.0    浮尘半世 可歌不可泣
127.619        1531026804.0    轮回了
127.658        1531140788.0    这这有原著既视感
127.829        1531199905.0    神仙剪辑
127.892        1531025773.0    虐死了
128.156        1531273512.0    沈巍的
128.874        1531035517.0    镇魂女鬼里，大神好多啊
128.939        1531025361.0    伯力！
129.934        1531035561.0    神仙剪辑啊啊啊啊啊啊
130.56         1531130564.0    他什么都可以不要，只是不能没有昆仑
130.937        1531145851.0    泪目5555555555555
131.481        1531028111.0    轮回……
131.493        1531036731.0    泪流满面！
131.775        1531048083.0    我去这个真的服气
131.836        1531108253.0    霍去病？
132.387        1531025696.0    啊啊啊啊啊啊啊我的天QAQ
132.778        1531199917.0    我爱居老师呜呜呜呜
133.719        1531037321.0    暴风哭泣😭😭😭
133.92         1531212856.0    突厥王子
134.007        1531025344.0    突厥王子那个你赔我眼泪
134.058        1531214895.0    若论成败 随他留在人间笑骂里
134.077        1531024398.0    突厥王子
134.223        1531025534.0    突厥王子
134.899        1531042883.0    最爱的剧和最心水的歌！！！
135.168        1531037791.0    积木我哭了
135.308        1531209985.0    真突厥王子
136.166        1531023508.0    几次轮回，只敢默默守候，不敢再相见
136.199        1531040791.0    突厥王子的你够了
136.383        1531176467.0    伯力啊啊啊啊啊
136.739        1531041253.0    突厥王子
136.873        1531122776.0    突厥王子够了，赔我眼泪
136.878        1531047962.0    黄泉好虐啊
137.0          1531230271.0    表白黄字
137.445        1531273464.0    突厥可汗！
138.196        1531035104.0    突厥王子赔眼泪
138.324        1531047262.0    突厥王子的正确打开方式
138.665        1531041294.0    突厥王子的走开！
139.014        1531039397.0    突厥王子你走开  情绪来了你让我笑出声
139.28         1531025660.0    这是突厥可汗，讨厌
139.52         1531214912.0    独自过活 再独自死去
140.078        1531217195.0    这首歌太适合剧情了！！！
140.601        1531025356.0    前面突厥王子的站住，还我眼泪
141.037        1531207460.0    点赞，点赞。
142.28         1531220936.0    天哪这一世又一世
142.557        1531176490.0    冯庸啊啊啊啊啊
142.662        1531269083.0    迟瑞！！！
142.71         1531244007.0    这是啥电影电视剧、？ 听都没听过 搞机就这么火了？
143.0          1531063683.0    突厥那个笑死我了
143.018        1531101668.0    独自活过再独自死去 嘤嘤bgm太合适
143.226        1531065509.0    一万年的轮回里，沈巍都是这么偷偷的看着他，不敢上前相见
144.021        1531154474.0    转世太催泪了
144.801        1531200221.0    会老，会死，会转世好像是灵摆里娅的台词呀
144.931        1531192098.0    心疼小鬼王
145.82         1531023855.0    前面弹幕
145.834        1531214928.0    也算 我们的默契
146.288        1531041753.0    卧槽
146.537        1531045569.0    这可真是突厥王子了……
146.587        1531212508.0    优秀啊
146.99         1531111654.0    这个背影!
147.044        1531023270.0    鸡皮疙瘩啊啊啊啊啊
147.328        1531212870.0    QAQ
147.659        1531023919.0    啊啊啊，别放蔡晴川啊，看的哭死
147.773        1531039307.0    每一世的沈巍是以什么样的心情看着他最爱的人生老病死，娶妻生子呢
148.275        1531219129.0    救命啊😭😭😭😭😭蔡晴川
148.48         1531095941.0    每一世都看着他啊，却不能相认，只能眼睁睁看着他死去😭😭😭😭
149.219        1531049299.0    巍巍在昆仑的每一世里默默守护着
149.443        1531032528.0    woc神仙阿
150.8          1531040430.0    刚刚看了建军大业白宇cut，妈呀，我的眼泪哗哗的掉！演的太好了！
151.08         1531037119.0    牛逼啊大神
151.42         1531041283.0    蔡晴川
151.542        1531028140.0    看着他一次又一次轮回
151.807        1531046361.0    把守候看出守猴 😂😂😂
151.96         1531064129.0    虐死
152.7          1531101165.0    卧槽卧槽
153.13         1531025553.0    我的天哪这个轮回梗简直是虐死了
153.684        1531027814.0    建党伟业最喜欢周恩来和蔡晴川
153.909        1531113206.0    啊！！！这里给满分！！
154.476        1531065535.0    背影啊!
154.752        1531095995.0    这个背影剪的真是太棒了啊啊啊啊啊啊啊
155.477        1531032807.0    神仙下凡辛苦了
155.483        1531039422.0    这一世绝对不要
155.679        1531064953.0    哇！！！！！！！！！！
155.758        1531059838.0    这个转身飙泪
155.819        1531092095.0    他看着一世又一世的昆仑
156.18         1531027499.0    我等了你一万年，希望你还记得，我们有约
156.32         1531022822.0    woc
156.658        1531024008.0    一边哭一边想还好没有曹光（？？？？？）
157.28         1531025798.0    我的妈呀，给up跪下！
157.525        1531023145.0    跪了跪了
157.68         1531039439.0    这一世不要be啊啊啊
157.738        1531069087.0    这个转身背景UP主用心啦
157.996        1531029368.0    up给你跪！！
158.081        1531024187.0    哭死了啊啊啊啊啊啊
158.337        1531045902.0    那个曹光的你赔我眼泪！！！
158.574        1531129937.0    就是那种心头血的感觉
158.78         1531031126.0    虐死了qaq
158.93         1531196392.0    转世梗真好用
159.289        1531108690.0    我靠好虐
160.45         1531046573.0    原著向
160.512        1531026084.0    天啊这个背影
160.775        1531148462.0    up给你跪了
160.96         1531100819.0    曹光哈哈哈哈哈哈哈哈哈
161.312        1531056090.0    剪的太好了！！！！！！！！！！！！
161.521        1531023974.0    跪了这或许就是神仙剪辑吧
161.9          1531047168.0    天啦噜太太你是什么神仙啊啊啊啊！
162.961        1531025557.0    曹光的站住 你是魔鬼吗😭
163.198        1531043323.0    那个背影!我看懂了……
163.284        1531039658.0    哭了嗷嗷嗷嗷
163.639        1531025259.0    请收下我的膝盖
163.736        1531040270.0    爆哭
163.946        1531215589.0    值得
164.009        1531030279.0    卧槽这个背影！！！！
164.202        1531025710.0    人间不值得，但你值得55555556
164.394        1531058565.0    这几个值得我真的爆哭啊
164.576        1531065550.0    值得
165.467        1531212527.0    给太太跪下
165.556        1531143639.0    感谢up
165.691        1531036483.0    太太你是神仙啊，剪辑软件成精了
167.791        1531141305.0    好棒啊啊啊
167.886        1531041328.0    啊啊啊啊啊啊啊啊啊啊啊爆哭
168.494        1531269119.0    超喜欢这个值得
169.009        1531302588.0    这个笑要哭死我了啊啊啊
169.201        1531033242.0    这个剪辑太棒了
169.26         1531031157.0    up你看我跪的标准吗
169.541        1531109217.0    up你是神仙啊
169.857        1531036250.0    值得！！！！
170.232        1531125225.0    不停的跟着昆仑直到他苏醒
170.234        1531038246.0    神仙剪辑
171.113        1531144906.0    剪辑软件成精那个你别跑哈哈哈哈哈哈哈
171.151        1531028025.0    值得啊啊啊啊啊啊啊
171.52         1531026080.0    值得！！！！！！！
171.759        1531124330.0    太棒了
171.904        1531098652.0    值得
172.116        1531034449.0    为什么这么优秀！！！
172.12         1531023888.0    这俩眼神太虐了
172.76         1531024554.0    妈呀，我想哭
172.96         1531098716.0    这个小抿嘴哟！
