作品名称：［刺激战场］无限刷取信号弹，全队神装不是梦！
网址：https://www.bilibili.com/video/av26379360
更新时间：07-12
弹幕总量：219
preciseTime    ofTime          comment
0.038          1531050405.0    这种bug被利用的话，才是破坏平衡性的。不过我亲测游戏里已经用不出来了好像被修复了。
0.06           1531046247.0    遇到bug 直接上报光子修复就完事
0.379          1531045281.0    这将会浪费你人生38秒
0.427          1531056839.0    知道为什么信号枪现在才出来吗？就是因为这个
0.433          1531053985.0    发现bug就快点反馈吧，很快修复的
0.452          1531091543.0    你将浪费人生中的38秒
0.48           1531076597.0    吸引100大汉不是梦！
0.521          1531142286.0    卧槽！零子终于上唯退了
0.528          1531298632.0    吱付宝首页搜索“86OO14”今晚吃鸡
0.55           1531051713.0    bug没啥用啊早晚都会修复，与其研究这个不如努力提升技术！毕竟还是要靠实力吃鸡
0.647          1531297087.0    首先你得有一把信号枪
0.659          1531055734.0    首先你需要一把信号枪
0.716          1531303701.0    有个bug就悄默声的藏着呗，非得拿出来显摆，一显摆就修复
0.785          1531064353.0    散了吧，要信号枪的
0.857          1531055175.0    该来的还是来了！
1.196          1531370034.0    亲测能用，全图人来找你
1.255          1531057010.0    然而关网打出去屁用不管
1.28           1531048222.0    up主的技术还要提高啊  天天找这些bug有什么游戏体验呢 再说了 刺激战场还会很快修复的
1.436          1531271524.0    训练场有信号枪
1.577          1531050240.0    这样卡bug很恶心，大家还是好好玩游戏，别把自己号卡出事
1.71           1531269914.0    7月10日测试，真的可以
2.071          1531160892.0    虎牙冰狗。每天免费带水友还抽奖。。求关注。。
2.128          1531140330.0    啧啧啧
2.139          1531053236.0    光子:知道了
2.153          1531183934.0    早知道了
2.23           1531124934.0    光子:好了好了我知道了
2.253          1531038809.0    如果有大部分的玩家用了这个bug，那么，你有没有想给没用bug玩家的游戏体验？
2.26           1531018713.0    假的，第一个不算
2.285          1531386534.0    bug战场
2.349          1531140917.0    全图神仙来相送
2.383          1531042989.0    阿
2.399          1531108915.0    刺激好评
2.787          1531060152.0    真当天美不上B站=_=
2.992          1531039971.0    兄弟，你凉了
3.046          1531281827.0    光子：真当老子不上b站
3.26           1531302301.0    终于等到你
3.38           1531350565.0    我是不是
3.42           1531146049.0    然后就会有十几个人往你那里跑
3.502          1531196559.0    你被官方盯上了，光子：谢谢，马上改
3.529          1531044352.0    万能的关网
3.807          1531342408.0    制作软件：Quik，平台iOS
3.96           1531193757.0    光子:好，知道了马上封。。
4.08           1531062856.0    bgm是什么
4.089          1531203647.0    终于
4.133          1531305912.0    hey
4.322          1531048657.0    发现bug就上报给光子吧，很快就修复的
4.398          1531122495.0    原来那天连发5个空投的人是你
4.435          1531041976.0    光子：我知道了，马上改
4.457          1531051197.0    光子：好的，知道了，马上改
4.637          1531289917.0    bug战场
4.982          1531034810.0    。。。。
5.055          1531145673.0    好可爱
5.187          1531052681.0    发现bug就上报给光子吧，很快就修复的
5.199          1531194970.0    光子:了解！
5.455          1531368099.0    散了吧，要手的
5.479          1531045250.0    呵呵呵呵呵呵
5.86           1531212804.0    这不仅会浪费你生命的三十八秒，还会浪费我打字的二十秒
5.944          1531097238.0    光子：明白了，明天修复
6.117          1531018389.0    这bgm，，，，我走了拜拜
6.129          1531220285.0    y
6.46           1531049265.0    首先你要捡到一把信号枪
6.581          1531119059.0    一发信号弹，千军万马来相见
6.723          1531018736.0    576
6.994          1531352519.0    光子：知道了，马上改
7.06           1531111446.0    光子：好的，已修复
7.061          1531060556.0    你被官方盯上了
7.195          1531037753.0    光子:从B站找bug真容易
7.199          1531188186.0    呵呵
7.202          1531204657.0    光子：明白了，马上修复
7.245          1531307404.0    一支穿云箭，千军万马来相见😂😂😂
7.382          1531121910.0    光子：了解
7.451          1531041827.0    光子:好的我知道了，马上修复
7.513          1531359842.0    这不是信号枪
7.662          1531389970.0    E
7.765          1531298639.0    吱付宝首页搜索“86OO14”能为所欲为
8.073          1531067659.0    BGM:樱花泪
8.104          1531229275.0    光子:是是是，知道了
8.238          1531143491.0    bgm：sakura tears
8.273          1531111749.0    终于可以说话了
8.546          1531110030.0    真当光子不上b站
8.719          1531115290.0    bgm:樱花泪
8.739          1531283470.0    手机铃响了
9.2            1531211266.0    快封了
9.228          1531021338.0    这是别人找到的，封面都是别人的视频，十二楼是原版
9.43           1531190571.0    bgm樱花泪
9.468          1531048024.0    bug战场
9.49           1531318014.0    BGM樱花泪
9.505          1531109402.0    光子，知道了
9.78           1531148407.0    早知道了
10.055         1531063681.0    已经被某手盗了
10.191         1531045763.0    bgm：sakura tears
10.209         1531131324.0    买挂加1665705841只要8.88
10.319         1531386542.0    bug战场
10.993         1531141582.0    首先你用这个bug你必须有个信号枪
11.052         1531212039.0    bgm：樱花泪
11.349         1531051724.0    不要手游里面恶意卡bug啦，被检测到会有惩罚的哦，还是和谐一点玩游戏吧！
11.376         1531050278.0    我们这种普通玩家还是好好玩游戏吧，不卡什么bug
12.054         1531203662.0    万能的断网
12.281         1531132444.0    捂奶凌子
12.364         1531053997.0    有bug就尽快反馈吧，光子很快修复的
12.519         1531132594.0    万能的断网
12.698         1531109405.0    666
12.702         1531212950.0    招几十个大汉的bug
12.817         1531228342.0    我就是不这么干也会有这个提示，我家这网好
13.019         1531350587.0    也什么
13.15          1531008103.0    万能的断网
13.21          1531306420.0    BGM:樱花泪
13.84          1531284841.0    这个我知道，没有用，一把信号枪没子弹其他都没子弹
13.903         1531048687.0    就不要卡bug了可能会封号的啦
14.146         1531219733.0    bug战场你好，bug战场再见
14.149         1531305837.0    无限弹制
14.366         1531130084.0    万能的断网
14.384         1531386546.0    bug战场
15.194         1531134907.0    万能
15.327         1531048236.0    bug还是不要卡的吧，刺激战场会很快修复的，卡bug被举报还可能封号
15.419         1531324227.0    被抖音盗了﹋o﹋
15.433         1531199667.0    万能断网bug
15.799         1531350593.0    为什么啊
15.975         1531141328.0    已修复
16.333         1531155589.0    BGM：樱花树下
16.632         1531114323.0    BGM好评
17.205         1531009893.0    神仙取件不是梦
17.322         1531064882.0    一枪十年呢
17.984         1531151545.0    光子：好的，我知道了，谢谢啊
18.083         1531065170.0    首先你得有把信号枪
18.229         1531043173.0    光子:明白
18.297         1531143787.0    bgm：樱花泪。作者是00后女生，纯音乐。喊麦是盗版的
18.586         1531155613.0    BGM:樱花树下
18.724         1531050419.0    感谢分享～ 不过听说刺激战场的优化速度很快，应该很快就会被修复了
19.013         1531067690.0    嗯，燃茶的猫爪键位
19.055         1531386798.0    BGM樱花树下的约定
19.164         1531197385.0    你这个是信号枪？
19.66          1531108421.0    又是关网bug
19.87          1531268316.0    😂😂😂😂😂😂😂
19.941         1531042528.0    然后被打死了
19.992         1531042957.0    我从来没在刺激战场中看到信号弹是啥样，因为是自带的
20.013         1531230076.0    BGM:樱花树下的约定
20.431         1531109413.0    厉害厉害
20.491         1531356821.0    试过了不可以
20.524         1531024507.0    你这不是信号枪吧
20.66          1531282742.0    樱花树下的约定是盗版，再次声明
20.735         1531181288.0    光子最怕的还是来了
21.083         1531143799.0    bgm：樱花泪。作者是00后女生，纯音乐。喊麦是盗版的
21.107         1531068095.0    櫻花淚
21.162         1531275438.0    万能断网
21.272         1531131043.0    光子不是天美
21.3           1531350609.0    这是什么梗
21.381         1531267329.0    可以用修改器改
21.389         1531214285.0    樱花树下的死一边儿去，bgm樱花泪
21.399         1531282395.0    三指操作
21.733         1531143817.0    bgm：樱花泪。作者是00后女生，纯音乐。喊麦是盗版的
21.924         1531089277.0    我以为我铃声响了
22.335         1531208297.0    此时有20把98K正瞄着他的狗头。。。。。
22.362         1531059444.0    BGM：樱花泪
22.755         1531143825.0    bgm：樱花泪。作者是00后女生，纯音乐。喊麦是盗版的
