排名：88
网址：https://www.bilibili.com/video/av26380001
更新时间：07-20
弹幕总量：662
preciseTime    ofTime          comment
0.0            1531852358.0    吸血鬼为了血小板 吸血
0.061          1531451548.0    优秀
0.166          1531746486.0    我有血小板过敏症，一流血就会死(´；ω；`)
0.174          1531632746.0    闪电~~
0.182          1531564900.0    趁机发弹幕
0.301          1531401948.0    请不要刷为了老婆放血梗！你看到的学是他们的尸体啊！！
0.461          1531896021.0    番名：工作细胞
0.598          1531803397.0    欢迎回来
0.601          1531378237.0    ↑↓↑↓←→←→↑↓
0.621          1531910947.0    支咐宝首頁捜索“86OO14”这么优秀吗
0.637          1531981919.0    ↑↓↑↓←→←→←→↑↓
0.662          1531840692.0    ↑↓↑↓←→←→←→↑↓
0.762          1531666693.0    真当我听不懂日语？
0.781          1531675580.0    666
0.844          1531988352.0    迷之翻译→                         
0.884          1531783507.0    可耻的播放量
0.901          1531632543.0    哭没那塞
0.936          1531761269.0    底部弹幕你素质呢
0.942          1531761774.0    ⬆⬇⬆⬇⬅➡⬅➡⬅➡⬆⬇
0.952          1531554131.0    打字练习
0.976          1531733848.0    血小板我的
0.996          1531532003.0    ↑↓↑↓←→←→←↑↓
1.012          1531757062.0    抱歉诸君，我已经割吊了
1.083          1531555593.0    康娜是你么？
1.092          1532073354.0    股门那萨以~啊诺内啊诺内~股内母股其母咕嘟给哪母~
1.122          1531981876.0    ↑↓↑↓←→←→←→↑↓
1.127          1531471404.0    错字，讲究
1.22           1531532015.0    ↑↓↑↓←→←→←↑↓
1.241          1531377592.0    ↑↓↑↑←→←→↑↓
1.281          1531724507.0    真-血洗b站
1.322          1531703783.0    上上下下左左右右BABA
1.338          1532013123.0    ↑↓↑↓←→←→←→↑↓
1.364          1531973488.0    可爱
1.366          1531803324.0    欢迎回来
1.421          1531583512.0    喔
1.471          1531321025.0    上上下下左左右右BABA!
1.477          1531490096.0    信了你个邪，要不是我看了原版，就被你骗了
1.484          1531962480.0    这可耻的播放量
1.541          1531353086.0    未来zura
1.601          1532007018.0    ↑↓↑↓←→←→↑↓
1.604          1531431494.0    QAQ画质感人
1.633          1531460376.0    这跳跳最可爱了~
1.704          1531921439.0    真当我不懂日语啊？？？
1.724          1531530887.0    肥宅的身体里只有肥宅别想了
1.779          1531547159.0    上下上下右左右左右左上下
1.801          1531972509.0    ↑↑←→←→←↑
1.843          1531470576.0    ↑↓↑↓←→←→←→↑↓
1.894          1531534812.0    ↑↓↑↓←→←←
2.11           1531801268.0    啊喏内啊喏内
2.152          1531585834.0    ↑↑↓↓←→←→
2.319          1531966810.0    ↑↓↑↓←→←→←→↑↓
2.329          1531811809.0    ·······
2.362          1531762084.0    🐭🐹🐮🐯🐰🐱🐎🐴🐑🐔🐤🐦🐧🐘🐫🐗🐷🐶🐺🐻🐨🐵🙈🙉🙊🐒🐍🐸🐳🐬🐙🐟🐠🐚🐛🐣🐥🦄🐝🐌🐞🐜🕷️🕸️🐢🦂🦀🐡🐋
2.489          1531406729.0    要是没有看过原版我还真的就信了
2.541          1531757226.0    要不是听得懂日文，否则就要被骗了
2.644          1532011352.0    如果不是看过我就信了
2.684          1531646294.0    一点都不好看，我也就看了二十几遍而已罒ω罒
2.741          1531842204.0    万能日语
2.814          1531893946.0    可耻的播放量
2.815          1531390257.0    欢迎回来
2.899          1531793744.0    收起你大胆想法我国有一套完整的刑法
2.922          1531457537.0    这字幕可以说是很有灵性了
3.014          1531584431.0    要不是看过原版我就要被你骗了
3.021          1531670847.0    ↓
3.082          1531632579.0    啊闹奶啊闹奶
3.342          1532009695.0    up主以为我不会日语
3.473          1531640151.0    ↑↓↑↓←→←→←→↑↓
3.51           1531674614.0    上上下下左右左右baba
3.524          1531491667.0    ↑↓↑↓←→←→←→↑
3.539          1531370098.0    万能日语……
3.558          1531992835.0    可爱可爱
3.633          1532006780.0    关弹幕，当老子看血小板拉
3.643          1531396883.0    好好好，我都答应你
3.654          1531327327.0    糟了，是血栓的感觉
3.901          1531826248.0    你最可爱了嘤嘤嘤
4.041          1531311351.0    要不是我会点日语，就被你骗了
4.121          1531762102.0    🐆🐊🐅🐃🐂🐄🐪🐖🐐🐏🐕🐩🐈🐓🦃🕊️🐇🐁🐀🐿🐉🐲
4.14           1531646233.0    一点都不好看，我也就看了二十几遍而已罒ω罒
4.204          1531439109.0    这可耻的播放量
4.238          1531786451.0    血小板实际是巨核细胞的残骸
4.266          1532007234.0    欺负我没看过原版
4.323          1531682982.0    我差点信了你的邪
4.45           1531808262.0    欢迎回来
4.54           1531559887.0    哦
4.58           1531404519.0    万能日语上线
4.66           1531310125.0    23333
4.711          1531306978.0    差点我就信了！
4.719          1531632610.0    哆啦广播的盖nono
4.721          1531531451.0    Ծ
4.801          1531639019.0    。
4.818          1531632118.0    上下上下左右左右左右上下
4.961          1531491710.0    ↑↓↑↓←→←→←→↑
4.993          1532008703.0    你真是太可爱了。我就留在这里不过去了
5.116          1531392685.0    血小板最可爱了
5.138          1531333141.0    要不是会日语还真就信了
5.15           1531869657.0    你皮这一下很开心
