作品名称：《离人愁》原唱李袁杰参加节目遭淘汰，被华晨宇批评：连最基础的乐理知识都不懂~
网址：https://www.bilibili.com/video/av26387875
更新时间：07-11
弹幕总量：984
preciseTime    ofTime          comment
0.16           1531249340.0    开头就逼得我静音
0.522          1531233675.0    要是是韩红老师来点评呢？
0.539          1531282175.0    这种人就是典型的肚子里没点东西投机取巧的人
0.54           1531221028.0    欢迎回来
0.638          1531236471.0    正所谓阳春白雪  下里巴人，请欣赏下里巴人
1.64           1531225140.0    音乐鬼裁 李袁杰
2.56           1531192352.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2.738          1531223066.0    空降1.20
3.426          1531270922.0    盗版的
4.01           1531233850.0    这一段不是像悟空，像红尘客栈
4.501          1531196300.0    欢迎回来
4.898          1531239778.0    回来了被花花死死粉上
4.939          1531282329.0    6666666666666666666
5.205          1531148126.0    这视频有毒😭😭😭😭😭😭😭😭😭😭
7.32           1531225197.0    音乐鬼裁 李袁杰
7.358          1531215561.0    这声音也是醉了
7.381          1531271545.0    打脸吧？抄没抄你心里有点数
7.999          1531196517.0    哈哈哈
8.219          1531280505.0    抄袭
8.277          1531231250.0    文明观猴
8.792          1531225083.0    抄袭。。。。。。
8.874          1531302494.0    还好几首歌，乐理不懂怎么写出来的
8.941          1531150308.0    这里李袁杰没有用小生腔，别说乐理了，他连口口声声说的国风都不懂
9.045          1531231257.0    文明观猴
9.14           1531230843.0    欢迎回来
9.179          1531269501.0    六级和弦要火
9.312          1531236585.0    我觉得他可以拿学京腔的功夫去学乐理知识
9.386          1531231264.0    文明观猴
9.642          1531231268.0    文明观猴
9.8            1531165651.0    小生这厢油腻liao~
9.898          1531231272.0    文明观猴
9.928          1531301600.0    活该
9.932          1531244474.0    哈哈
10.129         1531281936.0    我回来了哈哈哈
10.144         1531206153.0    这戏腔真的难听
10.752         1531231277.0    文明观猴
10.76          1531218223.0    额
10.819         1531236192.0    注意看这时吴青峰和李宇春的表情，可能李袁杰他自己还没捕捉到
10.899         1531292276.0    呵呵呵
10.928         1531242748.0    这厢有礼不是古代女生的谦词吗。。。好尬啊。。。
11.008         1531231284.0    文明观猴
11.349         1531231287.0    文明观猴
12.116         1531178770.0    欢迎回来 吓到我了 😂 有毒啊 这视频
12.255         1531239807.0    小生兩個字開口就不對，招搖撞騙
13.334         1531277639.0    你有理你🐴呢
13.404         1531258895.0    抄袭
13.72          1531225227.0    音乐鬼裁 李袁杰
14.09          1531295606.0    恶心啊啊啊 
14.118         1531270933.0    盗版有什么好的，还有脸了
14.46          1531269518.0    六级和弦要火
14.833         1531233862.0    猴王~
14.848         1531273099.0    有你🐎呢
14.92          1531284905.0    真的恶心真的恶心
15.03          1531308147.0    前排提醒：文明观猴  请勿投食
15.274         1531237735.0    🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒
15.28          1531229361.0    做作
15.571         1531234186.0    每天看几遍
15.586         1531152162.0    这叫戏腔？完全是细着嗓子说话啊，学戏曲的忍不了了。。。
15.779         1531225033.0    抄袭  。。。。。抄袭。。。。。。。许嵩
16.133         1531307467.0    。。。。
16.185         1531219342.0    旦角的腔说自己是小生？太监吗？
16.338         1531231215.0    好尴尬
16.851         1531246344.0    作曲:周杰伦  作词:任然  剪辑:许嵩  粘贴:李总裁
16.921         1531247035.0    文明观猴
17.315         1531290280.0    长得好油腻
17.36          1531236513.0    我觉得ga
17.8           1531227231.0    哈哈，被人套路了
17.856         1531205939.0    恶心
17.91          1531208789.0    有点恶心
18.065         1531226463.0    难受。。你这唱的。。有气唱不上
18.091         1531299051.0    浮屠塔断了几层断了谁的魂，痛直奔 一盏残灯 倾塌的山门
18.236         1531211248.0    雨沐诶。。
18.26          1531214909.0    古风小生什么的，，真的不配
18.481         1531240676.0    调起高了
18.71          1531159231.0    原创？搞笑
19.305         1531277849.0    死亡猎手雷克萨
19.474         1531248239.0    还好我老徐过了
19.729         1531298006.0    还原创真有脸
19.901         1531299037.0    浮屠塔断了几层断了谁的魂，痛直奔 一盏残灯 倾塌的山门
20.445         1531271575.0    去你的原创
20.65          1531268925.0    吴青峰真可爱
20.699         1531238715.0    音乐鬼裁
20.99          1531297106.0    青峰好好看
21.077         1531231385.0    你tm的表情能正常点吗？嘴角坏掉了？眉毛垮掉了？眼睛睁不开？
21.165         1531226474.0    戏腔都算不上
21.185         1531188860.0    开头不是山外？
21.24          1531298575.0    烟花易冷
21.539         1531219700.0    音量小时一瞬间听成 繁华堕入折煞了世人 了233333
21.614         1531296897.0    恶心人恶心-_-||
21.625         1531274221.0    。。。。
22.017         1531215747.0    这就是烟花易冷啊？没错啊
22.395         1531281856.0    这种狗也配叫音乐人
22.401         1531298236.0    你点头干嘛?
22.528         1531226071.0    您嘴角能别刻意这样吗？
22.828         1531236382.0    浮屠塔断了几层断了谁的魂，痛直奔 一盏残灯 倾塌的山门
23.041         1531241478.0    说实话，看得我尴尬症都犯了……
23.26          1531217367.0    刚听这首歌时，对白了华发这句感觉特好笑
23.52          1531205653.0    ？？？原创
23.595         1531295615.0    呕吐 
23.605         1531145823.0    哈哈哈哈哈哈，原创。。。哈哈哈哈哈哈哈
23.627         1531230780.0    油腻
23.648         1531190323.0    烟花易冷来了
23.681         1531287612.0    我笑了，笑得很開心
24.231         1531268240.0    周杰伦是无法超越的！！
24.344         1531296511.0    油腻
24.94          1531205643.0    音乐鬼裁
25.028         1531288546.0    音乐裁子
25.7           1531296543.0    词很普通
25.735         1531274225.0    无语
25.888         1531186381.0    烟花易冷。。。。。
25.961         1531240657.0    diso
26.025         1531230529.0    烟花易冷
26.366         1531222309.0    不是都说了吗套旋律
26.816         1531224149.0    矫情
27.084         1531247776.0    口区。。。。
27.729         1531291621.0    油腻
27.836         1531219729.0    高音听着好尴尬
28.123         1531280629.0    山外小楼夜听雨了解一下
28.27          1531238444.0    这原创加的真秀。
28.32          1531273810.0    抄
28.853         1531301619.0    太油腻了
28.893         1531239472.0    233333333
29.105         1531188939.0    山外小楼烟停雨？
29.514         1531233355.0    我就表白一下华晨宇，其他不想讲了
29.571         1531234517.0    跑了
29.7           1531278188.0    这个词写的一坨shit
30.001         1531229392.0    抄袭狗，略略略
30.16          1531220195.0    我去，这个挑眉，真的恶心到我了。
30.513         1531152575.0    我是来看花花的
30.573         1531258912.0    烟花易冷
30.706         1531307504.0    如我在跟～历史转身～
30.981         1531233299.0    音乐鬼裁
31.061         1531165461.0    真恶心。
31.173         1531154685.0    为什么眉毛这么难看
31.56          1531226934.0    两股痒痒是什么意思，屁股痒么？
31.573         1531270561.0    讲道理，莫名的升价调，很是刺耳，不好听这歌
31.631         1531299065.0    浮屠塔断了几层断了谁的魂，痛直奔 一盏残灯 倾塌的山门
31.746         1531146752.0    笑尿了，音乐鬼裁
31.906         1531148806.0    烟花易冷开头
32.019         1531299435.0    原创。。。
32.366         1531246199.0    烟花易冷
32.405         1531156929.0    虽然我知道股是腿的意思，但是他的笑容真的令我尴尬，故意搞噱头吧
32.979         1531291160.0    把烟花易冷唱跑调就号称原创了?
33.081         1531220434.0    不好听
33.301         1531236173.0    高音唱错了吧。。
33.488         1531214949.0    两股痒痒，，什么鬼东西
33.824         1531242501.0    我擦....烟花易冷
33.848         1531219304.0    出不去了……
33.919         1531239928.0    97？！
34.204         1531222025.0    我两股也痒痒
34.249         1531231817.0    两股痒痒是什么鬼？
34.348         1531154709.0    为什么要笑出来好猥琐
34.377         1531295698.0    天哪这个挑眉 呕吐
34.581         1531215819.0    两股痒痒真的笑死我，你大腿痒被蚊子咬了？
34.613         1531219402.0    唱到两股的时候怎么表情这么猥琐
34.74          1531240198.0    学戏曲的同学们统统出来扁他！！！ʅ( ･´‸･｀)ʃ
35.001         1531286827.0    两股痒痒？
35.159         1531278238.0    鞭尸
35.36          1531239752.0    你两条腿痒痒为什么要笑的这么猥琐
35.88          1531298261.0    你笑个鬼
36.051         1531205676.0    那个眼神好猥琐
36.3           1531305286.0    就一个白了华发就醉了，华发本来就是白发的意思
36.403         1531307421.0    股是大腿，比如头悬梁锥刺骨
36.441         1531222029.0    恶心
36.48          1531296410.0    股是大腿啊……初中生都知道吧……
36.561         1531281752.0    两股是指大腿，这个初中就讲过，弹幕别为了喷而喷反而暴露了自己的年龄
36.701         1531193546.0    抄袭
36.989         1531225158.0    ??????????
37.085         1531211842.0    我觉得听着有半吊子的感觉
37.378         1531215597.0    好油腻啊
37.397         1531201580.0    满屏的尴尬
37.907         1531292515.0    股指大腿。两股痒痒是坐立难安的意思。↑
38.13          1531275275.0    笑得好h。。
38.424         1531273896.0    嫌弃
38.641         1531301080.0    挠啊！吵什么
38.699         1531296525.0    呕吐啊啊啊   油腻
38.72          1531228401.0    股是大腿吧
38.961         1531271711.0    他笑容，，，
39.018         1531225692.0    股，在古文的意思是大腿，指想回家回不了的意思
39.061         1531290024.0    别说人嘴角了 人家整个容也不容易
39.596         1531295631.0    挑眉好恶心啊啊啊 
39.798         1531148885.0    歌词迷啊
40.561         1531203061.0    23333333333
40.978         1531295704.0    好恶心 猥琐
41.099         1531264452.0    我独酌山外小阁楼，听一夜相思愁
41.312         1531157899.0    其实以前还挺喜欢这调调的，没仔细琢磨，这两股痒痒是什么鬼？
41.632         1531237568.0    我在人间彷徨，做不到你的天堂
41.647         1531147517.0    我独酌山外小阁楼
41.681         1531263746.0    我独酌山外小阁楼
41.712         1531208813.0    好恶心
41.896         1531263768.0    我独酌山外小阁楼
42.625         1531244507.0    恶心
43.178         1531306718.0    别丢脸啊，两股痒痒指坐立不安的样子好吧
43.56          1531206500.0    一起唱啊？？？
43.615         1531234766.0    居然认成了我山争哥哥
44.011         1531205696.0    还合唱起来了马上打脸
44.025         1531168608.0    这段和上段.....emmmmm
45.167         1531147530.0    听一夜相思愁
45.221         1531235552.0    这都是些什么玩意
45.279         1531238420.0    两股痒痒难道不是面庞泪下而痒吗
45.299         1531233223.0    股是大腿的意思，低俗么
45.759         1531289790.0    歌真的可以，就是摊上抄袭
46.208         1531263473.0    上不了台面的东西
46.272         1531234202.0    大腿长湿疹了么
46.353         1531236163.0    很明显借鉴了
46.51          1531230501.0    为什么大家觉得这歌好听呢？
47.019         1531264493.0    醉后让人烦忧，心事难收
47.921         1531213563.0    格瓦斯！
48.726         1531213100.0    醉后让人烦忧
48.769         1531210075.0    听吐了
49.115         1531197053.0    许嵩：？？？？？？
49.21          1531296262.0    以为自己能过呢
