排名：93
网址：https://www.bilibili.com/video/av26389644
更新时间：07-15
弹幕总量：3908
preciseTime    ofTime          comment
0.0            1531556009.0    一身黑老嫖客!
0.018          1531386483.0    什么游戏
0.038          1531246233.0    买拖拉机
0.067          1531278662.0    白看不腻
0.083          1531281541.0    收藏已破2W！！！梦回给我做视频！！！！！
0.09           1531371478.0    终于更scp了！黑嫖客我爱你啊啊啊啊啊啊！！
0.1            1531474079.0    23333333
0.176          1531217385.0    支
0.18           1531222896.0    支
0.237          1531355173.0    有张床单
0.238          1531149286.0    d及人员无所畏惧
0.26           1531289983.0    温馨提示：本视频亲测没有任何高能，不要相信任何“前方高能字样”
0.278          1531137378.0    3
0.3            1531158135.0    怪物会出现在5分钟以后，中间高能全是假的(提示)
0.341          1531266842.0    收容失效？
0.347          1531209743.0    Scp耶
0.358          1531278047.0    支
0.401          1531246224.0    有张床单
0.426          1531226080.0    吱付宝搜索513421732，真不用谢我
0.457          1531377225.0    有张床单
0.477          1531387071.0    向垚 我知道你在看
0.491          1531223668.0    吱付宝搜索513421732，真不用谢我
0.498          1531145968.0    封面涉嫌谋杀
0.569          1531363885.0    卖拖拉机
0.597          1531376326.0    有张床单
0.598          1531156760.0    本视频并无什么高能，除了8:44，其它都是司马的假高能，不要理，好的报告完毕
0.678          1531138381.0    卧槽看左边那个嘴长的怪物，济南欧乐堡里面黑死病鬼屋里都是那个怪物
0.684          1531290057.0    看到“前方高能”请举报，净化弹幕池人人有责，谢谢
0.702          1531315301.0    温馨提示，全程只有一两个小高能【而且是你自己能看出来的】请顺手举报那些【前方高能】的弹幕，来自一个全程被骗的人的忠告
0.719          1531534334.0    卖拖拉机
0.76           1531219415.0    买拖拉机
0.821          1531195770.0    各位看简介
0.882          1531147167.0    害怕的听喜羊羊
0.998          1531587841.0    有张床单
1.057          1531157576.0    这游戏叫SCP秘密实验室，Steam上的，免费！！！！
1.06           1531107680.0    老镖客进入高产阶段
1.113          1531136911.0    要不是弹幕在动我都以为我卡了
1.124          1531477384.0    恐怖如斯(๑•̀ㅂ•́)و✧支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.198          1531299749.0    有张床单
1.299          1531446765.0    买拖拉机
1.3            1531110445.0    高产似母猪
1.321          1531204772.0    声音好像阿斗
1.477          1531141257.0    劳改犯
1.54           1531245149.0    什么游戏
1.621          1531375120.0    经05议会决定，收容黑镖客梦回
1.781          1531142485.0    恶魔妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹妹
1.817          1531134279.0    精彩
1.879          1531310267.0    封面好评
