作品名称：【高能精选】让你笑喷的高能搞笑片段第十四弹
网址：https://www.bilibili.com/video/av26391291
更新时间：07-11
弹幕总量：1585
preciseTime    ofTime          comment
0.067          1531225384.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.767          1531049946.0    交封不杀
0.835          1531121262.0    封面戒魔人自己看去
0.933          1531108404.0    封面好像是王小二那不中国动漫里的
1.166          1531049347.0    封面中国惊奇先生
1.605          1531109817.0    ←交封不杀你确定，封面《中国惊奇先生》看了之后我你还想不想要。
1.884          1531116808.0    封面中国惊奇先生
1.966          1531055388.0    中国惊奇先生
2.047          1531122318.0    封面，中国惊奇先生
2.437          1531201038.0    肯定有我银魂吧
2.491          1531051832.0    前面那位相信我，你不会想看那妹子正脸的
3.266          1531120253.0    见封滚
4.127          1531050909.0    留图不留种菊花万人捅
4.202          1531049011.0    封面交出来
4.227          1531056130.0    看了封面你会后悔
4.481          1531050938.0    看过封面的人告诉你，你看了封面后你会后悔的
4.581          1531138736.0    ae模板瞩目
4.86           1531229883.0    60FPS很爽
5.129          1531118365.0    前面的那位相信我，封面上的那个，你根本不会想看的。
5.263          1531057441.0    正脸？你会后悔的，听我一句劝
5.416          1531052936.0    封面中国惊奇先生
5.966          1531119925.0    封面是中国惊奇先生，那个女黄鼠狼的正脸你会看吐了的
6.103          1531055784.0    提前开笑
6.184          1531122615.0    可耻的播放量
6.238          1531144001.0    各位想必都是看着封面进来的吧
6.325          1531052449.0    我已经买好电椅了，没看到封面请兄弟们绑到我这里
6.524          1531053394.0    封面中国惊奇先生很好看的动漫
6.572          1531115934.0    就是你随机打劫
6.613          1531091824.0    封面吓死你
6.645          1531057238.0    希望别处封面
6.755          1531050781.0    封面中国惊奇先生
6.851          1531101852.0    闻封而来
6.896          1531119002.0    封面是啥！！！
6.969          1531050384.0    交封不杀的那几个你认真的？
7.018          1531052578.0    我去
7.165          1531115576.0    兄弟，借一部说话
7.3            1531111390.0    封面是惊奇先生
7.485          1531051527.0    中国惊奇先生
7.792          1531106406.0    可耻的播放量
7.884          1531048356.0    可耻的播放量
7.897          1531101308.0    中国惊奇先生
7.946          1531117192.0    封面：中国惊奇先生
8.289          1531088195.0    封面我看过，中国惊奇先生
8.356          1531057330.0    中国惊奇先生
8.524          1531073094.0    兄弟，你不会想知道结果的
8.625          1531084359.0    快乐神
8.73           1531215726.0    惊奇先生
8.844          1531052149.0    封面
8.988          1531113388.0    封面是中国惊奇先生，挺好看的一部动漫，不知道干嘛停更了
9.217          1531051133.0    封面中国惊奇先生
9.585          1531123055.0    见到惊奇先生的封面
9.625          1531056100.0    哪些要封面的我不希望你们看到妹子的脸
9.792          1531283627.0    哈哈
9.874          1531088244.0    可耻的播放量
9.903          1531050352.0    可耻的播放量
10.12          1531121319.0    我一级
10.375         1531095989.0    第1000弹幕
10.406         1531075066.0    跟你们讲，你们会后悔的。。。
10.427         1531063334.0    封面？？？
10.464         1531105992.0    要封的确定？？？
