作品名称：【裸足控】包臀睡衣!顺滑白丝~！
网址：https://www.bilibili.com/video/av26395337
更新时间：07-10
弹幕总量：512
preciseTime    ofTime          comment
0.0            1531201687.0    清白
0.1            1531200706.0    我今天是要死在这里了
0.421          1531223466.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.073          1531213465.0    878位小伙伴你们好
1.175          1531210948.0    bgm是Eric Prydz的PJANNO！！！
1.953          1531213205.0    观看人数比弹幕还多？
1.97           1531195289.0    一看到是制片人我就走开了
2.064          1531199074.0    可耻的播放量
2.921          1531206772.0    人比弹幕多
2.973          1531196373.0    B站看片就在今天！！！！
3.273          1531215634.0    为什么我要点进来？？？
4.026          1531222428.0    清白
4.045          1531201298.0    又想骗我买营养快线？
4.799          1531216874.0    666
5.334          1531196318.0    prprprpr
5.848          1531210412.0    逛窑子
6.165          1531213605.0    19w播放量503弹幕 你们都在干什么
6.429          1531195605.0    嚯哦
6.988          1531214714.0    ？？？不是裸足吗？
7.423          1531198717.0    我完事儿了，你们呢
7.752          1531225202.0    用吊打字，以示精白。
7.829          1531196476.0    =-
7.893          1531215277.0    风里雨里  窑子等你
8.733          1531195141.0    2333
9.023          1531202953.0    发个弹幕证明清白
9.333          1531226637.0    不好意思。循环了
9.675          1531211752.0    又又手扌丁字~~~
10.465         1531199869.0    人比弹幕多系列
11.3           1531202292.0    我今天要死在UP主手里
11.312         1531213238.0    可耻的播放量
11.391         1531224415.0    xx打字
11.829         1531197474.0    14万的播放量  四百的弹幕   你们在干什么
11.953         1531211982.0    我王境泽今天要撸死在这里
12.023         1531210746.0    卧槽
12.346         1531202247.0    可耻的播放量
12.63          1531203732.0    完了完了
13.097         1531216321.0    打字以示清白
13.103         1531213554.0    可耻的播放量
13.186         1531201125.0    4G卡
13.657         1531214276.0    20万播放量，507条弹幕，剩下都在干什么
13.686         1531196754.0    双手打字
14.038         1531196950.0    654人正在覌看？？？？？
14.198         1531204046.0    指日可待
14.551         1531213004.0    807人？
14.682         1531226521.0    我去。B看片
14.951         1531216108.0    老婆色
15.192         1531198185.0    这个音乐真好看，不是，这个啊啊啊我去死
15.22          1531214149.0    mmd......
16.05          1531204075.0    逛窑子
16.356         1531195770.0    等等我要去医院看一下我的舌头和我的两只手
16.754         1531197823.0    66666666
16.802         1531203675.0    咳咳咳
16.878         1531212573.0    分多少北方导航你吗
16.921         1531203069.0    16W播放 500弹幕惨剧
17.079         1531212847.0    19w播放700弹幕，你们都在干嘛！！
17.41          1531201147.0    我今天就要撸死在这破绽
17.626         1531199741.0    内心毫无波动甚至还有点想社保
17.925         1531205545.0    老婆跟我走
18.017         1531210858.0    woc这bgm
18.149         1531212714.0    哦呼
18.23          1531196110.0    b看片，指日待
18.278         1531197896.0    第N 遍
18.303         1531202588.0    双手打字表示清白
18.397         1531214662.0    20.5万播放量，874弹幕，你们在干嘛？？？
18.559         1531199878.0    语音输入以示清白……“啊嗯”
19.02          1531201577.0    我舔骨折
19.06          1531206160.0    这可耻的播放量
19.288         1531215769.0    你们在干吗
19.391         1531225568.0    怎么才能去二次元
19.619         1531210840.0    尴尬
19.902         1531199260.0    可耻的播放量
20.087         1531207669.0    真香
20.452         1531213688.0    医疗兵在哪？我快要坚持不下去了！！
20.719         1531197205.0    14.5万播放440条弹幕，你们这帮禽兽
21.154         1531214728.0    进B站就像是逛窑子
21.302         1531194965.0    涩琴！
21.545         1531214153.0    我的妈呀 这是什么
21.563         1531196288.0    弱音是我老婆，不容反驳
21.772         1531200301.0    裸足不是指不穿丝袜么》
21.91          1531212814.0    弹幕极少?!!
22.323         1531208521.0    舌头打字
22.396         1531212579.0    dsgdsfhfdgn
22.402         1531197603.0    600人正在看...厲害了
22.464         1531213141.0    812人
22.477         1531215075.0    对着这个干内事儿？是男人么
22.75          1531210429.0    e
23.013         1531201611.0    双手打字以示清白
23.1           1531208459.0    各位控制好情绪 ！！！1
23.651         1531213054.0    799人
23.656         1531223941.0    火钳刘明
23.912         1531207115.0    11111111111111111111111111
24.125         1531204833.0    要挂在着了
24.469         1531196089.0    左手已断
24.738         1531202145.0    啦啦啦
24.773         1531204362.0    磨豆腐
24.844         1531205075.0    uiopjkl;nm,.
25.298         1531214458.0    双手打字以示清白
25.396         1531208713.0    可耻呀
25.521         1531214011.0    a a a a
25.775         1531212548.0    可耻的播放量
25.804         1531214070.0    797人正在看...厲害了
25.988         1531213677.0    人数比弹幕还多
26.043         1531196913.0    终于发现缺什么了，没有尾巴
26.176         1531224352.0    哦豁
26.314         1531214890.0    逛窑子
26.434         1531214368.0    可耻的播放量。
26.52          1531206159.0    可耻的收藏量
26.723         1531205115.0    656人正在看。。。
26.728         1531196714.0    破绽药丸
26.801         1531204720.0    双手打字表示清白的
27.202         1531204887.0    737人在观看
27.426         1531215629.0    舔舔
27.693         1531206142.0    把你们的手脚都给我放上来
27.797         1531200179.0    582人观看
27.961         1531203284.0    阿里山
28.375         1531224572.0    646
28.625         1531202239.0    --。
28.784         1531220882.0    在下.........
28.825         1531202399.0    wa
29.041         1531215578.0    双手打字表示清白
29.1           1531226417.0    清白
29.377         1531219802.0    121
29.393         1531213925.0    几十万播放量，几百条弹幕，你们的手在干嘛
29.574         1531207436.0    脸滚键盘以示清白
29.634         1531216694.0    我就要顶上去报复社会
29.649         1531196679.0    卧槽 单手打字 我无话可说
29.664         1531198700.0    诱人。。。
30.201         1531197325.0    双手打字以示清白
30.378         1531214315.0    磁悬浮了解一下
30.463         1531203711.0    咳咳咳.
30.519         1531213388.0    手没空！
30.567         1531213802.0    870人真在观看
30.632         1531226594.0    不愧是
30.638         1531223746.0    打字
31.06          1531226206.0    gdadhgkghjg
31.138         1531211329.0    双手打字表示清白
31.401         1531207570.0    双手打字
31.441         1531221829.0    aaaaaaaaaaaaaa1
31.445         1531204347.0    17万播放量 600弹幕 你们再做什么
31.759         1531212974.0    双脚打字以示清白
31.894         1531202174.0    社保
32.171         1531210853.0    尼玛
32.635         1531207520.0    左手右手一个慢动作
33.786         1531196608.0    可耻可耻
33.866         1531196364.0    我好了，你们呢
33.876         1531199287.0    这歌真好看
33.967         1531213264.0    你们的手在吗？
34.078         1531204656.0    双手打字 以辨清白
34.204         1531200081.0    双手打字
34.444         1531205084.0    qweradfzxxcv
34.589         1531220287.0    22W播放928弹幕，你们干啥了？
34.797         1531227010.0    .
34.812         1531222334.0    这就是传说中的：自摸？？？
35.055         1531226134.0    23万播放，一千弹幕，你们在干嘛
35.444         1531214586.0    白丝呢
35.751         1531213995.0    nbnb
