作品名称：《笑死人不偿命系列》那些超搞笑影视片段（第四十九弹）
网址：https://www.bilibili.com/video/av26395962
更新时间：07-11
弹幕总量：1420
preciseTime    ofTime          comment
0.0            1531213399.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.853          1531064961.0    万年开头
0.895          1531056768.0    一
1.118          1531144248.0    标准开头
3.159          1531230633.0    老到海波进来了
3.929          1531039865.0    3小时
4.359          1531143251.0    看见封面决战刹马镇就进来了
4.6            1531062505.0    二
5.18           1531197968.0    死啦
6.02           1531215224.0    标准开头
6.6            1531135589.0    高产似那啥
7.372          1531127623.0    见封滚
7.56           1531036920.0    1
7.985          1531118050.0    海波
8.49           1531140873.0    罒
9.539          1531206739.0    Arrange
9.577          1531193654.0    吨吨吨吨吨
9.636          1531226522.0    见黄进
10.814         1531121539.0    海波。
10.856         1531139007.0    enmmm
12.25          1531029816.0    看到我你就是367后了
14.227         1531122547.0    封面让我来的
14.846         1531139691.0    。。
14.961         1531212047.0    港囧
15.233         1531029297.0    为山争哥哥dark
17.507         1531030136.0    高产似那啥
20.378         1531132598.0    海波。
21.698         1531123316.0    看到海波就来了
22.642         1531132318.0    封面是海波吧
25.499         1531117893.0    我才去过泰国，最近事故太多，我上周出海命大
26.002         1531030303.0    徐峥
26.235         1531118625.0    这画质无敌啊
28.515         1531132279.0    ……
31.609         1531048632.0    奇葩
35.002         1531115962.0    我不是药神
37.207         1531121659.0    66666666666
37.396         1531234129.0    ←我同学说 我不是药神特别好看
37.418         1531069394.0    好尴尬
40.119         1531143821.0    今天刚看过我不是药神，关于白血病药的
47.018         1531159932.0    感觉王宝强演的电影也就到这了演傻子演的太夸张了 太过了 不爱看这种角色
49.621         1531218020.0    不爱看就别看，说的跟谁强迫你似的
49.641         1531127612.0    我不是人妖
50.88          1531042736.0    哈哈
51.779         1531195418.0    说演技差的，看宝强的你好树先生OK
52.367         1531226710.0    这种角色看一次半次还行
52.921         1531207067.0    不看别看，
53.092         1531062525.0    哈哈哈
