作品名称：主播炸了赛事篇36：艾希善良之箭 一锤定音
网址：https://www.bilibili.com/video/av26398219
更新时间：07-11
弹幕总量：1475
preciseTime    ofTime          comment
0.041          1531057597.0    我们又是冠军
0.08           1531063629.0    （飘过一个替身使者）
0.19           1531093453.0    我们是冠军！
0.198          1531085006.0    怎么说?
0.204          1531232341.0    支 付 宝搜索7220383，你会回来感谢我的
0.279          1531065760.0    恭喜LPL
0.299          1531056947.0    我们又是冠军
0.378          1531057203.0    恭喜LPL
0.381          1531056768.0    我们是冠军！！！！！！！！！！
0.998          1531057615.0    我们又是冠军
1.458          1531056516.0    我们是冠军!!!
1.545          1531043872.0    卡啊
1.622          1531057751.0    我们是冠军
1.658          1531058491.0    我们是冠军！
1.706          1531045102.0    哩哩啦啦
1.838          1531059160.0    我们是冠军
2.12           1531056301.0    我们是冠军
2.133          1531056526.0    lpl第一！！！
2.359          1531035380.0    1111
2.365          1531095099.0    前
2.664          1531061334.0    我们又是冠军！
2.689          1531056104.0    恭喜lpl，我们又是冠军
2.799          1531043703.0    高产啊
2.941          1531057123.0    我们还是冠军！🏆
3.002          1531192322.0    恭喜LPL，恭喜RNG！
3.584          1531057340.0    cnm，赢了
3.84           1531037924.0    lh
4.161          1531038388.0    111111
4.241          1531137232.0    恭喜LPL，我们又是冠军
4.3            1531061670.0    我们是冠军！
4.522          1531058854.0    冠军
4.779          1531200691.0    我们总是冠军
4.86           1531062485.0    恭喜lpl
4.875          1531057340.0    我们又是冠军！
4.879          1531132514.0    免流卡舒服的一批
4.888          1531050552.0    怎么这么卡
5.088          1531063934.0    我们总是冠军！
5.101          1531057236.0    我们又是冠军，我们总是冠军
5.179          1531108727.0    前前前
5.339          1531058688.0    恭喜LPL
5.357          1531058708.0    1
5.522          1531057435.0    我们是冠军LPL
5.542          1531044711.0    那个魂淡包大人掉洞里面去啦
5.602          1531058810.0    我们是冠军
5.632          1531071976.0    我们是冠军！
5.784          1531058295.0    lpl冠军！
5.803          1531133886.0    我们是冠军！！🏆
5.962          1531037618.0    1
6.0            1531057311.0    我们是冠军
6.06           1531065244.0    我们是冠军🏆
6.229          1531059435.0    我们又是冠军！！
6.298          1531040048.0    暂停成功的是怪物吧
6.322          1531073008.0    🏆
6.339          1531049565.0    暂停成功
6.539          1531040251.0    我是后期
6.566          1531038345.0    一闪而过的图片
6.598          1531042030.0    0.。0
6.602          1531143358.0    1
6.626          1531038750.0    暂停成功
6.628          1531041767.0    别暂停了，是gougou杀了meiko
6.642          1531042326.0    暂停成功，Guoguo的奥巴马和Hudie的布隆击杀了末日
6.74           1531044936.0    截图
6.781          1531056465.0    我们是冠军
6.872          1531060956.0    来了来了
6.933          1531057451.0    lpl牛逼 让二追三
6.997          1531058737.0    LPL牛逼
7.212          1531057456.0    恭喜LPL
7.395          1531038922.0    2小时
7.443          1531058923.0    我们是冠军
7.523          1531146650.0    聚印象～～狗g
7.659          1531057355.0    我们总是冠军！！！！！！！
7.675          1531061563.0    我们又是冠军🏆
7.76           1531067895.0    我们是冠军！！我们又是冠军！！我们总是冠军！！！
7.761          1531059720.0    中国牛逼lpl第一rw无愧于侠
7.936          1531059009.0    LPL总是冠军
8.121          1531057179.0    赢了
8.233          1531057021.0    我们是冠军！
8.32           1531062968.0    我们又是冠军！！
8.48           1531057944.0    我们又是冠军
8.676          1531060079.0    我们是冠军 ！我们又是冠军！我们总是冠军！
9.28           1531058010.0    LPL冠军
9.361          1531111902.0    我们还是冠军！
9.641          1531056642.0    我们是冠军
9.728          1531141372.0    我们是冠军🏆
9.74           1531059128.0    我们又是冠军
9.778          1531134947.0    我们又是冠军！
9.887          1531064636.0    我们是冠军
10.002         1531064430.0    我们总是冠军
10.091         1531038066.0    点个赞
10.34          1531056834.0    rw牛逼lpl第一
10.499         1531264846.0    我是冠军
10.677         1531056755.0    我们又双叒叕是冠军
10.708         1531048676.0    Edg凉了
10.779         1531040262.0    大哥们我是后期
10.88          1531275621.0    我们总是冠军！
10.959         1531058380.0    我们又是冠军
11.14          1531040030.0    80000加
11.253         1531060162.0    我们又是冠军！！！
