作品名称：【散人】全程坑爹 坑到怀疑人生的气人i wanna
网址：https://www.bilibili.com/video/av26406047
更新时间：07-12
弹幕总量：5507
preciseTime    ofTime          comment
0.0            1531374480.0    333
0.067          1531373078.0    6666
0.169          1531273109.0    在现场
0.304          1531208800.0    恭喜你上首页
0.306          1531144261.0    开屏卡！
0.38           1531277307.0    封面!
0.398          1531160750.0    直播:质量不高
0.558          1531167017.0    散人干不死～
0.629          1531282640.0    底部红字死亡计数君加载成功
0.676          1531140217.0    点赞硬币收藏三步走起来
0.762          1531321222.0    封面好可爱！！
0.779          1531265798.0    视频音量过小，请调大音量后食用～
0.804          1531285788.0    散人干不死
0.841          1531184218.0    失踪人口回归
1.042          1531383001.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.138          1531140941.0    散人gay不死
1.147          1531225992.0    吱付宝搜索513421732，真不用谢我
1.198          1531152202.0    散人干不死！
1.202          1531366458.0    本期视频声音正常，大家不用去调高音量
1.277          1531372202.0    当时就是i wanna入的坑
1.302          1531283139.0    看到标题散人被坑我就高兴地点进来了~
1.508          1531159125.0    散散好棒
1.595          1531149788.0    散人干不死！
1.658          1531383104.0    散人干不死
1.691          1531385274.0    吱付宝搜索513421732，肥宅快乐宝了解一下
1.7            1531283560.0    音量小的那个，我往后一拖，散人一声呼喊我的耳膜就归西了
1.705          1531146040.0    ???????????
1.92           1531142301.0    散人干不死
2.043          1531140263.0    很喜欢这孩子
2.048          1531143267.0    好前
2.135          1531374680.0    散人干不死
2.221          1531142853.0    四小时前！
2.241          1531147395.0    散人干不死
2.44           1531141639.0    在现场
2.456          1531146134.0    哇，我刷到了什么！！！
2.474          1531139300.0    终于更iwanna了!
2.546          1531148344.0    现场，我在现场
2.58           1531275887.0    散人干不死
2.615          1531303852.0    吱付宝搜索513421732，真不用谢我
2.639          1531382669.0    散人干不死
2.678          1531159279.0    散人干不死
2.681          1531369823.0    表白散散
2.698          1531156896.0    散人干不死
2.7            1531299595.0    又疯一个
3.072          1531316937.0    散人干不死
3.182          1531287920.0    干不死
3.283          1531369516.0    封面交出来
3.298          1531182448.0    散人干不死
3.337          1531221196.0    雅蠛蝶斯
3.456          1531137864.0    就往死里干
3.8            1531144742.0    散人干不死
3.961          1531278249.0    先点赞投币收藏再看~
3.971          1531138190.0    看我刷到了什么~
4.0            1531368102.0    🍺小将，滚出克
4.053          1531138080.0    散人干不死
4.096          1531142902.0    还是散人的好看
4.22           1531142648.0    散人干不死！
4.284          1531193707.0    散人干不死
4.34           1531148998.0    哇！！！更新！！！
4.369          1531151541.0    散人干不死
4.499          1531139804.0    世界上最幸福的事，就是想你的时候你恰好更新
4.5            1531143210.0    散人干不死
4.557          1531145046.0    气人好可爱啊！
4.579          1531154035.0    散人干不死
4.64           1531138656.0    好前！
4.775          1531194468.0    散人干不死
4.838          1531182278.0    散人干不死
4.872          1531138585.0    3小时前
4.897          1531212510.0    散人干不死
5.01           1531180576.0    在现场
5.12           1531156626.0    你不是去俄罗斯了吗
5.14           1531295996.0    上首页啦！！！
5.141          1531144765.0    噜啦啦噜啦啦噜啦啦噜啦啦噜啦啦噜啦啦噜啦啦噜啦啦
5.259          1531148106.0    散人干不死
5.339          1531362844.0    散人干不死
5.376          1531218177.0    在现场
5.38           1531143814.0    四小时前！！！！！
5.441          1531144521.0    散人好(✪▽✪)
5.569          1531139814.0    前方请调大音量
5.7            1531159982.0    。
5.701          1531194269.0    散人干不死!!
5.835          1531191003.0    失踪人口回归
5.979          1531281465.0    在现场
6.058          1531150355.0    感觉今天的散人干不死声音有点小
6.16           1531138055.0    3小时前?！
6.299          1531322210.0    啊啊啊啊散散的i wanna
6.531          1531201090.0    散人干不死
6.533          1531149379.0    散散散散散
6.558          1531172982.0    散人干不死
6.595          1531147535.0    散人干不死
6.707          1531141629.0    哇！
6.722          1531383088.0    散人干不死
6.779          1531328390.0    我再也不会大喊大叫
6.839          1531233463.0    散人干不死
7.098          1531140038.0    16分钟QAQ完全不够看啊
7.119          1531194171.0    前20小时
7.139          1531204583.0    失踪人口终于回归了
7.181          1531144332.0    散人干不死
7.253          1531280379.0    游戏做成这样就无聊了
7.296          1531191274.0    三染干不死
7.318          1531147059.0    前
7.324          1531352028.0    2333333333
7.444          1531141462.0    看到6666的好评都不忍心点赞了。。。
7.594          1531151695.0    前方音量过大！请调小音量！
7.68           1531182486.0    散人干不死！
7.861          1531327680.0    散人干不死
8.021          1531163105.0    散人干不死
8.08           1531152648.0    散人干不死
8.158          1531385824.0    散人GAY不死
8.474          1531140346.0    散人干不死
8.687          1531144560.0    在现场！！
8.758          1531206106.0    散人干不死ww
8.838          1531175968.0    散人干不死
8.874          1531234368.0    _
8.936          1531138515.0    散人干不死
8.96           1531221652.0    散人干不死
9.005          1531156699.0    真的不容易
9.041          1531151166.0    散人干不死
9.13           1531181441.0    散散！
9.211          1531181914.0    iw阿阿阿啊啊我tm，吹爆！
9.339          1531361352.0    散人干不死
9.554          1531151650.0    前方音量过大！请调小音量！
9.728          1531143181.0    散人干不死！
10.041         1531162098.0    疯了吗?没有哦
10.231         1531281727.0    散人干不死
10.499         1531155240.0    终于更新i
10.557         1531211939.0    哇是散人干不死，好久沒更新了
10.58          1531139595.0    前
10.74          1531147224.0    前
10.819         1531177043.0    气人主播、
11.004         1531141118.0    在现场
11.027         1531156709.0    光看都很累
11.044         1531369286.0    散人干不死
11.049         1531137858.0    两小时前
11.264         1531214246.0    在现场
11.27          1531142710.0    来啦来啦
11.303         1531330451.0    现场怪
11.459         1531151723.0    散人干不死！
11.673         1531140869.0    三小时前!
11.824         1531158456.0    在现场
11.865         1531153168.0    狙击枪
11.888         1531185117.0    小
11.956         1531139122.0    是玩吐血了
12.23          1531282836.0    散人！！！！！！！
12.237         1531139974.0    失踪人口！！
12.544         1531195602.0    放大声音听散人干不死，结果现在被吓着
12.636         1531153565.0    好
12.703         1531277311.0    B站女粉千千万，逍遥散人占一半
12.876         1531139994.0    三小时前
12.879         1531183652.0    直播看了
12.928         1531144783.0    在现场
12.942         1531230403.0    失踪人口回归，而且散人又短了
13.226         1531142199.0    散人散人
13.464         1531325370.0    放大声音的出来我不打死你
13.841         1531149693.0    散人干不死
13.96          1531368266.0    🍺小将，滚出克
14.219         1531139109.0    yes^O^
14.32          1531143227.0    散人干不死
14.416         1531143257.0    hard
14.734         1531303927.0    看前请屏蔽关键词作者
14.848         1531157205.0    在现场
15.099         1531275571.0    散人干不死
15.359         1531213406.0    注意flag
15.459         1531283089.0    谢，谢谢提醒
15.799         1531142225.0    你好散人
15.996         1531204632.0    聋了
16.066         1531142658.0    mmp声音太小那个给我出来，开始的时候卡住然后直接把声音跳到了60
16.126         1531315303.0    声音小的我信了你的邪
16.128         1531151784.0    在现场
16.213         1531212613.0    说声音小的我要打死你！
16.241         1531326145.0    散人干不死
16.259         1531146956.0    在现场系列~
16.379         1531265305.0    在现场
16.642         1531147986.0    我来了散人
16.643         1531292938.0    散人干不死
16.662         1531291586.0    看到这个界面我就想起来我当时看直播时无法抑制的嘴角的笑
16.723         1531208417.0    聋了。。。。。。。。。。。
17.041         1531271751.0    在现场！
