作品名称：这是我玩过的最恐怖的手机游戏
网址：https://www.bilibili.com/video/av26406132
更新时间：07-11
弹幕总量：3808
preciseTime    ofTime          comment
0.067          1531214778.0    更新了，嘤嘤嘤
0.083          1531203041.0    其他998个小伙伴你们好
0.102          1531272459.0    0秒按左键有惊喜
0.211          1531107511.0    达芬奇了解一下
0.299          1531148642.0    达芬奇，了解一下
0.504          1531116043.0    进度条感人！！！！哇！！！
0.589          1531226152.0    吱付宝搜索513421732，真不用谢我
0.626          1531134580.0    久违的观众老爷们 哇
0.695          1531139361.0    我是御坂美琴高能君，这次更名了，这次又是奶奶，特别怂奶奶的建议不要看了...除非看我们的高能预警
0.905          1531288157.0    恐怖奶奶
0.919          1531216587.0    大家一定要去百度搜索这个
1.112          1531261863.0    我们同学之前天天玩这个。（留学狗
1.155          1531217245.0    好帅✧打开支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.573          1531228949.0    百度的那个别跑，老子给你断子绝孙
1.639          1531119504.0    游戏中文名:外婆
1.677          1531219640.0    百度搜索那个你别跑！
1.877          1531225680.0    l
1.945          1531148041.0    中国boy我爱你
1.962          1531122621.0    加油
2.281          1531112168.0    看鬼畜了解一下
2.5            1531114020.0    @怪物学院
2.836          1531124742.0    6548
3.041          1531142046.0    我刚看完亲孙子捉弄外婆然后突然发现猩猩的新视频
3.155          1531219899.0    啊啊啊
3.378          1531128202.0    高能君护体
3.391          1531231926.0    大家好
3.399          1531131117.0    咋又是恐怖游戏
3.521          1531205312.0    这游戏叫外婆，我玩过，吓哭了
3.648          1531107977.0    2333
3.655          1531112199.0    三刷
3.86           1531123294.0    我玩过很刺激
4.01           1531122634.0    dafenq
4.035          1531196099.0    一点都不下人
4.039          1531222564.0    又开始了
4.041          1531209651.0    高产猩
4.081          1531116485.0    请求高能支援
4.203          1531205167.0    欢迎回来
4.269          1531130698.0    奶奶
4.522          1531211260.0    dfgh
4.879          1531221002.0    百度的别走！
4.895          1531139583.0    来了
4.949          1531140565.0    又又又又是恐怖游戏......瑟瑟发抖
5.024          1531113472.0    这个我也玩过呢
5.034          1531108503.0    之前我看了这个游戏我感觉特别好笑
5.04           1531217625.0    .
5.16           1531124678.0    1433223,
5.239          1531147501.0    达芬奇了解一下
5.27           1531118065.0    哎呦
5.439          1531130637.0    没弹幕?
5.455          1531131425.0    玩过
5.483          1531118953.0    又是恐怖游戏耶！
5.585          1531108873.0    达芬奇
5.698          1531130959.0    rng牛皮
5.7            1531111929.0    嘿嘿
5.82           1531115421.0    达芬奇
5.841          1531113589.0    达芬奇了解一下
5.878          1531117797.0    游戏名：奶
6.32           1531304921.0    啊啊啊啊
6.518          1531144097.0    哈!又是恐怖游戏
6.57           1531122667.0    来来来个弹屏轨去个弹幕怪
6.654          1531137105.0    又是恐怖游戏，嘤嘤嘤
6.656          1531176732.0    嘿
6.676          1531126404.0    手机版玩具熊的午夜后宫了解一下
6.718          1531139961.0    液，boy也玩这个游戏了!
6.78           1531111741.0    呼叫高能军
6.785          1531135538.0    看鬼畜啊
7.082          1531114708.0    Woc！boy真的做了这个游戏！
7.102          1531220076.0    达芬奇了解一下
7.137          1531141675.0    喜欢你的衣服
7.139          1531219267.0    达芬奇！！！！
7.16           1531116101.0    boy我之前看了一个视频，你B站粉丝数第17名
7.201          1531273984.0    恐怖奶奶
7.279          1531145469.0    大晚上看
7.494          1531124558.0    中国man
7.62           1531141549.0    达芬奇了解一下
8.155          1531298474.0    dd
8.191          1531159871.0    妈耶
8.233          1531153522.0    没弹幕？
8.259          1531114060.0    真香警告
8.281          1531114350.0    达芬奇
8.319          1531127876.0    2333
8.364          1531121821.0    达芬奇了解一下
8.618          1531124196.0    来来来个弹屏轨去个弹幕怪
8.646          1531144622.0    一天前
8.882          1531130709.0    不恐怖
8.96           1531133664.0    承包我家boy
9.045          1531211392.0    总感觉boy说起话来像GAI
9.176          1531126783.0    1472
9.21           1531148049.0    boy我爱你
9.299          1531117803.0    奶
9.38           1531281126.0    大猩猩球崛起
9.523          1531129942.0    一会儿又要笑死了
9.638          1531289400.0    你又帅了
10.161         1531232364.0    碎蛋狙击手也玩了
10.259         1531119014.0    。。。。
10.519         1531305447.0    Bye bye~~~~~~~~~~~
10.527         1531235135.0    只有我自己觉得像坑爹哥么
10.659         1531286520.0    恐怖奶奶！！！
10.758         1531128566.0    又玩恐怖游戏。。。。
10.772         1531182050.0    哎，评论这么多，怎么看啊
11.353         1531131745.0    你再不更达芬奇和鬼畜我就取.........你！！！
11.359         1531143438.0    奶奶
11.499         1531137014.0    弹幕君在吗？
11.69          1531214791.0    死里开坑，从不填坑
11.71          1531174162.0    玩具熊
11.737         1531115657.0    在哪下载啊
11.94          1531216674.0    一天到晚的恐怖游戏mmp
12.001         1531142455.0    我不听我不听
12.118         1531113556.0    突然高清
12.288         1531116100.0    达芬奇了解一下
12.368         1531113466.0    别刷达芬奇了好吗？好烦
12.705         1531217751.0    达芬奇了解一下
12.899         1531108830.0    达芬奇了解一下
13.041         1531216852.0    我玩过，就没出过厨房之外，被捶的颠来颠来，
13.641         1531131451.0    当初被吓到丢手机
13.659         1531233037.0    天线宝宝了解下
13.708         1531110112.0    用手机玩恐怖游戏远远比电脑玩吓人
13.712         1531253820.0    在
13.751         1531113182.0    太好了我最喜欢看恐怖游戏
13.802         1531134971.0    233
14.377         1531148286.0    。
14.74          1531266471.0    boy这衣服我买了
14.824         1531232795.0    凋独秀使用隐形挂在奶奶后面放了个雷，游戏结束。
14.933         1531119179.0    大猩猩
15.199         1531221642.0    玩过哈哈哈哈哈
15.378         1531129570.0    (ノ°ο°)ノ求高能君
15.397         1531175883.0    达芬奇了解一下
15.445         1531180989.0    我要去玩
15.492         1531122163.0    真的想说达芬奇了
15.57          1531280402.0    求高能！
15.699         1531240182.0    玩通了都
15.741         1531123469.0    这是个背叛
15.808         1531107972.0    不是手机吗？咋会有鼠标？
16.04          1531185478.0    译名外婆，扑家上下过
16.198         1531118167.0    23333
16.241         1531239357.0    达芬奇亲了解一下
16.252         1531113706.0    没事没事，天天晚上看cc的恐怖视频！我越来越害怕🌚🌚🌚
16.3           1531108842.0    达芬奇达芬奇
16.56          1531145223.0    所以说达芬奇是啥
16.62          1531288647.0    玩过
16.806         1531226082.0    这难道不是个爷们吗
16.881         1531284041.0    不是手机吗
17.619         1531198906.0    达芬奇
17.749         1531154536.0    半夜十二点一个人 走了走了
17.84          1531145147.0    玩过
18.336         1531288144.0    恐怖奶奶
18.541         1531114008.0    怨宅了解一下
18.638         1531130275.0    这个当时和舍友玩的！！整个宿舍都入了这个坑哈哈哈哈哈突然被吓死
18.687         1531221426.0    达芬奇
19.148         1531141635.0    在怪物学院了解的恐怖奶奶
19.329         1531119670.0    达芬奇了解下
19.443         1531270822.0    达芬奇
19.486         1531134206.0    啧啧啧
19.584         1531139939.0    dfqdfq
19.607         1531197954.0    护眼小分队
19.662         1531142032.0    这个游戏下过来就玩了一次就没再敢玩过
19.698         1531140940.0    弹幕护体
19.779         1531140485.0    恐怖之眼了解一下
19.88          1531114526.0    再见
20.283         1531202133.0    撒贝宁你好
20.443         1531217124.0    瘦长鬼影了解一下
20.48          1531301066.0    达芬奇呢？？？
20.5           1531291939.0    邪神遗产也还好
20.51          1531140201.0    玩过，而且是去年？？？
20.598         1531139049.0    刷达芬奇的刷够了吧
20.767         1531113676.0    nice…！！！！
20.93          1531160375.0    恐怖老奶奶挑战
21.333         1531176769.0    哦那就不看了——嘿嘿😁
21.425         1531228223.0    老奶奶？？？
21.44          1531115523.0    想玩！
21.589         1531291388.0    哇我看到过但是没玩
21.779         1531124409.0    达芬奇了解一下
21.988         1531123080.0    棒槌？？？
22.243         1531204130.0    2：52 奶奶高能3：47 奶奶来找猩猩没找到4：25 奶奶找到了猩猩 6：38 奶奶找到了猩猩 高能7：30 奶奶路过猩猩10：30 猩叫高能12：40 奶奶路过猩猩 13：30 奶奶
22.405         1531298930.0    gran
22.499         1531113445.0    鬼畜
22.508         1531113493.0    roblox出了一堆同款granny你居然不造2333
22.58          1531297419.0    恐怖奶奶经常上怪物学院
22.66          1531279852.0    谁敢关了弹幕看？
22.729         1531119676.0    达芬奇了解下
22.994         1531275471.0    第一眼看成gay
23.04          1531139778.0    天天达芬奇达芬奇，脑子是不是不够用？
23.4           1531298605.0    看，头动了……
23.487         1531282057.0    卧槽这个封面就有够
23.6           1531206139.0    谷歌商店一直推荐这个游戏的😂😂
24.026         1531148063.0    王瀚哲我要给你生猴子
24.106         1531113570.0    听到这我默默的看了一下标题
24.216         1531298035.0    准备玩！来着！
24.262         1531108476.0    高能君照顾一下
24.566         1531209758.0    怕到出不了门一直躲在床底的估计就我一人了吧（瑟瑟发抖）
