作品名称：ã€�RNGé˜Ÿå†…è¯­éŸ³ç²¾å��ç‰¹è¾‘ã€‘RNGå…¨é˜Ÿéƒ½æ˜¯å�‘Bâ€¦â€¦æˆ‘å¥½åƒ�å¿˜è®°æŠŠå°�æ˜�çš„å�‘bæ“�ä½œæ”¾è¿›å�»
网址：https://www.bilibili.com/video/av26408754
更新时间：07-12
弹幕总量：393
preciseTime    ofTime          comment
0.521          1531197118.0    封面秀啊
0.666          1531121079.0    网吧队伍名不虚传
1.49           1531117474.0    xiyang的表情
2.115          1531187696.0    。。。。。。。
2.77           1531318817.0    OMG的人流上单
3.17           1531142496.0    大树为什么复活这么快啊？
4.103          1531390235.0    bgg。
4.433          1531299001.0    这画质真舒服
4.817          1531320254.0    不错
4.904          1531227628.0    世界冠军网吧队
5.401          1531126929.0    连着看了三遍，哈哈哈，好欢乐
5.922          1531230005.0    卡。。
8.281          1531124921.0    前方高能
8.439          1531320264.0    。。。
9.341          1531318831.0    人流上单夕阳
9.827          1531384399.0    吱付宝首页搜索“86OO14”只能帮你到这了
9.994          1531292131.0    ，
11.857         1531129450.0    交封不杀
12.688         1531237511.0    香锅叫皇子去死  又叫飞机去死
13.365         1531211861.0    开头这个是哪个素材里的
13.938         1531153581.0    右下小窗口看得好欢乐
13.939         1531076074.0    哈哈哈怂的一批好可爱啊
14.352         1531283840.0    上中野恩断义绝
15.067         1531276144.0    有点
15.209         1531158211.0    捞的一匹
15.782         1531324070.0    感觉逼格瞬间降低了
16.687         1531153388.0    啊哈哈哈哈
17.017         1531065533.0    严君泽bb机性感上线
17.259         1531126776.0    我去，那么欢快的？
19.14          1531276152.0    有点东西
21.692         1531173973.0    原来是表面稳如老狗，哈哈哈哈
21.771         1531153447.0    哎哎可以可以
22.662         1531078405.0    OMG教练：中为什么不放大？现在他已经没有脑子了
23.462         1531364287.0    你献祭一下皇子是最搔的哈哈哈
23.974         1531213909.0    告辞
24.116         1531384414.0    吱付宝首页搜索“86OO14”真不用谢我
25.507         1531134158.0    开心的一批
25.832         1531326034.0    我觉得让帝变让男之后没那么快乐了
26.237         1531323363.0    狗哥：我不能死蛤蛤蛤蛤蛤
26.866         1531154204.0    夕阳心态都崩了快
27.813         1531235137.0    卖一个可还行
28.734         1531126400.0    讲道理蛇女直接r三个减速都能杀一个
28.884         1531144184.0    哈哈哈不得不说这蛇女救了一队人w放的太随意了
29.003         1531126576.0    莱特敏有点搞hhh
29.268         1531159096.0    这么快乐的吗
29.289         1531236374.0    这么快乐的吗？！
29.309         1531137089.0    多劳哦
29.654         1531069765.0    偷偷抱走严君泽 
29.76          1531070621.0    欢乐上中野
30.347         1531278499.0    打比赛呢！！！严肃点！！！
30.438         1531118056.0    这段笑死
30.476         1531328625.0    卖一个，飞机死
30.51          1531341512.0    夕阳的表情哈哈哈，懵逼了
30.76          1531124828.0    2333
31.1           1531068408.0    真欢乐
31.32          1531198441.0    这怎么有点像网吧开黑
31.357         1531113858.0    太可爱了哈哈哈哈哈哎呀哎呀哎呀
31.411         1531113519.0    嘴上笑嘻嘻
31.44          1531209084.0    可以
31.979         1531122242.0    这TM跟网吧5黑有什么区别？
32.201         1531117065.0    你看这快乐的上中野三兄弟
32.439         1531125476.0    23333mdzz
32.442         1531066160.0    哈哈哈哈
32.477         1531076161.0    严安妮你怎么这么可爱啊我的天
32.575         1531144784.0    远古素材
32.978         1531227667.0    多快乐啊哈哈哈哈我
33.084         1531370827.0    支付搜索  520238153  你会感谢我的
33.843         1531128410.0    快乐就完事了
33.941         1531151310.0    快乐猪男快乐飞男
33.962         1531217082.0    比赛怎么欢愉的吗
34.15          1531312715.0    三个儿童
34.153         1531148773.0    这几个是在网吧开黑吧
34.178         1531152557.0    笑死了，letme好可爱
34.279         1531276303.0    快乐
34.429         1531136084.0    他们贪心了  想留两个
34.473         1531112141.0    这三个人好快乐啊
34.751         1531101404.0    23333
35.001         1531111162.0    真欢乐
35.409         1531068167.0    6666
35.58          1531135731.0    这个不是好久前的吗
35.718         1531134423.0    什么是快乐，这，就是快乐
35.758         1531119890.0    欢乐
35.923         1531115353.0    快乐就完事了
36.118         1531101394.0    丧心病狂
36.219         1531071516.0    额
36.51          1531132292.0    bb就完事了
36.637         1531141818.0    村口网吧队
37.199         1531136126.0    献祭别人
37.337         1531180527.0    快乐
37.631         1531125336.0    锅老师先让献祭皇子，再让飞机去死，安排的明明白白的
37.657         1531130952.0    村头网吧五黑实况2333333
38.013         1531138670.0    letme残血状态反杀能力超强，经常被迫双杀三沙
39.037         1531308374.0    666666
39.239         1531127732.0    锅：你献祭一下皇子  哎这飞机怎么没死啊
39.58          1531116944.0    这真的是在打比赛吗
39.861         1531139396.0    唉！？这飞机怎么没死啊？？
40.238         1531057581.0    严君泽笑起来好好看啊
40.357         1531118783.0    66666
42.338         1531159998.0    23333333333
42.439         1531113563.0    献计一下皇子
42.58          1531068968.0    君泽是帅的呀
42.851         1531151938.0    哈哈哈这三个
43.26          1531046837.0    爆♂我
43.665         1531144387.0    澡酱又赛前口嗨队友了
44.734         1531121289.0    快乐支队
46.351         1531115513.0    这是打比赛还是网吧开黑啊
47.291         1531110714.0    哈哈这飞机怎么没死
51.328         1531126927.0    承包史森明的傻笑
51.36          1531376118.0    小狗不是新疆口音嘛23333
51.459         1531137066.0    泽少。。。
51.521         1531214183.0    表白小明!
53.02          1531317061.0    队霸uzi（滑稽
53.065         1531139245.0    泽拉斯是两个极端
53.109         1531116466.0    跟我哥们开黑一样有趣
53.947         1531302661.0    真的打比赛？
54.139         1531321886.0    233333
54.141         1531129942.0    ？？？？？哈哈哈哈哈
54.226         1531143559.0     狗子日常皮一波
54.265         1531065572.0    哈哈哈哈哈哈哈哈
54.379         1531196185.0    这就开始背圣经了
54.43          1531095868.0    2333333333
56.161         1531219068.0    圣经警告
56.299         1531068517.0    哈哈哈
56.574         1531116230.0    哈哈哈
57.259         1531194263.0    小狗先把队友怼自闭233333
58.124         1531273291.0    这波不亏！你也许血赚，但我永远不亏！
58.367         1531390442.0    下学期农产品之前千呼万唤会成为关dhdbfdr
58.401         1531069844.0    呵呵哈哈哈。
59.161         1531068456.0    为什么越看严君泽像龙我
61.565         1531311865.0    姿态毕竟贵妇，哈哈哈
61.659         1531364545.0    搞笑的
62.247         1531187258.0    太欢乐了吧
62.974         1531114711.0    先攻击了一波队友哈哈哈
63.146         1531195547.0    hhhhh哈哈哈哈
64.688         1531155012.0    总感觉r n g 队内很快乐
64.721         1531223002.0    哈哈哈哈哈哈哈哈哈哈哈哈哈这几个二傻子
65.7           1531222500.0    万丈龙我的站住
68.002         1531114429.0    万丈龙我吗？
68.82          1531087098.0    gay虎这是在吃槟榔？口香糖文化呢
69.499         1531129819.0    风哥！
70.17          1531146981.0    给我反馈啊
70.354         1531143595.0    哈哈哈哈哈
70.749         1531143710.0    为什么香锅的镜头那么白
71.234         1531293818.0    假面骑士看多了前面的
73.295         1531113868.0    锅老师发型很霸气
74.979         1531138284.0    黑化原来是这里来的
75.389         1531065504.0    风哥
76.072         1531136865.0    让男黑暗画风
