作品名称：ã€�ç¬¬äº”ã€‘å´©å��å°�ä¸‘ï¼ˆè£˜å…‹ä¸­å¿ƒå�‘æ‰‹ä¹¦ï¼‰
网址：https://www.bilibili.com/video/av26420846
更新时间：07-12
弹幕总量：1550
preciseTime    ofTime          comment
0.0            1531275366.0    111
0.046          1531215785.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.062          1531303527.0    ...
0.401          1531189268.0    表白小疯子！
0.419          1531233523.0    昨天在Uki上看到安利就来了！！
0.678          1531356114.0    承包裘克小天使啊啊啊
0.761          1531376162.0    情敌们·，拉锯吧，小疯唧是我的
0.781          1531197504.0    你被官方盯上了
0.861          1531147325.0    你被官方盯上了
0.916          1531192817.0    你被官方盯上了
1.299          1531198883.0    周可儿我喜欢你
1.519          1531202049.0    你被官方肛上了
1.538          1531199767.0    欢迎回来
1.547          1531245732.0    第五人格需要你，小丑先生，我们需要你
1.632          1531220270.0    官方看上你了！
1.644          1531152816.0    你被官方肛上了
2.177          1531363760.0    你被官方盯上了
2.317          1531196053.0    你被官方盯上了
2.461          1531151411.0    你被官方盯上了
2.707          1531269266.0    围观靓仔
3.019          1531188813.0    你被官方盯上了
3.078          1531184476.0    你被官方盯上了
3.079          1531216467.0    在下名叫官方盯
3.341          1531229998.0    Uki是什么
3.342          1531217256.0    官方盯上了谁？
3.348          1531175432.0    我吹爆这个手书啊啊啊啊啊啊
3.396          1531194022.0    你被官方吻住了
3.421          1531233291.0    Uki是一款交友软件 挺好玩的
3.56           1531150573.0    你被官方盯上了
3.579          1531146029.0    你被官方肛上了
3.82           1531231370.0    uki大军前来报道
4.019          1531228564.0    你被官方盯上了
4.494          1531183436.0    ！！！！
4.521          1531144252.0    你被官方盯上了
4.6            1531232069.0    Uki大军空降
4.688          1531145815.0    给裘克打call，我为你痴为你狂为你框框撞大墙
4.82           1531197372.0    你被官方盯上了
4.862          1531227994.0    /
5.011          1531296123.0    周可儿我来承包
5.018          1531200113.0    大家好我是官方盯
5.099          1531149362.0    你被自己盯上了
5.145          1531173820.0    你被官方盯上了！！！
5.241          1531221142.0    你被官方盯上了
5.294          1531152092.0    你被官方盯上了
5.501          1531192412.0    表白九可儿！！！（小疯子红）
5.655          1531312330.0    你被触漫官方盯上了
5.704          1531294982.0    裘克girl前来支援
5.878          1531188678.0    你被官方吹爆了
5.936          1531230055.0    UKI已经这么火了吗。。
5.973          1531148723.0    你被官方盯上了
6.419          1531281367.0    你把官方盯上了【滑稽】
6.454          1531146604.0    裘克色
6.491          1531196643.0    你被官方盯上了
6.891          1531192268.0    你被官方盯上了
6.914          1531371707.0    你被官方盯上了
6.96           1531191250.0    从老福特来的！！！
7.161          1531222362.0    你被官方盯上了
7.241          1531149266.0    你被官方盯上了
7.276          1531231139.0    你被官方盯上了
7.315          1531159557.0    承包庄园第一靓仔周可儿！！！
7.455          1531303537.0    `﹀`γ
7.797          1531292944.0    ..
7.825          1531183242.0    官方被你盯上了
8.34           1531202273.0    你被管方看上了。
8.568          1531219512.0    你真的被官方盯上了
8.579          1531150431.0    *一个骑着靓仔的火箭经过
8.641          1531230008.0    什么是Uki
8.828          1531282025.0    靓仔
8.86           1531231388.0    应该不止我一个人喜欢uki吧
9.131          1531290090.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
9.223          1531281102.0    你被官方盯上了！
9.249          1531195943.0    承包靓仔
9.319          1531180998.0    官方盯上你了
9.578          1531199510.0    哇我昨天来还没有那么多人呢
9.635          1531281282.0    表白小疯子
10.058         1531231601.0    你被官方盯上了
10.229         1531145418.0    你被官方顶上了
10.359         1531283214.0    围观靓仔
10.536         1531144204.0    你被官方盯上了
10.629         1531232562.0    uki的大军们举起你们的双手
10.883         1531151533.0    裘克我的
10.936         1531147621.0    我叫官方盯，我是无辜的
10.99          1531193254.0    哦哦哦哦哦哦
10.992         1531288126.0    你被官方盯上了！
11.317         1531155009.0    我永远爱靓仔！
11.447         1531222109.0    你被官方盯上了
11.52          1531232101.0    Uki我也玩了一晚上
11.743         1531209344.0    有哪位玩乐乎的兄弟，注意到了上面的芷岸君了
12.019         1531181745.0    靓仔啊
12.219         1531188158.0    你好我叫官方盯
12.341         1531177137.0    不就是硬币吗拿去泪目
12.542         1531183244.0    吹爆
12.604         1531287709.0    你被官方盯上了
12.779         1531369265.0    我永远爱靓仔！！！！！！
12.901         1531230797.0    uki大军路过一下
13.064         1531178982.0    看我发现了什么
13.226         1531241862.0    这歌超虐的..
13.325         1531145330.0    你被官方盯上了
13.521         1531267598.0    你被官方盯上了
13.524         1531188196.0    超喜欢这首歌！
13.569         1531196301.0    你被官方盯上了
13.6           1531193839.0    表白小疯子！！
13.638         1531146881.0    6666
13.719         1531144574.0    表白裘克！
13.748         1531229438.0    UKI大军还有三秒钟到达战场！
13.792         1531303543.0    可怕
13.882         1531159237.0    表白小疯子！！！
13.935         1531204408.0    不错
14.081         1531288120.0    最喜欢小疯子!
14.165         1531222167.0    小疯子我喜欢你
14.595         1531203765.0    红色警告！！
14.603         1531183637.0    你被官方盯上了
14.842         1531208577.0    表白太太！表白裘克！我爱你们！
14.881         1531273191.0    最喜欢小疯子！
14.992         1531310880.0    表白靓仔qwq
15.176         1531226214.0    你被官方盯上了
15.209         1531161840.0    你被官方盯上了
15.338         1531217326.0    表白裘克！！
15.44          1531151094.0    表白靓仔
15.442         1531152108.0    靓仔
15.7           1531194823.0    小疯子是我的！！！小疯子是我的！！！小疯子是我的！！！
16.133         1531144233.0    表白靓仔！！！
16.139         1531231560.0    UKi好玩吗？求解答
16.222         1531381825.0    官方盯是谁
16.245         1531324353.0    woc!还真是这首歌！
16.25          1531232998.0    UKI求盯
16.386         1531282071.0    表白小疯子裘克！
