作品名称：底特律：化身男♂魂
网址：https://www.bilibili.com/video/av26421989
更新时间：07-12
弹幕总量：1065
preciseTime    ofTime          comment
0.0            1531307741.0    rua
0.077          1531305890.0    冷酷无情的van酱
0.093          1531223258.0    哈哈哈哈哈哈哈！！！！！
0.392          1531277531.0    火钳刘明
0.474          1531234259.0    化身广东人
0.623          1531133431.0    火钳刘明
0.737          1531269631.0    那个男人会来吗
1.031          1531322610.0    王保佑我期末考试进步定来还愿
1.293          1531240079.0    螳螂♂劲敌
1.383          1531232316.0    欢迎回来
1.443          1531314326.0    基友我知道你在看
1.497          1531307365.0    火乾鎏名
1.563          1531264798.0    飞飞
1.693          1531271848.0    火钳刘明
1.782          1531223677.0    敢问苍天饶过谁
1.886          1531232169.0    deep♂特律：变van
1.888          1531364507.0    封面毫无违和感
1.96           1531123375.0    火钳刘明
1.969          1531226348.0    deep♂特律
2.069          1531272229.0    该来的还是来了
2.128          1531141347.0    giao清画质
2.158          1531289138.0    底特律：成为兄贵
2.467          1531130042.0    火钳刘明
2.611          1531135782.0    火钳刘明
2.642          1531289826.0    螳螂劲♂敌
2.704          1531207426.0    汉克哭了
2.731          1531239322.0    该来的总会来的
2.796          1531207181.0    火钳刘明
2.872          1531212969.0    该来的还是来了
2.898          1531226787.0    火钳留名
2.912          1531229926.0    终于对底特律下手了么
2.923          1531309914.0    火钳刘明
3.037          1531181629.0    来了，该来的还是来了！可怕！
3.1            1531282133.0    van助我大物比过
3.101          1531317458.0    就好这口
3.283          1531228529.0    就好这口
3.308          1531371301.0    哇
3.367          1531222413.0    火钳刘明
3.508          1531231946.0    23333
3.549          1531245484.0    蓝字你很危险！带我一个我也好这口
3.552          1531215556.0    终于还是来了
3.752          1531238165.0    仿生人 尻♂纳
3.912          1531207475.0    该来的迟早会来
3.915          1531138968.0    该来的还是来了
3.921          1531309375.0    2333
4.008          1531209099.0    该来的还是来了
4.17           1531208775.0    该来的总会来
4.213          1531283573.0    火钳刘明
4.218          1531249899.0    X2
4.285          1531232974.0    火钳刘明
4.339          1531231785.0    火钳刘明
4.41           1531221305.0    火钳刘明
4.421          1531140741.0    火钳刘明
4.461          1531298914.0    我王金龙今天就要撸死在这里
4.494          1531226945.0    火钳刘明
4.514          1531230933.0    哲学哲学哲学哲学哲学哲学哲学哲学哲学哲学哲学哲学哲学哲学哲学哲学哲学
4.72           1531211195.0    尻♂纳van硬逼♂
4.962          1531224472.0    呱唧
4.999          1531306485.0    新人都是怪物
5.024          1531356877.0    火钳刘明
5.031          1531236626.0    该来的
5.107          1531302974.0    广东人♂
5.131          1531234417.0    火钳刘明
5.262          1531374720.0    火钳刘明火钳刘明火钳刘明
5.43           1531226099.0    该来的总是要来的
5.451          1531228899.0    明示投币
5.656          1531236653.0    火钳刘明
5.681          1531292331.0    火钳刘明
5.793          1531203745.0    火钳刘明
5.83           1531208608.0    该来的总会来的
5.977          1531131936.0    火钳刘明
6.181          1531279649.0    该来的还是来了
6.232          1531146060.0    火钳刘明
6.411          1531321623.0    Ass♂we♂can
6.457          1531301513.0    火钳留名
6.475          1531227685.0    火钳刘明
