作品名称：做一大浴缸的果冻在跳进去洗澡会怎么样？饿了还可以吃点果冻
网址：https://www.bilibili.com/video/av26425496
更新时间：07-11
弹幕总量：986
preciseTime    ofTime          comment
0.0            1531297926.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.173          1531148836.0    会被拍成视频
0.218          1531096648.0    让我想起了水晶之恋，咦，我怎么黄了
0.413          1531204182.0    比利的妈妈鲁爆蛋～
0.487          1531106144.0    填充还行
0.658          1531070386.0    一大缸果冻在洗澡
0.676          1531103359.0    关上前10的大门
1.198          1531121640.0    我们是冠军
1.381          1531112465.0    有人发现没有全面屏了吗
1.464          1531195176.0    会被敬汉卿做成视频发到b站
1.532          1531106149.0    浴缸快跑
1.697          1531286888.0    包皮垢味的果冻了解一下
1.74           1531271750.0    就你吃得下
2.075          1531129896.0    会被拍成视频发到b站，顺便糟蹋了一大浴缸的果冻
2.221          1531068615.0    1001
2.622          1531189017.0    你们家浴缸真是除了正经洗澡什么事都干过了
3.0            1531102208.0    刺激
3.141          1531134461.0    会发到b站。
3.16           1531101002.0    会被拍成视频发到b站上
3.199          1531152399.0    刚从泥石流哪里过来，我决定不粉他了，来粉你
3.23           1531102297.0    你个败家子
3.36           1531206695.0    会被录成视频发到b站
3.58           1531149963.0    全屏那
4.12           1531124752.0    666666
4.341          1531115536.0    我的第一条弹幕
4.737          1531222991.0    你的名字。
4.759          1531075123.0    没有全面屏  差评
4.819          1531070305.0    2
4.85           1531214590.0    大声喊出我们的名字
4.969          1531126523.0    呕
5.38           1531205302.0    。
5.861          1531118378.0    全面屏版的呢
5.877          1531118217.0    是你吗洗澡宝强
6.206          1531104134.0    浴缸还被装过胶水
6.221          1531208706.0    不作不死？硫酸洗脸了解一下
6.326          1531139630.0    截图给谁看
6.332          1531185044.0    你用模仿别人的创意。。。。。
6.43           1531066917.0    没有全面屏？
6.953          1531073828.0    这个男人
7.08           1531067852.0    1
7.107          1531141434.0    昨天
7.141          1531067572.0    2
7.16           1531072783.0    ⊙∀⊙！
7.319          1531201038.0    辣椒洗澡
7.36           1531292270.0    快手？？
7.444          1531156128.0    没有全面屏了
7.578          1531123065.0    壕无人性
7.594          1531110093.0    我们总是冠军🏆
7.738          1531100591.0    欲肛
7.802          1531104414.0    洗完就没有了
7.901          1531092578.0         1
7.926          1531105655.0    看我你就是15.7w以后了
8.279          1531229836.0    光之高兴
8.549          1531206757.0    @野生冻物
8.553          1531240512.0    你莫名上的像我男神诶
8.565          1531130914.0    1分钟前
8.574          1531073833.0    变态
8.727          1531306110.0    大多数看你视频都是未成年
9.067          1531223015.0    单身么
9.18           1531101653.0    我有一个大胆的想法
9.406          1531146999.0    啊啊     全面屏的那
9.531          1531067030.0    1
9.681          1531103383.0    我也想试一次
10.101         1531140210.0    全面屏版呢
10.11          1531073839.0    死神之子
10.319         1531067026.0    浴缸快跑！
10.399         1531126574.0    全面屏呢
10.619         1531120581.0    浴缸快跑！
10.954         1531125791.0    疯子
10.989         1531068697.0    lp
11.16          1531097373.0    浴缸快跑
11.239         1531073982.0    全面屏咧？
11.426         1531126504.0    fff
11.459         1531127732.0    我觉得你有一天会作死
11.549         1531112631.0    你又要来祸害浴缸了
11.701         1531104614.0    为所欲为
11.719         1531113015.0    浴缸快跑
11.752         1531099718.0    2321
11.806         1531141253.0    还能吃吗？浪费食物！！！！
11.816         1531071529.0    浴缸，快跑
11.828         1531100794.0    作死卿
12.201         1531069079.0    浴缸酱快跑
12.274         1531089853.0    14万
12.45          1531108130.0    敬汉卿保佑我期末考好
12.959         1531279091.0    为LPL夺冠喝彩
12.96          1531078147.0    全面屏呢
13.045         1531109248.0    哈哈哈
13.141         1531125906.0    坚果Pro2没全面屏很难受
13.279         1531067553.0    全面屏呢
13.285         1531265542.0    浴缸快跑
13.354         1531112320.0    奢侈
13.758         1531069842.0    浴缸快跑
13.851         1531141696.0    榨汁机过时了，现在轮到浴缸了
13.914         1531108190.0    浴缸快跑
14.021         1531078802.0    浴缸快跑！！！
14.083         1531110286.0    果冻快跑！！！！！
14.182         1531284920.0    果冻快跑
14.32          1531114820.0    没有全面屏，差评
14.38          1531148120.0    喜之郎
14.419         1531291388.0    浴缸快跑
14.519         1531126309.0    66666666666666666666666666666666666
14.615         1531068639.0    没有全面屏差评
14.719         1531095064.0    浴缸快跑！
15.066         1531194518.0    全面屏呢？
15.301         1531109694.0    浴缸快跑
15.319         1531107344.0    浴缸快跑
15.521         1531067955.0    会上传到B站
16.009         1531102324.0    妈见打系列
16.039         1531239952.0    雪碧泡xx
16.302         1531067480.0    全面屏呢？
16.568         1531097207.0    浴缸快跑
16.72          1531107315.0    可怕你这人
16.82          1531121194.0    全面屏呢
16.851         1531151371.0    今天入题好快
16.981         1531125930.0    小米平板4跪求全面屏
17.12          1531095089.0    浪费食物
17.134         1531137580.0    先投俩币
17.153         1531112480.0    洗完后全部吃掉
17.236         1531144837.0    LPL别在这撒野
17.342         1531128410.0    嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯
17.379         1531077790.0    rabbits
17.451         1531102821.0    要用二班的果冻粉😁😁😁
17.49          1531067484.0    全面屏用户表示视频小了很多
17.491         1531201093.0    刺激
17.5           1531112890.0    刚刚买到了全面屏手机，你就不给我弄全面屏啥意思
17.797         1531193838.0    我们又是冠军
17.824         1531144632.0    浴缸：mmp.我跑不了啊
17.951         1531129381.0    标题什么鬼，在和再傻傻分不清
18.224         1531143806.0    虫子粉
18.481         1531096343.0    全面屏去哪了
18.484         1531131977.0    浴缸快跑
18.56          1531096129.0    浴缸快跑
18.601         1531103439.0    我不喜欢全面屏
18.827         1531070668.0    地主家的傻儿子
18.941         1531138487.0    哈哈哈
19.172         1531205680.0    穷死粉。
19.339         1531137476.0    QQ糖
19.53          1531067399.0    @野生冻物
19.546         1531204125.0    。
19.746         1531157899.0    浴缸君快跑！！！！
19.86          1531095399.0    全面屏没了
19.905         1531112503.0    看好你哦，骚年
20.274         1531127405.0    TM全面屏呢
20.284         1531134537.0    全面屏呢？
20.481         1531105198.0    全面屏呢
20.612         1531107400.0    欲缸快跑！
20.626         1531151282.0    之前的不作会死开头呢
20.762         1531135313.0    浴缸现在走还来得及
20.82          1531187543.0    浴缸快跑
21.34          1531122281.0    探究细胞内物质传输效率与体积大小的关系
21.679         1531283059.0    我们是冠军
21.996         1531257103.0    lol的别再无关视频刷弹幕 好没素质
22.038         1531125308.0    @野生冻物
22.732         1531077795.0    tank
23.279         1531145906.0    全面屏没了
23.381         1531148802.0    全面屏版本的呢
23.572         1531107009.0    我在吃果冻………
23.76          1531097368.0    就不照顾一下我3840×1080 32:9的带鱼屏吗
23.82          1531095155.0    果冻和浴缸快跑！
23.839         1531132946.0    这一次王者荣耀，决赛hero胜利了是吗
23.849         1531220367.0    6666666666
24.194         1531108522.0    琼脂很贵的
24.24          1531134047.0    好贵的……
24.596         1531158355.0    穷紫粉
24.731         1531192292.0    浴缸赶紧跑，你打不过的！浴缸:我打不过，我也跑不过
25.163         1531131998.0    植物生长素哈哈哈哈哈哈哈哈哈哈哈哈
25.183         1531111032.0    一整个浴缸的培养基……
25.29          1531146907.0    浴缸快跑
25.398         1531114899.0    浴缸快跑！
25.421         1531103647.0    全面屏版本的呢？
25.563         1531146121.0    失身福利
25.958         1531146349.0    固体培养基
25.96          1531072020.0    穷籽粉
26.907         1531139664.0    虫子粉
26.959         1531236615.0    虫子粉
27.54          1531110279.0    虫子粉？！
27.58          1531098947.0    虫子粉？？？
27.86          1531067443.0    @喵桑
28.051         1531069723.0    12800
28.092         1531190819.0    虫子？
28.24          1531140726.0    然后跟果冻一起洗澡的你就熟了.……
28.4           1531212518.0    桌面上是砸痕？
28.5           1531137504.0    好家伙
28.514         1531205595.0    培养基讲究
28.953         1531109265.0    好想吃
29.266         1531222298.0    2P呢??
29.301         1531106286.0    组培培养基😂
29.362         1531067132.0    想吃
29.501         1531307767.0    我当初看他的时候才六百多粉 现在都破百万了吗
29.827         1531145524.0    2p不见了
29.864         1531287630.0    培养基，对，培养基
29.909         1531220382.0    ...
29.991         1531201286.0    哈
30.057         1531209453.0    壮我大FFF
30.495         1531125655.0    可以吃吗？
30.599         1531109344.0    胚芽鞘你的琼脂被人拿来泡澡了
30.91          1531161368.0    衣服袖子有线头
31.025         1531125944.0    细菌培养基
32.141         1531117214.0    那不是做固体营养膏培养皿的原料么…
32.36          1531098315.0    快去请卢来佛祖
33.128         1531077805.0    best March
33.925         1531145499.0    我们是冠军!
33.979         1531101682.0    浴缸酱快跑！
34.703         1531091197.0    这年头浴缸都会跑了
34.842         1531148441.0    一百度？
35.039         1531283079.0    我们是冠军
35.609         1531074191.0    穷纸粉?
35.779         1531214305.0    不好意思，我幻想过这事。。。。。
35.837         1531098167.0    蟑螂快跑~！
35.994         1531223813.0    虫粉~
36.057         1531141865.0    我是papi酱
36.11          1531110721.0    。。。。简单
36.126         1531139433.0    有钱
36.585         1531132022.0    胚芽鞘的等等我！
36.82          1531227502.0    热得快了解一下
36.961         1531092663.0    浴缸快跑
36.993         1531226791.0    琼脂的触感不是果冻啊
37.182         1531112924.0    鱼胶粉
37.76          1531228256.0    agar的出来
37.799         1531154470.0    我们是冠军什么梗啊
37.98          1531086303.0    lpl的走错片场了
38.476         1531068836.0    就不能直接往里面直接加100度的水么？
38.63          1531101915.0    求子粉
39.544         1531143833.0    举报
40.127         1531149536.0    。。。等等这个发热包有单卖的，汗青你是不是傻
40.175         1531137525.0    好家伙
40.298         1531080333.0    菊花里面会塞满果冻(｢･ω･)｢
40.327         1531145909.0    我没开弹幕？
40.621         1531067809.0    emmm
40.646         1531098805.0    胭脂粉？？？
40.971         1531140031.0    发骚包!
41.086         1531073883.0    浪费
41.091         1531184838.0    汉卿肉体hahahaha痴汉脸
41.138         1531108219.0    果冻快.....算了你跑不掉了
42.249         1531102370.0    刷冠军的别ky，懂？？？
42.261         1531151227.0    呵呵呵
42.265         1531103041.0    up：投币量达3000下期女装
42.267         1531112919.0    我们就来做吧😂
42.347         1531222645.0    这个超级烫，我吃过这个火锅的，烟超级烫
42.52          1531130509.0    同款
42.694         1531120323.0    欸
43.434         1531106167.0    那是化学外gua
43.924         1531132293.0    暗影猎手，准备就绪
44.134         1531149190.0    用热得快不行吗？
