排名：75
网址：https://www.bilibili.com/video/av26432881
更新时间：07-20
弹幕总量：5472
preciseTime    ofTime          comment
0.0            1531307435.0    吱付宝搜索“95O6639”，不过你会回来打死我的（滑稽）
0.052          1531306344.0    支
0.083          1531308061.0    吱付宝搜索“95O6639”，不过你会回来打死我的（滑稽）
0.161          1531472843.0    爸爸不要你了
0.197          1531284948.0    屏蔽关键词:羡慕
0.258          1531743611.0    今天雪好大啊，狗剩去吧
0.338          1531571948.0    狗子：？？？？？
0.439          1531912052.0    谁再叫咱太白狗，定要让他滚着走
0.464          1531327703.0    'i⌨️🍋🎱💽🥊🐑🐋🐑🐋🐪✨😔❤️📀🥊😔🍝🐸🍏🍌💜💓💗
0.537          1531329442.0    爸爸不要你了
0.557          1531659141.0    建议屏蔽99
0.639          1531592350.0    红字友情提醒，请弹幕屏蔽99，03。
0.797          1531298235.0    北方人表示羡慕这么大的雪
1.136          1531656822.0    什么动物进去的时候是斑点的，出来的时候是白的
1.239          1531575147.0    食
1.3            1531533220.0    见封滚
1.414          1531360777.0    玩个够玩个够玩个够
1.537          1531324311.0    标题搞事情啊
1.557          1531592381.0    红字友情提醒，请弹幕屏蔽99，03。
1.565          1531358012.0    我想说我既没有见过雪，而且也没有狗
1.693          1531488520.0    雪下的那么深。。。
1.917          1531588612.0    玩个狗玩个狗
2.11           1531360762.0    玩个够玩个够玩个够
2.32           1531874131.0    被雪淹没，不知所措
2.33           1531276421.0    南方人表示小学初中基本上每年都会有这么大的雪，高中开始就没有雪了
2.34           1531280455.0    看到这么厚的雪我有可能会扎进去
2.369          1531888210.0    玩狗玩狗玩狗
2.574          1531382572.0    之前我爸开越野车，结果陷在雪山上了，困了9个小时，玩了个够……
2.692          1531281670.0    翻译（空耳）：玩狗玩狗玩狗玩狗
2.725          1531287454.0    这
2.877          1531592390.0    红字友情提醒，请弹幕屏蔽99，03。
3.067          1531475360.0    打破1000弹幕
3.101          1531388410.0    开头笑抽系列
3.201          1531710080.0    播放量？？。。？。。
3.25           1531314609.0    狗：mmp
3.622          1531270581.0    建议屏蔽关键词
3.947          1531875267.0    🐶：妈妈，我不玩了，我要回家
4.29           1531276446.0    建议屏蔽弹幕“99年”
4.437          1531368322.0    白狗
4.486          1531907517.0    温一碗狗……
4.665          1531955647.0    前面喊太白狗的别跑
4.758          1531281621.0    玩个够
4.888          1531279458.0    玩狗一百哈～
4.91           1531905120.0    温馨提示:观看此视频可将加入关键词:来自
5.038          1531923510.0    玩个狗
5.223          1531906168.0    这是个很凉快的视频
5.294          1531633231.0    被狗千里袭杀的感觉真的不好
5.585          1531751054.0    芒果芒果
5.779          1531777482.0    发发发
5.928          1531907694.0    呵呵
6.015          1531359013.0    掉入雪中，不知所措。
6.032          1531287458.0    这个
6.443          1531318032.0    66666
6.558          1531284559.0    哪都有支付宝红包的睿智，举报了不谢
6.636          1531884167.0    玩狗玩狗
6.8            1531879950.0    立马变狼
6.897          1531282154.0    出不来的
7.029          1531273028.0    哈
7.103          1531793106.0    东想西想
7.262          1531283404.0    盗视频发原创？
7.699          1531963048.0    在刷
7.765          1531965865.0    温狗温狗
7.937          1531637784.0    遁地！
8.118          1531542589.0    23333333333333
8.73           1531320661.0    强烈谴责表示爱狗人士
8.766          1531379477.0    玩个狗
9.025          1531751078.0    一个臭芒果
9.054          1531374722.0    狗：这还玩个屁啊
9.119          1531271013.0    我的狗我的狗我的狗
9.319          1531318143.0    玩个狗。。。
9.425          1531784940.0    冷狗
9.853          1531554642.0    有没有看见电瓶车
10.024         1531792702.0    哈哈哈哈哈好可怜
10.291         1531581529.0    战术遁地！！
10.378         1531900381.0    玩个狗啊
10.439         1531330120.0    进度条感人
10.654         1531656849.0    猫子
10.662         1531308792.0    弱小
10.838         1531284786.0    狗不冷吗
11.034         1531832223.0    毛子
11.692         1531880820.0    在现场
11.995         1531277832.0    不冷吗？？😱
12.112         1531301687.0    狗球流
12.347         1531286229.0    ...
12.43          1531970409.0    哈哈哈
12.543         1531785860.0    你有想过被比你还壮的狼狗追吗
12.631         1531490157.0    会窒息吧……
12.926         1531286104.0    很平常啊
13.159         1531316027.0    密恐福利
13.34          1531283247.0    66666
13.37          1531295683.0    好坏坏
13.381         1531880377.0    冰脉护手
13.396         1531872318.0    狗:乔立马
13.486         1531978244.0    染色狗
13.527         1531276512.0    哈哈哈哈哈哈哈哈旺旺雪饼
13.862         1531385702.0    冰狗～
13.918         1531495707.0    看着像一身虫子，恶心
13.989         1531277521.0    这个看得我头皮发麻
14.058         1531311208.0    szz
14.086         1531270019.0    组队偷狗（2/100）
14.118         1531311585.0    被雪淹没
14.213         1531326600.0    石头啊
14.722         1531270296.0    封面我笑了
14.785         1531900562.0    冰脉护手
14.964         1531374629.0    看得我鸡皮疙瘩都起来了
15.142         1531685443.0    233
15.224         1531302152.0    爸爸不要你了
15.371         1531577495.0    港真我家狗冬天在雪地里撒野回来就是这样满腿雪球哈哈哈哈哈哈
15.541         1531542585.0    雪獒铠甲
15.838         1531275386.0    汪汪雪饼
15.899         1531656762.0    雪层里面应该会有空气的，不会窒息吧
15.925         1531286116.0    别担心
16.028         1531307597.0    组队偷狗(3/100)
16.36          1531286862.0    snow
16.532         1531377290.0    潜雪狗
16.996         1531904207.0    感觉有点虐待啊。。。
17.086         1531286143.0    狗和人一样喜欢玩，咋们也不是们这么
17.172         1531281651.0    耐力-20
17.356         1531650402.0    跟我家妞妞一样！！
17.485         1531678356.0    铃木大R好评
17.692         1531318043.0    😂😂😂😂
17.81          1531905064.0    爱雪人士表示强烈谴责
18.33          1531275675.0    6666
18.435         1531339479.0    虐待动物
18.6           1531666974.0    不冷吗
18.746         1531543948.0    这只和我家的好像啊
18.809         1531518675.0    2333
18.866         1531563742.0    冷不冷？
18.925         1531637587.0    鸡皮疙瘩长一身
18.958         1531641431.0    港真的拿个是客家人，讲真
19.079         1531286239.0    对不起没那大雪
19.12          1531286144.0    雪豹
19.2           1531582188.0    雪之护腕
19.25          1531783937.0    冰雪护腕
19.526         1531292413.0    我就没看过雪
19.551         1531292418.0    说冷的
19.756         1531270094.0    奥特曼里的怪兽
20.062         1531934910.0    茉莉上
20.468         1531906506.0    支咐宝首頁捜索“86OO14”这么优秀吗
20.478         1532025466.0    鱿鱼卷！
20.663         1531682589.0    Snow
20.684         1531279219.0    狗皮肤不会出汗谢谢
20.881         1531880398.0    lol冰拳原型
20.96          1531562786.0    它会感谢你的哈哈哈
20.982         1531279438.0    我也是，密恐
21.65          1531616235.0    冰脉护手
21.755         1531308943.0    看着好恶心
21.84          1531286318.0    JJ不冻的慌嘛
21.916         1531890224.0    snow dog
21.957         1531271651.0    很冷啊
22.034         1531715774.0    不会冷的你们放心吧。。。
22.037         1531279268.0    有点恶心，难受
22.08          1531876886.0    鸡皮疙瘩
22.155         1531867563.0    哇塞，666
22.286         1531495685.0    好恶心，密集恐惧
22.579         1532067620.0    【冰霜盔甲】装备，防御+100.附加寒霜伤害
22.839         1531557213.0    密恐突然想吐
22.87          1531904207.0    南方人，上次去了冰雪世界，踩进区一瞬间感觉要死掉
22.903         1531316207.0    南方人
22.994         1531897600.0    为什么看着好痛
23.065         1531785336.0    冰脉护手
23.084         1531900595.0    冰脉护手冰脉护手
23.119         1531305248.0    啊啊啊
23.222         1531762962.0    密恐表示很难受
23.238         1531587683.0    后面铃木隼好评
23.617         1531866914.0    密集恐惧症
23.856         1531763170.0    哈哈哈哈哈
23.871         1531485023.0    咱们不是动物?
24.018         1531285636.0    会冻坏的
24.066         1531638970.0    23333333333
24.289         1531271223.0    把你家狗供起来吧
24.319         1531621413.0    呦，新裤子
24.455         1531282659.0    面筋哥
24.473         1531850897.0    游戏里的装备也源于现实啊……
