作品名称：[2018洲际赛]7月8日 RNG vs AFS
网址：https://www.bilibili.com/video/av26432920
更新时间：07-12
弹幕总量：8337
preciseTime    ofTime          comment
0.0            1531129613.0    h
0.067          1531307326.0    吱付宝搜索“95O6639”，不过你会回来打死我的（滑稽）
0.258          1531137641.0    我们是冠军！！！
0.318          1531123087.0    我们是冠军!
0.519          1531375077.0    我们还是冠军
0.648          1531323268.0    我们是冠军
0.668          1531116125.0    这把为什么不上KT？！！！！！
0.798          1531119076.0    我来听最后一句“我们又是冠军”的!
0.868          1531226041.0    吱付宝搜索513421732，真不用谢我
0.917          1531189088.0    大将军辽北大捷，高丽军全线溃败
1.099          1531222905.0    等一下，等一下，我老公呢
1.293          1531129403.0    我们是冠军
1.306          1531150611.0    我们是冠军
1.358          1531223655.0    尊重点，请叫他蛋皇
1.4            1531198016.0    RW ：拼了也要让LPL战到最后！    RNG：RW已经够了，剩下的交给我们吧！
1.476          1531219654.0    吱付宝搜索513421732，真不用谢我
1.478          1531390720.0    来看剑魔跳舞
1.685          1531195043.0    希望拳头多在东北举办比赛，昨天现场看的无法自拔
1.819          1531144124.0    我们又是冠军
2.177          1531204976.0    我们又是冠军！
2.273          1531264401.0    好好好
2.337          1531368076.0    冥冥之中自有凯意
2.644          1531119872.0    基本操作！！！！！！！！！
2.688          1531308905.0     lpl
2.718          1531151611.0    mp
2.73           1531237141.0    我们是冠军，我们又是冠军，我们总是冠军！
2.9            1531316877.0    我们是冠军！！
2.986          1531251415.0    我们是冠军！
3.059          1531273151.0    我们是冠军
3.072          1531137217.0    我们是冠军
3.313          1531271739.0    我又来了！！！！！！！！！
3.337          1531115393.0    除了SKT，没有别的队伍在bo5第五局赢过lpl的队伍
3.355          1531220725.0    我们是冠军
3.397          1531359878.0    我们是冠军
3.498          1531200649.0    此时6185人
3.526          1531305210.0    训练赛kt0:4rng
3.543          1531232877.0    再来一遍
3.56           1531308498.0    我们是冠军🏆
3.625          1531282243.0    再看一遍
3.638          1531280657.0    因为所有人都以为是kt都在研究kt，而且非洲队也确实不弱。
3.851          1531371691.0    我们是冠军
3.968          1531137131.0    我们是冠军！
4.018          1531153011.0    我们是！冠军！！！！感动！！
4.07           1531191853.0    我们是冠军
4.14           1531224810.0    我们总是冠军
4.158          1531143843.0    我们是冠军
4.161          1531219627.0    死亡列车
4.2            1531198192.0    第三遍看，rw打kz看了六遍…
4.219          1531140920.0    我们是冠军
4.259          1531296195.0    我们是冠军
4.309          1531245481.0    dn
4.377          1531135293.0    冠军冠军！！！
4.519          1531179156.0    我们是冠军！
4.532          1531207557.0    我们是冠军
4.538          1531148476.0    rw，击个掌～
4.657          1531158335.0    我们是冠军
4.76           1531137442.0    我们是冠军！
4.811          1531122560.0    rng
4.839          1531121485.0    我们是冠军！
4.86           1531236973.0    巡
4.917          1531131021.0    我们是冠军，我们又是冠军，我们总是冠军！
4.979          1531175733.0    我们是冠军！
5.078          1531146275.0    hhh
5.1            1531122366.0    我们是冠军！
5.12           1531122152.0    我们是冠军！！！
5.178          1531184572.0    我们是冠军🏆
5.378          1531194276.0    我们是冠军
5.444          1531369126.0    我们是冠军
5.459          1531128896.0    我们又是冠军！
5.558          1531143051.0    我们是冠军！！！
5.62           1531140288.0    来看第3遍
5.652          1531118401.0    我们是冠军
5.699          1531353396.0    感谢rw!侠之大者
5.701          1531229446.0    感谢rw！！！
5.741          1531115724.0    我们是冠军
5.82           1531125168.0    rng牛壁
5.882          1531116032.0    我们是冠军！我们又是冠军
5.897          1531126524.0    冠军66666
5.963          1531147557.0    一天破百万!!!!
5.973          1531153244.0    我们是冠军🏆
5.998          1531119095.0    我们又是冠军!
6.034          1531125394.0    我们又是冠军
6.082          1531123399.0    我们是冠军，我们还是冠军，我们又是冠军，
6.139          1531142579.0    我们是什么，大声告诉我!
6.229          1531140774.0    现场打卡！
6.263          1531194065.0    我们又是冠军！
6.421          1531222594.0    我们是冠军！！！
6.529          1531214269.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
6.56           1531386727.0    我们是冠军！
6.625          1531197335.0    我们又又又又又又又是冠军
6.649          1531141187.0    最强赛区是lpl
6.656          1531144421.0    我们是冠军
6.66           1531138402.0    我们是冠军
6.677          1531138754.0    我们是冠军
6.68           1531120644.0    我们再次痛失亚军………
6.697          1531126272.0    总是冠军没意思啊
6.718          1531297251.0    你永远不会知道karsa在哪 而且你会发现香锅永远在你脸上
6.761          1531133006.0    LPL牛批！！！！！！
6.78           1531245409.0    我们是冠军
6.797          1531117712.0    再看一遍
6.798          1531150947.0    接下来就交给我们吧！！！
6.895          1531137786.0    这局节奏简直窒息。
6.918          1531162090.0    谢谢rw
6.92           1531153059.0    我们是冠军！
6.941          1531223477.0    这个真的在现场
7.18           1531237230.0    我们是冠军
7.193          1531137573.0    6666
7.199          1531232957.0    rngnb
7.279          1531125656.0    我们是冠军！！
7.424          1531142685.0    RNG的比赛有什么好看的 一觉醒来又是一场胜利
7.439          1531129938.0    我们是冠军
7.546          1531313912.0    第三遍了 放我出去
7.558          1531148385.0    弹幕呢？
7.58           1531316919.0    10180就是舒服
7.585          1531298925.0    6001
7.594          1531123199.0    我们是冠军🏆🏆🏆🏆🏆
7.678          1531116502.0    我们是冠军
7.742          1531293430.0    我们是冠军
7.851          1531116289.0    这场碾压
7.913          1531390692.0    我们是冠军
7.983          1531132004.0    我们是冠军！！！！！
8.098          1531135652.0    我们是冠军
8.099          1531274582.0    我们是冠军
8.268          1531117698.0    我们是冠军
8.276          1531135029.0    恭喜恭喜
8.339          1531273732.0    我们是冠军
8.352          1531212386.0    我们是冠军！！！
8.439          1531289603.0    第三遍
8.481          1531116014.0    我们是冠军！
8.499          1531117444.0    我们又是冠军
8.519          1531128002.0    我们又是冠军
8.542          1531151632.0    我们老是冠军！！！
8.6            1531307023.0    冠军
8.617          1531201270.0    我们是冠军！
