作品名称：领教一下百万成就点盲僧的恐怖 何为意识？
网址：https://www.bilibili.com/video/av26452887
更新时间：07-12
弹幕总量：742
preciseTime    ofTime          comment
0.0            1531213257.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.029          1531190629.0    h
0.221          1531098850.0    高清1080p提醒~
0.396          1531102795.0    失踪人口回归
0.678          1531135905.0    (๑•ั็ω•็ั๑)此人觉得:称得上是技术的是指这不利的地位，反杀对方，不是实力碾压。
0.953          1531384985.0    吱付宝首页搜索“86OO14”小意思不谢
1.023          1531131248.0    我以为杰斯的炮飞过去了
1.137          1531150545.0    应该说百万熟练度玩家的意识
1.209          1531150663.0    哈哈哈
1.427          1531141312.0    爷爷 你关注的UP主更新了！！
2.205          1531102502.0    失踪人口回归
2.565          1531103204.0    什么失踪人口，明明是诈尸了。
2.716          1531206543.0    就没人注意延迟吗。。
3.182          1531298722.0    666
3.332          1531100566.0    哟，失踪人口！
3.533          1531137958.0    666
3.604          1531110854.0    失踪人口
3.873          1531132453.0    真失踪人口
4.163          1531149499.0    哟 失踪人口回归
4.285          1531385000.0    吱付宝首页搜索“86OO14”这么优秀吗
4.48           1531269975.0    注意塔姆ID
4.516          1531133552.0    求bgm
4.582          1531106016.0    失踪人口回归
4.606          1531103495.0    看我刷出来什么了
5.004          1531121886.0    9999
5.093          1531131768.0    。。。。。。。。
5.196          1531133570.0    求bgm
5.246          1531196075.0    嘤嘤嘤
5.805          1531147523.0    BGM:梦爵师纯电环绕
5.874          1531099409.0    失踪人口回归
6.965          1531099624.0    终于更新了
7.188          1531150377.0    bgm：summertime
7.536          1531180744.0    这是真滴秀
7.548          1531142799.0    求BGM
7.686          1531279323.0    听说你很秀？盖伦教你重新做人
7.824          1531131801.0    这个预判牛逼啊
7.872          1531137447.0    此时我想说遇见一个青铜玩家立马完蛋走位不存在的
8.156          1531271061.0    神奇
8.207          1531274801.0    失踪人口回归
8.21           1531279169.0    我还以为封面的下一秒是瞎子把水晶箭踢歪了呢
8.212          1531186958.0    打的好不如接的好
9.277          1531135558.0    超级无敌托马斯回旋踢
9.626          1531113066.0    你终于想起自己的b站密码了
9.936          1531151783.0    学不来。劝退
9.939          1531273980.0    BGM?
10.46          1531130220.0    这预判
10.493         1531295879.0    这绝逼是开了人形挂
10.732         1531317978.0    首先你在白银和黄金压根用不到，因为对面可能连闪现都是原地操作的
10.847         1531209545.0    bgm     fribee
11.267         1531181248.0    闪现接Q
11.577         1531137966.0    GGGGGGGG
11.686         1531145372.0    炸胡合集
11.806         1531198561.0    打得好不如家
11.92          1531154897.0    在青铜局这些都是花里胡哨
12.004         1531127929.0    换电脑了！！！！！
12.354         1531285256.0    预判6啊
12.373         1531156685.0    BGM:Fribees - Ahxello
12.83          1531204340.0    十局只有一局这样
12.878         1531271501.0    判得好不如接得好
13.006         1531246070.0    77777
13.104         1531195908.0    这是炸胡，对面机器人太菜了
13.213         1531199736.0    这不是闪现去接Q吗？
13.699         1531158069.0    来试一下新疆的网甭管你是国服还是世界第几盲僧
13.848         1531137705.0    手机铃声
13.883         1531141316.0    诈和
14.186         1531143101.0    接得好
14.524         1531130641.0    闪现迁坟
14.672         1531298319.0    没预判到的你就看不见了
14.787         1531208867.0    (*°ω°*)ノ"非战斗人员请撤离！！
15.306         1531184310.0    哈哈哈哈哈哈前面想密码那个逗死我了
15.796         1531153386.0    BGM炸出
15.976         1531149994.0    我看过了？
16.165         1531183871.0    自古剪辑出大神
16.505         1531132218.0    。要是对面不闪怎么办，q空了不就尴尬了
16.621         1531150391.0    bgm好评
16.768         1531195660.0    青铜局毫无卵用
16.855         1531177205.0    这种事都是要有概率
17.324         1531295898.0    BGM:fribees
17.86          1531099910.0    失踪人口回归
18.292         1531181181.0    脚本
18.373         1531158133.0    都让你变成真瞎子
18.888         1531148645.0    我选择闪现
18.893         1531264786.0    顺杆爆炸
18.924         1531143758.0    全程看吸血鬼
19.223         1531281348.0    求bgm
19.367         1531139859.0    看到瞎子，就知道他下一步要怎么秀了
19.743         1531139011.0    BGM  frisЬee
