排名：85
网址：https://www.bilibili.com/video/av26453632
更新时间：07-17
弹幕总量：320
preciseTime    ofTime          comment
0.3            1531718940.0    自行搜索av26960230 爆笑后续内容哈哈哈
0.323          1531499803.0    VR聊天室
0.34           1531638075.0    自行搜索av26472451
1.398          1531739742.0    碧蓝航线:樟
1.582          1531611586.0    666
2.04           1531613844.0    🙈🙈🙈🙈🙈
2.099          1531539513.0    av26472451不谢
3.12           1531490269.0    太真实了
3.318          1531588623.0    av26472451
3.541          1531752020.0    卡爆
3.651          1531630489.0    。。。
4.082          1531593126.0    26472451
4.36           1531552462.0    碧蓝航线，樟
4.582          1531491639.0    对不起，我只爱血小板
4.941          1531487011.0    呵呵
5.219          1531495228.0    新型诈骗手段
5.481          1531660989.0    模型是樟诶
5.721          1531480559.0    我，可爱，打钱
5.966          1531487214.0    碧蓝航线的日本驱逐？！樟？
6.072          1531498428.0    这不是如月吗？
6.301          1531739093.0    刚看完这个人的视角
6.94           1531631333.0    哈哈哈哈
7.989          1531731884.0    笑死
8.04           1531646620.0    老马的女儿没跑了
8.18           1531565919.0    安排！
8.48           1531491132.0    这是马化腾的女儿吧
8.598          1531569634.0    虽然知道是骗子但是这也太可爱了
8.68           1531534487.0    一次六百
9.146          1531499919.0    这是如月
9.261          1531487204.0    支付宝？微信支付？搞什么鬼？
9.468          1531736218.0    什么游戏？？
9.921          1531501272.0    这么骚的吗
10.081         1531486119.0    我，观众，没钱
10.219         1531548758.0    真•卖萌
10.421         1531490414.0    哈哈哈哈哈哈哈哈哈
10.536         1531630748.0    那么，付款码在哪里？
10.621         1531706623.0    666
11.945         1531632552.0    插了耳机，声音……
12.2           1531558747.0    樟！蛤蛤
12.242         1531485055.0    别，这是大汉
12.279         1531565929.0    安排！
12.281         1531729841.0    卡哇伊！！！
12.627         1531628670.0    我这是在玩碧蓝航线呢（滑稽）
12.641         1531486812.0    请选择扶贫方式
12.819         1531731061.0    对不起，我只爱尼禄
13.115         1531534233.0    哈哈哈哈哈哈
13.16          1531571818.0    是个鬼的骗子，根本没真的要你给钱
13.352         1531560307.0    萌即正义
13.579         1531575492.0    卖萌挣钱
14.131         1531498137.0    樟
14.205         1531579909.0    。。。
14.654         1531532654.0    太真实了
14.828         1531491343.0    血小板那？？？
15.277         1531482348.0    樟╭(°A°`)╮
15.48          1531540781.0    新型诈骗手段
15.902         1531649550.0    UID:14248896搜索就是这个大佬
16.702         1531495245.0    哈哈哈
16.795         1531483683.0    碧蓝航线里的樟
17.838         1531638596.0    我以为我耳机坏了
17.96          1531615737.0    哇，贼六这都可以
17.979         1531642969.0    FBI open up!
18.361         1531586756.0    比卖花的还恐怖
19.521         1531661991.0    精准扶“贫”
19.88          1531494573.0    如月
20.071         1531482670.0    我耳朵瞎了？！？！？！？！
20.083         1531487334.0    熊孩子的下鞭腿
20.139         1531637051.0    对就走她踢他(。・`ω´・)
20.606         1531499034.0    惊悚乐园_觉哥技能：熊孩子的下鞭腿
20.665         1531549970.0    熊孩子的下鞭腿!
20.699         1531534643.0    头槌！
20.762         1531594929.0    熊孩子的下鞭腿
20.932         1531660410.0    我也是，以为耳机孔进水了
20.975         1531540451.0    好可爱啊
21.179         1531581161.0    惊悚乐园憋走!
21.247         1531687803.0    在危险的边缘试探
21.609         1531726478.0    发动技能：熊孩子的下鞭腿
21.748         1531641616.0    啊~呀~
22.082         1531564100.0    蓝猫三千梯
22.42          1531502369.0    萌出血
22.678         1531709212.0    你这是蓝猫淘气三千踢啊
22.797         1531539625.0    碧蓝航线 
22.94          1531584109.0    樟啊！
23.139         1531490306.0    这时候你就需要松了
23.185         1531718304.0    蛤蛤蛤熊孩子的下鞭腿惊悚乐园
23.219         1531656561.0    等会，这猫尾巴...我好奇...
23.527         1531564076.0    如月
24.029         1531623184.0    23333
24.12          1531675909.0    公交车处决
24.221         1531583133.0    这熊孩子还挺会玩啊
24.362         1531493252.0    你是蓝猫淘气三千踢啊!
24.437         1531523262.0    神马游戏
24.599         1531490428.0    卖萌可耻
24.619         1531581490.0    卧槽，全身追踪大佬
25.194         1531477012.0    怎么烧茄子
25.597         1531658497.0    全身追踪大土豪
26.402         1531650595.0    666
26.435         1531630386.0    卢本伟牛逼
26.749         1531721517.0    熊孩子的下鞭腿的够了
26.94          1531614382.0    过肩摔啊
27.699         1531702062.0    其实背后是个猥琐大叔扮的
27.767         1531585721.0    艾玛！心动的感觉_(:з」∠)_
