作品名称：珍爱生命远离一字马
网址：https://www.bilibili.com/video/av26455067
更新时间：07-12
弹幕总量：313
preciseTime    ofTime          comment
0.0            1531318988.0    支 付 宝搜索7220383，你会回来感谢我的
0.067          1531214777.0    9506639
0.341          1531287864.0    正片在53秒
1.422          1531133167.0    弹幕护体
1.678          1531194952.0    可耻的播放量
2.822          1531131153.0    ㎜
2.942          1531131721.0    可耻的播放量
3.264          1531192899.0    可（…）
3.585          1531300774.0    我有一个大胆的插法
3.934          1531194472.0    b站看片指日可待
3.986          1531125222.0    昨天看了一部就这样的
4.047          1531122242.0    我有一个大胆的想法
4.09           1531159407.0    属实二次元
4.32           1531187064.0    珍爱子孙，远离一字马
4.528          1531186822.0    我有个大胆的想法
4.54           1531370809.0    我有一个大胆的想法。。
4.889          1531163648.0    bgm：kings man --徐梦圆
5.001          1531117397.0    可以吗？
5.138          1531215492.0    我有一套完整的宪法
5.238          1531313166.0    我有一个大胆的想法
5.262          1531130175.0    我有一个大胆的想法！
5.4            1531127322.0    我有一个大胆的想法
5.522          1531160939.0    可以进去吗？
5.622          1531134632.0    我国有完整的刑法
5.951          1531297529.0    我国有一套完整的刑法
6.722          1531132908.0    我国有一套完整的刑法
6.744          1531186118.0    我有一个大胆的想法
6.919          1531191788.0    这个一点也不好看，我也就看了300多遍
7.504          1531184336.0    忽逼烈
7.719          1531217092.0    我国有一套完整的宪法
7.833          1531127740.0    大胆的想法
8.034          1531127667.0    我有一个大胆的想法
8.182          1531325281.0    37万播放，就这么点弹幕，你们的手在干什么
8.49           1531118934.0    后面一个 上面一个
8.766          1531129471.0    撕逼
8.881          1531135751.0    借一部说话
8.982          1531119214.0    以为没穿....
8.999          1531136376.0    冲洞的想法
9.269          1531120680.0    。。。
9.302          1531190881.0    珍爱肾命
9.32           1531125147.0    我好了
9.331          1531347822.0    我有一个大胆的想法
9.362          1531225876.0    可…可以吗？
9.542          1531134212.0    在下瞄人缝！
9.582          1531161993.0    瞬间各种姿势一套摆出来在脑海里
9.654          1531136550.0    真-撕逼
9.762          1531135523.0    我有个大胆的想法
9.842          1531130466.0    超软体，内村。
9.94           1531109337.0    女的没蛋
9.95           1531132073.0    我就喜欢这个姿势！！
9.975          1531135202.0    火钳刘明
10.161         1531293269.0    我有一个大胆的想法
10.176         1531118351.0    我有个大胆的想法
10.584         1531120891.0    左边一个右边一个
10.62          1531160993.0    👯👯👯👯👯👯
10.638         1531117991.0    可以
10.64          1531164020.0    呦
10.688         1531124463.0    鲍裂
10.755         1531128975.0    解释新姿势
11.027         1531131561.0    c
11.101         1531118416.0    我有一个大胆的想法
11.114         1531192916.0    我是地面
11.137         1531159843.0    后面一个，前面一个，上面一个，左右各一个
11.304         1531125138.0    我觉得可以上
11.362         1531124274.0    我媳妇没错了
11.367         1531130055.0    然后摔下去
12.021         1531276611.0    男孩子
12.068         1531133246.0    这个姿势。。。
12.091         1531118649.0    肛裂
12.259         1531327881.0    厉害
13.334         1531109248.0    火钳刘明
13.504         1531182830.0    前方高能预警㊓会
13.962         1531235932.0    哇塞
14.037         1531133625.0    这个姿势好
14.146         1531130939.0    污污污～
14.979         1531363090.0    我与死亡同行
15.466         1531131767.0    痛死了吧
16.277         1531180849.0    别动
16.37          1531120940.0    来吧
16.412         1531121391.0    bgm：only time
17.027         1531311784.0    查宁塔图姆
17.107         1531132597.0    可耻的播放量
17.27          1531121420.0    真撕逼现场
17.463         1531136151.0    神他喵内村，泥垢了
17.682         1531132922.0    模仿尚格云顿的卡车广告
17.81          1531132899.0    这可耻的播放量
18.415         1531131025.0    真的可以吗？
19.705         1531124203.0    对，很对
20.19          1531210955.0    哎呀厉害了
20.442         1531121334.0    恩雅
20.822         1531253999.0    尚格云顿
21.058         1531192022.0    鲁鲁修
21.775         1531165724.0    无一是处
22.26          1531120060.0    穿牛仔裤来?
22.441         1531229004.0    真实
23.172         1531159031.0    这裤子怎么一字马？
23.426         1531130282.0    Enya的歌啊～
23.488         1531241043.0    看不下去
23.907         1531131956.0    我靠突然不敢看下去了
24.001         1531232281.0    bgm好评
24.207         1531207804.0    真香
24.25          1531184304.0    裤子要完。
24.441         1531124188.0    扯蛋吧
24.688         1531130730.0    走好
25.002         1531131291.0    模仿尚格云顿
25.382         1531119452.0    bgm是啥啊
25.48          1531227541.0    可耻的播放量
25.501         1531121923.0    牛仔裤。。
25.69          1531118662.0    哈哈哈
26.121         1531134083.0    当时掀起来一股模仿热
26.664         1531134931.0    那是尚格云顿
26.862         1531132577.0    扯蛋
26.979         1531135031.0    兄弟裤子裤子
27.066         1531127908.0    扯淡
27.457         1531131308.0    真扯淡
27.643         1531135834.0    那是尚格云顿好嘛？↑
27.718         1531130166.0    扯淡
27.736         1531298051.0    这BGM···
27.921         1531130916.0    恩雅的only time
28.207         1531120282.0    Enya-only time
29.013         1531113848.0    模仿尚格云顿
29.073         1531133868.0    扯蛋？
29.32          1531119591.0    bgm:only time
29.736         1531121906.0    这是扯淡
29.8           1531123358.0    恩雅Enya
30.534         1531127656.0    这叫扯淡
30.583         1531125803.0    掏德？
30.656         1531193527.0    尚格云顿，还tm州长
30.662         1531269461.0    那个不是州长，是尚格云顿，广告名《伟大的劈腿》
30.775         1531132353.0    恩雅
31.422         1531191094.0    太慢了
31.64          1531168666.0    撤
31.995         1531124362.0    真，铁蛋
32.0           1531132378.0    下身一紧😱
32.183         1531128287.0    牛仔裤厉害
32.48          1531126018.0    真·扯蛋
32.558         1531286453.0    666
32.783         1531178359.0    州长你笑死我
32.978         1531128094.0    蛋裂
33.031         1531161505.0    帮他  用力
33.361         1531133959.0    心疼裤子
33.702         1531232116.0    牛仔裤？？0
33.997         1531359993.0    哈哈哈哈哈哈哈哈是我的没错了
34.001         1531307878.0    我担心裤子裆部
34.731         1531299355.0    裤子
34.761         1531122349.0    裤子扯得开吗
34.833         1531127898.0    远离生命珍爱一字马
34.885         1531135399.0    我有点慌
35.24          1531135199.0    瞎扯蛋
35.255         1531121073.0    勇士
35.529         1531123084.0    撕蛋
35.961         1531132538.0    穿牛仔裤玩一字马，脑子有问题吧
36.661         1531127802.0    尚格云顿啊哈哈哈
36.682         1531180098.0    一会会发生什么呢
37.406         1531130586.0    哈哈哈哈，我以为是电影片段
38.021         1531326162.0    裤子质量真好，没开裆
38.283         1531194940.0    我记得原来有个男的站两辆沃尔沃卡车中间
38.519         1531122029.0    老撕鸡
38.585         1531122451.0    裤子不行
39.067         1531124981.0    手撕鸡
39.337         1531136584.0    刺啦
39.632         1531132160.0    牛仔裤
39.788         1531229704.0    下体疼
39.864         1531184734.0    开了
40.651         1531127321.0    j
40.827         1531126445.0    死党
41.12          1531241060.0    看着都疼
41.284         1531133145.0    查宁塔图姆？
41.762         1531161871.0    以前可以
41.96          1531130050.0    牛仔裤真的没问题・_・?
42.121         1531162887.0    怎么感觉有点疼
42.348         1531211044.0    尚可云顿给汽车拍的广告
42.494         1531232601.0    恩雅
42.801         1531117466.0    卒  享年22岁
42.812         1531136951.0    陶德是你吗
43.015         1531109370.0    看着都疼
43.058         1531128009.0    牛仔裤好评
43.179         1531134520.0    查宁塔图姆
43.189         1531122833.0    真~扯蛋！
43.587         1531109287.0    看到这里就放心了
43.613         1531130048.0    前方高能
44.03          1531110938.0    这就是为什么只有女人更合适一字马。。。23333
44.169         1531130572.0    牛仔裤
44.372         1531127704.0    笑出猪叫
44.426         1531130812.0    牛仔裤，，
44.68          1531319372.0    哈哈哈哈哈哈哈哈
44.97          1531190727.0    机撕鸡
45.163         1531121409.0    尚格云顿:我敬你是条好狗
45.201         1531370598.0    no my丁丁痛
45.561         1531270669.0    真香
45.587         1531292542.0    弟弟疼
45.673         1531132964.0    扯淡
45.966         1531136475.0    淡腾
46.08          1531118939.0    哈哈哈哈哈哈哈哈
46.281         1531180370.0    扯蛋了
46.362         1531122675.0    扯淡拉
46.38          1531134346.0    。。。。
46.502         1531185952.0    沃尔沃卡车广告
