作品名称：超级组讯《剧说》第九十八期 嘉宾：朱一龙&白宇
网址：https://www.bilibili.com/video/av26457988
更新时间：07-12
弹幕总量：1223
preciseTime    ofTime          comment
0.0            1531156515.0    这个采访真的越看越好看……
0.08           1531226169.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.72           1531305249.0    剪车剪车
0.997          1531197840.0    上次发的弹幕被删了 再次表白白宇哥哥！！！！
2.381          1531389572.0    每天都要看一遍
2.561          1531218781.0    微博看完，B站再看一遍23333
2.645          1531156644.0    开头见
2.98           1531316608.0    再一次
3.059          1531148846.0    我又回来了！
3.104          1531376769.0    放我出去
3.121          1531318530.0    我又来了
3.669          1531381296.0    龙哥被暴击
4.18           1531149614.0    刚被提了神格的我又来啦！
4.763          1531236803.0    再来一次
4.879          1531150853.0    官方B站都有号啊
4.897          1531212383.0    这个“啊”好苏啊啊啊
5.494          1531174948.0    这一声哀叹 哈哈哈哈哈哈哈
5.546          1531148871.0    来加入组织
5.861          1531151720.0    微博看了b站再来一遍
6.21           1531189491.0    我从合集来的 因为想看大家的弹幕
6.235          1531323231.0    我又来了
6.313          1531362699.0    二刷
6.428          1531318208.0    哈哈哈哈哈哈哈哈哈
6.687          1531378957.0    龙哥：我忍
6.822          1531152574.0    再来b站看一遍hhhh
7.04           1531150014.0    已经忘了几刷
7.116          1531197298.0    我已经不知道是今天的第几遍了，完了完了，出不去了
7.381          1531212558.0    放过毛猴吧
7.936          1531154348.0    我又回来了！！
8.937          1531208603.0    这是官方啊~~~~
9.014          1531277645.0    刚看了花絮再来看一遍
9.416          1531151139.0    好有趣
9.557          1531208094.0    居老师居老师
10.19          1531218516.0    放我出去！！！
10.325         1531235311.0    啊输了
10.708         1531151676.0    哈哈哈哈哈哈哈哈哈哈哈
10.722         1531255780.0    太逗了
10.922         1531153250.0    我来啦
11.158         1531179340.0    来啦
11.264         1531183207.0    哈哈哈哈哈哈
11.304         1531295945.0    0.5倍速再来一遍
11.888         1531247967.0    有居老师必有我
11.94          1531318553.0    为龙哥白宇哥哥而来
12.339         1531294178.0    放过毛猴吧真的。
12.341         1531239830.0    哈哈哈哈哈哈
12.548         1531362175.0    哈哈哈哈哈哈哈哈哈
