作品名称：炉石传说：【天天素材库】 第103期
网址：https://www.bilibili.com/video/av26467462
更新时间：07-12
弹幕总量：1226
preciseTime    ofTime          comment
0.0            1531223476.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.099          1531132909.0    无无素材库
0.353          1531138193.0    6小时前
0.419          1531223879.0    除了我还有谁
0.438          1531142947.0    古往晕针
0.44           1531226113.0    吱付宝搜索513421732，真不用谢我
0.853          1531229462.0    在现场
0.878          1531155161.0    我们是冠军！！
1.118          1531131610.0    B站房价
1.199          1531134965.0    看到我你已经是32万后了
1.278          1531143174.0    42万。。
2.077          1531249888.0    天无素材库
2.177          1531137048.0    来了
2.243          1531160436.0    1111
2.304          1531137130.0    天灾和燃烧之间的对决
2.328          1531226954.0    啊
2.387          1531139844.0    1001
2.389          1531155713.0    提前晕针
2.528          1531303817.0    吱付宝搜索513421732，真不用谢我
2.56           1531139782.0    哩哩啦啦
2.739          1531152870.0    无无素材库
2.816          1531160088.0    看到我你已经是50万之后啦
2.822          1531301955.0    NM$L
2.847          1531387122.0    第666个
2.935          1531132260.0    前排坐好
2.986          1531254512.0    看到我你就已经是76万之后了
3.2            1531210169.0    无无素材库
3.202          1531133589.0    看到我你是30w之后
3.278          1531144937.0    ⊙∀⊙！
3.287          1531130018.0    无无素材库
3.334          1531369221.0    吱付宝搜索513421732，你会回来打死我的
3.34           1531130880.0    突然想起今天周一
3.357          1531135275.0    无无素材库
3.358          1531194393.0    无无素材库
3.414          1531152995.0    。。。
3.457          1531203814.0    无无素材库
3.58           1531136284.0    肛肛投递
3.609          1531130842.0    无无
3.67           1531137415.0    无无素材库
3.84           1531161212.0    11111
3.877          1531367925.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
4.038          1531130571.0    666
4.039          1531149610.0    看我刷到了什么好东西
4.1            1531134019.0    1111
4.177          1531129778.0    3小时
4.18           1531133424.0    无无素材库
4.239          1531145516.0    111
4.241          1531129680.0    三小时前
4.32           1531286577.0    无无素材库
4.419          1531133135.0    越来越短了
4.466          1531156995.0    看看我发现了什么
4.479          1531131332.0    2
4.598          1531139197.0    无无素材库
4.638          1531156374.0    前3000！！！！
4.693          1531156786.0    五五素材库
4.758          1531136593.0    看到我就是3w以后了
4.806          1531135818.0    5小时前
