作品名称：Pi,mite,摸黑生存P19~21
网址：https://www.bilibili.com/video/av26473130
更新时间：07-12
弹幕总量：4815
preciseTime    ofTime          comment
0.0            1531309345.0    吱付宝搜索“95O6639”，不过你会回来打死我的（滑稽）
0.034          1531128072.0    大家硬币点赞收藏走一波啊 弹幕多发 pi更有跟新动力~~~~~~~~~
0.067          1531151939.0    pi来啦啦啦啦啦啦啦啦
0.083          1531128373.0    我的天，更新了
0.1            1531126130.0    来了来了，大家踊跃发言啊
0.147          1531156246.0    天哪更新啦
0.276          1531130773.0    正在n刷前几p就突然更了
0.383          1531210224.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.536          1531128040.0    1725！！第一次这么靠前
0.542          1531133531.0    哇api更新了
0.682          1531131251.0    关上1.6万的大门
0.779          1531231089.0    MITR首发&汉化qq群：413669756
0.881          1531150174.0    先冲过来发个弹幕留恋，回去继续补前面的几p！
0.907          1531126421.0    刚考完试就看到PI更新了
0.999          1531190244.0    你还有脸回来
1.141          1531205050.0    周更！无穷无尽的快乐！
1.164          1531131541.0    啊啊！！是pi啊！！pi更了我死了qwqqq
1.247          1531127683.0    hello,pi好
1.278          1531131432.0    看之前先看一下这一p的名字
1.418          1531303195.0    吱付宝搜索513421732，真不用谢我
1.446          1531135530.0    天国的皮皮！！
1.536          1531130499.0    一小时前！第一次啊！！
1.563          1531134632.0    来啦
1.666          1531158626.0    惊了 该修仙了
1.699          1531147748.0    我在睡觉前发现了啥
1.717          1531126393.0    1
1.757          1531129234.0    大家多发弹幕哦
1.806          1531129170.0    啊啊啊啊啊啊我来了
1.995          1531126758.0    看我刷到了什么！
2.284          1531145749.0    啊啊啊啊啊！竟然更新啦！！！
2.292          1531128209.0    考完试看到更新，开心
2.341          1531137017.0    感谢更新！
2.36           1531134071.0    哇    终于更新了    等了好久啊
2.382          1531135742.0    先看下分p的标题
2.44           1531126821.0    来了来了来了
2.478          1531176489.0    来啦～
2.489          1531133301.0    哇
2.501          1531148902.0    全靠这个睡觉
2.538          1531313638.0    急速更新的pi
2.638          1531128499.0    哇！！稳定高产！！开心！！
2.651          1531127162.0    我康到了！！！
2.782          1531130415.0    周指活
2.901          1531222375.0    更新了！好幸福啊
2.958          1531141911.0    开心～下午买了零食回家发现更了 吹着空调吃着零食看视频
2.978          1531142963.0    点赞投币收藏推荐一条龙服务～～
3.051          1531146239.0    激动激动激动
3.091          1531131605.0    这个更新频率 感动到了
3.179          1531126003.0    我发现了什么
3.498          1531182514.0    深夜档的福利吗？早起才kan dao q
3.537          1531126166.0    五分钟前！
3.567          1531126736.0    更啦！！！！！！！！！！！！！！！！！！
