作品名称：【粤配】后街女孩 第一集 （蛊惑女仔）
网址：https://www.bilibili.com/video/av26481415
更新时间：07-12
弹幕总量：992
preciseTime    ofTime          comment
0.1            1531305691.0    66666
0.116          1531322876.0    嘀嘀嘀
0.451          1531329330.0    翡○台警告
0.743          1531364201.0    啦啦
1.074          1531352757.0    粤语好评!
2.638          1531212462.0    叫蛊惑少女比较好吧
2.789          1531384997.0    吱付宝搜索513421732，你会回来打死我的
3.058          1531178700.0    还行
3.134          1531297326.0    终于等到你
3.212          1531354524.0    再看n+1边
3.486          1531361729.0    哦哦哦哦哦哦
3.658          1531285083.0    标准粤语动画开头
3.855          1531235550.0    扑街你更新啦
3.858          1531144351.0    开始了开始了
3.905          1531350732.0    就服你
4.098          1531174984.0    哈哈哈哈
4.566          1531318443.0    我看到了什么？
4.619          1531356202.0    封面boynextdoor
4.932          1531154081.0    先笑为敬
5.226          1531316215.0    1.5X
5.29           1531347022.0    以下节目部分内容可能会令人情绪不安哈哈哈哈哈
5.538          1531325259.0    假期到了，降临
5.651          1531157646.0    怀念的感觉啊
5.941          1531368291.0    我只知道后街男孩，后街女孩什么鬼(๑•ั็ω•็ั๑)
6.194          1531350744.0    交易不能推迟啊！
6.323          1531139025.0    呢个好睇！
6.729          1531235595.0    睇多次
7.113          1531310569.0    来了来了来了
7.363          1531139297.0    更新啦，扑街
7.613          1531314273.0    更新啦，扑街
8.467          1531311445.0    系你
8.641          1531323929.0    yoo
8.652          1531150744.0    失踪人口回归
8.925          1531235576.0    有是你
8.954          1531278250.0    好好好
9.093          1531288277.0    哈哈哈哈哈哈哈哈哈哈嗝
9.181          1531365145.0    非战斗人员请撤离
9.611          1531281436.0    惊了
9.635          1531309363.0    又似你
10.044         1531203451.0    哈哈哈经典粤语
10.115         1531380794.0    呕像
10.137         1531238781.0    又是你
10.415         1531199540.0    OKOK
10.956         1531366745.0    梁逸峰！
11.018         1531321563.0    犀利嗲
11.03          1531283651.0    豪 俊 影 视
11.222         1531223385.0    诶？
11.291         1531387878.0    粤语差评
11.399         1531377038.0    林保全还行
11.659         1531221637.0    粤语配音肛肛的
11.88          1531303533.0    扑街你终于更新啦
11.907         1531320275.0    厉害了
12.074         1531153616.0    ..
12.647         1531381786.0    厚街女孩啊哈哈哈哈哈哈哈哈哈哈哈
12.837         1531141510.0    来了
12.933         1531371226.0    我听说你也是广door♂人
13.041         1531364215.0    领取啦啦
13.412         1531145872.0    哈哈哈哈哈哈哈胶味重啊
13.853         1531227684.0    233
14.899         1531147015.0    我就知道你会做这个哈哈哈哈
15.026         1531140730.0    广东人来也
15.328         1531322232.0    呕像
15.564         1531146280.0    23333
15.874         1531312000.0    标准粤语开场
15.879         1531189479.0    我看到了新六道
15.976         1531140241.0    出了，幸苦
16.098         1531182729.0    哈哈哈  回来再笑一遍
16.114         1531364265.0    ”
16.411         1531139035.0    更新啦扑街
16.589         1531151502.0    先投币！
17.094         1531203801.0    有点东西哈哈哈哈
17.217         1531144452.0    哈哈哈哈哈哈哈哈哈哈哈哈XJ
17.33          1531278000.0    2333
17.352         1531350259.0    66666666
