作品名称：【兄贵】最美情♂侣
网址：https://www.bilibili.com/video/av26486973
更新时间：07-12
弹幕总量：976
preciseTime    ofTime          comment
0.163          1531293043.0    封面交出来
0.197          1531149206.0    💃💃💃💃💃💃💃💃💃💃🏃🏃🏃🏃👯👯👯
0.278          1531213782.0    每日五遍
0.396          1531144589.0    说低俗的弱子左上角
0.398          1531302013.0    不标准开头
0.514          1531291432.0    [0,0,"1-1",5,"door♂阴/n /n   door♂阴/n/n      door♂阴/n   /n         door♂阴",0,0,20,20,500,0,true,"黑体",1]
0.518          1531245158.0    资源真多
0.633          1531327578.0    抖♂阴
0.721          1531143281.0    高产似那啥
0.778          1531347705.0    你上瘾了吧
0.957          1531204082.0    火钳刘明
0.958          1531148665.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
1.028          1531355577.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
1.104          1531287160.0    我刘铭泽今天就是要撸死在这里
1.198          1531230439.0    又是你这个土逼UP
1.401          1531148046.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
1.606          1531151393.0    9
1.872          1531374252.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.893          1531287138.0    我刘铭泽就好这口
2.097          1531209418.0    :
2.201          1531270686.0    歌名 苏喂XXXXX
2.278          1531309193.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
2.298          1531143220.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
2.398          1531191308.0    奥利给
2.518          1531274928.0    奥利给！！
2.672          1531268924.0    呃呃
2.684          1531371234.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
2.85           1531197832.0    ？
