作品名称：【允星河】哦呼！终极沙雕配音之财政危机
网址：https://www.bilibili.com/video/av26487596
更新时间：07-12
弹幕总量：1133
preciseTime    ofTime          comment
0.0            1531300655.0    爷关更系列
0.067          1531369365.0    填坑啊！！！！！！！！！！！！！
0.125          1531300209.0    支
0.688          1531218805.0    失踪人口回归
0.716          1531217163.0    失踪人口回归
0.846          1531300586.0    吱付宝搜索513421732，真不用谢我
0.878          1531184217.0    你还有脸回来
1.0            1531181980.0    看到我你就是13.5万后了
1.621          1531278750.0    おっふ
1.63           1531150647.0    上面的干嘛
2.397          1531194866.0    更新了！！！！！！！！！！
2.836          1531362063.0    有生之年系列
2.88           1531309454.0    爷爷！您关注的阿婆主更新了！您安息吧！
3.46           1531383219.0    最后一次了真的
3.562          1531205166.0    你还有脸回来
3.669          1531226134.0    爷爷！爷爷！你关注的up终于更新视频啦！
3.701          1531149511.0    失踪人口回归
3.818          1531330053.0    说白了就是穷了
3.928          1531388490.0    失踪人口回归
4.393          1531153049.0    我第几
4.8            1531230293.0    哦呼
4.801          1531149295.0    哦呼
4.914          1531223385.0    哦呼
5.062          1531188408.0    哦呼
5.28           1531183073.0    爷爷，你关注的up主更新视频了！
5.294          1531214882.0    噜啦啦噜啦啦啦啦啦
5.802          1531196428.0    第二刷，每天一次
6.099          1531155146.0    呵呵
6.1            1531273336.0    祖宗您关注的UP主更新啦。在天之灵安息吧
6.319          1531156459.0    六个小时11万播放你这是要逆天啊。
6.485          1531183214.0    你终于更新了
7.306          1531224243.0    你还有脸回来
7.397          1531154781.0    。
7.4            1531274545.0    暗示投币
8.344          1531200660.0    哦呼
8.441          1531184354.0    有生之年
8.612          1531183067.0    你还知道回来
8.978          1531363356.0    你的普罗允菲斯医院呢？
9.301          1531192184.0    生理期23333
9.8            1531154253.0    你是谁你为什么会出现在我的关注里
10.221         1531322252.0    爷爷你关注的up主更新了耶
10.692         1531184277.0    明示
10.801         1531273574.0    死亡人口诈尸
10.895         1531159504.0    冲了
11.829         1531176778.0    复活了
11.836         1531174579.0    看到我你就是12.7万之后了
12.36          1531204964.0    来晚了
12.465         1531320023.0    你还有脸回来?
12.658         1531225162.0    我的名字叫允星河又塞牙😂
12.974         1531219674.0    但是充电
13.301         1531194877.0    哇、
13.601         1531366570.0    真的关注了
13.611         1531217310.0    你还有脸回来啊
13.783         1531231793.0    哦呼
13.8           1531302613.0    终于更了，太爷爷！
16.321         1531312298.0    是你允学友
16.384         1531153721.0    暗示
16.694         1531290429.0    ohu
16.714         1531213647.0    233333333
16.959         1531362084.0    有生之年
17.258         1531174924.0    齐木星河的屮難
17.834         1531232805.0    真的呀，那我再点一下关注吧
18.881         1531190955.0    啊啊啊啊啊啊
19.173         1531283844.0    是不是去年四月成立的
19.22          1531192464.0    你还有脸回来
19.85          1531153120.0    你还有脸回来
19.878         1531174835.0    更新了更新了！
21.642         1531356042.0    沙发
22.0           1531154648.0    其实只能叫财务危机……不能叫财政
23.46          1531381098.0    齐木楠熊的bgm
28.66          1531282994.0    gg
28.9           1531201620.0    我有种失踪人口回归，我想幸福的跳窗的感觉
29.6           1531194894.0    不给你硬币
30.193         1531164947.0    靠爱发电
31.403         1531200766.0    2333333333333
32.119         1531159489.0    武装讨薪
32.281         1531190973.0    哈哈哈(ಡωಡ)hiahiahia
32.734         1531174237.0    1001
33.067         1531192239.0    2333333333333
33.741         1531203193.0    哈哈哈哈哈哈哈哈哈哈哈
34.437         1531285243.0    2333333333333333333
35.002         1531213665.0    噗哈哈哈哈哈哈哈哈哈哈哈哈哈
38.691         1531225777.0    233333
38.892         1531273223.0    发工资 讲究
39.44          1531273325.0    (*Ӧ)σ怼他
40.67          1531192290.0    一包泡面 每顿吃只二分之一 你将永远吃不完
40.72          1531366609.0    一天一包方便面
40.98          1531289570.0    你还有脸吗？😂
41.147         1531160674.0    2333333333333
41.431         1531155341.0    bgm齐神
44.12          1531157052.0    一荤两素三个汤
46.115         1531153806.0    优秀
46.849         1531202600.0    好清晰的图
47.532         1531161850.0    方便面可是永远吃不完的永动机啊！！！
48.683         1531235466.0    为何你如此优秀
48.727         1531211236.0    对不起，有无数种分法
49.409         1531191961.0    砸碎吃不好吗
49.511         1531194656.0    😂😂😂
49.841         1531366626.0    猝不及防
49.899         1531206909.0    我可以告诉你不止
49.986         1531238353.0    优秀
50.497         1531285265.0    233333333333333
50.532         1531152077.0    不规则图形无数种
50.775         1531190619.0    你可知道，茴字有三种写法
51.458         1531303678.0    前面武装讨薪的你给我过来哈哈哈哈笑死我了
51.549         1531238383.0    同种面积的兄弟
51.98          1531273392.0    多的是解法
52.74          1531210814.0    23333333
53.035         1531200183.0    为什么去年四月份不开这个会
53.92          1531148982.0    早餐可以吃少
54.318         1531164730.0    66666
54.387         1531232855.0    2333333333
54.593         1531160688.0    666666666666
54.976         1531190030.0    捏碎之后称三份
55.179         1531307896.0    66666666666666666666
55.196         1531222573.0    TESTV值不值得吃，了解一下
55.715         1531246112.0    吉井明久？
56.049         1531164376.0    上海方便面    便宜
56.164         1531194920.0    不是有54万硬币吗
56.917         1531182986.0    榨汁分三份
57.217         1531203778.0    有道理
58.392         1531180599.0    为什么觉得你是以身试法
58.48          1531151923.0    三分是一样大小的，只有5种好吧。
58.795         1531224730.0    茴字有四种写法
60.718         1531188202.0    哈哈哈
61.331         1531287804.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
63.231         1531153533.0    哈哈哈，最喜欢配音了
63.403         1531311566.0    从中间切，平着分三分
64.295         1531309537.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
65.461         1531150395.0    暗示种族歧视，举报了。
65.973         1531221898.0    交妄想税
69.2           1531233435.0    营改增
69.528         1531185089.0    阿阿阿bgm是致命之吻里的！！
70.023         1531187865.0    1313
70.101         1531289610.0    工资是个好东西希望我也有
71.253         1531152676.0    亏损不用交税
74.06          1531366657.0    我这个……
79.466         1531157471.0    亏损了可以用后几年的来抵的
83.179         1531156563.0    小允子的视频弹幕不能断。
83.248         1531184805.0    23333333333333333333333333333333333333333333333
86.033         1531174880.0    ，2333333
87.22          1531282587.0    有道理
88.172         1531149258.0    想起了狮子
88.52          1531153264.0    有瑕疵
89.174         1531159472.0    233333
90.357         1531232834.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
90.397         1531197381.0    那个最左边的表情是鲁迅吗？？？
90.649         1531309581.0    弹幕一定要接上去
90.695         1531183866.0    23333333333333333
90.954         1531224343.0    。。。。。
91.808         1531206978.0    大侦探视感
93.244         1531307046.0    扁桃的你够了
96.573         1531206851.0    哈哈
97.155         1531193894.0    应该是如果今天不发工资就不开会了
98.296         1531215659.0    23333
100.096        1531188800.0    否命题，不一定成立
100.557        1531150478.0    逻辑满昏
101.203        1531203108.0    0..0
101.481        1531366691.0    23333
101.603        1531177442.0    好逻辑
101.99         1531197938.0    哈哈哈
102.577        1531287881.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
103.183        1531160744.0    懵逼了 哈哈哈
103.533        1531276109.0    不是啊，否前肯后没有必然结果！！
104.555        1531366750.0    嗯不要嘛O_o
105.961        1531151628.0    否命题，高中数学逻辑运算的基础知识
107.199        1531319620.0    哈哈哈好骚
107.417        1531287888.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
108.66         1531181051.0    假命题爸，没听说过否命题，搞笑
110.401        1531279998.0    23333不要嘛
112.555        1531155473.0    科普：前面弹幕说的逆否命题是公务员考试逻辑推理中的一种题型。
113.065        1531286495.0    那个说没有的是初中生吧，高中有否命题逆命题逆否命题，别丢人了
114.752        1531206670.0    先把李老板关个几十年
114.791        1531154944.0    否命题就是相对于原命题既否定条件，又否定结果
115.758        1531155806.0    经济法……kao
115.883        1531153936.0    23333
116.621        1531191065.0    23333333333333333
116.63         1531319653.0    66666
117.504        1531197304.0    否命题都不知道嘛，高中数学教的吧
117.541        1531149565.0    你已经水了两分钟了
117.633        1531188936.0    我一直以为椅子是她们的西装
118.06         1531388724.0    熟练的让人畏惧
119.254        1531302632.0    光头强好倒霉
120.758        1531184344.0    已经两分钟了
121.072        1531295503.0    大迪奥辛苦了
121.075        1531385436.0    666
121.215        1531205298.0    拖时间
121.24         1531187605.0    2333333333333333333333333333333333
121.278        1531210288.0    6666666
123.435        1531215684.0    233333
124.672        1531153411.0    月结的公司不是好公司
125.781        1531153452.0    半个月发一次还可以逃s
125.862        1531155416.0    快1/3了
126.117        1531366780.0    6的一批
126.458        1531302651.0    光头强以哭晕在厕所
128.199        1531184496.0    23333
129.335        1531237261.0    2333333333
129.78         1531230012.0    会计的在这
130.334        1531250618.0    说白了就是提醒该充电了
130.646        1531287954.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
131.768        1531203296.0    6666666666
132.355        1531187616.0    哈哈哈哈哈哈哈哈
134.542        1531228284.0    只有我注意到提交打成提高了吗
134.635        1531213765.0    2333333333
134.82         1531181142.0    才发现BGM是心美专用BGM哈哈哈哈哈哈
136.655        1531298301.0    23333333333333333
136.774        1531183935.0    经济法基础
136.96         1531183613.0    233333
139.499        1531153406.0    字幕有错字
141.505        1531308375.0    暗示充电
141.706        1531199878.0    确实是这么写德
141.952        1531192360.0    2333333333333333333333333333333
141.965        1531309658.0    光头强：喵喵喵？可以这样的吗？
142.54         1531322022.0    暗示充电
143.047        1531285375.0    2333333333333333333
144.384        1531200883.0    2333333333333
146.159        1531182404.0    学会抢答了233333333
146.172        1531307224.0    、
147.542        1531319686.0    2333333
147.592        1531324234.0    233333333
148.519        1531197484.0    3333
151.522        1531179815.0    他们有大瑕疵2333
151.61         1531149737.0    23333
152.14         1531193151.0    xhejs
153.561        1531193186.0    这就是允星河，一个用几张图片就能编出故事的人
154.387        1531185112.0    漫长的九分钟哈哈哈哈
159.616        1531192381.0    2333333333
159.659        1531183640.0    66666
159.901        1531196600.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
