作品名称：【第五人格】谁说盲女不能摇椅？住手快停下！这和我想象中的盲女不一样！
网址：https://www.bilibili.com/video/av26488575
更新时间：07-12
弹幕总量：398
preciseTime    ofTime          comment
0.0            1531297277.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.397          1531315597.0    吱付宝搜索“95O6639”，不过你会回来打死我的（滑稽）
1.26           1531136192.0    目测跟网络有关
1.295          1531380059.0    看左上角，是绿色的网，所以应该也许大概不是网的问题
1.488          1531132781.0    1
2.453          1531278066.0    地窖已开启
2.532          1531132704.0    183
2.633          1531132702.0    2
3.627          1531146937.0    你被官方盯上了
4.452          1531133035.0    839
4.831          1531181148.0    改模型
5.108          1531137269.0    大雕盲女
5.173          1531146560.0    细思极恐
6.296          1531275732.0    自定义瞩目
6.348          1531132707.0    好前✧٩(ˊωˋ*)و✧
6.885          1531213322.0    这个盲女连盲杖都没有
7.058          1531132631.0    1
7.14           1531287767.0    实在对不起，我听成了你是叶修😂
7.687          1531229316.0    啦啦啦
7.734          1531273742.0    改模型了仔细看走法是园丁
8.135          1531277625.0    就是自定义来卡bug的，你实战给我卡bug?
8.333          1531327453.0    然后她就没有优点了
8.65           1531145796.0    等等盲女可以换道具的吗
8.743          1531132677.0    1
8.922          1531272904.0    假装没有看到自定义
8.955          1531149247.0    ！
9.033          1531298697.0    吱付宝首页搜索“86OO14”只能帮你到这了
9.699          1531180848.0    ？！
9.734          1531282713.0    第三人格
9.758          1531132919.0    天线
9.796          1531189916.0    小丑打不到?
9.998          1531132725.0    182
10.34          1531263292.0    bug
11.411         1531134902.0    3602
12.451         1531143998.0    盲人按摩
12.624         1531132778.0    2分钟前
13.189         1531132682.0    不
13.391         1531143047.0    盲女能捡东西?
13.55          1531229322.0    啦啦啦
14.535         1531181673.0    移动WiFi
15.729         1531269579.0    快手暖歌已盗，要举报
16.673         1531150107.0    嘤嘤嘤
16.928         1531287043.0    地窖开启？
17.205         1531132671.0    1
17.867         1531133051.0    7分钟
18.439         1531156971.0    打飞了好远哈哈哈哈
19.003         1531192095.0    说盲女不能换道具的 打脸
19.066         1531132688.0    我2
19.174         1531282009.0    澳门x家x场上线啦～性感盲女在线摇椅……
19.192         1531193392.0    妈耶妈耶
19.362         1531181136.0    上面显示地窖开了，说明盲女走了
19.456         1531182217.0    惊了
19.522         1531282096.0    这糟糕的封面:棒棒
19.577         1531157726.0    官方：明白
20.02          1531160301.0    盲女什么时候可以捡东西了？！
20.799         1531246975.0    盲女本来就不能换道具，这是改的摸，前面说不能换道具打脸的你自己打脸
22.312         1531132837.0    盲女不瞎啦！
22.537         1531188763.0    自定义了解一下
22.623         1531148211.0    给教程，谢谢
22.627         1531143404.0    更新后好多Bag
22.644         1531191117.0    ???
22.906         1531150804.0    吓人！
23.234         1531180638.0    克利切：被安排的明明白白
23.298         1531153487.0    3个人？
23.737         1531145541.0    有个阿婆主全亮了
25.254         1531275336.0    自定义了解个头，有本事你自定义弄出来了解一下
25.905         1531146123.0    敲地板后有点减速知道吗
26.024         1531197110.0    这是卡出bug了吧
26.436         1531135807.0    海伦凯勒的微笑
26.737         1531132950.0    天线小丑宝宝
27.248         1531194161.0    什么情况
27.619         1531155693.0    盲女去找医生做了复明手术
27.697         1531150803.0    自定义瞩目
