作品名称：【谷阿莫】5分鐘看完2018醒來床上多一個男人的電影《超时空同居》
网址：https://www.bilibili.com/video/av26492232
更新时间：07-12
弹幕总量：653
preciseTime    ofTime          comment
0.0            1531196676.0    哈哈哈
0.1            1531141267.0    月半阿伦  跟谷阿莫竟然同时发了同一部电影解说？！难道..？
0.116          1531144640.0    1
0.464          1531139099.0    我怎么变黄了
0.506          1531377365.0    cao榴1024社区+微 K23018
0.625          1531209579.0    这个片超棒！！伏笔超级多，本年度最爱国产片无疑qwqqqqq
0.757          1531144551.0    这部电影真的挺不错的，小成本国产爱情喜剧不多见了。
0.904          1531138538.0    卧槽！一分钟前
0.924          1531300107.0    吱付宝首页搜索“86OO14”真香警报
1.171          1531373404.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.604          1531377373.0    --cao榴1024社区+微 K23018
1.705          1531138744.0    看到我你就是6000以后了！
1.748          1531138104.0    zao
2.235          1531138908.0    8162
2.317          1531141284.0    emm，曾经过着丰衣足食的女主角真的是病句啊喂
2.638          1531149909.0    来了
2.676          1531138094.0    １
2.699          1531138103.0    1
2.9            1531138678.0    看到我你就是5000后了
3.156          1531144168.0    ka
3.597          1531138203.0    一分钟前
3.599          1531278411.0    hh
4.027          1531154527.0    传统美德陈思诚
4.074          1531138115.0    播放0
4.194          1531138428.0    我是第2333个
4.294          1531138469.0    哎呀
4.328          1531138240.0    早
4.416          1531138535.0    前100？？
4.584          1531138088.0    一分钟前
4.587          1531147057.0    23333333333333
4.727          1531138573.0    等下，过着丰衣足食的女主角？
4.863          1531144784.0    我  杀  我  自  己
5.048          1531138873.0    8161
5.108          1531138740.0    哦哦哦哦，前排
5.157          1531138705.0    1
5.458          1531141305.0    月半阿伦  竟然跟谷阿莫同时发了同一部电影解说？？
5.781          1531138211.0    1000内
5.861          1531138137.0    什么鬼
6.112          1531153478.0    过着女主角哈哈哈
6.323          1531140967.0    今天学校里老师刚好给放了
6.395          1531227249.0    好看的
6.556          1531138150.0    一分钟前
6.974          1531173904.0    我 杀 我 自 己
7.233          1531138312.0    3分钟前
7.254          1531150678.0    我  杀  我  自  己
7.655          1531138531.0    你们就安排
7.742          1531138100.0    一分钟前
7.928          1531144530.0    同款洗衣机，哈哈哈
8.087          1531228216.0    孟美岐？
8.426          1531138094.0    播放量一
8.535          1531138115.0    播放量1！
8.916          1531138724.0    大家好啊
8.949          1531138715.0    超前啊啊啊啊啊啊啊啊啊
8.991          1531139118.0    给谷阿莫打call！！！
9.059          1531138087.0    我来啦！
9.256          1531147319.0    噗
9.599          1531150875.0    1
9.602          1531300552.0    哈哈哈哈
9.616          1531143547.0    昨天刚看完hhh
9.959          1531159678.0    佟丽娅
10.144         1531175475.0    开  幕  诉  讼
10.193         1531144020.0    保险能够避税避债
10.295         1531191006.0    _(눈_눈」∠)_开口跪
10.302         1531138251.0    三分钟前
10.59          1531139857.0    24分钟前，嘻嘻
11.413         1531138179.0    超时空同居
11.645         1531289283.0    吉良吉影？
11.89          1531218408.0    2333
12.042         1531138127.0    播放量
12.212         1531233252.0    为雷佳音打call
12.561         1531207951.0    过着平凡生活的三十多岁平凡上班族。。。。。。
13.055         1531199142.0    平凡的小公寓竟然还有浴缸
13.095         1531138090.0    刚刚
13.191         1531200955.0    终于更新了
13.193         1531138837.0    前一百！！！
13.311         1531139426.0    普通小公寓是有这么好的浴缸哦，我也好想住普通小公寓😩
14.238         1531189542.0    天然美人佟丽娅
14.572         1531138282.0    一千多个小伙伴你们好啊
15.049         1531367298.0    马化腾
15.41          1531146475.0    是你吗雷佳音
15.413         1531154067.0    贱族大亨？
16.286         1531144089.0    是前夫哥吗
16.594         1531153610.0    平凡？
17.155         1531156003.0    女主这个颜值必不可能单身
17.189         1531138842.0    12分钟前
17.516         1531138319.0    2333播放
17.598         1531138477.0    666
17.707         1531186896.0    刘备最近出镜率有点高啊
18.568         1531142577.0    那岩：欢迎来到科技美学
19.26          1531198395.0    大魔王
19.321         1531138107.0    666
19.513         1531139151.0    今天刚看完觉得结局莫名其妙
19.928         1531138772.0    60内
20.49          1531233117.0    丫丫这种颜值的单身？？？
20.566         1531138111.0    耶
20.576         1531138596.0    前一百!!!!!!!!!!!!!!!!!!!!!!!!!
20.583         1531300127.0    吱付宝首页搜索“86OO14”吾秀何能及
20.699         1531149743.0    抱走雷大头
20.754         1531140171.0    在爱奇艺上刚刚看完
21.313         1531147334.0    是你吗前夫哥！
21.895         1531229658.0    犬夜叉？？？？
22.035         1531221463.0    麻花腾
22.217         1531189586.0    天然美人佟丽娅！
23.616         1531147341.0    是耶
24.842         1531155134.0    烂片预订
24.925         1531139996.0    哈哈雷佳音
25.279         1531138327.0    24弹幕
25.659         1531138369.0    1000
26.01          1531141817.0    头大魔王？
26.039         1531209985.0    这部电影挺好看的啊 徐峥是我觉得的全场最佳
26.106         1531143533.0    大头
26.616         1531291779.0    超时空同居
26.885         1531140664.0    马化腾
27.376         1531141499.0    @陈俊生
28.274         1531157850.0    刘备
28.374         1531149460.0    曹霸霸
28.792         1531361289.0    于和伟？！
28.832         1531138362.0    雷佳音！！！
29.48          1531138337.0    三分钟前
29.856         1531140117.0    这就是那个大头王吗？
29.946         1531139841.0    时间机器随随便便就发明出来了
30.331         1531146289.0    看完之后有点感动想哭
30.61          1531139535.0    ？？？？？？？？？？？？？？
30.684         1531140253.0    这个电影挺好看的
30.965         1531138340.0    是刘备还是曹操
31.215         1531143525.0    雷佳音！
31.494         1531147256.0    曹老板
31.691         1531273371.0    曹操
32.016         1531138123.0    好前
32.698         1531144116.0    于和伟
33.414         1531140755.0    断肠人？
34.024         1531139386.0    于和伟？
35.388         1531224810.0    佟丽娅真好看
36.137         1531193737.0    曹超
37.088         1531146682.0    ？？？
37.198         1531148938.0    是刘备也是曹操
39.854         1531146341.0    不是19年嘛
43.478         1531220839.0    A
43.839         1531312073.0    承包大橘猫儿
44.615         1531141966.0    19年，四舍五入？
44.988         1531206942.0    22222
45.155         1531141472.0    简称。。。。
46.708         1531139607.0    想到哈尔的移动城堡
48.217         1531140280.0    。。
48.777         1531153501.0    小哥哥，连麦吗，我雷佳音
49.094         1531145750.0    雷佳音好可爱啊！
