作品名称：《值不值得买》第249期：肥宅快乐杯_Cupcooler制冷杯
网址：https://www.bilibili.com/video/av26492388
更新时间：07-12
弹幕总量：1490
preciseTime    ofTime          comment
0.08           1531315997.0    吱付宝搜索“95O6639”，不过你会回来打死我的（滑稽）
0.083          1531273397.0    想买的童鞋TB：尾巴良品
0.938          1531311554.0    你将浪费10分钟
1.05           1531314212.0    肥宅快乐杯不应该是B cup吗
1.199          1531231137.0    看标题还以为飞机杯
1.858          1531371183.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
5.939          1531382510.0    手工版80  效果更好  关键词 小冰箱家用冰水机   不用谢
6.325          1531243846.0    这
8.181          1531317500.0    bgm是蠢朋克的random access memory！
8.339          1531228231.0    灰机杯(滑稽)
10.681         1531273408.0    我不玩什么微博
12.032         1531217118.0    男后期的彩♂蛋？？
12.984         1531219181.0    我没有微博
14.146         1531269215.0    \
14.755         1531232217.0    R11
14.997         1531298968.0    hi
17.983         1531384204.0    暂停学表情
18.455         1531259460.0    我买了，所以我觉得不值得
20.159         1531218711.0    伊吹！伊吹！
21.329         1531227460.0    我是藤原妹红
22.04          1531284398.0    西瓜！
23.227         1531218545.0    上电视，开心
24.441         1531222463.0    西瓜
25.192         1531228933.0    为西瓜打尻
26.769         1531227494.0    壮哉我大东方
27.305         1531265671.0    肥宅快乐杯不是这种吧
27.488         1531271550.0    FEIJIBEI
28.474         1531218148.0    车万残党
28.979         1531314746.0    车万党
29.102         1531229766.0    23333
29.139         1531229667.0    看着我的qc35，呜呜呜
29.219         1531301290.0    枯藤老树昏鸦，空调wifi西瓜
29.641         1531228715.0    是东方狗
29.743         1531223892.0    我想要吃西瓜
32.515         1531223299.0    我家。没有。空调
32.521         1531316759.0    明明是恶臭前辈野兽妹
36.939         1531303531.0    mdzz
38.834         1531220106.0    肥宅要的是飞机杯😂
40.846         1531315639.0    读音没错啊。。。读优兔比的才是智障
43.697         1531319658.0    方言好评
43.724         1531223828.0    合肥
45.486         1531230702.0    特效好评
46.168         1531271569.0    fly chick cup
47.019         1531354547.0    合肥
47.957         1531235261.0    这个在科技杂志上
47.978         1531236661.0    马街普通话？？
48.329         1531230800.0    睡觉觉
48.432         1531291238.0    特效很帅
49.521         1531303623.0    大哥，喝冰阔落！
51.719         1531223353.0    你说取消就取消，哥你谁啊？
51.882         1531216479.0    合肥也太秀了
51.991         1531225063.0    刚那个特效谁做的啊 好强
52.008         1531382546.0    手工版80  效果更好  关键词 小冰箱家用冰水机   不用谢
52.025         1531288432.0    大哥请喝冰阔落！！！
53.674         1531220337.0    这演技太浮夸了，片酬就给五毛了，多一分不给
53.706         1531219179.0    肥宅快乐杯难道不是FJ杯吗
54.08          1531236491.0    两块钱的面子
54.081         1531227327.0    越来越像洪金宝
54.357         1531223245.0    楼下便利店买啊
54.406         1531316857.0    黑了
54.442         1531222297.0    红金宝  似李马？
54.979         1531223511.0    女后期自学c4d了？
55.022         1531277445.0    有冰箱为什么要这个呢？
55.143         1531308307.0    不如方冰箱里
55.158         1531383944.0    阔落？
55.424         1531281790.0    低配洪金宝
55.549         1531223838.0    冰陀螺？？？？
55.575         1531244689.0    加冰块啊
56.55          1531290286.0    MAX上讲过的，还以为国内买不到o(*￣▽￣*)o
57.147         1531301334.0    冰阔落
58.112         1531225046.0    肥宅快乐水，给我一杯
58.282         1531292706.0    吓我一跳  还以为洪金宝
58.316         1531304370.0    楼下便利店
58.779         1531229153.0    同款口罩
59.077         1531231805.0    放冰箱
59.414         1531327140.0    戴口罩怎么喝下去的?
60.022         1531223514.0    买个冰箱
60.091         1531230394.0    口罩不摘吃饭，口罩不摘喝水
61.61          1531270872.0    阔罗是什么发音？
61.93          1531220317.0    喝阔乐！
61.998         1531225851.0    面罩还有口还可以用吸管社会→_→
62.17          1531390875.0    让我想起了卡卡西
63.189         1531378512.0    大佬  喝冰阔落
64.506         1531270006.0    没有冰箱吗
64.64          1531276363.0    怎么才两块？
64.661         1531245860.0    真香
64.814         1531276277.0    我还以为这期讲飞机杯呢
64.894         1531296442.0    亏了5毛
65.161         1531220329.0    给大佬递可乐.jpg
65.632         1531228692.0    小埋
66.116         1531304359.0    23333333333
66.312         1531244042.0    半导体制冷？？
67.105         1531314580.0    直接买冰的啊
67.156         1531230717.0    铁管可乐2.5
68.138         1531229251.0    女后期这样超可爱
68.474         1531298175.0    我恋爱了
68.64          1531217890.0    女后期乖巧2333
69.432         1531307147.0    好可爱啊啊
69.782         1531222348.0    洪金宝↓
69.84          1531223593.0    想爆
70.037         1531234852.0    出现了，大护法！
71.129         1531382377.0    不是三块？
71.765         1531222406.0    真的是洪金宝
71.791         1531328430.0    2.5元
72.789         1531379484.0    我们这1.80
73.832         1531299177.0    差五角
74.528         1531236621.0    间接接吻
74.625         1531327169.0    男后期注孤生
74.939         1531229528.0    注定孤独一生
75.305         1531228538.0    冰克罗
75.82          1531316327.0    凭实力单身
76.262         1531385948.0    为什么摄影师是可口，男后期是百事呢
76.281         1531229549.0    家暴现场
76.879         1531220569.0    干得漂亮。。。
76.939         1531224054.0    注定孤独一生
77.579         1531220377.0    萌
77.632         1531216979.0    超市冰柜
78.336         1531219468.0    凭本事单身
78.417         1531214704.0    低配洪金宝?
78.463         1531219187.0    洪金宝？
78.506         1531227773.0    注孤生啊
78.64          1531225314.0    离婚！
79.769         1531296390.0    如果这都不算爱！
80.937         1531221748.0    哈哈哈哈哈哈哈哈哈
81.408         1531295476.0    来太早了😂没弹幕
82.162         1531298756.0    真爱了
82.773         1531317959.0    哈哈哈
82.864         1531222917.0    哈哈哈哈哈
83.579         1531219374.0    洪金宝
86.168         1531215626.0    各位我。。。想
87.381         1531309070.0    你到底是怎么喝可乐的
89.078         1531237176.0    洪金宝
91.246         1531321135.0    最近这么黑
91.294         1531231240.0    卧槽你谁啊，吓老子一笑
91.648         1531373576.0    逆水寒
92.004         1531305673.0    怎么都这么黑..
94.037         1531218530.0    金宝想和可乐了
95.308         1531236050.0    移液管，讲究
97.304         1531232142.0    编导黑成炭烤了
101.751        1531275676.0    戴着口罩怎么喝
101.96         1531233029.0    2333333
102.658        1531217999.0    湿纸巾裹住可乐放到冷冻室。过一会取出。
103.072        1531307188.0    移液管 讲究
103.341        1531234217.0    戴着口罩喝还行2333
103.402        1531327434.0    戴口罩喝将就
103.779        1531237063.0    家里有矿吗 玩逆水寒
105.446        1531303572.0    Pihuazhemeduo
107.643        1531376822.0    支持比利时
108.787        1531382566.0    手工版80  效果更好  关键词 小冰箱家用冰水机   不用谢
108.928        1531261206.0    口罩才是摄影师的本体
113.558        1531376470.0    两瓶可乐洗胃诶
