排名：54
网址：https://www.bilibili.com/video/av26494561
更新时间：07-20
弹幕总量：231
preciseTime    ofTime          comment
0.12           1531352516.0    我认同你这标题
0.282          1531794757.0    26万播放量   才一百多条弹幕
0.436          1531803337.0    BGM是啥
0.478          1531194333.0    姐子，就走走拜
0.597          1531195124.0    我一直就只喜欢少妇
0.637          1531923719.0    bgm: 2 Souls on Fire
0.779          1532010052.0    再黑也无所谓
1.012          1531831978.0    q
1.105          1531808843.0    羞耻的播放量
1.223          1531670753.0    不是少妇    好看的都喜欢
1.238          1531839144.0    我认为你这个标题特别不合理  因为我一直喜欢少妇
1.278          1531992717.0    貂丁，鉴定完毕
1.419          1531246973.0    白天不懂夜的黑，你们永远都不知道少妇的魅力，另外我姓王～
1.444          1531815985.0    屁股不错】
1.458          1531196159.0    我喜欢12的
1.491          1531907172.0    我带的耳机  最大音量
1.66           1531891557.0    少妇少妇，知识的宝库
2.229          1531857001.0    BGM爱的供养
2.253          1531283547.0    喜欢少妇说明你成熟了，小女孩一点味道都没有
2.258          1531815603.0    年纪小的时候喜欢少妇，现在喜欢少女
2.487          1531271583.0    前天还说这女的中学生，今天就少妇了？
2.569          1531815976.0    屁股不错
2.643          1531717606.0    贾斯丁布布。
2.793          1531540485.0    只有我一直喜欢吗 特别是24-29之间
3.095          1531919885.0    那就去逮少妇吧
3.127          1531271590.0    前天还说这女的中学生，今天就少妇了？
3.751          1531923655.0     bgm：2 Souls on Fire
3.76           1531920258.0    播放量好人
3.881          1531909095.0    我打小兒就習慣少婦啊，那種豐腴的
4.011          1531923162.0    。。。。。。。。
4.306          1531274441.0    小小年纪也喜欢少妇
4.34           1531270998.0    呵，我初中开始就喜欢少妇了
4.538          1531818243.0    从小就喜欢少妇
4.539          1531766535.0    少妇少妇，知识的宝库
4.659          1531928515.0    我从小就喜欢，跟年纪没关系
4.693          1531867070.0    喜欢少妇和年纪没关系
4.739          1531584785.0    羞耻的播放量
4.941          1531800989.0    看见这种屁股，我都走不动路了
5.074          1531796618.0    俺也一样！
5.459          1531813493.0    没穿
5.469          1531837509.0    我一直喜欢
5.901          1531807242.0    可耻
6.001          1531186850.0    不是年纪大了喜欢嫩的？
6.063          1531275041.0    少女诚可贵，少妇价更高。
6.379          1531869672.0    错了，男人年少的时候喜欢少妇，年龄大了反而喜欢少女
6.394          1531192871.0    真空。好羞耻(✪▽✪)
6.559          1531788054.0    标题进
6.641          1531870820.0    bebe的歌
