作品名称：【凉皮】夏天，是你救我狗命！
网址：https://www.bilibili.com/video/av26500841
更新时间：07-12
弹幕总量：1060
preciseTime    ofTime          comment
0.0            1531150743.0    18秒前
0.12           1531144738.0    是夜食记没错了
0.322          1531146101.0    夜食记
0.339          1531151293.0    凉皮始于甘肃武威？
0.493          1531219114.0    面皮呱呱始于甘肃天水
0.818          1531195069.0    这点特别像阳光下的真实里面的
0.829          1531146934.0    夜食记
0.837          1531148236.0    晚上你这是犯罪你知道吗!
1.078          1531145952.0    夜食记
1.773          1531373375.0    啊
2.04           1531178718.0    西安人报道
2.162          1531307238.0    你不是只猫吗？
2.317          1531146113.0    夜食记
2.359          1531153725.0    夜食记
2.809          1531296557.0    来了来了来了
2.856          1531145384.0    31分钟前！！
2.897          1531145319.0    我爱凉皮啊啊啊啊啊啊啊
2.94           1531202959.0    终于不是音频了
3.134          1531144902.0    ？？？？？？？？？？？？？？？？？？
3.141          1531146706.0    夜食记
3.31           1531147953.0    前
3.453          1531145149.0    真·夜食记
3.662          1531153313.0    8000
3.74           1531148121.0    夜食记
4.053          1531145018.0    夜食记
4.075          1531147973.0    夜食记
4.221          1531147770.0    夜食记
4.299          1531144829.0    夜食记
4.36           1531317898.0    夜食记
4.45           1531148072.0    前前前
4.673          1531313831.0    今天我们吃深渊恶魔套
4.792          1531154594.0    滋儿哇哇哇哇哇哇滋儿哇哇哇哇哇哇哇哇
4.818          1531152532.0    夜食记
4.892          1531147542.0    一小时前
4.96           1531232289.0    不，你是猫命
5.038          1531149149.0    承包饼饼！
5.081          1531152368.0    夜食记上线
5.22           1531152249.0    是夜食记本记没错！
5.798          1531153728.0    偷偷承包酥饼
5.817          1531198987.0    陕西大凉皮超棒
5.896          1531158600.0    开心ヽ(○^㉨^)ﾉ♪
6.007          1531156921.0    深夜蹲坑视频(づ◡ど)
6.236          1531152922.0    夜食记！！！！
6.253          1531148693.0    一小时前!
6.279          1531193741.0    吃着凉皮看
6.338          1531151095.0    2小时前？
6.351          1531147681.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊夜食记
6.377          1531164391.0    夜食记
6.481          1531235159.0    每次看都是半夜。。。
6.484          1531192775.0    喵
6.553          1531152153.0    承包我们宝贝饼饼！
6.61           1531182220.0    来啦来啦！
6.641          1531320782.0    每次都是晚上看，这样才有感觉
6.675          1531144856.0    22分钟
6.741          1531155091.0    夜食记
6.783          1531150967.0    承包酥饼大大盛世美颜，好想给它顺毛！
6.802          1531144663.0    哟哟哟
6.82           1531311130.0    滋儿哇滋儿哇滋儿哇滋儿哇滋儿哇滋儿哇滋儿哇滋儿哇滋儿哇滋儿哇滋儿哇滋儿哇
6.867          1531152014.0    来啦
6.881          1531145346.0    夜食记
7.037          1531226690.0    酥饼大人～
7.081          1531150858.0    夜食记
7.087          1531148095.0    夜食记
7.097          1531195763.0    感觉酥饼瘦了。
7.155          1531225859.0    正在吃凉皮
7.165          1531145421.0    前
7.308          1531160692.0    夜食记
7.325          1531150717.0    一小时前！！第一次这么早！！
7.44           1531198489.0    夏天
7.639          1531150162.0    来了来了
7.686          1531152226.0    两小时前
7.743          1531145212.0    夜食记
7.805          1531217796.0    嗞儿哇
7.868          1531146916.0    夜食记
7.922          1531185501.0    承包酥饼
8.006          1531198372.0    西安人路过
8.048          1531145137.0    五百前？！
8.061          1531145094.0    夜食记
8.1            1531150758.0    一只猫说凉皮救了它的狗命？
8.121          1531145767.0    纠结
8.225          1531152327.0    前来深夜吃毒
8.315          1531145669.0    啦啦啦
8.437          1531228013.0    看我刷出来什么
8.44           1531149174.0    看不起空调？
8.501          1531146417.0    夜食记
8.521          1531146168.0    承包烧饼
8.575          1531156885.0    你们都在这住下了吗
8.6            1531151679.0    蝉在叫人坏掉
8.604          1531296568.0    承包酥饼
8.658          1531146046.0    酥饼瘦了好多啊，心疼
8.694          1531147109.0    夜食记上线
9.0            1531155423.0    11111111
9.151          1531150704.0    小尾巴
9.17           1531145538.0    一
9.219          1531207907.0    我大陕西
