排名：39
网址：https://www.bilibili.com/video/av26503039
更新时间：07-15
弹幕总量：802
preciseTime    ofTime          comment
0.0            1531493323.0    大家0.5倍了解一下 新世界
0.08           1531470013.0    友情科普  沈教授版地址   av26102339
0.085          1531236864.0    好可爱，太油菜花了吧
0.099          1531270911.0    配合沈教授那版食用更佳
0.148          1531269395.0    赵云澜！你这蝉精！给我闭嘴我出不去了！
0.163          1531298461.0    恭喜上首页啦！！
0.212          1531307817.0    不行了出不去了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
0.323          1531467518.0    我回来啦😄😄😄
0.398          1531292836.0    欢迎回来！
0.435          1531377719.0    cao榴1024社区+微 K23018
0.499          1531272440.0    我回来了
0.518          1531502841.0    来来来不就是洗脑嘛(ฅ>ω<*ฅ)
0.633          1531293557.0    太魔性了！！！！！！
0.641          1531502810.0    233我就知道有了沈美人就要有赵处的
0.666          1531223671.0    第六遍
0.682          1531223844.0    一家人就是要整整齐齐
0.717          1531613726.0    第三天打卡
0.736          1531328235.0    每日一刷
0.801          1531425006.0    三刷哈哈哈哈哈哈哈哈
0.848          1531223390.0    配合
0.958          1531334512.0    最后亿遍
1.028          1531605858.0    开头又见了
1.041          1531261735.0    欢迎回来
1.081          1531442760.0    两个视频轮回循环，放过我吧!
1.099          1531408147.0    再来一次哈哈哈哈
1.146          1531237587.0    两个视频加起来我能循环看到下个月
1.17           1531357238.0    来来来，闰土给我叉个人
1.173          1531375651.0    关掉弹幕来一遍
1.209          1531222996.0    欢迎回来
1.212          1531375733.0    打开弹幕再来一遍
1.217          1531370409.0    我的妈呀，出不去了哈哈哈哈哈哈哈哈
1.273          1531238308.0    有没有弹幕大佬把沈教授的对应搬过来哇
1.274          1531533895.0    看完沈教授来看赵处长，今日第五遍了…
1.322          1531196945.0    黑袍哥哥慢走，我又来啦
1.379          1531476735.0    有毒
1.41           1531481223.0    笑死我了
1.44           1531464625.0    二刷
1.598          1531545744.0    沈教授*1
1.701          1531199991.0    赵处你好烦好可爱啊啊啊啊啊
1.83           1531228117.0    来了来了
1.921          1531300113.0    出不去了！！！！！这笼子太大
1.943          1531220162.0    救命我死在这了！！！！！
1.96           1531384446.0    救命
1.969          1531410111.0    出不去了
1.995          1531492842.0    死在这个剪辑里了
2.001          1531268624.0    欢迎回来
2.159          1531383360.0    往首页上顶.哈哈哈哈哈哈
2.2            1531456235.0    出不去啦
2.213          1531265126.0    回来了
2.297          1531444389.0    已经出不去了
2.305          1531470031.0    沈教授的av26102339
2.313          1531481788.0    我的天我出不去了！！
2.339          1531621753.0    我出不去了
2.429          1531229547.0    死在这里23333333333
2.436          1531391229.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
2.481          1531273978.0    表白小澜孩
2.801          1531460719.0    放我走！！！
2.859          1531476742.0    欢迎回来
2.882          1531359175.0    日常洗脑打卡
2.899          1531639002.0    每天两个都刷一遍真的炒鸡炒鸡棒！！！
2.938          1531620885.0    哈哈哈哈哈哈哈哈哈 
3.114          1531226659.0    哥，有毒啊
3.195          1531268939.0    我回来了
3.243          1531410960.0    欢迎回来
3.365          1531375104.0    出不去了
3.379          1531386048.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
3.385          1531473642.0    每日一刷
3.411          1531577341.0    兄弟情！！
3.419          1531535792.0    来了
3.477          1531375081.0    切，我只看了一万遍
3.558          1531477671.0    出不去了
3.659          1531405477.0    白宇哥哥的语气好好
3.834          1531396881.0    先投币哈哈哈哈
3.88           1531228692.0    放我出去！！
3.925          1531196798.0    出不去了救命
4.118          1531414386.0    真的比沈教授那一版闹腾好多啊哈哈哈哈哈哈哈
4.261          1531320149.0    233333
4.275          1531229574.0    膜拜魔鬼太太
4.314          1531388085.0    真是洗脑啊
4.432          1531329916.0    出不去了
4.461          1531364489.0    hhhhhhhhhhhhhhh
4.482          1531216724.0    up超神了hhhhhhhhh
4.54           1531563548.0    出不去了，23333
4.608          1531597217.0    出不去了哈哈哈哈哈
4.616          1531205612.0    绝了
4.64           1531202147.0    放我出去
4.656          1531494194.0    这个有毒，出不去了我233333
4.835          1531400716.0    hhhhhhhhhhhhhhhhhh
4.941          1531296810.0    出不去了
4.958          1531244243.0    一树梨花压海棠，仁华医大谢南翔
5.16           1531498653.0    啊啊啊啊 出不去了
5.292          1531197559.0    赶上热乎的了！
5.398          1531214454.0    啊啊啊啊啊啊啊啊啊啊
5.478          1531472113.0    我回来了
5.544          1531469211.0    魔鬼
5.678          1531540514.0    哇塞好顺口
5.98           1531543705.0    来了来了，
6.053          1531357314.0    哈哈哈哈哈哈哈哈，超级可爱的小澜澜
6.1            1531392347.0    最后一遍
6.31           1531355303.0    什么片
6.416          1531246294.0    好玩
6.61           1531222261.0    不就是硬币吗hhhhhh
6.614          1531324024.0    哈哈哈哈哈
6.637          1531299119.0    我回来了！
6.65           1531215838.0    求这个bgm是啥
6.881          1531620231.0    赵处长沈教授轮流洗脑
6.915          1531390053.0    欢迎回来
6.961          1531632219.0    终于来了
7.065          1531297191.0    hhhhhh
7.121          1531461511.0    洗脑
7.281          1531203144.0    哈哈哈哈哈哈
7.425          1531505916.0    不妨直说
7.441          1531273987.0    小澜孩哈哈哈哈哈哈哈哈哈哈
7.486          1531545761.0    沈教授*2
7.554          1531198811.0    哈哈哈哈哈哈哈
7.686          1531234853.0    不妨直说
7.745          1531505717.0    不妨直说
7.859          1531451270.0    emmmmmmm，顾大帅
7.901          1531498577.0    又来了
8.0            1531467608.0    笑死我了
8.01           1531319492.0    欢迎回来
8.012          1531480548.0    出不去了
8.114          1531235870.0    骚断腿
8.149          1531540722.0    结婚了，对象是你!
8.192          1531245582.0    哈哈哈哈哈哈哈哈哈哈哈哈哈
8.27           1531292391.0    欢迎回来
8.382          1531540735.0    结婚了，对象是你!
8.462          1531540747.0    结婚了，对象是你!
8.467          1531405362.0    1433223
8.613          1531276393.0    我也回来了
8.628          1531385203.0    2333333
8.656          1531551999.0    哈哈哈哈哈哈哈哈哈跑来洗脑
8.901          1531634818.0    不妨直说
8.913          1531470042.0    我又来了
8.952          1531267514.0    女鬼们记得去优酷给哥哥们投票哦
9.068          1531396168.0    我今天看了两小时这视频和沈教授的那个视频。
9.08           1531234679.0    笑死了哈哈哈哈哈哈哈哈
9.136          1531282186.0    他是你的人
9.21           1531408909.0    妈耶骚话满分赵云澜
9.26           1531488262.0    哈哈哈哈哈哈
9.271          1531299189.0    出不去了啊哈哈哈哈
9.3            1531634642.0    不妨直说
9.397          1531389566.0    日常复习
9.505          1531441840.0    回来了
9.553          1531295362.0    再来一遍！
9.63           1531381911.0    救命 我出不去了
9.638          1531451790.0    我来了
9.644          1531202141.0    太厉害了哈哈哈哈哈哈哈
9.68           1531215630.0    我这个人啊，五行缺你。
9.722          1531554516.0    继续表白我表哥我导演我二梦我老面！
9.877          1531247412.0    半夜两点半看的，我是不是不用睡了
9.889          1531469081.0    第四遍……
9.933          1531377737.0    哈哈哈哈哈哈哈
10.02          1531197576.0    我这个人啊，五行缺你。
10.038         1531323957.0    行啊！
10.112         1531292242.0    五行缺你
10.117         1531399433.0    我回家了！
10.123         1531197567.0    我这个人啊，五行缺你。
10.234         1531215664.0    我这个人啊，五行缺你。
10.259         1531215640.0    我这个人啊，五行缺你。
10.288         1531197548.0    我这个人啊，五行缺你。
10.291         1531317604.0    哇哦找到出了
10.325         1531202023.0    太优秀了up哈哈哈哈哈哈哈哈哈哈
10.366         1531376772.0    我这个人啊，五行缺你
10.373         1531326770.0    哈哈哈哈哈哈
10.382         1531223033.0    我这个人啊，五行缺你
