作品名称：【岁月饶过谁】盘点历史和当今名人的今昔对比 第二季第三期
网址：https://www.bilibili.com/video/av26511529
更新时间：07-12
弹幕总量：988
preciseTime    ofTime          comment
1.148          1531222307.0    小李子在前几期就有，封面就是
4.193          1531274201.0    小李子
4.949          1531302633.0    表白BGM！
6.009          1531287040.0    hhhhhh为什么第一个是肥秋
6.314          1531250073.0    ？？？？居然
7.253          1531306258.0    表白bgm！
9.619          1531285821.0    封面是？？
9.758          1531318135.0    表白bgm
10.74          1531298787.0    表白Coldplay 
10.752         1531233339.0     烟鬼打call
10.817         1531290394.0    赵又廷
10.875         1531299550.0    小李子！
11.069         1531294896.0    表白我们康康！
11.46          1531297828.0    肥秋原来也曾是小鲜肉
11.961         1531303327.0    好多化学课本物理课本里面的科学家年轻的时候都挺好看
12.083         1531275054.0    握草 好像我同学
12.171         1531278767.0    ！
12.22          1531309909.0    肥秋
12.415         1531250744.0    封面漂亮
12.458         1531231695.0    小李子之前有做过
12.521         1531277081.0    刘昊然和他好像
12.676         1531301981.0    帅呀
13.141         1531270985.0    表白烟鬼
13.368         1531304193.0    好漂亮
13.526         1531284529.0    岁月催人老
14.353         1531296645.0    哇啊啊啊
14.7           1531278275.0    卧槽
14.783         1531284398.0    ！！！
15.513         1531314054.0    A神
16.039         1531280880.0    Something just like this
17.126         1531285697.0    年老发福哈哈哈
17.424         1531286794.0    肥秋
17.599         1531263221.0    你是谁
19.574         1531299559.0    噗
19.724         1531312787.0    荒木老师在哪里
20.339         1531268229.0    岁月不饶人啊
20.361         1531271295.0    我服了
20.401         1531272007.0    你可拉倒吧你，有些人人老了也有气质
20.419         1531275868.0    哇的天
20.67          1531385520.0    派克连招rrrrr
21.278         1531283720.0    他和赫本在我心中永远是cp
21.314         1531273048.0    百万英镑
21.518         1531269522.0    你的赫本呢，泪目
21.78          1531291862.0    可惜是他没有和女神奥黛丽赫本在一起。这个当时他们俩在一起的话，应该是一件非常幸福的事情。他将家传的戒指送给奥黛丽赫本在奥黛丽赫本死去后又将这枚戒指赎回来。难道这不是爱情吗？
21.917         1531281417.0    emmmm
22.249         1531281581.0    派克啊啊啊qwq好莱坞知名大帅哥
22.52          1531293450.0    这
22.692         1531279731.0    表白封面
22.861         1531271031.0    bgm：something just like this 原唱烟鬼和酷玩
23.318         1531268031.0    我擦 这不是罗马假日的男主嘛
24.494         1531247687.0    罗马假日
24.512         1531233386.0    罗马假日啊兄弟们
24.865         1531299560.0    绅士派克！！
25.18          1531271276.0    罗马假日男主
25.214         1531302430.0    烟鬼！！
25.681         1531279030.0    BGM：something just like this
25.758         1531283741.0    他和赫本在我心中永远是cp
25.825         1531268291.0    帅哥！
25.959         1531304613.0    维塔斯啊
25.962         1531280687.0    罗马假日
25.966         1531263254.0    百万英镑！！！！！！
26.154         1531242712.0    罗马假日❤
26.206         1531286508.0    罗马假日！！
26.449         1531295261.0    罗马假日！
26.817         1531281617.0    百万英镑，罗马假日，杀死一只知更鸟。。。。
26.976         1531283872.0    罗马假日～
26.981         1531286505.0    罗马假日打卡
27.05          1531285884.0    我去！！！！！
27.054         1531302764.0    嚯呀，我看百万英镑的时候，爱死他了，感觉帅死了，怎么能这样
27.2           1531323593.0    是心动的感觉
27.223         1531298029.0    罗马假日男主
