作品名称：【生化大讲坛】 胸肌夹子弹的怪物你怕不怕 C病毒感染体们 （上）第18期
网址：https://www.bilibili.com/video/av26514290
更新时间：07-12
弹幕总量：1632
preciseTime    ofTime          comment
0.0            1531293584.0    4
0.08           1531374018.0    jjjjj
0.083          1531284243.0    瑟瑟发抖
1.238          1531215879.0    下饭视频
1.73           1531303911.0    吱付宝搜索513421732，真不用谢我
2.032          1531200948.0    千年等一回
2.136          1531373214.0    刚好吃饭
2.361          1531303163.0    吱付宝搜索513421732，真不用谢我
2.546          1531295576.0    开饭了
2.699          1531196773.0    吃饭的时候出来，小黑明白人啊哈哈
2.872          1531376049.0    呃，，，有没有护体，，
3.121          1531208723.0    怪物:我用胸肌夹住RPG你怕不怕
3.281          1531362857.0    1391
3.299          1531197826.0    下饭
3.333          1531391171.0    刚吃完饭......
3.479          1531241730.0    我去泡个泡面，正好加载一下
3.517          1531373831.0    美食频道解决厌食症人群
3.667          1531391139.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
3.758          1531203473.0    阿～，这饭真香。
3.761          1531203189.0    这个系列终于更新了，下饭。
3.901          1531202648.0    终于更新了
4.158          1531193500.0    前10，嘻嘻
4.215          1531196154.0    正好下饭
4.259          1531208885.0    四小时前
4.577          1531270756.0    边吃边看
4.652          1531315337.0    我修真的，子弹是啥？全是战五渣！
4.747          1531280649.0    说下饭的，是以真的
4.757          1531193479.0    更了
4.781          1531195401.0    正好下饭用
4.799          1531193742.0    666
4.899          1531374028.0    wwwww
5.0            1531209591.0    下饭
5.12           1531224640.0    😎😎😎😎😎😎😎😎😎
5.121          1531193763.0    边吃饭边看真刺激
5.241          1531197090.0    666
5.281          1531193494.0    刚刚
5.32           1531291852.0    吃着炒饭下下饭
5.368          1531193674.0    @力王???
5.415          1531193699.0    4分钟前
5.458          1531195442.0    真香
5.606          1531210012.0    开饭了
5.717          1531204564.0    看我刷新出了什么！
5.723          1531212020.0    有一点怕
5.842          1531216070.0    终于等到了~~~~~
5.958          1531196342.0    完美的下酒菜
5.993          1531193542.0    279
6.144          1531195926.0    下饭
6.147          1531315248.0    见封进来
6.157          1531296502.0    真好吃
6.297          1531293500.0    233333333333
6.299          1531196013.0    下饭+1
6.321          1531193469.0    下饭
6.423          1531193659.0    3分钟前
6.459          1531196577.0    刚吃完饭
6.667          1531385949.0    。。。我还真在吃饭==
6.961          1531197097.0    刚吃完饭
6.998          1531367650.0    午饭中
7.115          1531197664.0    下饭
7.121          1531194492.0    失踪的标题回归
7.191          1531309912.0    到饭点了
