作品名称：老白视角，魔人一败涂地，笑到你肚子痛~
网址：https://www.bilibili.com/video/av26516594
更新时间：07-12
弹幕总量：7956
preciseTime    ofTime          comment
0.0            1531228364.0    现场怪来重温
0.067          1531228619.0    老白支持你~~~~~~~~~~~~~
0.318          1531232595.0    10000弹幕来的
0.438          1531240221.0    现场！
0.453          1531367768.0    狂按左键可享受FA♂乐器
0.517          1531216927.0    现场哈哈
0.665          1531208814.0    有毒
0.744          1531228358.0    魔人团都是我哒
0.779          1531281827.0    居然过审了！
1.24           1531218318.0    95.45高能搞笑
1.276          1531228361.0    现场怪表示xswl
1.428          1531228357.0    你们好，我是上万的弹幕量23333
1.51           1531223179.0    出现吧！现场怪！
1.569          1531215527.0    重温一遍
1.888          1531298849.0    在现场！
2.079          1531221433.0    在现场！
2.11           1531369474.0    突然发现自己是现场怪
2.138          1531211848.0    现场怪！！！
2.158          1531240239.0    今早凌晨的直播！
2.238          1531210317.0    现场怪
2.239          1531228344.0    表白魔人联盟！！！！！
2.34           1531234508.0    终于等到hhhhhhhh
2.342          1531219426.0    终于等到了
2.38           1531228350.0    老白最帅
2.561          1531216279.0    在现场呢
2.678          1531301784.0    。。。
2.72           1531288728.0    再看一遍hhhhh
2.919          1531228402.0    现场怪前来报到
2.939          1531228346.0    全程高能
2.971          1531272513.0    现场
3.017          1531216843.0    昨晚笑了一晚上，今天上课还停不住
3.047          1531228356.0    现场
3.059          1531208492.0    过审了！
3.321          1531232632.0    直播说要刷弹幕
3.622          1531228564.0    伊丽莎白的弹幕由我来组成
3.8            1531239245.0    在现场
4.011          1531231335.0    在现场
4.201          1531232602.0    哈哈哈哈哈哈哈哈哈
4.72           1531228368.0    现场表示笑得肚子疼
4.739          1531217586.0    帅逼2333
4.84           1531215919.0    终于当一回现场怪了
4.899          1531370478.0    昨晚看到三四点 深夜被窝里笑出驴叫…
4.921          1531228397.0    啦啦啦啦啦
5.002          1531212100.0    昨天直播
5.1            1531223601.0    现场！
5.205          1531218275.0    先是在虚伪那边看的 
5.236          1531228421.0    前来刷弹幕
5.299          1531212003.0    当一次现场怪
5.377          1531282360.0    在现场
5.4            1531212782.0    全程没怎么跳进度，你就知道多好玩了哈哈
