排名：30
网址：https://www.bilibili.com/video/av26517243
更新时间：07-15
弹幕总量：1963
preciseTime    ofTime          comment
0.0            1531537963.0    第一次看鬼畜感动
0.066          1531469303.0    每日一刷
0.223          1531388636.0    BGM：一番星
0.27           1531406423.0    1308个小伙伴你们好
0.282          1531406456.0    1308个小伙伴你们好..
0.326          1531385440.0    申明一句，我的一个道姑朋友这首哥是侵权作品
0.651          1531363592.0    1.5倍新世界
0.81           1531314117.0    看到标题就已经笑了
0.868          1531373760.0    拔剑吧！音乐区（诸位，保持队形）
0.937          1531630551.0    我的一个道姑朋友并无授权且商用，已涉及侵权
0.978          1531574250.0    BGM:一番星（第一颗星）
0.998          1531470279.0    无悔入亮剑
1.233          1531569960.0    温馨提示：推荐1.25倍观看
1.347          1531392434.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.391          1531374865.0    我原本以为亮剑是抗战片的开篇，没想到它却是巅峰
1.459          1531384951.0    哭！都给老子哭！
1.538          1531445269.0    1.5倍新世界
1.949          1531395131.0    我要这硬币有何用
1.975          1531391045.0    [220,284,"0.93-0.97",5,"拔尖吧！音乐区",8,8,361,135,500,0,1,"SimSun",true]
2.101          1531358072.0    该来的还是来了
2.56           1531445438.0    开炮
2.897          1531362725.0    651
2.938          1531547484.0    高级弹幕打错字，多捞啊
2.941          1531384306.0    您还知道更啊啊啊啊啊啊
2.961          1531355105.0    一fa星
3.014          1531580623.0    。。。。。
3.111          1531446631.0    高级弹幕能不能不要那么走心！！！
3.481          1531544104.0    天下本是将军定，鸟尽弓藏走狗烹！
3.556          1531368411.0    看到标题就已经笑了的加我一个
3.601          1531410023.0    233
3.627          1531579574.0    泪目
3.8            1531474777.0    自备纸巾 不是预警
3.942          1531392673.0    我靠，999人观看，逆天了
4.059          1531369501.0    第二遍报个到
4.409          1531397794.0    dawd
4.554          1531492681.0    真的好看
4.806          1531316906.0    66666666
5.041          1531441045.0    啦啦啦
5.538          1531385444.0    1111111111111111111111
5.539          1531534978.0    鬼畜严选。。。。
5.822          1531316568.0    fjfgh
5.883          1531384937.0    看到标题，我先笑为敬
6.011          1531383212.0    ？？？？？？？？
6.094          1531355860.0    神曲
6.343          1531618117.0    高级弹幕合影
6.823          1531384546.0    747
6.9            1531401478.0    我第一个道姑朋友
7.001          1531322331.0    泪目
7.03           1531401307.0    泪目
7.187          1531396954.0    1568位朋友好啊
7.325          1531362145.0    ＋1
7.619          1531538709.0    求bgm
7.677          1531396493.0    哈哈哈
7.7            1531389858.0    哈哈哈
7.719          1531459864.0    亮剑吧！ 音乐区！！
7.934          1531371651.0    我又从结尾回来了
8.034          1531545595.0    11111111
8.26           1531309881.0    该来的总会来
8.428          1531470616.0    z。
8.456          1531468781.0    哈哈哈哈哈哈哈哈哈哈哈
8.499          1531409136.0    啊啊啊啊
8.765          1531608491.0    1.5安利新世纪
8.771          1531474526.0    中国红
8.813          1531369025.0    王喜奎
9.282          1531388460.0    终于LV3了
9.292          1531389163.0    我的一个区长父亲
9.461          1531372073.0    泪目
9.493          1531314199.0    555555555
9.628          1531397236.0    a
9.709          1531540988.0    在现场
9.75           1531646758.0    115
9.817          1531430965.0    五点29分 181个同学
9.976          1531491374.0    可以
10.101         1531363475.0    一番星好评！
10.456         1531375332.0    呜呜呜和尚死了
10.492         1531344252.0    ......
10.65          1531370047.0    941个小伙伴好
10.726         1531405392.0    看到标题就进来了
10.781         1531448956.0    一番星
10.87          1531366956.0    原歌名：我的一个道姑朋友
10.966         1531484116.0    熊长团了！
11.021         1531437937.0    团长熊了
11.057         1531389696.0    dbq我看到封面就笑了
11.094         1531359553.0    团长虎了
11.247         1531496988.0    23333
11.333         1531408007.0    终于 底部弹幕的味道
11.519         1531577865.0    6666666
11.605         1531614925.0    啊啊啊
11.713         1531328620.0    我是第一个带颜色的弹幕
11.89          1531392268.0    原歌名一番星谢谢
11.944         1531367060.0    魏和尚，泪目
11.978         1531399815.0    哈哈哈
12.033         1531395588.0    pu
12.04          1531482109.0    拿日曲来描写亮剑真的好吗
12.115         1531410603.0    投币了
12.232         1531423066.0    不许哭
12.24          1531409144.0    啊啊啊啊
12.292         1531399658.0    泪目
12.339         1531367823.0    团长，俺来了
12.429         1531326961.0    打破999弹幕
12.437         1531367221.0    前面笑死的给我过来，我保准不打死你哦
12.941         1531408143.0    ？？？
12.982         1531357022.0    神仙填词
13.019         1531455376.0    我的一个道姑（和尚）朋友
13.159         1531362958.0    66
13.361         1531392150.0    22222
13.603         1531622891.0    开炮！
13.728         1531374623.0    鬼畜0.0
13.733         1531358474.0    我卢本伟没有开挂
13.778         1531454336.0    哈哈哈
14.387         1531476610.0    和尚！和尚！
14.51          1531550396.0    大眼
14.703         1531322444.0    难受
14.761         1531335055.0    10001
14.806         1531389621.0    该来的总会来
14.814         1531374393.0    +1
14.876         1531370597.0    863
14.892         1531448762.0    BGM我的一个道姑朋友
14.905         1531365332.0    我的团长啊
14.939         1531314423.0    原曲一番星
15.059         1531459877.0    亮剑吧！ 音乐区！！
15.082         1531427913.0    哭！全 TM给老子哭！！！
15.18          1531547940.0    开炮!开炮!
15.299         1531437841.0    团长马了
15.304         1531303605.0    开炮
15.388         1531400339.0    233
15.563         1531384689.0    原曲
15.62          1531376108.0    好听
15.659         1531413293.0    试试我能底部吗
15.683         1531386512.0    拔剑吧
15.749         1531559482.0    第一发底部弹幕
15.846         1531409086.0    仰望大佬
15.879         1531386504.0    原曲:一番星，，，道姑也是翻唱改编版本
15.938         1531362738.0    675
15.998         1531405688.0    …
16.179         1531316394.0    泪目
16.234         1531365993.0    925兄弟好
16.34          1531453952.0    拔剑
16.456         1531405748.0    哭吧哭吧不是罪
16.547         1531559497.0    第一发顶部弹幕
16.562         1531540586.0    试个屁
16.714         1531482496.0    原曲【一番星】，日本的音乐...
16.765         1531623626.0    道姑朋友
16.768         1531394840.0    哦豁 这是什么骚东西
16.883         1531410576.0    舒服
16.929         1531404439.0    hhhh我也笑了
16.935         1531368666.0    我的一个道姑朋友
16.952         1531329559.0    泪目
17.002         1531444778.0    我我我妈耶
17.117         1531416120.0    不能y( ˙ᴗ. )耶~
17.12          1531381299.0    和尚
17.13          1531313770.0    和尚，可惜了
17.185         1531369309.0    人比弹幕多系列
17.243         1531572310.0    泪目
17.248         1531581294.0    第一发底部弹幕
17.34          1531385253.0    泪目
17.494         1531368437.0    前奏泪目
17.61          1531544138.0    一番星
18.001         1531367072.0    道姑都是一番星改的
18.081         1531445454.0    哇
18.165         1531446560.0    泪目
18.199         1531367841.0    团长，二营二狗前来报道
18.378         1531410021.0    2333
18.456         1531365155.0    真的，看亮剑，有的时候可心疼呢
18.482         1531346542.0    团长鹿了
18.546         1531632158.0    bgm 我的一个道姑朋友
18.561         1531392810.0    原歌名:一番星
18.6           1531318174.0    填词真的牛逼
18.679         1531569627.0    ......................
18.921         1531372930.0    刚看完没好久
18.955         1531362479.0    6666666666666666666666666666666666666666666666666666666666666
18.961         1531618485.0    和尚，拿酒来！
19.242         1531346554.0    团长猪了
19.339         1531437614.0    你们都能底端的，nb
19.346         1531452512.0    音乐区鬼畜区势不两立
19.4           1531417693.0    泪目
19.566         1531410056.0    泪目
19.626         1531476869.0    十年后
19.633         1531364938.0    泪目
19.641         1531370349.0    一拳一个泪目怪
19.659         1531385257.0    泪目
19.713         1531401634.0    泪目
19.729         1531315058.0    好
19.732         1531637062.0    怎么有四万个粉丝没有看?
19.897         1531407264.0    1375朋友好
19.964         1531375582.0    团长兔了团长兔了!!!!快拿毛巾来
19.979         1531381680.0    泪目
20.028         1531401398.0    223333
20.099         1531407392.0    我的区长父亲
20.127         1531384707.0    ...............
20.198         1531375709.0    麻蛋
20.242         1531346571.0    团长鸡了
20.289         1531375197.0    1577好
20.377         1531410005.0    团长狗了
20.39          1531386462.0    一拐一个泪目怪
20.424         1531436898.0    先笑后哭
20.525         1531411386.0    弄这么大个弹幕，字还打错了
20.614         1531407040.0    在这停顿
20.639         1531308880.0    ...
20.714         1531550011.0    第n遍，好听
20.723         1531454784.0    233人再看
20.74          1531363683.0    泪目(
20.764         1531444192.0    感动
20.958         1531473116.0    我有可能会是底部....
20.98          1531363931.0    曾经将亮剑日看千遍，烂熟于心的我。。。。
21.216         1531482006.0    表示哭不出来
21.289         1531354268.0    泪目の
21.344         1531378301.0    团长鸽了
21.361         1531404193.0    天庚星
21.379         1531349032.0    团长🐶了
21.482         1531346579.0    团长鸭了
21.545         1531444921.0    听说有个人翻唱的不错
21.57          1531406743.0    开口跪
21.622         1531412032.0    .....
21.899         1531477988.0    拔剑吧！音乐区！！
21.904         1531369574.0    抱歉这个原曲是一番星道姑只是翻唱
22.059         1531409113.0    拔剑吧
22.212         1531304690.0    我是不是看过一个叫我的一个和尚朋友的
22.239         1531445965.0    2333333
22.272         1531384352.0    投错区
22.464         1531371896.0    我的一个道长朋友了解一下
22.499         1531469117.0    团长鸽了
22.594         1531368455.0    团长鹅了
22.642         1531456007.0    我的一个局长父亲
22.739         1531396608.0    团长马了
22.76          1531365456.0    团长鸽了
22.873         1531323041.0    开口跪
22.901         1531413546.0    。
23.038         1531644079.0    别发底部弹幕好吗
23.046         1531456465.0    泪目
23.09          1531332531.0    泪目
23.092         1531398667.0    骑兵连孙连长
23.169         1531470743.0    团长凉了!
23.17          1531397648.0    团长人了
23.187         1531380294.0    团战狗了
23.235         1531317707.0    和尚...
23.281         1531438427.0    🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳
23.287         1531446066.0    泪目
23.402         1531392153.0    66
23.497         1531407768.0    1569人观看。。。。。
23.607         1531376117.0    。。。。。。
23.61          1531346587.0    团长狐狸了
23.755         1531402915.0    原曲是 一番星
23.761         1531421836.0    团长，俺来了
23.779         1531445197.0    cown'gq
23.999         1531465671.0    为什么我的双眼逐渐模糊
24.01          1531407411.0    哭了哭了
24.065         1531364974.0    团长鹅了
24.081         1531404866.0    阿西吧，都多少年了咋还有人在刷一番星，大多数人觉得好听的是道姑
24.147         1531307362.0    那年吃鸡游戏正红，我卢本伟，怎么能，落后～
24.183         1531399833.0    原曲一番星  说我的一个盗姑朋友的老铁怕不是石乐志？
24.23          1531569632.0    ..................
24.26          1531570425.0    略略
24.275         1531438337.0    看得到我吗?
24.312         1531482622.0    我的天，我赶紧拿出一盒纸巾
