排名：81
网址：https://www.bilibili.com/video/av26517928
更新时间：07-21
弹幕总量：3105
preciseTime    ofTime          comment
0.033          1531996123.0    前方建议屏蔽会员色
0.1            1532130382.0    666666666666666666666666666666666666666666666
0.431          1531388872.0    缅怀avicii
0.916          1531643124.0    看这个视频之前请自觉关弹幕保智商
1.142          1531996131.0    前方建议屏蔽会员色
1.151          1531506594.0    观看前建议屏蔽彩色弹幕
1.551          1531453246.0    建议屏蔽关键词会员色
2.377          1531390203.0    会员色
3.003          1532022112.0    皮
3.862          1531388742.0    flo
4.194          1532012414.0    交封不杀
5.532          1531474433.0    66666666666666
6.158          1531472267.0    sugar
6.682          1532005507.0    哈哈
7.167          1531993926.0    BGM是flo
8.944          1531583711.0    好怕
9.033          1531642708.0    a神
9.11           1531388762.0    good
9.623          1532004115.0    6666
10.283         1532003237.0    赫人
10.427         1531473668.0    可爱，像骑
10.528         1531391043.0    。。。。
10.572         1532010614.0    françè
11.295         1531409579.0    拉斯？？？
11.903         1531555767.0    厉害
11.975         1531389393.0    消逝的光芒
12.301         1531462848.0    BGM:run
12.536         1531405476.0    levels(升职)-A神
12.862         1531389381.0    xia
13.028         1531380003.0    是你！新宿的avegar
13.044         1531466684.0    不是拉斯
13.075         1531390485.0    印度片
13.17          1532006213.0    快窒息
13.269         1531404708.0    音速神犬
13.857         1532015873.0    加布兽究极进化 钢铁加鲁鲁！
14.252         1531999799.0    妈耶
14.293         1531391971.0    风速狗
14.395         1531379668.0    天天酷跑
14.567         1532133145.0    flo rida 那个，小心Avicii活过来揍你
14.646         1531388043.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
14.695         1531473334.0    我。。。。
14.988         1532109649.0    帅
15.231         1532087610.0    二哈？不纯
15.812         1532157144.0    Run Boy Run
15.835         1531386921.0    233333333新宿的avegar
17.07          1531580735.0    快进
17.08          1531998039.0    好像是拉斯，貌似看过这段视频，好像是没开通的马路
17.133         1531492353.0    我问一下这是人吗？
17.156         1531392731.0    抖音搜索傲骨斯钉，就是这只狗狗哦
17.352         1532010106.0    非纯种
17.357         1531387644.0    说狗的别走，我是一只狼，是狼。。。。
17.374         1531493625.0    傲骨撕钉
17.421         1531991901.0    加鲁鲁是你吗
17.782         1532008832.0    莫名的舒服。
18.333         1531404948.0    bgm:run
18.374         1532003087.0    加鲁鲁
18.995         1531495267.0    我是雷神嘉尔
19.028         1531385067.0    风速狗
19.052         1531406251.0    撕丁!
19.162         1531451506.0    纠正一下，BGM:run
19.379         1532004768.0    666
19.495         1531490316.0    我的发
20.16          1531388118.0    哈哈哈，音速快跑
21.217         1532003598.0    一股抖音味？
23.659         1531380990.0    。。
25.75          1531392449.0    000000000000000000000
26.232         1531494397.0    没弹幕?
27.833         1531474471.0    我靠这个真的6
28.872         1531631132.0    。。
29.752         1531993295.0    果断关掉声音
30.683         1531417619.0    战术下潜
30.942         1531388615.0    啥？
31.22          1531384833.0    看不到我
31.394         1532021350.0    抖音呀鸭
31.436         1531382762.0    会员：你才色
31.479         1532001866.0    鸭子：想不到吧！
31.532         1531390861.0    ？
31.636         1531383737.0    ...
31.715         1531381131.0    额
31.822         1531381855.0    会员色？
31.869         1531425812.0    会员色
32.215         1531383635.0    会员色？
32.396         1531381667.0    ?
32.594         1531380305.0    ，
32.69          1531443421.0    飒！
32.717         1531390731.0    我也会
32.853         1531387366.0    啥玩意？
32.882         1532011412.0    你抓李白被李白秀的时候
32.916         1532094108.0    瞧着老虎，虎头虎脑的。
32.955         1532015898.0    傻了吧，爷会潜水
32.971         1531387454.0    。。
32.973         1531389922.0    会员色
33.01          1531391212.0    混入其中
33.094         1531385518.0    什么
33.234         1531384366.0    会员色是什么？
33.332         1531629519.0    战术潜水
33.452         1531380282.0    会员色
33.679         1531384935.0    啊嘞？
33.759         1531460454.0    什么？
33.89          1531462804.0    666666666
33.931         1531384842.0    看不到我
34.04          1532015087.0    令虎窒息的操作
34.189         1531384035.0    身为会员表示我不色
34.208         1531391363.0    ？？？
34.265         1531379889.0    会员
34.415         1531380475.0    什么是会员？
34.453         1531448508.0    秀
34.457         1531391026.0    我试试
34.5           1531382850.0    会员色是什么颜色
34.632         1531381214.0    乾杯
34.652         1531381936.0    试色
34.673         1531389131.0    这个是会员？
34.761         1531406259.0    什么(ﾟoﾟ;
34.799         1531384320.0    喵喵喵？？？？？？？
35.172         1532008986.0    神仙鸭
35.233         1531382275.0    emmm
35.256         1531381016.0    什么鬼
35.258         1531383758.0    会员色是啥?
35.274         1531391194.0    。
35.434         1532081147.0    老虎:卧槽。。。。。。。
35.732         1531389583.0    啥
35.807         1531407214.0    哈哈
36.073         1531382330.0    会员
36.193         1531387000.0    会员色？？？
36.199         1531999842.0    ？？？？？？？
36.434         1531381139.0    额
36.492         1531389869.0    会员色海星
36.573         1531391654.0    嘤嘤嘤
36.593         1531405162.0    hehe
36.596         1531380848.0    ？
36.614         1531380105.0    什么
36.669         1531379913.0    会员个毛。。。
36.812         1531389908.0    会员色！？
36.919         1531391538.0    什么东西
36.934         1531391076.0    。
37.055         1531449523.0    扒
37.153         1531384225.0    啥都想
37.215         1531388175.0    什么是会员色？
37.233         1531405856.0    什么意思
37.236         1531392607.0    这个?
37.292         1531391107.0    。。。。
37.324         1532016197.0    皮皮虎抓李白被秀一波
37.373         1531391043.0    。。。。
37.412         1531391641.0    灰原色
37.434         1531388214.0    。。。
37.474         1531386846.0    会员色是什么(๑•
37.493         1531380614.0    会员色？
37.525         1531387479.0    会员色？
37.533         1531387887.0    是这个吗
37.543         1531643585.0    会玩
37.576         1531392862.0    啥
37.629         1531414992.0    会员色？
37.654         1531392317.0    ？
37.672         1531384452.0    哈哈哈
37.787         1531390845.0    。
37.799         1531390315.0    睡觉睡觉睡觉
37.832         1531390534.0    蛤？
37.837         1531385496.0    ....
37.922         1531390900.0    。。。
37.927         1531405652.0    ?
37.947         1531388522.0    666
37.987         1531387676.0    是这个吗
38.013         1531458979.0    emmmm
38.053         1531388558.0    珍贵屎黄色
38.069         1531381883.0    皮的不谈
38.111         1531380991.0    我也有
38.255         1531569407.0    ヾ(●´∇｀●)ﾉ哇～
38.256         1532094132.0    瞧着脑府，虎头虎脑的
38.359         1532011546.0    我记得有个做雅各布天梯的
38.372         1531420989.0    会员色？？
38.429         1531380088.0    这个颜色吗
38.514         1531405083.0    mmm
38.532         1531461850.0    ？
38.602         1531382607.0    hys
38.611         1531993956.0    前面果断的加我一个
38.674         1531391208.0    会员？
38.805         1531388578.0    滴滴
38.853         1531388321.0    1
38.913         1531389639.0    ，，
38.915         1531390193.0    呵呵
38.945         1531391400.0    QAQ画质感人
38.994         1531383399.0    那我也是会员（滑稽）
38.997         1531380517.0    。。。
39.031         1531392218.0    会员？
39.05          1531387254.0    ？
39.073         1531386525.0    是吗
39.081         1531392106.0    什么颜色？
39.176         1531384171.0    GG
39.212         1531405115.0    会员？不存在的
39.252         1531384059.0    蛤
39.294         1531379905.0    会员
39.3           1531457653.0    有丶意思
39.314         1531388903.0    啊？
39.412         1531414999.0    真的？？？
39.414         1531385199.0    这个？
39.457         1531388365.0    色
39.468         1531388815.0    这个吗
39.532         1531390742.0    才发现
39.542         1531404782.0    会员色???
39.543         1531390595.0    ?
39.568         1531385297.0    ？？？
39.574         1531391083.0    。
39.594         1531464169.0    手机版没有这个色吗
39.622         1531390540.0    什么色？
39.666         1531390101.0    鸭子:溜了溜了溜了
39.673         1531390455.0    ………
39.675         1531380346.0    哦里咯啦咯
39.711         1531383612.0    这个?
39.733         1531405448.0    大橘：？
39.746         1531379888.0    会员色？
39.752         1531405492.0    ？？？
39.771         1531387771.0    什么？
39.784         1531381088.0    ?
39.839         1531391335.0    ………
39.849         1531390544.0    ？
39.873         1531391327.0    。。。
39.888         1531390055.0    有会员色吗
39.899         1531392236.0    2333
39.933         1531392343.0    呀
39.954         1531391746.0    。。。
39.969         1531387352.0    会员色
40.016         1531420191.0    ？？
40.052         1532103062.0    鸭皇
40.074         1531387568.0    这个？
40.076         1531410228.0    呀
40.093         1531389191.0    hhh
40.098         1531383470.0    什么是会员色
40.099         1531392394.0    诶
40.117         1531384427.0    。
40.13          1531413776.0    ...
40.193         1532081161.0    鸭子:嘿嘿
40.201         1531384822.0    哈？
40.212         1531461293.0    6666
40.236         1531389111.0    ？？？
40.267         1531555808.0    秀
40.273         1531387315.0    ？？
40.295         1531386382.0    ..
40.312         1531406321.0    ？？？
40.314         1531391886.0    这个？
40.413         1531382343.0    会员
40.417         1531386552.0    啧啧
40.434         1531389013.0    ？？？
40.436         1531387800.0    哈哈
40.573         1531391805.0    ？
40.595         1531406059.0    ?
40.632         1531390368.0    新颜色？
40.633         1531408084.0    哈哈
40.642         1531389822.0    会员色是啥玩意
40.655         1531390803.0    这样啊
40.673         1531406270.0    会员？
40.742         1531588629.0    ！？？
40.753         1531992053.0    明明是段子
40.757         1531391550.0    ⊙∀⊙！
40.767         1531388540.0    666
40.787         1531388099.0    嘿嘿嘿
40.834         1531388224.0    我是不是这个颜色啊
40.893         1531388329.0    1
40.899         1531503797.0    战术下潜
40.908         1532121750.0    听bgm关视频
40.995         1531392454.0    会员是啥
41.011         1531390148.0    会员色是啥
41.02          1531380408.0    蛤
41.023         1531384679.0    ??
41.056         1531391653.0    ?
41.073         1531388170.0    这个么
41.074         1531405213.0    啥⊙∀⊙？
41.104         1531455949.0    啥
41.132         1531390254.0    ？？？
41.133         1531384656.0    是什么东西啊
41.135         1531385956.0    海盗杀手蟹
41.146         1531384185.0    会员色
41.163         1531452835.0    神马？
41.185         1531387820.0    …
41.189         1531389467.0    ？？？？
41.204         1531387575.0    。
41.219         1531439859.0    原来就是便便色
41.234         1531412085.0    什么会员色？
41.293         1531406063.0    ？
41.294         1531441700.0    什么鬼
41.31          1531460915.0    ？？？
41.319         1531381717.0    有点东西呀
41.327         1531391390.0    新颜色？
41.42          1531453494.0    ？！？
41.443         1531389558.0    。
41.473         1531381755.0    弹幕都是xxs吗，会员你mmp
41.49          1531390934.0    。。
41.492         1531405477.0    ?
41.513         1531416443.0    2333
41.514         1531382957.0    会员色？
41.536         1531387914.0    纳尼
41.57          1531391806.0    ？
41.613         1531380425.0    会员色
41.633         1531388632.0    ？
41.652         1531383510.0    喵喵喵
41.685         1531405345.0    ？
41.727         1531391097.0    混入其中
41.733         1531562521.0    会员色
41.736         1531461537.0    蛤？
41.755         1531412620.0    会员色？
41.772         1531405853.0    嗯
41.846         1531525730.0    ？
41.849         1531460957.0    哈哈哈，劳资捅死你
41.879         1531459573.0    huit
41.888         1531388969.0    会员色
41.973         1531538523.0    。。。
41.979         1531390203.0    皮
42.014         1531386094.0    ，
42.019         1531390689.0    。。。。
42.05          1531391806.0    。。
42.114         1531390392.0    ？？？
42.137         1531383330.0    哈哈
42.212         1531485516.0    ？？
42.234         1531478957.0    ？？？
42.238         1531392482.0    ？？？
42.268         1531460596.0    ？？？
42.274         1531382081.0    ？
42.333         1531390254.0    什么是会员色
42.452         1531384571.0    ？
42.48          1531469035.0    23333
42.484         1531446094.0    水遁术
42.572         1531387380.0    。。
42.627         1531380046.0    天依生日快乐
42.653         1532002043.0    晶蟹太刀
42.852         1531391692.0    ？？？
42.895         1531381228.0    额
42.932         1531392220.0    会员?
42.954         1531380794.0    ?
42.986         1531391972.0    ？？？
43.039         1531455967.0    我是会员不
43.041         1531380509.0    会员不色
43.052         1531468627.0    呵呵呵呵
43.063         1531380617.0    什么是会员
43.078         1531548805.0    ？？？
43.093         1531405245.0    ……
43.103         1531388156.0    什么鬼
43.242         1531392672.0    。。。
43.258         1531387324.0    哦哦
43.287         1531380696.0    呵，会员色
43.294         1531409453.0    我是会员不？
43.304         1531385997.0    什么
43.367         1531388547.0    666
43.474         1531392548.0    哈哈哈
43.488         1531388580.0    呵呵
43.492         1531406885.0    喵喵喵？
43.532         1531380545.0    ？？？？？？？？？？
43.535         1531379944.0    这个吗
43.553         1531414526.0    会员色？
43.574         1531476240.0    什么？
43.594         1531389065.0    什么啊
43.633         1531548818.0    zzz
43.634         1531386526.0    啊
43.647         1531389669.0    ..
43.692         1531383857.0    。。
43.7           1531459086.0    。。。。这个？
43.794         1531380324.0    蛤？
43.795         1531404629.0    你们在说什么？
43.81          1531379606.0    ？？
43.852         1531406072.0    ？
43.914         1532004204.0    抖音恶心到了，溜了
43.951         1531389402.0    ???
43.958         1531480864.0    ......
43.962         1531460421.0    会员
43.98          1531405628.0    鱼人杀手蟹
44.02          1531615467.0    额
44.053         1531406444.0    。。
44.086         1532011728.0    抖音是什么我只知道初音
44.114         1531405686.0    。。。
44.123         1531390532.0    。
44.127         1531388889.0    ？
44.135         1531464408.0    。。
44.172         1531409500.0    gg
44.173         1531381623.0    ？
44.253         1531386576.0    ？
44.255         1531405949.0    。。。
44.296         1531392671.0    啥呀
44.355         1531384927.0    什么色
44.372         1531391399.0    。。。。
44.373         1531387596.0    。。。。呵呵呵
44.459         1531390995.0    嗯？
44.515         1531391249.0    会员色是什么啊
44.557         1531383214.0    什么东西?
44.561         1531384355.0    ????
44.577         1531391044.0    嗯？
44.588         1531392203.0    ？
44.594         1531405270.0    会员？
44.609         1531385482.0    会员色
44.654         1531391350.0    ???
44.682         1531391381.0    这个是会员色？
44.699         1531469060.0    333
44.74          1531451395.0    啧
44.812         1531415180.0    这个
44.852         1531419842.0    ？？？
44.876         1531388201.0    （｡ò
44.934         1532136948.0    别老刷你们的破音了，搞笑集锦早就开始用这个BGM了
44.947         1531392599.0    哦
44.951         1531408098.0    我也是
44.952         1531390870.0    ？
44.972         1531386435.0    1
45.134         1531390627.0    啊
45.153         1531388070.0    毫无压力
45.213         1531386259.0    会员啊
45.3           1531380424.0    蛤
45.316         1531420227.0    什么啊？？？？
45.333         1531408794.0    嗯哼？
45.344         1531389647.0    会员色？
45.492         1532004801.0    杀手蟹
45.511         1532004137.0    蟹：你别过来……别过来！
45.554         1531382289.0    这个是吗
45.573         1531380261.0    谁还不是个会员呢
45.594         1531405876.0    新颜色诶
45.612         1531391503.0    ？？？
45.635         1531406056.0    恩哼
45.643         1531405669.0    嘿嘿嘿
45.653         1531390178.0    。。
45.704         1531542800.0    ？
45.779         1531407314.0    。。。
45.801         1531384129.0    ？？？
45.82          1532008957.0    这bgm怎么一股抖音感。。。
45.853         1531391080.0    困困困么
45.855         1531388279.0    会员是什么?
45.929         1531456394.0    看看我是不是
45.955         1531381493.0    。
45.973         1531389687.0    会员
46.001         1531384182.0    啥会员色
46.004         1531390688.0    社会社会
46.029         1531996189.0    抖音 
46.053         1531406407.0    什么是会员色
46.056         1531419512.0    额
46.114         1531390123.0    *666
46.115         1531392198.0    ？？？
46.145         1531404731.0    Membership
46.194         1531383612.0    。。。。。
46.241         1531391283.0    ，，，，，
46.253         1531391062.0    会员色
46.287         1531391460.0    ？？？
46.297         1532163986.0    晶蟹太刀别走
46.299         1531388462.0    什么玩意
46.332         1531384267.0    梅威瑟
46.338         1531406309.0    啊
46.394         1531380690.0    跤警
46.413         1531452149.0    ？？？
46.452         1531460060.0    这个？
46.481         1531388445.0    ?
46.49          1531389111.0    。。。。。
46.493         1531387668.0    会员色
46.542         1532008398.0    我自横刀向天笑 
