作品名称：【点到为止】6.史上最全的《名侦探柯南》人物图鉴（亲友篇）
网址：https://www.bilibili.com/video/av26517950
更新时间：07-12
弹幕总量：1485
preciseTime    ofTime          comment
0.0            1531312803.0    123
0.08           1531238982.0    不务正业！！！
1.212          1531229572.0    这人是谁啊
1.28           1531326764.0    看到名字我就是想进来看看有没有松田的。被炸死那个警察。
1.704          1531305775.0    表白基德
1.808          1531384624.0    吱付宝首页搜索“86OO14”深藏功与名
2.15           1531195974.0    你还敢回来
2.602          1531379720.0    可以亲友篇 我哀不算亲友？
2.873          1531307015.0    99
3.018          1531272412.0    才发现自己已经很久没看柯南了
3.285          1531384643.0    吱付宝首页搜索“86OO14”只能帮你到这了
3.477          1531196857.0    月更up主
3.961          1531232484.0    看我刷到了什么！
4.096          1531320579.0    求开头BGM
4.352          1531233017.0    你还敢回来？
4.416          1531223486.0    12222
4.778          1531199226.0    哇
4.902          1531220079.0    有生之年
6.221          1531198409.0    。。。。
6.66           1531207214.0    还有脸回来？  这人是谁？
6.818          1531296336.0    麻烦你把我哀带上
7.292          1531208417.0    凉风也做了
7.491          1531191283.0    怪异君我爱你
7.499          1531373157.0    我刷出了什么
8.211          1531371460.0    看到我你已经不是00后了
8.241          1531195548.0    鸡条拍完了，面具可以去掉了
8.459          1531198362.0    太爷爷！！！你关注的阿婆主更新了！！！
8.789          1531201154.0    管家  你还敢出来！
8.941          1531372009.0    13分钟可还行
9.179          1531371080.0    挖槽！诈尸了。
9.261          1531232373.0    。。。
10.006         1531270815.0    希腊棺材？
10.111         1531215915.0    吹爆我柯南
10.12          1531384660.0    吱付宝首页搜索“86OO14”真不用谢我
10.241         1531233990.0    你还有脸回来？
10.26          1531193365.0    233333
10.322         1531212985.0    李是谁？
10.752         1531305298.0    哇哇
10.933         1531200051.0    我来了
11.143         1531204438.0    大逆转裁判2的bgm？？
11.819         1531357650.0    哦哦哦大逆转裁判bgm
12.009         1531375955.0    什么？怪异君是谁？？
12.12          1531266782.0    知道了，乖孙子
12.339         1531248680.0    这是哪个逼
12.642         1531222283.0    亚——双——义——啊！
12.659         1531285395.0    洗衣机
12.792         1531358856.0    有生之年系列
12.827         1531212990.0    所以說 說好的神探狄仁傑呢
12.85          1531318519.0    怪异君
13.334         1531195741.0    爷爷，您关注的up主更新了
13.599         1531223631.0    管家，画被偷了
13.619         1531223620.0    小圆脸....
13.665         1531196283.0    失踪人口回归
13.732         1531223736.0    哇~~~~~~~~~~~~~~~~~~~~~~~~~~~~！
13.824         1531232993.0    更新一次不容易啊
13.83          1531219862.0    说好的神态狄仁杰呢
13.953         1531276827.0    新人up主吗？
14.08          1531222970.0    柯南！！！
14.12          1531207710.0    大逆bgm？
14.165         1531353793.0    裤头吉米～
14.338         1531243435.0    大逆2的bgm炸出来！（亚双义红）
14.577         1531199692.0    最近刚好在刷柯南
14.94          1531207028.0    你还知道回来啊
14.979         1531205134.0    建议露脸
15.363         1531273526.0    柯南大爱！
15.66          1531193244.0    失踪人口回归
15.681         1531321441.0    有点逆转裁判的味道
16.221         1531284942.0    柯南君！！
16.254         1531196137.0    哎哟。2300+同时观看啊。
16.438         1531260236.0    基德大大
16.731         1531231197.0    失踪人口
16.785         1531349999.0    看封面近
17.261         1531222324.0    怪异君去鸡条了，所以耽误了更新
17.691         1531283335.0    大逆转裁判？！！
17.718         1531270128.0    有生之年系列
17.857         1531280111.0    我才发现我之前关注过
18.295         1531218972.0    这BGM什么鬼，不是我柯么，emmmmm。。。。。。。。。。。。。。
18.499         1531211106.0    下午好
18.517         1531194343.0    极限挑战怪异君？
18.84          1531312780.0    bgm大逆转裁判！！！！
19.017         1531223501.0    柯南！
19.285         1531232136.0    片头动画赞
19.357         1531282587.0    逆转
19.414         1531359421.0    这个是大逆转裁判的bgm吧
19.72          1531323514.0    妈妈，有人诈尸啦！
19.821         1531204770.0    狄仁杰呢？
19.959         1531227808.0    里四谁
20.073         1531314952.0    你是谁啊
20.41          1531211815.0    很卡
20.476         1531218292.0    京极堂？
20.82          1531201297.0    什么时候更新毁经典系列
20.939         1531192278.0    蓝十字系列？
20.99          1531240542.0    失踪人口回归
21.049         1531219370.0    又开坑？
21.101         1531232618.0    失踪人口回归
21.107         1531197039.0    你是谁，怎么出现在我的关注列表里
21.121         1531191824.0    狄仁杰……s
21.189         1531196466.0    终于更新了
21.563         1531236211.0    柯南柯南最爱的柯南
21.751         1531362379.0    有生之年系列
21.79          1531193355.0    看到我你已经是七百之后
22.126         1531198677.0    终于更新了
22.483         1531319236.0    失踪人口回归
22.681         1531232624.0    失踪人口回归
22.717         1531318529.0    666
22.731         1531268427.0    下次可以把每个死者放出来吗
23.321         1531221158.0    东方快车
24.024         1531361061.0    你是谁啊
24.354         1531210489.0    管家你好
24.419         1531207476.0    还有脸回来你
24.927         1531221130.0    说实话算快了
25.6           1531206394.0    怪异君终于更新了
25.9           1531207483.0    祖传更新！
26.675         1531305800.0    疯狂表白黑羽快斗
27.342         1531199901.0    这个认识谁啊？
27.461         1531245326.0    劲爆片头
27.641         1531223988.0    未看先投币收藏
27.778         1531308423.0    滚筒洗衣机
28.328         1531281582.0    家祭无忘告乃翁
28.715         1531216682.0    不闷吗
28.864         1531233734.0    这谁啊
29.241         1531232566.0    哦嚯瞩目2333
29.479         1531308193.0    竟然更了？
29.633         1531284910.0    新鸡次哇一次莫黑拖次
29.821         1531362097.0    根据作者说的，柯南变凶才半年，也就是182.5天，柯南大概有一千集，平均每两集死一人，也就是死500人，500除以182.5，每天平均死2.739726027个人，柯南每天要跑大概三个案发现场，真忙
30.383         1531283082.0    管家
30.398         1531216633.0    书桌不错
30.677         1531303695.0    他的座位是不是只能跳进去啊？？？
30.805         1531373338.0    不陌生
31.805         1531226541.0    古怪军
32.05          1531223521.0    哈哈哈哈哈桌上跟我家里一毛一样
32.455         1531386381.0    狄仁杰呢？
32.459         1531297702.0    你还有脸出来！想死你了
33.258         1531206421.0    你的脸我已经知道了
33.702         1531352038.0    这位兄die，你不热吗？
33.968         1531329195.0    ←同款漫画
34.012         1531272438.0    终于把手伸向了二次元
34.425         1531211473.0    竟然还敢回来
35.082         1531215940.0    吹爆柯南
35.458         1531282603.0    大逆转前奏
35.584         1531194655.0    怪异君，露头吧，长什么样大家都知道了
36.97          1531229910.0    已经知道你长什么样了！╭(╯^╰)╮
37.131         1531242197.0    都上鸡条还蒙什么脸
37.717         1531219939.0    ↙️大唐狄公案 馆系列⤵️
37.899         1531196955.0    新兰党
37.902         1531333584.0    你是谁？为啥我关注的你
38.521         1531321467.0    大逆转
38.612         1531350021.0    嗯嗯
38.836         1531372218.0    (⊙o⊙)哇
38.925         1531305812.0    大爱基德
38.997         1531389148.0    没弹幕？
39.69          1531318546.0    铁奶呢
39.841         1531371779.0    你这样是长得太丑不想让人看吗
41.226         1531224178.0    你不是管家么
41.941         1531268187.0    bgm是大逆转的前奏！
42.316         1531197588.0    鸡条都露脸了  还带啥面具啊
43.111         1531280164.0    管家
