作品名称：æ´»åŠ¨ä½œå“�ä¿„ç½—æ–¯ç¾�é£Ÿå¥‡è‘©å¤šï¼�æ°´æ�œç”¨æ�¥åŒ…é¥ºå­�ï¼ŒåœŸè±†æ˜¯çœŸçˆ±ï¼Ÿ
网址：https://www.bilibili.com/video/av26520901
更新时间：07-12
弹幕总量：1872
preciseTime    ofTime          comment
0.0            1531310504.0    好多老毛子。。。。。。。。。。
0.193          1531314720.0    吱付宝搜索“95O6639”，不过你会回来打死我的（滑稽）
0.241          1531386146.0    我是郭锥
1.074          1531320304.0    爱你爱你爱你爱你爱你爱你爱你爱你
1.34           1531288394.0    你好锅对
1.517          1531325079.0    长得好像麦克老师
1.55           1531326391.0    03:20秒 小姐姐声音超甜的。(°∀°)ﾉ
1.721          1531319340.0    吱付宝搜索513421732，真不用谢我
1.728          1531320053.0    +郭杰瑞我爱你
2.402          1531385544.0    大家好我是郭锥
2.464          1531284523.0    瑞瑞~
2.557          1531286973.0    这个不辣！
2.933          1531308894.0    hi
3.36           1531305767.0    打招红我是郭追
3.57           1531378710.0    背景那个公仔好可爱啊！
3.879          1531283176.0    乌拉！
4.05           1531303304.0    圣鼻涕粉
4.1            1531277109.0    列宁格勒
4.249          1531242543.0    在现场
4.26           1531335407.0    绿字孤儿发支付宝还行，已举报
4.941          1531316483.0    窝:-O
5.52           1531300789.0    土豆计数开始
5.546          1531241559.0    庆祝一下终于可以发弹幕惹！
5.602          1531301160.0    诶亚这眼睛颜色真好看
7.013          1531325898.0    嗯哼 嗯哼
7.098          1531286309.0    你的中文更奇怪emmmm
7.108          1531264997.0    ，。，一，，，，
7.163          1531319637.0    哇哇哇
7.52           1531298073.0    叫斯大林格勒
7.751          1531293725.0    舔黑
7.947          1531356285.0    喜欢杰瑞
8.012          1531320877.0    米国间谍
8.183          1531304295.0    我来啦
8.353          1531317343.0    11111111111111111
8.372          1531243331.0    火畄（确伩）
8.761          1531298085.0    列宁格勒才对
8.819          1531305503.0    这个地方不辣
8.824          1531290424.0    列宁格勒
9.241          1531329840.0    英国也差不多10点天黑 5点天亮
9.419          1531303244.0    圣彼得堡是列宁格勒
10.041         1531301270.0    可以和角角面基
10.455         1531260633.0    我在英国，我也是这样
10.739         1531325223.0    这是俄罗斯的夏天，，，冬天再试试
10.837         1531296590.0    怪不得老的快
11.161         1531316503.0    帅哥
11.362         1531314800.0    北京时间？
11.49          1531357572.0    纬度高
11.641         1531384688.0    郭杰瑞我爱你
12.026         1531267080.0    不辣
12.074         1531284053.0    列宁格勒
12.219         1531300126.0    小郭小郭
12.669         1531326402.0    03:20秒 小姐姐声音超甜的(°∀°)ﾉ
13.139         1531319641.0    郭锥
13.321         1531318824.0    资本家……列宁格勒改成圣彼得堡……
14.1           1531271310.0    战斗民族哈哈哈嗝
15.06          1531370681.0    地理知识2333
15.229         1531299155.0    地理生，出来
