作品名称：【凉风】借用海贼王简单聊聊主角团配置那些事
网址：https://www.bilibili.com/video/av26535986
更新时间：07-12
弹幕总量：973
preciseTime    ofTime          comment
0.0            1531306444.0    吱付宝搜索“95O6639”，不过你会回来打死我的（滑稽）
0.166          1531290186.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.455          1531392282.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.516          1531362624.0    胖次有性我是凉风
0.964          1531283056.0    凯子
1.342          1531283033.0    吹爆小英雄
1.722          1531284252.0    少了个性啊胖次
2.019          1531276623.0    承包久久!
2.169          1531310054.0    4
2.677          1531335310.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
2.889          1531283772.0    小天使！！！
3.119          1531335509.0    前方高能：防不胜防（风之大陆）
3.174          1531285300.0    表白维多利亚少年!!
3.242          1531282988.0    吹爆小英雄
3.432          1531385114.0    吱付宝搜索513421732，肥宅快乐宝了解一下
3.943          1531300350.0    用爱发电预定
3.983          1531270306.0    一般这种类型的更新。。。都是。发电
4.003          1531316377.0    啊啊
4.343          1531282422.0    哟，今天打的什么广告
4.582          1531277721.0    吹爆我我英
5.543          1531357215.0    先投币
5.844          1531316935.0    非战斗人员请撤离
5.903          1531299986.0    凉风，你已经等不上榜首了，是不是凉了呀？（手动滑稽
6.196          1531299737.0    甲铁城
6.423          1531308417.0    发电警告
6.53           1531275616.0    单位
6.902          1531389641.0    见封滚
6.965          1531318687.0    防不胜防
7.017          1531281865.0    吉恩(≧∇≦)
7.051          1531317999.0    ACCA!!!
7.798          1531360372.0    吉恩!!!
7.799          1531327021.0    ？相关游戏？。？
8.151          1531368661.0    吉恩吉恩吉恩吉恩吉恩吉恩
8.212          1531267136.0    吉恩！
8.352          1531274927.0    我去！监察区！
8.466          1531365637.0    广告吧
8.484          1531281991.0    acca
8.518          1531276645.0    ACCA!
8.704          1531282181.0    ACCA吹爆
9.066          1531281109.0    广告预定
9.342          1531353507.0    宁次你死的好惨啊
9.524          1531297601.0    嗅到广告的味道
9.536          1531309874.0    啊啊啊吉恩！！！
9.757          1531363038.0    JOJO
9.766          1531299749.0    大老师！
10.404         1531275562.0    大老师赛高
10.622         1531277067.0    监察区！！！
10.754         1531282492.0    relicol
10.841         1531369614.0    ?这个是哪个动漫，有点眼熟我咋想不起来了
11.304         1531318020.0    坂本不服
11.704         1531282500.0    承包大老师
11.974         1531369241.0    大老师赛高
12.001         1531392202.0    大老师
12.114         1531282692.0    请问各位大佬知道是什么bgm吗？
12.303         1531293217.0    寄生兽了解一下
12.467         1531296967.0    求这里的BGM
12.883         1531301898.0    我的光头披风在哪里
13.059         1531313069.0    相关游戏 风之大陆
13.206         1531299147.0    我选择overlord 手游
13.458         1531390650.0    日破苍穹了解下
13.487         1531291159.0    23333
13.502         1531269273.0    大老师
13.681         1531297487.0    再见了大老师
13.872         1531304819.0    开头有福利哦~~~（滑稽）
14.076         1531283218.0    看到地下的相关游戏就觉得不简单
14.232         1531309713.0    大老师吹爆！
14.507         1531360567.0    2333333333333333333333333333333
14.57          1531268562.0    我彩加小天使呢
