作品名称：【党妹】超实用！女装大佬必备技能！如何拥有以假乱真的假发假发造型
网址：https://www.bilibili.com/video/av26564565
更新时间：07-12
弹幕总量：1481
preciseTime    ofTime          comment
0.0            1531315982.0    吱付宝搜索“95O6639”，不过你会回来打死我的（滑稽）
0.078          1531283576.0    求bgm(ಥ_ಥ)！！！！
0.08           1531316192.0    表白高产UP!
0.082          1531283324.0    看第二遍
0.083          1531363956.0    求党妹口红，风嫩嫩的好可爱
0.559          1531283618.0    项链好好看啊
0.645          1531308978.0    好美哇✧打开支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
0.702          1531271074.0    终于等来了！！！！
0.93           1531298594.0    哇哇好可爱
0.96           1531293556.0    党妹我爱你！
1.019          1531238055.0    果然眼镜才是本体
1.343          1531365842.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.402          1531277478.0    来啦
1.482          1531299970.0    终于终于终于出了！！！
1.74           1531280133.0    填充弹幕嘻嘻
1.899          1531270104.0    12小时前
1.963          1531238694.0    三小时前！！
2.128          1531382228.0    吱付宝首页搜索“86OO14”这么优秀吗
2.263          1531235963.0    最后是啥哈哈哈
2.438          1531372965.0    bgm  声音碎片。优美的低于生活
2.578          1531308934.0    你是谁啊？:D
3.318          1531237263.0    来啦！！
3.399          1531292378.0    前
3.424          1531382266.0    吱付宝首页搜索“86OO14”只能帮你到这了
3.441          1531379198.0    终于等到！！！！
3.753          1531235703.0    好美啊啊！
3.881          1531281535.0    第二遍
4.022          1531238370.0    我来了！
4.073          1531389267.0    表扬你出了假发视频
4.098          1531300022.0    啦啦啦啦
4.237          1531283390.0    好美啊(●´∀｀●)
4.543          1531314346.0    好白
4.546          1531308625.0    来了
4.654          1531303981.0    仙女开头
4.676          1531238709.0    hhh
4.693          1531306352.0    好好好可爱
4.807          1531236681.0    哇三小时
4.882          1531235180.0    哇看看我看到了啥
4.957          1531382278.0    吱付宝首页搜索“86OO14”真不用谢我
4.961          1531296135.0    党妹好白qwq
5.016          1531241971.0    小仙女！
5.088          1531318130.0    看来看去美妆区还是我家党妹最漂亮
5.239          1531276610.0    好前٩(ˊvˋ*)و
5.302          1531237590.0    今天刚剪残一顶毛党妹就出剪毛教程了TAT
5.376          1531275686.0    来听相声了
5.396          1531279418.0    补补补补补
5.42           1531277876.0    来给党妹填充弹幕了!
5.621          1531266948.0    我爱你
5.665          1531310399.0    好漂亮啊
5.711          1531276643.0    弹幕安排
