排名：76
网址：https://www.bilibili.com/video/av26566691
更新时间：07-15
弹幕总量：1499
preciseTime    ofTime          comment
0.0            1531376484.0    这一天终究还是来了
0.18           1531450635.0    妈妈 接下来我给你表演一个神奇的魔法
0.315          1531369489.0    会上B站
0.329          1531366631.0    推荐大家1.5倍速观看
0.34           1531443358.0    会被拍成视频发到B站上
0.348          1531459307.0    建议0.5缓慢欣赏
0.397          1531366728.0    肥皂制造方法
0.437          1531364964.0    会浪费你人生的十分钟
0.48           1531369775.0    会被拍成视频发上b站
0.537          1531452792.0    肥皂的制作过程
0.658          1531367682.0    妈见夸系列
0.702          1531452439.0    全程高能
0.938          1531451145.0    强烈建议在1.5倍速情况下食用
0.991          1531462230.0    这样一个肥皂就做好了
1.02           1531366047.0    疯狂钻石!
1.025          1531454846.0    1.5倍食用更佳
1.119          1531366983.0    倒放，了解一下
1.133          1531454120.0    肥皂的制作过程
1.476          1531371041.0    欢迎收看bilibili赞助播出的节目《肥皂的制作方式》
1.54           1531456800.0    会上b站
1.555          1531453805.0    封面看成刮肥宅（滑稽）
1.556          1531432063.0    妈见打系列
1.641          1531456332.0    所以，我又来了
1.686          1531371862.0    会上b站
1.958          1531366374.0    妈见夸
2.26           1531364555.0    妈见打爸见捶
2.28           1531438055.0    欢迎来到妈见夸系列
2.462          1531370964.0    开头见
2.58           1531372634.0    会被拍成视频上传到B站
2.594          1531376405.0    原力菜刀
2.785          1531449609.0    肥皂就是这么做的，小朋友们看仔细噢～
3.099          1531457173.0    我相信看哔站的人都是可爱的
3.219          1531461313.0    会做出一块肥皂
3.297          1531364996.0    如何制造系列
3.685          1531458774.0    欢迎收看肥皂的制作
4.021          1531363795.0    肥皂的制作过程
4.241          1531372766.0    欢迎收看如何制作一个完美的香皂
4.419          1531457857.0    原力制作肥皂
4.457          1531452802.0    吸肥皂
4.881          1531370254.0    这个颜色好看
5.26           1531372103.0    原力与你同在
5.379          1531442335.0    crazy diamond!
5.463          1531457443.0    肥皂就是这么做出来的！
5.548          1531371873.0    妈见夸
5.95           1531424738.0    难受
6.014          1531462833.0    压解很
7.109          1531450854.0    建议0.5倍食用
7.898          1531456087.0    改天把拉那啥的视频倒放
8.213          1531362530.0    欢迎收看妈妈再也不用担心我肥皂用完的系列
8.804          1531465694.0    噗
8.874          1531450250.0    为什么看着那么难受
8.9            1531437925.0    妈见杀
