排名：68
网址：https://www.bilibili.com/video/av26568495
更新时间：07-17
弹幕总量：1091
preciseTime    ofTime          comment
0.299          1531744382.0    。。
0.828          1531664303.0    搞一个诚哥上非诚勿扰一定会火🔥
1.495          1531669678.0    第一期合影
2.335          1531736533.0    流星一条
3.14           1531761423.0    战歌起，你NP又满了，活下去！你这莓良心的Master
3.275          1531640303.0    我TM一天在首页上看见你十几遍了，崩溃
3.344          1531659093.0    我要和大英雄结婚
3.497          1531675207.0    人才一枚
3.794          1531739633.0    相关游戏瞩目
3.852          1531646956.0    呃呃呃呃呃呃呃
4.214          1531570481.0    会被做成视频
4.283          1531660913.0     我觉得大英雄应该和拉二在一起
4.294          1531597435.0    可这不能让牛战士摘下面具
4.403          1531636805.0    大片既视感
4.716          1531554683.0    你会火的up
4.798          1531573923.0    被BGM炸出来
4.926          1531624929.0    许愿伊什塔尔
5.138          1531630748.0    老婆！
5.202          1531662739.0    啊啊啊，弓凛我的
5.522          1531543912.0    弓凛弓凛弓凛弓凛弓凛弓凛弓凛弓凛弓
5.536          1531589732.0    麻婆瞩目
5.554          1531541087.0    二宝凛沉船！
5.596          1531714688.0    一不小心就变寡妇
5.819          1531577857.0    刚肝到..
6.443          1531632104.0    人才
6.657          1531619214.0    666
6.669          1531661742.0    GG
6.701          1531742059.0    棉被！？
6.705          1531562087.0    66
6.935          1531663883.0    凛酱啊
7.412          1531584938.0    megalo box的bgm
8.334          1531716193.0    没良心
8.563          1531625234.0    大英雄超帅的
8.875          1531710829.0    老婆凛！
8.91           1531535019.0    流星一条！
9.72           1531535459.0    歪了大姐
9.861          1531661554.0    提前报警
9.891          1531662696.0    一发呼符出的
10.598         1531548478.0    太刺激了
11.247         1531737561.0    stella！
11.303         1531740911.0    混入女嘉宾中的某位太阳法老 请你出来
11.366         1531576824.0    直接嫁了，不要犹豫
11.434         1531652604.0    就为大英雄 这硬币我投了
11.451         1531534473.0    在现场
11.725         1531734702.0    我家大姐！！！
12.601         1531760177.0    胡说，斯忒诺是我的
12.7           1531631546.0    火钳刘明
13.098         1531573307.0    王炸！！！
13.101         1531668720.0    这个bgm…仿佛来相亲的人是joe
13.299         1531705272.0    我爱大姐！
13.434         1531540539.0    弓凛沉了(ಥ_ಥ)
14.277         1531538385.0    大英雄每天都在自爆耶那是良配！
14.689         1531647946.0    火钳刘明
15.058         1531611943.0    刚肝到，一次十连加五护肤三宝
15.07          1531747563.0    2333
15.876         1531655931.0    刚撕一只大姐
15.889         1531557999.0    弓凛一发出奇迹
16.567         1531754544.0    ??
17.011         1531537387.0    姐，遇到波斯大英雄就嫁了吧
17.298         1531707493.0    弓凛2宝
17.517         1531633316.0    关键看你有没有钱将她们氪5宝
17.657         1531746140.0    火钳刘明
17.698         1531713355.0    弓凛已出
17.913         1531544821.0    2333333
18.079         1531664325.0    羽蛇神配大英雄最好啊，两发“死爹啦”
18.155         1531637245.0    gong
18.291         1531715277.0    羽蛇神和大英雄绝配
18.363         1531557093.0    弓凛五宝，然而没有八重连晶
18.619         1531551319.0    弓凛沉了55
18.724         1531550345.0    让羽蛇神大姐姐给大英雄上个毅力！
18.913         1531623804.0    我一直觉得他是男的。。。
18.916         1531566618.0    大姐姐有战续啊嫁了吧
19.058         1531607329.0    沉船的你不是一个人
19.228         1531721136.0    弓凛沉了啊啊啊
19.558         1531660374.0    许愿弓凛 出必还愿
19.698         1531661571.0    摔♂跤
19.957         1531661552.0    许愿弓凛
20.116         1531637265.0    我弓凛也沉了
20.189         1531552680.0    我大英雄的胜利语音是什么样的。。
20.476         1531740438.0    我的
20.676         1531633357.0    这个惹不起 会死的
20.777         1531542892.0    嗨
21.435         1531727275.0    喜欢大姐姐
21.895         1531630472.0    大型骗氪视频紧迫感
22.11          1531640045.0    弓凛又沉了
22.156         1531707627.0    大英雄:我想活下去。
22.174         1531570739.0    大姐姐！
22.233         1531705938.0    什么番？
22.272         1531670212.0    哇大姐姐请务必来我迦
22.459         1531654880.0    日摔跤姐♀贵  告辞！
22.556         1531667259.0    大姐姐我的嫁！
22.736         1531540064.0    女神联盟？
22.856         1531648681.0    大姐姐我的
23.345         1531738283.0    伊修塔尔并不来我这
23.406         1531635680.0    歪了唐僧
24.034         1531586537.0    master，你TM的良心呢？
24.13          1531631780.0    刚刚肝到
24.577         1531710355.0    12式单抽
24.725         1531755230.0    弓凛沉了
24.826         1531553672.0    猜到结局了
25.096         1531633363.0    戈耳工我的
25.097         1531790074.0    戈耳工我哒哒哒哒哒哒哒！！！！！！
25.472         1531710119.0    今天刚肝出来
25.657         1531548038.0    我的妾
25.702         1531538327.0    我爱r姐
26.249         1531534588.0    戈耳工我老婆
26.277         1531582269.0    戈耳工！
26.642         1531655790.0    肝不动
26.998         1531534944.0    大片既视感
27.181         1531642186.0    今天抽到了
27.715         1531625877.0    戈耳工赛高
27.814         1531653988.0    我老婆！！
28.016         1531629935.0    弓凛沉了
28.276         1531556576.0    十连出了戈耳工。。。
28.395         1531731628.0    月神阿尔忒弥斯是奥林匹斯三大处女神之一
29.269         1531635069.0    我老婆啊啊啊
29.617         1531618218.0    已婚女神跑出来干嘛⊙∀⊙？
30.916         1531542638.0    放屁戈耳工我老婆
31.135         1531578682.0    纸片人
31.365         1531609855.0    熊呢？啊不见了！！！
31.499         1531642193.0    老婆
31.578         1531548057.0    我正宫
32.244         1531661601.0    有夫之妇
32.457         1531539292.0    带着老公来参加相亲……
32.509         1531572693.0    怎么混进了一个男嘉宾！
32.566         1531734732.0    你不是有老公了吗
32.597         1531557825.0    俄里翁绿了
32.82          1531552090.0    弓凛出了
32.998         1531792979.0    老婆大人
33.076         1531537194.0    有夫之妇
33.238         1531579140.0    怎么这么卡
33.251         1531726746.0    撒，DARLING？？？我听错了？
33.338         1531723226.0    十连算什么，我单抽
33.467         1531534357.0    都是神仙
33.603         1531535252.0    俄里翁是男的
33.659         1531549586.0    这只有主了吧。。
33.798         1531671687.0    想到月神个人空间那句
33.808         1531792967.0    老婆大人
33.895         1531735860.0    你不是有男人了吗
33.897         1531585516.0    月神是男的啊
33.916         1531586327.0    人家老公就在身边吧
33.917         1531558261.0    吃我紫色老太婆一枪
34.0           1531660391.0    已婚的
34.156         1531627168.0    等等你家熊呢
34.316         1531791506.0    ？？？你不是有熊的吗？
34.756         1531646876.0    本体不在
34.833         1531556783.0    你带着你老公相亲？？？
34.852         1531649221.0    有夫之妇
34.935         1531750848.0    这他喵是个公的
35.138         1531569174.0    你的熊呢？
35.259         1531658543.0    俄里翁
35.816         1531720131.0    ？？？
35.897         1531551647.0    这带老公来相亲。
36.113         1531642003.0    骗氪视频
36.784         1531637207.0    安娜我的!
37.542         1531544027.0    R姐我的
37.556         1531540175.0    我的！！不服滚蛋！！
37.638         1531669360.0    这个不是已婚吗
37.648         1531566550.0    安娜我的
37.757         1531548308.0    FBI!
38.016         1531633380.0    安娜我的
38.329         1531534959.0    安娜prprpr
38.331         1531544904.0    这是我的，啊啊啊啊，我的
38.577         1531548075.0    我幼妻
38.639         1531547836.0    啊啊啊啊啊啊啊啊，抽到大姐和玉藻猫，崩溃啊
38.812         1531584306.0    安娜神教，愿者来报
38.845         1531623261.0    我觉得配太太
38.861         1531534579.0    月神喜欢与恋爱有关的事，喜欢看戏
38.956         1531641367.0    R姐我的
39.006         1531649236.0    未成年还来相亲？
39.327         1531739602.0    承包不接受异议
39.347         1531741110.0    安娜我的 不服憋回去
39.358         1531734751.0    小妹
39.417         1531585251.0    承包r姐
39.457         1531540037.0    他还是个孩子啊
39.459         1531740724.0    全是神啊
40.077         1531534125.0    安娜
40.526         1531537241.0    人妻那不是更好吗
40.617         1531534398.0    这是犯法的
40.891         1531610467.0    安娜安娜安娜我的！
41.517         1531566885.0    幼妻？！！
42.837         1531549457.0    小孩子才要这个那个 我全都要
43.237         1531746217.0    摸摸头
43.641         1531543754.0    没！有！艾蕾！
43.97          1531590656.0    女神专场
44.061         1531760164.0    刚入坑三发弓凛
45.236         1531721673.0    没有杀生院祈荒，差评
45.457         1531579799.0    抱着我的清姬老婆看相亲节目
45.937         1531543214.0    由圣晶石赞助播出
46.523         1531629517.0    狂阶呢？还有剑阶
46.581         1531622787.0    阿拉什：我这人挺不错的，就是有时候会自爆，不介意吧
46.593         1531539977.0    报警了
46.82          1531649039.0    安娜只是个孩子啊喂!
47.66          1531644125.0    嘿嘿，第二发出弓凛
47.717         1531750091.0    我就是诚哥 让我来
47.786         1531584950.0    我全都有
48.492         1531553487.0    全都要的，知道对诚宝具吗？
48.811         1531655975.0    圣晶石好评
49.17          1531538491.0    你开玩笑♂
49.567         1531552236.0    二宝了
49.9           1531740505.0    你们这些禽兽，她只是个几百岁的孩子啊
50.704         1531534365.0    楼上不要开玩笑了，这里的女人每一个比阿拉什好用
51.258         1531646376.0    小孩子才做选择题，我全都要
52.134         1531744013.0    两发出弓凛的，我一发
52.155         1531593974.0    清姬，过来坐下，看看凡人的恋爱
53.179         1531619313.0    贼牛逼嘞！
53.243         1531576616.0    步步高好评
53.264         1531581218.0    玛修我的，你们随意
53.644         1531623505.0    我只要bx
54.04          1531663505.0    跨次元相亲
54.267         1531721710.0    吹牛逼嘞
54.457         1531548840.0    月神是来捉奸的，想想吧，当俄里翁看到月神会是什么表情，想想就有趣
54.657         1531560193.0    up很有才  不就硬币吗 给了！
54.659         1531736503.0    大英雄一个宝具全没
54.82          1531716032.0    太真实了
55.017         1531650899.0    玛修我的别的你们都可以要
55.513         1531567897.0    非诚勿扰已经不是这样了（我每周都看）
55.862         1531647051.0    没有拉二？
55.899         1531535869.0    哈哈哈哈红红火火或或
56.057         1531666026.0    大头儿子小头爸爸
56.476         1531618515.0    灵魂p图
56.6           1531752981.0    开演之时以至此刻应有雷鸣般的喝彩
56.777         1531628050.0    闪闪过来和我一起坐着看，这堆杂修要谈恋爱了
56.836         1531540214.0    这p的毫无违和感
57.067         1531667143.0    哈哈哈哈哈什么鬼
57.296         1531664262.0    元帅hhhhhhhh
57.537         1531582354.0    毫无违和感
57.548         1531534897.0    大眼萌不可能看这又没有贞德
57.569         1531673910.0    厉害了
58.857         1531712116.0    灵魂P图手
59.323         1531727328.0    哈哈哈哈哈哈哈哈哈哈哈
59.716         1531711570.0    吓得我紧紧抱住我的清姬老婆。
59.861         1531580354.0    此处应有雷鸣般的掌声
60.351         1531639318.0    灵魂P图
61.339         1531744310.0    一护符单抽弓凛
61.36          1531542809.0    皮，真的皮
61.694         1531658701.0    哈哈哈哈
62.23          1531586222.0    呵呵哈哈哈
62.738         1531553391.0    我拉二为大英雄爆灯！
62.792         1531603698.0    放下清姬
63.174         1531717301.0    c狐呢？
63.424         1531628316.0    好厉害啊
64.355         1531649350.0    光头吴克
64.657         1531549520.0    看背景，步步高
64.853         1531727259.0    JOE！
64.86          1531583049.0    233
64.865         1531563099.0    6666
64.967         1531737421.0    哇噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢
65.449         1531619198.0    头发还在，差评
65.716         1531662982.0    不是时辰差评
67.139         1531590949.0    小孩子才做选择题
68.518         1531665363.0    哈哈哈哈哈
71.539         1531565300.0    666
74.244         1531761519.0    master好
75.369         1531535007.0    妹子哈哈哈哈
76.076         1531752039.0    二姐呢
76.393         1531643738.0    bgm！
76.753         1531551229.0    趁机抠走帽子上的圣晶石
76.754         1531557858.0    美国征兵海报……
76.819         1531651437.0    停！月神什么鬼
78.813         1531578071.0    美国大叔
79.01          1531578081.0    美国大叔
79.019         1531550809.0    秀的不行
79.246         1531557402.0    帽子上的石头我要了！
79.747         1531620842.0    瞎说，分明就是山姆大叔
80.06          1531648998.0    犹大你完了
80.661         1531658899.0    非诚（哥）勿来
80.773         1531617634.0    我啊，就是那种可以结束战斗的英灵。
82.539         1531688240.0    播音棉超可爱
83.697         1531637916.0    哦，和我黑暗多元宇宙没关系
83.756         1531652311.0    说话的感觉像捞瑞
83.937         1531566936.0    李时珍的皮
86.924         1531720789.0    2333333333333
87.199         1531647308.0    犹大！
87.406         1531560966.0    吹牛逼嘞！
87.595         1531668296.0    233333333
87.597         1531647933.0    这图明显是美军的征兵广告啊。。。
88.451         1531628408.0    厉害厉害
88.934         1531727363.0    噗
