排名：90
网址：https://www.bilibili.com/video/av26569346
更新时间：07-15
弹幕总量：1001
preciseTime    ofTime          comment
1.59           1531298945.0    1
2.895          1531327385.0    bgm：夏野与暗恋
3.135          1531489706.0    午食已到
4.492          1531487626.0    哈哈哈哈哈哈哈哈
4.564          1531395823.0    。。。。。。
4.914          1531288352.0    流量观看
5.389          1531467626.0    bgm：夏野与暗恋
7.23           1531481500.0    午食已到
7.649          1531373225.0    求背景音乐
7.998          1531557639.0    支咐宝首页搜下“86OO14”稳住别黄了
8.453          1531479160.0    午食已到
8.472          1531469977.0    七月七酿新酒，好酒出在咱地手，好酒~
9.452          1531325285.0    在粥铺吃饭？？？
9.942          1531370379.0    午时已到
10.172         1531403301.0    这声音我以为耳机坏了突然外放了
11.296         1531327027.0    77777777777
11.511         1531368669.0    50已到
11.578         1531466709.0    在粥铺吃饭？为什么不喝粥？？
12.094         1531412707.0    7月7我生日！！
12.344         1531483314.0    bgm夏野与暗恋。。是吧
13.815         1531476496.0    7.7也是我生日前面的！
16.181         1531448582.0    1727
16.737         1531359888.0    又在暗示
17.774         1531552505.0    77777777777777777777777777777
17.996         1531557649.0    支咐宝首页搜下“86OO14”只能帮你到这了
19.492         1531448486.0    bgm夏夜与暗恋，不用谢
22.074         1531404963.0    我刘天晓就好这一口
22.853         1531313108.0    还好我是边吃边回复
22.959         1531298290.0    碗也扔辣鸡桶？？？？
25.655         1531392453.0    开局一张图，内容全靠编系列
26.108         1531358113.0    哈尔滨人一脸懵逼
27.019         1531395869.0    牛先生？
27.186         1531453612.0    。
27.388         1531442395.0    午食已到
27.832         1531291184.0    这服务员哑的吗，最起码问一下啊
28.636         1531320635.0    底端字幕讨不讨厌啊？
29.359         1531358917.0    午食已倒
31.955         1531352960.0    午食已倒
32.269         1531477241.0    这配音！MMP
32.275         1531316692.0    等顾客离开再收碗。。不是常识吗？
33.375         1531461320.0    人没走就收了？这服务员怕是第一次做的吧？
33.515         1531297972.0    ci
33.741         1531481907.0    服务员明显有问题
33.828         1531457645.0    明显找茬啊，你见哪个服务员直接把碗碟扔垃圾桶的
33.909         1531297239.0    有毛病啊服务员
34.358         1531399187.0    红字请滚开
34.456         1531483803.0    邻桌:mmp
35.425         1531450177.0    女。。女服务员。。汉子
36.101         1531630072.0    邻桌？
36.502         1531490606.0    东百铁汁奥力给
37.44          1531387558.0    邻桌:关我屁事？
37.633         1531363390.0    计春华走了  一路走好
37.715         1531370501.0    邻桌：？？？
37.812         1531313148.0    邻桌:我还没吃完，服务员:我以为你也吃完了
38.71          1531390710.0    666
39.237         1531385616.0    这服务员是真的没脑子
39.597         1531395484.0    可怕
39.626         1531488521.0    fwt
39.799         1531300868.0    ？？？？
39.934         1531395476.0    邻桌：？？？？？？？
40.118         1531363028.0    邻桌：？？？我也没吃完
40.328         1531317111.0    233333
40.695         1531293318.0    吃你个头
40.834         1531318467.0    粥润发 可还行？
40.852         1531369340.0    这服务意识为零啊，，，，
40.991         1531306388.0    来大姨妈了吧
41.016         1531564689.0    女，女服务员吗？？
41.111         1531469482.0    可能看了破产姐妹
41.154         1531300440.0    也不问一下，上次我去加饭了，阿姨把东西给我倒了，然后有赔了我一个套餐
41.241         1531405855.0    邻桌:我也没吃完！
41.556         1531292285.0    服务粥到
41.915         1531496197.0    社会人
42.028         1531488497.0    666
42.114         1531299587.0    这服务员这么diao的？
43.055         1531393070.0    这是我见过脾气最大的女的
43.133         1531326662.0    这服务员神经？不想当就别来，吃个饭还要你管？
43.148         1531447583.0    扣篮！！！
43.156         1531420375.0    令人窒息的操作
43.258         1531495584.0    上前帮忙，一起殴打刘先生
43.853         1531457814.0    6666
43.916         1531288564.0    够暴躁
44.022         1531348098.0    哇
44.074         1531320236.0    只能收空碟，收前还要询问一下...这不是常识么。。。
44.144         1531322660.0    6
44.177         1531496132.0    这服务员，是不是有什么精神疾病
44.277         1531387642.0    ？？？？
44.515         1531304036.0    这种店请我去我都不愿意
44.615         1531296459.0    躁狂发做吗
44.637         1531390716.0    这么强吗
44.707         1531370545.0    这素质感人
44.761         1531479004.0    帮忙殴打
44.812         1531322881.0    打扰了
44.993         1531385003.0    邻桌：你tm到时等我吃完了再扣啊
45.264         1531372286.0    10日?才10日?
45.67          1531301352.0    牛皮
45.736         1531370233.0    这店是怎么经营下去的
46.067         1531546387.0    服务粥到，太形象了！
46.134         1531326741.0    帮忙？
46.141         1531291334.0    这老姐有问题吧
46.391         1531395473.0    女装大佬吧
46.455         1531488075.0    服务粥倒233
46.474         1531375996.0    ？？？？？
46.63          1531368247.0    what？上前帮忙（滑稽）
46.794         1531404357.0    没被开除？
47.052         1531308022.0    粥润发
47.073         1531473642.0    中国法律太不严了
47.114         1531582290.0    该！
47.234         1531304926.0    就没人关心一下邻桌的心情吗？(ಥ_ಥ)
47.552         1531448750.0    牛逼
47.563         1531347655.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
47.756         1531436082.0    暴躁啊
47.816         1531366381.0    是女     服务员
48.391         1531472992.0    66666
48.501         1531501265.0    2233服务粥倒
48.584         1531421972.0    换做我这女的可能会被我打死
48.594         1531376961.0    好狂躁啊
48.657         1531489684.0    牛逼服务员
48.842         1531313113.0    ⊙▽⊙
48.865         1531483032.0    服务粥倒2333
48.896         1531460030.0    服務粥倒笑死哈哈哈哈
48.921         1531472868.0    这人有病
49.212         1531376230.0    23333333
49.213         1531446737.0    帮忙？
49.364         1531348103.0    这么刚嘛
49.996         1531383709.0    自古评论出神仙
50.038         1531485922.0    一下子凉快多了
50.068         1531371726.0    6666字典已撕
50.323         1531371315.0    233333
50.572         1531473656.0    为什么不拘留一年
51.135         1531362894.0    这服务员绝了
51.169         1531288246.0    哈哈哈
