作品名称：èµ·å°�ç‚¹TOP10 VOL415 ä¼Šæ³½ç‘�å°”ç�µå·§è·ƒåŠ¨æ�Œæ�§å…¨å±€
网址：https://www.bilibili.com/video/av26581671
更新时间：07-12
弹幕总量：989
preciseTime    ofTime          comment
1.918          1531266217.0    100000刚刚好
2.48           1531318965.0    66663
2.739          1531293635.0    早
2.839          1531279736.0    6
2.899          1531325179.0    看到我你就是三十万之后就
3.005          1531279516.0    开始
3.197          1531305170.0    6666
3.203          1531265965.0    1
3.837          1531268709.0    1
3.939          1531281648.0    每周三准时收看
3.986          1531356857.0    吱付宝首页搜索513421732，你会回来打死我的（滑稽）
4.344          1531288909.0    11111111
4.376          1531267940.0    确实早
4.509          1531267418.0    大家早啊
4.54           1531262986.0    看到我你已经是7.9万以后了
4.648          1531287071.0    第一次前30万
5.001          1531273521.0    恭喜法国队
5.043          1531317066.0    勇士诚信代刷冠军
5.331          1531304268.0    3333333
5.479          1531272455.0    看到我你已经是15万之后了
5.48           1531263124.0    关上8W大门
5.541          1531282856.0    早早早哦
5.881          1531280003.0    刚从后街过来的
5.982          1531294065.0    看我刷出来什么
6.046          1531276319.0    法兰西万岁 贞德牛批
6.269          1531305189.0    6666
6.459          1531384664.0    克罗地亚
6.535          1531271143.0    十四万后
6.562          1531269402.0    七核七钻五品灵皇霸宋了解一下
6.715          1531292757.0    暑假快乐!
6.841          1531272043.0    1663
6.868          1531280643.0    66666666666666666666666666666666666666
6.943          1531266407.0    噗╮(￣▽￣)╭
6.961          1531335585.0    英格兰1:0克罗地亚
7.001          1531286856.0    看到我才26而已
7.015          1531265933.0    英法联军会师决赛
7.541          1531325403.0    5001
7.957          1531283833.0    你们住在b站？
8.14           1531263414.0    6243
8.18           1531373927.0    终于等到你
8.264          1531377859.0    哔哩哔哩
8.27           1531280778.0    从后街女孩出来的等我 我也是 这个番有毒
8.45           1531325306.0    好前
8.46           1531272527.0    15万
8.719          1531327612.0    🚄🚄🚄🚄🚄🚄🚄🚄🚄
8.78           1531285895.0    8461
8.8            1531262882.0    报道
9.152          1531284908.0    sssaaaannnnnnsssss
9.162          1531321647.0    1313
9.239          1531281130.0    20万了
9.282          1531309381.0    ？
9.383          1531265946.0    C罗去尤文图斯了
9.468          1531289020.0    关上27.5万的大门
9.62           1531279399.0    后街女孩+1
9.72           1531281353.0    押了比利时2:1天台见
9.87           1531268470.0    1554！
10.236         1531300771.0    又来了 
10.56          1531287729.0    买了法国队，现在准备换老婆
10.699         1531274847.0    11111
11.24          1531328881.0    你们好快
11.304         1531269691.0    zzzz
11.402         1531263890.0    短
12.121         1531269268.0    来啦
12.969         1531307084.0    后街+2
13.519         1531285752.0    我不管我还是要刷，我们是冠军
13.538         1531284837.0    恭喜lpl
13.845         1531347772.0    不容易啊
14.236         1531364746.0    来早了？
14.259         1531271061.0    关上10000的大门
14.658         1531278494.0    BGM  想起来
14.763         1531304275.0    越是ADC不当人的版本ADC集锦就越多
15.14          1531270698.0    伊泽瑞尔球进了
15.361         1531359539.0    ？？？？
15.552         1531283955.0    2
15.6           1531262476.0    你的好友准备就绪
15.819         1531278671.0    19600
16.66          1531278236.0    湖人总冠军！
17.117         1531267464.0    G
17.145         1531277216.0    老骨看了没
18.748         1531282440.0    22。2万！
19.004         1531284447.0    qaqa
19.815         1531350406.0    看到我你已经是2447后了！
19.899         1531269771.0    刮台风了各位
21.099         1531272235.0    您的好友还在睡觉中
21.884         1531285055.0    你的好友[那屎难嚼]已上线
22.011         1531287802.0    你的好友【龙五今天更新了么】已上线
22.039         1531283699.0    哈喽
22.078         1531286287.0    北京申奥成功！！！
22.139         1531268483.0    好了郭庆我知道你在看
22.161         1531335081.0    你的好友要睡了
22.378         1531263176.0    你们这群b人真快
22.406         1531265446.0    早好啊
23.042         1531317285.0    你的好友喷水龙上线了
23.076         1531287185.0    来了来了
23.581         1531288118.0    233
23.637         1531298139.0    法国1:0比利时，挺进决赛
23.697         1531277780.0    比利王
23.725         1531300552.0    略略略呜公肯定看不到我
24.081         1531269078.0    12.2W
24.201         1531320162.0    2242
24.215         1531340143.0    您的好友已下线:)
24.506         1531276163.0    龟龟
24.721         1531361709.0    有点意思
24.819         1531280018.0    有教补习的2333
25.486         1531352873.0    多久都没有见到ez了
25.561         1531275104.0    弹幕呢
25.641         1531283768.0    法国
26.049         1531279224.0    学校补课的兄弟 我七月六号开学 洪泽湖高级中学了解一下 顺便帮忙举报
26.14          1531264100.0    三千万法国赢，
26.25          1531280700.0    您的好友[TOP10]已上线
26.465         1531282004.0    您的好友青铜与火之王已上线
27.002         1531298371.0    你的好友【硬】以上线
27.339         1531353494.0    没人？
27.609         1531296190.0    近几期的top1都是AD耶
27.642         1531317320.0    你的好友打我毁一生上线了
28.094         1531275757.0    你的好友［我们是冠军］已上线
28.266         1531284661.0    哈哈
28.373         1531295593.0    您的好友《skt完败之地》已上线
29.219         1531305441.0    您的好友:那屎难嚼已经上线
29.258         1531272856.0    .............
29.899         1531325106.0    sj2
29.946         1531268617.0    你的好友都在睡觉
29.974         1531284006.0    24.1万的大门关上了
30.784         1531269378.0    您的好友 台风玛利亚 已上线
30.806         1531270359.0    那屎难嚼
