作品名称：【STN快报第二季34】《怪物猎人：深圳》都公布了，你还在这打僵尸？
网址：https://www.bilibili.com/video/av26584717
更新时间：07-12
弹幕总量：2981
preciseTime    ofTime          comment
0.698          1531302981.0    注意这期片尾高能
1.55           1531282046.0    我喜欢死侍也喜欢丧钟......真巧我也是
1.975          1531285828.0    17分20秒正片开始
2.816          1531283814.0    谁能告诉我这节目啥时候更新！
2.842          1531295648.0    星期四了？
2.886          1531297275.0    神经病啊，股东不睡的啊，撤股撤股（
3.401          1531290440.0    十分钟前
3.476          1531271694.0    可算更了
3.917          1531391037.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
4.058          1531279945.0    法国赢了所以加急黑育碧吗温斯顿？
4.22           1531285287.0    假装前排
4.401          1531284302.0    C罗转会了
4.85           1531286431.0    maya
6.295          1531299692.0    深圳？
6.32           1531273786.0    龙岗欢迎你
7.541          1531295200.0    我以为这节目凉了呢
7.957          1531330585.0    封面律师函警告
9.44           1531291645.0    重新定义周一二三四五六七
9.582          1531314535.0    今天星期几
9.813          1531285408.0    lp
10.008         1531300259.0    终于回来了
10.133         1531274691.0    封面搞事
10.161         1531296138.0    今天周几？
10.199         1531279498.0    封面搞事
10.232         1531328396.0    ???猝死流节目
10.299         1531282081.0    股东不睡觉系列
10.479         1531391627.0    卡婊！
10.743         1531348147.0    游戏终结者
10.781         1531324447.0    困的呀皮
10.847         1531315173.0    失踪人口回归
11.012         1531275795.0    放假了？
11.02          1531279234.0    考完试了，真开心
11.459         1531302600.0    姆巴佩牛壁
12.449         1531284634.0    深圳？
12.561         1531278357.0    看球的福利
12.609         1531321289.0    法国总冠军
13.179         1531279346.0    现在都不是凌晨两点三点更了
13.881         1531274017.0    早啊各位
13.998         1531286595.0    谋杀股东
14.538         1531297693.0    诶周四了吗
14.579         1531334295.0    深夜福利
14.739         1531308188.0    宝安欢迎你
14.905         1531288706.0    一周过去了？
15.059         1531283615.0    QQ
15.242         1531285586.0    C罗牛逼
15.667         1531299875.0    深圳？？？？？？？？？
15.8           1531310619.0    还没到周四啊，高产似母猪
15.913         1531276146.0    重新定义星期四
15.921         1531293149.0    英格兰爆冷!
15.94          1531296212.0    封面:kkp？(幻视)
16.859         1531293591.0    割腕看老婆
17.112         1531274584.0    Vive La France!
17.44          1531280964.0    比利时太让我失望了
17.749         1531332013.0    谋杀股东
18.081         1531337792.0    我大深圳咋了
18.919         1531319477.0    解卡
18.944         1531283428.0    早上好
