排名：91
网址：https://www.bilibili.com/video/av26586543
更新时间：07-15
弹幕总量：1631
preciseTime    ofTime          comment
0.0            1531313921.0    失踪人口回归
0.08           1531405795.0    啊啊啊啊啊啊啊啊啊存
0.134          1531406453.0    天依生日快乐
0.163          1531396106.0    啊，喜欢啊啊
0.174          1531319752.0    双向系列啊啊啊啊啊啊啊啊啊！！！！！！
0.231          1531369140.0    糸统提示：已完成所有结局，HE开启！
0.237          1531310316.0    双向？！
0.291          1531306531.0    快去给存娘投票！！
0.304          1531388776.0    锦依卫祝吃货殿下生日快乐！！！
0.329          1531303188.0    给存打call!!!!!!!!!
0.348          1531388741.0    锦依卫参见吃货殿下
0.426          1531367683.0    我们在彼此彼此的视线之外
0.457          1531627656.0    ♡洛水之畔，和乐而歌∞
0.496          1531576651.0    洛水之畔，和乐而歌
0.558          1531353233.0    ♡洛水之畔，和乐而歌∞
0.615          1531536728.0    我们欠存娘一个传说
0.745          1531318032.0    快去给存娘投票！！！
0.801          1531374013.0    天依生日快乐
0.822          1531311154.0    是双向！
0.84           1531561378.0    支咐宝首页搜下“86OO14”低调别黄了
0.902          1531320666.0    头像好评
0.943          1531356412.0    都去给存娘投票！！
0.963          1531384741.0    锦衣卫参见天依殿下
0.972          1531318060.0    快去给存娘投票！！
1.021          1531392951.0    ？？？？？？？？？？？？？？？？？？！！！！！！
1.085          1531379406.0    吱付宝首页搜索“86OO14”深藏功与名
1.099          1531304461.0    24分钟前！
1.191          1531463641.0    生日快乐
1.379          1531467933.0    生日快乐(๑•̀ㅂ•́)و✧支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.57           1531463883.0    天依生日快乐
2.031          1531312833.0    有生之年！！！
2.098          1531307441.0    言洛言洛言洛言洛言洛言洛言洛
2.111          1531319202.0    我们在彼此视线之外
2.133          1531368434.0    我们在彼此视线之外
2.325          1531559681.0    支持
2.335          1531303888.0    看我发现了什么
2.377          1531484714.0    两小时前！好近！
2.4            1531355974.0    天依生日快乐！！
2.448          1531303178.0    赞美存娘！！！！！！！！我爱双向！！！
2.507          1531316031.0    言和生日快乐！
2.518          1531501393.0    关注存娘六年了，真好
2.534          1531304087.0    言尽难述心意
2.542          1531306593.0    卧槽！双向！鸽子王投稿了！万年老坑被想起来了！吹号庆祝！
2.621          1531370747.0    天依生日快乐
2.634          1531439184.0    生日快乐我的小天使
2.641          1531411393.0    来了!
2.669          1531390688.0    上首页贺电!
2.701          1531373694.0    养了那么久的鸽子终于飞回来了
2.828          1531456663.0    锦衣卫参见天依殿下
2.869          1531364593.0    /我们在彼此视线之外./
2.99           1531372522.0    有生之年！！！！
2.991          1531384234.0    wodema！！！！！
3.056          1531371027.0    存娘~
3.34           1531315246.0    哇啊啊啊我看到了什么！
3.463          1531324471.0    存娘给双向系列的一对发糖了！
3.66           1531460187.0    ////
3.706          1531379422.0    吱付宝首页搜索“86OO14”只能帮你到这了
3.752          1531367842.0    1.25食用效果奇特
3.84           1531401068.0    殿堂助攻
3.9            1531308728.0    ！！！
4.258          1531302696.0    言和小天使生日快乐！！！
4.399          1531459030.0    天依生日快乐
4.423          1531310687.0    ???
4.498          1531317632.0    622位小伙伴你们好啊
4.608          1531387976.0    HE啊啊啊是HE！！！
4.72           1531494713.0    爷爷你关注的系列更新了！！
4.721          1531485925.0    天哪有生之年的双向！
4.801          1531373981.0    天依生日快乐
4.848          1531584996.0    双向！！！
4.897          1531385319.0    emmmmm
4.953          1531551625.0    去看存娘微博吧！这又是一把刀！
4.98           1531313550.0    我的天哪！！！！！
5.006          1531488645.0    所以竟然打破了单向苏醒里面洛天依和言和永远不能在一起的flag？
5.184          1531317665.0    卧槽？？？？
5.374          1531477586.0    殿堂贺电！
5.462          1531538197.0    言和言和言和言和言和言和言和言和言和
5.591          1531627341.0    有生之年！
5.617          1531405700.0    囍！
5.694          1531384971.0    天依生日快乐
5.736          1531531096.0    有生之年！！！！！！！！！
5.881          1531319229.0    将重叠的时刻推算
5.914          1531368454.0    将重叠的时刻推算
5.933          1531453839.0    小天使生日快乐！
5.975          1531364628.0    /将重叠的时刻推算./
6.001          1531313430.0    双向系列吹爆
6.025          1531489867.0    小黑快走！
6.103          1531484538.0    00000
6.138          1531367710.0    将重叠的时间推算
6.163          1531445492.0    生日快乐
6.225          1531406598.0    太好听了ε٩(๑> ₃ <)۶ з
6.463          1531367848.0    将重叠的时刻推算
6.476          1531314979.0    言和小天使生日快乐！！
6.486          1531314364.0    我的存
6.78           1531384120.0    天依六岁生日快乐
6.819          1531318287.0    言和小天使生日快乐啊！
6.839          1531328866.0    天依生日快乐小天使也生日快乐
6.857          1531353250.0    ♡洛水之畔，和乐而歌∞
6.923          1531314322.0    我以为双向完结了
6.957          1531303279.0    ♡洛水之畔，和乐而歌∞
6.998          1531324892.0    双向？？？？
6.999          1531389420.0    生日快乐！！！！！
7.092          1531538056.0    这是he还是be啊；-；
7.105          1531456115.0    言和小天使生日快乐
7.223          1531356551.0    言和小天使生快
7.387          1531311950.0    给我上榜！！！！！
7.461          1531320920.0    言和小天使生快!!!
7.509          1531457578.0    殿堂助攻！
7.541          1531302142.0    8102年到了
7.598          1531486602.0    ？？？？？
7.601          1531367364.0    双向！！！
7.616          1531385012.0    天依生日快乐
7.66           1531479122.0    啊啊啊
7.683          1531491922.0    双向系列！就是双向入坑的
7.836          1531425749.0    殿堂助攻！！！！！！！！！
7.903          1531538204.0    言和言和言和言和言和言和言和言和言和言和言和
7.974          1531306293.0    言和小天使生快～
8.195          1531325333.0    ♡洛水之畔，和乐而歌
8.297          1531483212.0    生日快乐
8.552          1531449059.0    殿堂助攻
8.58           1531411100.0    真的很感谢
8.694          1531327251.0    天依生日快乐
8.857          1531544243.0    言和生快！！！
8.885          1531386279.0    洛言生日快乐
8.931          1531311853.0    好听哭！！！
8.937          1531302215.0    8102年我看到了什么？！！！
8.974          1531396209.0    生日快乐
9.055          1531405806.0    开口跪
9.124          1531459875.0    来了
9.161          1531458056.0    承包言和小天使！
9.193          1531308213.0    8小时前！
9.3            1531310295.0    shuaang
9.316          1531480494.0    双向?!!!!!!
9.363          1531425117.0    生快
9.366          1531313554.0    有生之年！！！
9.371          1531562659.0    卧槽终于he了！有生之年啊
9.38           1531304794.0    7小时前
9.458          1531379438.0    吱付宝首页搜索“86OO14”小意思不谢
9.563          1531322839.0    生日快乐。
9.593          1531369410.0    言和，洛天依生日快乐！
9.62           1531566608.0    言和小天使生日快乐
9.68           1531368560.0    来自梦境与夜晚交汇处的人
9.694          1531367917.0    来自梦境与夜晚交汇处的人
9.707          1531320461.0    两个小天使生日快乐！
9.757          1531319594.0    来自梦境与夜晚交汇处的人
9.769          1531363858.0    有生之年系列哇
9.9            1531311708.0    小天使生快(=・ω・=)
9.94           1531412466.0    好好看
9.961          1531314367.0    么么哒
9.962          1531303944.0    小天使生日快乐！
10.04          1531388588.0    双向
10.076         1531307127.0    不完结永不完结
10.078         1531315000.0    阿阿阿阿阿阿啊是双向！！！！！
10.08          1531313960.0    小天使生日快乐！
10.132         1531492046.0    生日快乐
10.221         1531386644.0    天依生日快乐
10.388         1531396399.0    越听越想哭
10.482         1531309426.0    言和和生日快乐
10.495         1531373361.0    生日快乐🎂🎉
10.541         1531387148.0    两位天使生日快乐
10.595         1531550243.0    打call！
10.601         1531359030.0    小天使生日快乐！
10.616         1531301791.0    老婆生日快乐
10.617         1531388648.0    迟到的生日快乐！
10.624         1531305427.0    小天使生日快乐！！
10.658         1531307152.0    言和生日快乐
10.685         1531312475.0    生日快乐
10.712         1531438591.0    天依言和生快！！！
10.717         1531394124.0    ？？？？？
10.726         1531325378.0    天依生日快乐
10.749         1531437787.0    生快
10.796         1531448813.0    天依生日快乐
10.8           1531379421.0    天依言和生快啦！！
10.865         1531458771.0    有生之年
10.879         1531469472.0    洛言小天使生日快乐
10.934         1531308887.0    言和生日快乐
10.986         1531306261.0    从那个夜晚开始
11.144         1531465756.0    存娘啊！
11.176         1531332383.0    生日快乐
11.179         1531455771.0    生日快乐！
11.189         1531303455.0    天依言和生日快乐！
11.24          1531408516.0    小天使生日快乐
11.261         1531568843.0    第一条弹幕为存娘打出qaq！
11.345         1531345720.0    来晚了18个小时
11.364         1531385493.0    双向？？！！！
11.404         1531368269.0    天依生日快乐🎉🎉🎉🎉🎉🎂
11.481         1531314688.0    言和小天使生日快乐！！！
11.563         1531479101.0    表白
11.581         1531431990.0    天依生日快乐
11.705         1531398660.0    言和言和言和言和言和言和言和
11.744         1531525054.0    谢谢
11.791         1531404371.0    好听
11.792         1531379131.0    双向系列！！！！！、
11.815         1531313949.0    小天使生快
11.876         1531375504.0    欠存一个传说啊
11.982         1531437710.0    he
11.983         1531484066.0    天依，言和和生日快乐！
12.022         1531382236.0    惊了
12.063         1531326511.0    天依生日快乐
12.113         1531535899.0    天依生日快乐
12.121         1531305903.0    生日快乐
12.166         1531365707.0    啊啊啊啊啊啊啊啊
12.257         1531303304.0    ♡洛水之畔，和乐而歌∞。天依阿和生日快乐
12.275         1531363455.0    ⊙ω⊙
12.3           1531371163.0    天依生日快乐！
12.338         1531302649.0    言和生日快乐
12.561         1531315976.0    言和小天使生日快乐
12.574         1531319084.0    言和小天使生日快乐呐
12.604         1531420848.0    大家好啊！！！
12.691         1531478745.0    我们欠存娘一个传说！
12.8           1531330875.0    小天使生日快乐
12.861         1531324358.0    表白存娘
12.881         1531310080.0    太棒了
12.923         1531302713.0    言和生日快乐
12.942         1531354129.0    生日快乐！
12.989         1531353777.0    全体锦依卫祝洛殿生日快乐！
13.14          1531319357.0    生日快乐
13.167         1531551867.0    每天一次
13.223         1531468881.0    天依生日快乐！么么哒
13.232         1531310050.0    小天使生日快乐
13.281         1531319969.0    言和生日快乐
13.331         1531403722.0    ha!
13.374         1531318543.0    言和生快
13.434         1531318078.0    言和小天使生日快乐！
13.462         1531320252.0    天依生日快乐！！！
13.481         1531450476.0    小天使生日快乐
13.553         1531321117.0    言和小天使生日快乐！！！
13.664         1531476937.0    幸福到窒息
13.665         1531380359.0    殿堂助攻！
13.682         1531310912.0    糖糖糖
13.706         1531399328.0    十万助攻
13.736         1531448819.0    天依生日快乐
13.762         1531526946.0    125位朋友你们好
13.817         1531442044.0    天依生日快乐
13.931         1531419398.0    小天使生日快乐
13.988         1531401437.0    言和小天使生日快乐
14.055         1531357085.0    小天使生日快乐
14.073         1531455616.0    殿堂助攻
14.153         1531399346.0    双向啊！！！！
14.392         1531310882.0    生快啊！两位小天使！
14.394         1531481527.0    天依生日快乐
14.407         1531302815.0    好惊喜！
