排名：55
网址：https://www.bilibili.com/video/av26589226
更新时间：07-19
弹幕总量：779
preciseTime    ofTime          comment
0.0            1531526084.0    加油！
0.377          1531487178.0    三小时前。。。
0.998          1531495492.0    小妖精今天也是超级撩的呢
1.311          1531828911.0    推荐一个很不错的电影影评 CE先生的光影世界 
1.438          1531478117.0    元气可爱我桃核 性感撩人我桃核
1.771          1531575268.0    sixsix
1.919          1531755865.0    好腿
2.062          1531712897.0    支付寳搜一下“
2.099          1531546774.0    元气可爱我桃核   性感撩人我桃核
2.218          1531551446.0    元气可爱我核桃 性感撩人我核桃
2.441          1531654062.0    帅
2.641          1531479952.0    性感撩人叫桃核，元气可爱是核桃
3.14           1531705342.0    加油
3.172          1531676649.0    耳机福利
3.471          1531480475.0    往人前来应援！！！
3.531          1531476060.0    1
4.452          1531483608.0    看到我已经是7000后了
4.861          1531701008.0    法国夺冠了！
4.944          1531476147.0    前
4.962          1531479963.0    性感撩人叫桃核，元气可爱是核桃
5.22           1531696774.0    吓老子一跳
5.267          1531723650.0    停
5.579          1531476264.0    三分钟
5.695          1531555097.0    好像要爆炸的样子
5.797          1531716622.0    这个回头......我走了
6.278          1531629742.0    ＾０＾~加油
6.641          1531476151.0    承包！
6.779          1531477643.0    女神
7.001          1531476332.0    前排承包帅气桃核✺◟(∗❛ัᴗ❛ั∗)◞✺
7.012          1531479456.0    379
7.084          1531488443.0    哦吼
7.121          1531482530.0    卧槽，好撩
7.281          1531479972.0    性感撩人叫桃核，元气可爱是核桃
7.323          1531716830.0    哇，96猫唱的
7.405          1531628658.0    666
7.418          1531793276.0    太炸了这一块儿。
7.472          1531931225.0    帅气
7.726          1531830185.0    可耻的播放量
7.734          1531532683.0    女神用了女神的翻唱！表白96猫和桃核！
7.78           1531478187.0    性感撩人我桃核！元气可爱我桃核！
7.888          1531476235.0    这。。。诱惑
8.024          1531672029.0    看看车灯
8.179          1531739889.0    969696969696969696
8.519          1531477394.0    前
8.684          1531497260.0    核桃好漂亮
8.727          1531507557.0    好喜欢啊啊啊啊
8.79           1531546815.0    性感撩人我桃核！  元气可爱我桃核！
8.8            1531629496.0    太帅了
9.02           1531476060.0    第一?
9.191          1531696903.0    献出心脏
9.462          1531534210.0    来了
9.551          1531502440.0    高产啊
9.582          1531557899.0    哇！
9.678          1531551486.0    性感撩人我核桃！元气可爱我核桃！
9.808          1531477731.0    啊啊啊啊啊啊啊啊啊
9.863          1531542540.0    性感撩人叫桃核，元气可爱是核桃
9.897          1531735672.0    小妖精
9.959          1531490314.0    无敌帅
10.181         1531479319.0    性感撩人叫桃核，元气可爱是核桃
10.351         1531487016.0    无敌
10.458         1531704818.0    一步一卡，十分潇洒！
10.598         1531711086.0    卡在奇怪的地方
10.725         1531479226.0    妈耶
11.185         1531517313.0    哇
11.316         1531979846.0    这是我老婆
11.457         1531729912.0    鬼鬼 这个裤子是怎么穿进去的
11.519         1531804430.0    桃核高产
11.657         1531483151.0    200
11.777         1531491578.0    这是裤子吗？好性感啊！
12.007         1531477602.0    哇哦 真是越来越nice了
12.153         1531755968.0    96的音源！！
12.362         1531705932.0    耻辱的播放量
12.4           1531482548.0    这裤子还是袜子太犯规了
12.644         1531619253.0    桃核最近好性感
12.719         1531734122.0    谢逊，让我找到你了，说!屠龙刀在哪!?
13.3           1531751383.0    都喜欢扭屁股
13.454         1531476580.0    厉害厉害
13.469         1531747410.0    道长无敌1
13.699         1531526740.0    桃核无敌！！！
13.73          1531798801.0    小姐姐，你腿肉好多啊
13.78          1531675918.0    色气满满
14.048         1531721765.0    打call
14.761         1531494436.0    第一吗
15.013         1531477015.0    这腿……把持不住
15.116         1531507976.0    第n遍刷
15.12          1531477412.0    占楼
15.329         1531484268.0    有没有穿丝袜啊？！！！
15.369         1531589606.0    我就看看 我不说话
15.787         1531488716.0    真可爱啊
15.8           1531554179.0    哇哦
15.883         1531478266.0    瑟瑟发抖
15.965         1531701742.0    看成二次元的我
15.994         1531778839.0    ^_^^_^
16.001         1531754893.0    这不是治颈椎病的吗
16.378         1531728373.0    这是裤子？还是？？？
16.501         1531955835.0    bgm：一骑当千96猫版本的，现在的QQ音乐还没版权听不到96猫版的
16.742         1531754207.0    哇哇哇
16.759         1531734145.0    屠龙宝刀到底蹭到哪里了？！
17.189         1531482383.0    好强的诱惑啊
17.424         1531582333.0    噢 注意回眸
17.45          1531488854.0    简介戏好多
17.493         1531495273.0    现在的摄影师都这么棒了吗
17.744         1531621866.0    表白96猫
17.899         1531496969.0    这袜子是认真的吗？
18.098         1531502041.0    弹性好
18.132         1531657034.0    前面的，是桃核啊
18.321         1531484562.0    这是怎么穿上去的
18.952         1531547718.0    这裤子怎么穿
19.094         1531546007.0    我就想说这个裤子穿起来肯定很麻烦
19.62          1531728893.0    丝袜好特别啊
19.734         1531699044.0    要死啦！
19.802         1531476122.0    第一！！！！
19.808         1531476832.0    弹幕第一，投币第一，收藏第一，评论第一
19.979         1531791692.0    同问，怎么穿上去的
20.179         1531528943.0    这是裤子还是丝袜？
20.779         1531476311.0    这裤子是咋穿上去的⊙∀⊙？
20.808         1531754717.0    一个字棒！
21.04          1531790116.0    这腿我能玩一年
21.478         1531708824.0    这袜子好好看，
22.075         1531489159.0    紊亂的呼吸 慌張不已 心跳加速 under the moon
22.095         1531507575.0    最近好高产的说
22.219         1531488051.0    穿了靴子吧
22.438         1531673719.0    双手打字以证清白
22.524         1531478610.0    笑起来还是那个小可爱
22.758         1531543081.0    犯规！
22.98          1531781257.0    感觉这裤子超级难穿
23.084         1531719842.0    双手打字
23.679         1531734172.0    谢逊，哈哈哈哈哈哈
24.016         1531476697.0    同问？
24.096         1531479487.0    道长高产上天了丫！
24.186         1531476946.0    这丝袜有点吊，破的……
24.298         1531734516.0    96猫唱的
24.38          1531736234.0    过审小王子
24.499         1531706344.0    这穿的是二级甲吗？
24.772         1531479755.0    秘籍 脏靴子 靴子越脏 速度越快 攻击范围越大
24.949         1531484936.0    力度把握太好了！
25.1           1531769712.0    还以为是动漫人物，很可爱
25.131         1531672543.0    为什么有点像彦
25.236         1531476122.0    1
25.243         1531479576.0    秘籍 脏靴子 靴子越脏 速度越快 攻击范围越大
25.459         1531610149.0    穿上去 斯啊！！！
25.827         1531711525.0    漂亮
25.914         1531677375.0    这裤子怎么穿上去的啊
25.936         1531711239.0    桃核我爱你❤️
26.293         1531706538.0    啊？
26.539         1531501688.0    96版好评呜呜呜
26.878         1531528089.0    穿上以后用剪刀剪的，嗯，就是这样
26.906         1531489198.0    流露出的悲嗚 膽怯起來的眼神 誘導生死的命運
26.92          1531476510.0    就没人发弹幕吗
27.082         1531709676.0    HAha
27.099         1531811059.0    96猫！
27.314         1531572203.0    美美美！
27.362         1531828987.0    这是丝袜啊...
27.437         1531715389.0    舌头打字表示清白
27.803         1531479640.0    都在看
28.102         1531479577.0    桃核姐姐
28.139         1531524982.0    这裤子很难穿吧
28.178         1531625604.0    什么
28.927         1531717578.0    一次性的
28.94          1531833401.0    V
29.041         1531721863.0    好看？
29.369         1531489242.0    你的身體 所流着的blood 散發的氣息 so mad
29.443         1531706814.0    这臀没得说
29.478         1531788848.0    这个裤子怎么穿上去的？
30.281         1531936257.0    弹幕呢？？？
30.294         1531720130.0    内心毫无波动
30.481         1531678954.0    死神同好请留步，来玩一局电子游戏吧
31.442         1531488874.0    这个裤子怎么穿
31.523         1531664659.0    这个怎么穿上去的。。。
31.913         1531674648.0    头发-1
32.202         1531709281.0    广州什么王？
32.261         1531480377.0    这……这腿!
32.58          1531489276.0    已經無法回頭的世界 it begins! are you ready?
32.668         1531494517.0    这个袜子非常厉害
33.08          1531724558.0    头发-1
33.75          1531828943.0    推荐一个很不错的电影影评 CE先生的光影世界 
33.817         1531754233.0    营养不良啊
33.918         1531702367.0    bgm是什么？
33.921         1531718582.0    字幕组加鸡腿
33.962         1531787278.0    全程听歌
34.477         1531538964.0    真美
34.546         1531476157.0    没有弹幕？
34.658         1531696945.0    裤子差评
34.872         1531555776.0    没有红色那件的吧？？？
35.301         1531476515.0    1
35.787         1531660711.0    这丝袜我喜欢
35.827         1531632420.0    我擦下口水
35.858         1531705653.0    肉色和黑色吧撕出来可能不是这个效果
35.962         1531490431.0    我很好奇这个穿了几次
35.977         1531476899.0    看到腿上的肉在颤抖2333
36.368         1531484167.0    天啊   这个袜子‼(•'╻'• )꒳ᵒ꒳ᵎᵎᵎ
36.418         1531476795.0    满屏的诱惑感
36.51          1531481522.0    好高产的核桃。我好喜欢的核桃
36.581         1531480919.0    好奇丝袜怎么穿的
36.681         1531746394.0    牛逼
36.759         1531496222.0    丝袜
36.83          1531489351.0    本能在渴求着 more  艱苦戰鬥 就連是怎樣的症狀 all you want
36.921         1531477692.0    丝袜:毒液附身
36.922         1531476287.0    前排坐下
37.25          1531756883.0    万恶安全裤系列
37.383         1531847109.0    二次元吗？没啥感觉，还是御姐好
37.459         1531709724.0    感觉应该是一次性的，穿上然后剪开
37.994         1531532659.0    围观
38.22          1531493277.0    跑了跑了
38.299         1531730856.0    把
38.394         1531493167.0    帅！
38.409         1531752556.0    我刀呢？
38.501         1531553845.0    好美喔……真的性感……
38.78          1531712930.0    这样穿感觉有点显腿短
38.899         1531535402.0    难道不知道有花纹的丝袜吗
39.578         1531606757.0    冲击榜一！！
39.719         1531487743.0    应该是有肉色的底然后上面有黑色的花纹
39.874         1531718574.0    用飘柔就是这么自信
40.038         1531476619.0    好前
40.137         1531495679.0    woc小舌头太撩了吧
40.606         1531714989.0    ……
40.783         1531965003.0    969696969696
40.819         1531476548.0    534!
41.381         1531665091.0    告辞
41.497         1531750405.0    感觉节奏不对阿 
41.568         1531716309.0    没弹幕?
41.814         1531476752.0    简直不要不要的
41.88          1531796238.0    感谢字幕君
42.04          1531528977.0    怎么感觉腿瘦了。。错觉吗？
42.058         1531743207.0    果然还是核桃棒
42.211         1531481414.0    桃核越来越好看了!
42.359         1531625618.0    好
42.636         1531495997.0    我丢   欲罢不能的赶脚
42.681         1531535049.0    完了，走不出去了
42.699         1531626078.0    心机
42.715         1531480364.0    腿不错
42.736         1531701555.0    美
42.746         1531495442.0    糟了，是想关注的感觉…
42.92          1531476316.0    给桃核打电话！！！太撩了！！
43.124         1531489382.0    看吧本能在渴求着 more預料之外 It's your turn in this world ah..
43.141         1531719037.0    呃........
43.26          1531811783.0    穿上去了就不用撕了
43.428         1531801380.0    9696969696969696969696
44.139         1531836509.0    吐舌犯规哇
44.216         1531715758.0    BGM一骑当千
45.09          1531637739.0    这姑娘真可怜，袜子都是破的
45.201         1531482591.0    吐舌太犯规
45.237         1531550908.0    这发色好好看
46.049         1531964394.0    求BGM
46.078         1531756022.0    跳的越来越棒了！！
46.228         1531479676.0    厉害能把丝袜撕成这样！
46.301         1531494516.0    元气可爱桃核！性感撩人桃核！
46.416         1531680479.0    好撩 好棒
46.94          1531717941.0    没开声音看起来好好笑，hhh
47.023         1531715858.0    高产似那啥
47.121         1531719101.0    双手打字不。。表清白
47.333         1531479383.0    疯狂打CALL
47.44          1531497662.0    悄悄刷一哈96
47.917         1531498898.0    我撕的就这样
48.522         1531506600.0    穿上去在撕了就是了
48.649         1531707647.0    这个袜子怎么穿的？
48.805         1531728411.0    这是裤子吧
49.402         1531806609.0    核桃最近高产的不可思议 而且部部有货无线
49.819         1531478490.0    带感
49.844         1531730394.0    皮裤撑烂了
49.861         1531675257.0    这腿我能玩一年！ԅ(¯㉨¯ԅ)
49.87          1531492128.0    你不懂，这叫诱惑
50.021         1531978808.0    bgm：一骑当千，96猫版的
50.125         1531503286.0    性感热舞
50.146         1531899560.0    大腿肉摇的爽啊
50.319         1531489419.0    直到心滿意足為止go ahead 不存在界限
50.339         1531698378.0    动作太用力了的感觉 但还是不错
50.528         1531801387.0    969696969696969696
50.764         1531539585.0    这怎么穿上去的....
50.901         1531795914.0    卡在了奇怪的地方
50.978         1531496106.0    路转粉阿！！
51.033         1531538984.0    黑呼你
51.058         1531700686.0    动作轻的时候说软动，作用力的时候又说太过了…
51.699         1531678491.0    有人看歌词吗
51.763         1531620393.0    只是花纹啊 腿的地方是肉色的 只是看不出来 其实是一整条
52.459         1531720981.0    唯一一个平得漂亮的姑娘
52.881         1531720606.0    emmmm     不知道黑色和肉色一起的袜子你们见过没
53.072         1531730034.0    肉色丝袜上面黑色印花 肯定是这样啊
53.262         1531587093.0    大破状态
54.068         1531489451.0    無窮無盡 try again and again you gonna fight
54.118         1531671754.0    来晚了
54.842         1531502264.0    今天也被桃核撩的不要不要的。^-^
54.846         1531547992.0    卷成一个环套上去，在拉开不就行了
55.642         1531591785.0    穿上去 然后我撕的 行了吧
56.035         1531713696.0    hh
56.041         1531481090.0    这腿很能吸引目光
56.129         1531476106.0    好看！
56.316         1531684298.0    差点意思
57.336         1531477136.0    桃核劳模啊，最近产量超高
57.343         1531649149.0    号外号外
57.347         1531728439.0    emmmmmmm还行吧..
57.424         1531489482.0    以一切的辦法 ah…
57.688         1531729371.0    底下红蓝字幕牛逼了
57.838         1531836940.0    前面平的漂亮的那位您是认真的吗。。。
58.0           1531480902.0    诸君，拔刀吧，桃核是我的
58.048         1531715597.0    默默把音量关了
58.081         1531482620.0    这丝袜是怎么撕成这样的
58.284         1531552694.0    这是印花丝袜，不是手撕的
58.453         1531806534.0    桃核这版本好撩人
58.493         1531488088.0    摄影加鸡腿
59.081         1531790187.0    部分动作太用力了，不过还是不错的
59.446         1531801396.0    9696969696969696
59.494         1531539046.0    有花纹的丝袜了解一下
59.561         1531533199.0    袜子可能是穿身上然后剪。。
60.118         1531476291.0    道长好帅！
60.984         1531829108.0    别看啦，有打底裤的。
61.118         1531476147.0    漂亮
61.617         1531729692.0    不好意思我用枪
61.82          1531476332.0    承包！！
62.004         1531715010.0    路过，我啥也没看过，我瞎了
62.205         1531489516.0    瞄準眼前所有礙事之物吧！
62.421         1531703790.0    你们年轻人审美欣赏不了
62.546         1531660507.0    黑色花纹肉色底色的丝袜
62.719         1531491153.0    你们不知道穿上丝袜再剪破会有一样的效果嘛
63.019         1531477252.0    稀饭
63.08          1531550452.0    假大腿袜了解一下~
63.164         1531486950.0    就不可以穿上去再撕烂么
63.295         1531476370.0    好看！！！！！
63.401         1531484297.0    可以可以
63.475         1531503773.0    我撕得不错吧
63.509         1531676372.0    这袜子好。。好白，好想摸
63.638         1531496147.0    太好看了！！力度也好棒！！！
63.76          1531536245.0    前方影分身之术高能！！
63.801         1531542065.0    弟445条弹幕
63.989         1531716397.0    全程看袜子？
64.081         1531498096.0    没错 丝袜是我撕的
64.614         1531713263.0    有点火后
65.018         1531495495.0    摄影师：mmp我这辈子只能吃鸡腿
65.139         1531532579.0    我猜是传上去之后剪的
65.147         1531729193.0    看不懂！有什么意思！
65.432         1531699707.0    嘤嘤嘤
65.913         1531713716.0    hh
65.918         1531813344.0    为啥我的关注点全在96猫的歌上了
66.179         1531488110.0    这怕是剪出来的
66.206         1531494960.0    这么热的天穿这鞋是不是太热了
66.364         1531673699.0    跳了几次？
66.778         1531750429.0    白的上面贴上黑的
68.299         1531729539.0    我赶脚这袜子那里是肉色的  并没有断开
68.571         1531482556.0    休想
68.929         1531724061.0    前面欣赏不了的，麻烦直接右拐，不用找存在感。不需要您的欣赏
69.241         1531755958.0    我想知道她的真实身高
69.263         1531715880.0    打底裤差评
69.655         1531500616.0    好看！力度赞！
70.113         1531829628.0    众筹帮她买丝袜，破成这样
70.757         1531482561.0    道长最美啦
71.127         1531494542.0    那是底色肉丝黑色花纹吧，没错，i社教我的
71.217         1531481128.0    好棒好棒
71.476         1531489551.0    唯命是從的日子 平凡普通的GAME 那就有如it’s like a slave
71.557         1531499535.0    承包小姐姐
71.998         1531484485.0    心疼腿quuq
72.419         1531810712.0    桃里桃气
72.466         1531801409.0    969696969696969696
72.886         1531735572.0    丝袜皮
72.911         1531480645.0    分裂，再生，我成就了一个舞团~~~~
72.96          1531494380.0    怎么感觉你们有点傻呢？那是一体的裤袜，款式就是像撕开似的。
73.201         1531710444.0    我撕的哈哈
73.305         1531481604.0    哇哦
73.785         1531618057.0    可爱想。。。
73.825         1531494171.0    分身
74.127         1531713732.0    哇
74.378         1531753721.0    只有小孩才会做选择
74.383         1531752032.0    哦吼
74.448         1531482617.0    这支舞跳的桃核有丝分裂
74.89          1531489576.0    試着勇敢地 將紅色的湯 一飲而盡吧 來吧
75.166         1531476648.0    嗯嗯，力道和踩点都很好，更完美了
75.386         1531477280.0    媳妇儿变多了！
75.469         1531524437.0    摄影师加鸡腿
75.76          1531482645.0    影分身
75.863         1531674767.0    眼边边  是贴装饰品?
76.421         1531724605.0    ？？？？？？
77.095         1531479383.0    召唤分身！
77.565         1531745728.0    这才是正常人的身材 抖音上的腿个个都长的过分
77.733         1531480325.0    出现了！第二个桃核！
78.34          1531587206.0    肉丝加花纹啊
78.52          1531543139.0    妈妈咪啊
78.743         1531489606.0    那震抖的身軀 be delight 就如超乎想像一般
78.777         1531478105.0    早就应该走性感风了
78.842         1531495558.0    多一个？那不介意送我一个吧？！
79.075         1531585939.0    都是我的，拔刀吧
80.019         1531488135.0    影分身?
80.538         1531808151.0    禁忌的三重存在
80.748         1531753727.0    我全都要
80.848         1531476253.0    三倍的快乐
81.384         1531577053.0    666
81.5           1531674679.0    美
81.601         1531476365.0    ！！！三个桃核！三倍的快乐！！
81.786         1531482640.0    然后又无丝分裂
82.141         1531724614.0    ？？？？？？
82.195         1531489635.0    t’s your time be riding your high 沒有去拒絕的理由
82.421         1531745053.0    裤子好帅
82.438         1531541823.0    这个丝袜真是创意满满！
83.963         1531476937.0    分身术
84.437         1531537651.0    说剪的别是有毒把
85.221         1531477738.0    禁忌:三重存在
85.413         1531533950.0    开大了
85.754         1531477102.0    我要都抱走
85.761         1531484319.0    哎呀
85.803         1531503327.0    都是我的了
85.881         1531669436.0    禁忌：三重存在！
85.946         1531489663.0    細胞在渴求着 more臥薪嘗膽 心跳猛烈地 falling down
86.91          1531717212.0    姐姐妹妹凑齐了
87.398         1531740929.0    无丝分裂哈哈哈哈
87.563         1531479589.0    嚯哟三个我全都要（握拳
87.877         1531492425.0    发型都喜欢
88.385         1531678053.0    立位体前屈
88.523         1531649180.0    号外号外号外号外
88.972         1531845926.0    96的版本吗
89.241         1531477457.0    性感
89.296         1531482677.0    最后达到最高境界：一气化三桃
89.499         1531715914.0    禁忌 三重嘤嘤嘤
89.711         1531706422.0    是你！八神奄
90.076         1531537147.0    腹背运动走！
91.117         1531735099.0    跳的乱七八糟的，原谅我欣赏不来
91.614         1531659707.0    体前屈 走
91.835         1531478307.0    一人三化，哈哈
92.312         1531723499.0    拉伸运动好评
92.486         1531753170.0    三胞胎，我喜欢
92.559         1531489694.0    看吧細胞在渴求着 more費盡苦心 you would be fuckin' crazy
93.107         1531499174.0    好帅
93.248         1531488809.0    一气化三桃还行
94.072         1531555835.0    影分身
94.648         1531477437.0    以前我没得选，现在我全都要！
94.842         1531730542.0    瞎说，罩杯都不一样
95.799         1531480707.0    散发，双马尾，单马尾，总有一款会打动你的心💗
95.816         1531476247.0    靠，一个人的女团！
96.419         1531526833.0    三个一块抱走
96.952         1531490401.0    核桃x3
96.954         1531582219.0    太好看了
97.511         1531658005.0    都想要
98.315         1531660774.0    拔什么刀  掏枪
98.7           1531900460.0    承包右边双马尾
98.738         1531674683.0    漂亮
98.788         1531538697.0    桃子乱入。。。
